DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,ACC, EQ,2441.6,2440.0,2467.0,2436.65,2438.0,2439.75,2447.09,162920,3986.81,12449,53974,33.13,,N,,N,N,N,,,,N,
2023-01-03,ACC, EQ,2439.75,2440.05,2453.0,2428.0,2443.4,2442.7,2438.09,356701,8696.71,25597,181324,50.83,,N,,Y,N,N,,,,N,
2023-01-04,ACC, EQ,2442.7,2449.7,2483.45,2399.0,2407.5,2409.3,2445.33,590726,14445.18,33807,155833,26.38,,N,,N,N,N,,,,N,
2023-01-05,ACC, EQ,2409.3,2407.5,2445.4,2375.35,2444.95,2440.2,2415.28,347565,8394.66,21285,77551,22.31,,N,,Y,N,N,,,,N,
2023-01-06,ACC, EQ,2440.2,2435.2,2457.05,2400.0,2420.3,2415.95,2429.7,203880,4953.66,13691,40283,19.76,,N,,N,N,N,,,,N,
2023-01-09,ACC, EQ,2415.95,2428.05,2471.35,2425.5,2468.7,2464.65,2460.89,291084,7163.27,25989,107645,36.98,,N,,Y,N,N,,,,N,
2023-01-10,ACC, EQ,2464.65,2469.9,2488.0,2407.5,2420.0,2418.95,2437.6,341404,8322.08,21630,103872,30.42,,N,,N,N,N,,,,N,
2023-01-11,ACC, EQ,2418.95,2429.0,2458.95,2388.05,2400.45,2394.95,2402.94,327925,7879.84,18687,148916,45.41,,N,,N,N,N,,,,N,
2023-01-12,ACC, EQ,2394.95,2401.0,2411.3,2353.15,2361.8,2364.4,2382.4,283433,6752.52,31840,94549,33.36,,N,,N,N,N,,,,N,
2023-01-13,ACC, EQ,2364.4,2372.05,2385.0,2362.9,2367.2,2367.2,2372.87,331339,7862.23,17565,160021,48.3,,N,,N,N,N,,,,N,
2023-01-16,ACC, EQ,2367.2,2376.4,2380.5,2354.5,2357.0,2361.4,2364.57,180024,4256.79,13025,62661,34.81,,N,,N,N,N,,,,N,
2023-01-17,ACC, EQ,2361.4,2362.0,2371.7,2326.4,2348.0,2346.0,2347.98,231181,5428.08,17000,89145,38.56,,N,,N,N,N,,,,N,
