DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,ACI, EQ,526.25,528.9,533.95,523.0,525.8,525.25,526.28,188657,992.86,6888,125351,66.44,,N,,N,N,N,,,,N,
2023-01-03,ACI, EQ,525.25,527.9,530.3,524.0,526.9,525.45,525.61,85226,447.95,4096,51381,60.29,,N,,N,N,N,,,,N,
2023-01-04,ACI, EQ,525.45,526.5,539.9,523.35,529.0,532.95,534.36,258179,1379.61,9886,122243,47.35,,N,,Y,N,N,,,,N,
2023-01-05,ACI, EQ,532.95,534.9,570.8,528.65,560.55,558.75,552.52,797190,4404.63,38197,278449,34.93,,N,,Y,N,N,,,,N,
2023-01-06,ACI, EQ,558.75,561.55,578.7,538.65,556.5,562.3,566.77,524972,2975.4,32262,210050,40.01,,N,,Y,N,N,,,,N,
2023-01-09,ACI, EQ,562.3,565.15,577.8,558.3,564.9,562.5,567.31,166981,947.3,8034,70763,42.38,,N,,N,N,N,,,,N,
2023-01-10,ACI, EQ,562.5,565.35,570.0,547.05,556.75,559.15,557.6,145658,812.2,7848,61603,42.29,,N,,N,N,N,,,,N,
2023-01-11,ACI, EQ,559.15,559.35,573.35,555.15,568.0,570.1,566.36,165310,936.24,9712,72576,43.9,,N,,Y,N,N,,,,N,
2023-01-12,ACI, EQ,570.1,572.65,584.5,565.6,574.0,572.4,574.07,144471,829.37,8173,48556,33.61,,N,,N,N,N,,,,N,
2023-01-13,ACI, EQ,572.4,575.3,629.0,574.05,617.0,615.6,611.06,1417432,8661.34,48782,407420,28.74,,N,,Y,N,N,,,,N,
2023-01-16,ACI, EQ,615.6,619.0,653.6,617.05,628.0,628.75,636.59,709501,4516.59,25914,197294,27.81,,N,,Y,N,N,,,,N,
2023-01-17,ACI, EQ,628.75,631.9,639.0,605.0,607.3,609.8,618.87,219546,1358.71,9322,73199,33.34,,N,,N,N,N,,,,N,
2023-01-18,ACI, EQ,609.8,610.95,633.5,610.95,615.0,617.4,620.7,391405,2429.47,14534,185004,47.27,,N,,Y,N,N,,,,N,
2023-01-19,ACI, EQ,617.4,617.0,617.0,601.15,603.8,602.4,608.21,174650,1062.23,9322,102686,58.8,,N,,N,N,N,,,,N,
