DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,ADANIPORTS, EQ,818.1,823.0,826.75,816.3,822.0,822.3,822.02,2042294,16787.97,38026,243873,11.94,,N,,N,N,N,,,,N,
2023-01-03,ADANIPORTS, EQ,822.3,822.25,826.4,817.8,818.0,820.45,821.76,2166531,17803.76,37159,406697,18.77,,N,,N,N,N,,,,N,
2023-01-04,ADANIPORTS, EQ,820.45,820.8,822.0,806.5,807.0,810.0,814.04,3260112,26538.51,54470,753569,23.11,,N,,N,N,N,,,,N,
2023-01-05,ADANIPORTS, EQ,810.0,814.05,821.6,797.0,818.25,819.6,812.2,3119740,25338.6,65560,645092,20.68,,N,,Y,N,N,,,,N,
2023-01-06,ADANIPORTS, EQ,819.6,819.9,824.4,803.5,805.8,806.1,811.46,2892006,23467.47,77774,764930,26.45,,N,,N,N,N,,,,N,
2023-01-09,ADANIPORTS, EQ,806.1,810.45,820.25,809.1,817.0,816.65,815.39,2040072,16634.5,43195,447501,21.94,,N,,Y,N,N,,,,N,
2023-01-10,ADANIPORTS, EQ,816.65,817.0,820.65,781.1,795.0,796.4,798.76,4545808,36310.28,96236,1165245,25.63,,N,,N,N,N,,,,N,
2023-01-11,ADANIPORTS, EQ,796.4,800.0,803.1,789.05,794.0,796.45,796.74,3618663,28831.47,65665,753914,20.83,,N,,N,N,N,,,,N,
2023-01-12,ADANIPORTS, EQ,796.45,796.7,799.45,786.1,795.0,792.95,793.2,2670641,21183.44,61573,521953,19.54,,N,,N,N,N,,,,N,
2023-01-13,ADANIPORTS, EQ,792.95,795.6,800.25,786.0,793.0,794.65,793.78,4059998,32227.41,59898,989601,24.37,,N,,N,N,N,,,,N,
2023-01-16,ADANIPORTS, EQ,794.65,797.0,797.5,784.4,788.35,787.05,788.82,3601251,28407.32,63605,1522124,42.27,,N,,N,N,N,,,,N,
2023-01-17,ADANIPORTS, EQ,787.05,788.35,791.45,778.1,784.0,784.75,785.54,2948618,23162.64,66214,852901,28.93,,N,,N,N,N,,,,N,
2023-01-18,ADANIPORTS, EQ,784.75,784.0,795.85,776.6,782.4,786.5,787.59,5585785,43993.15,81950,1780993,31.88,,N,,Y,N,N,,,,N,
2023-01-19,ADANIPORTS, EQ,786.5,783.95,783.95,771.75,773.0,776.05,777.06,5086667,39526.24,66003,2041319,40.13,,N,,N,N,N,,,,N,
2023-01-20,ADANIPORTS, EQ,776.05,776.0,786.6,772.45,772.95,774.45,779.81,3328697,25957.59,53255,1201298,36.09,,N,,N,N,N,,,,N,
2023-01-23,ADANIPORTS, EQ,774.45,778.35,778.35,762.4,767.75,769.05,769.2,4283589,32949.17,85286,1494428,34.89,,N,,N,N,N,,,,N,
2023-01-24,ADANIPORTS, EQ,769.05,769.15,774.0,758.0,759.0,761.2,766.71,3011438,23089.11,73048,992315,32.95,,N,,N,N,N,,,,N,
2023-01-25,ADANIPORTS, EQ,761.2,753.0,756.9,706.0,714.55,713.15,720.06,17085455,123025.99,317405,4259698,24.93,,N,,N,N,N,,,,N,
2023-01-27,ADANIPORTS, EQ,713.15,699.0,699.85,537.0,604.5,596.95,616.1,64194046,395501.69,816215,13596537,21.18,,N,,N,N,N,,,,N,
