DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,APARINDS, EQ,1793.1,1800.0,1835.0,1796.05,1829.95,1824.2,1817.79,85504,1554.29,11623,29949,35.03,,N,,Y,N,N,,,,N,
2023-01-03,APARINDS, EQ,1824.2,1815.2,1840.5,1770.15,1785.0,1788.6,1803.99,70499,1271.79,8396,27940,39.63,,N,,N,N,N,,,,N,
2023-01-04,APARINDS, EQ,1788.6,1797.95,1813.85,1750.0,1784.0,1774.9,1782.19,72086,1284.71,9592,21622,29.99,,N,,N,N,N,,,,N,
2023-01-05,APARINDS, EQ,1774.9,1785.95,1865.0,1785.95,1855.0,1842.2,1842.51,265342,4888.96,28923,85651,32.28,,N,,Y,N,N,,,,N,
2023-01-06,APARINDS, EQ,1842.2,1850.0,1859.0,1815.5,1840.0,1840.65,1835.1,63823,1171.22,7243,18803,29.46,,N,,N,N,N,,,,N,
2023-01-09,APARINDS, EQ,1840.65,1853.55,1865.3,1802.0,1808.9,1815.3,1824.79,78134,1425.78,11126,37585,48.1,,N,,N,N,N,,,,N,
2023-01-10,APARINDS, EQ,1815.3,1802.0,1825.95,1791.05,1810.15,1816.95,1811.85,50333,911.96,7714,13026,25.88,,N,,Y,N,N,,,,N,
2023-01-11,APARINDS, EQ,1816.95,1826.05,1835.0,1800.4,1817.0,1823.65,1823.6,29784,543.14,5973,10900,36.6,,N,,N,N,N,,,,N,
2023-01-12,APARINDS, EQ,1823.65,1801.3,1818.7,1775.0,1790.0,1797.2,1797.82,68978,1240.1,8642,27116,39.31,,N,,N,N,N,,,,N,
2023-01-13,APARINDS, EQ,1797.2,1776.0,1789.65,1672.05,1702.0,1700.45,1710.49,193505,3309.88,22547,71891,37.15,,N,,N,N,N,,,,N,
2023-01-16,APARINDS, EQ,1700.45,1669.95,1690.0,1607.05,1661.9,1652.05,1647.26,216591,3567.81,26635,81015,37.4,,N,,N,N,N,,,,N,
2023-01-17,APARINDS, EQ,1652.05,1612.75,1715.05,1600.0,1714.0,1703.9,1683.72,210351,3541.72,17558,62719,29.82,,N,,Y,N,N,,,,N,
2023-01-18,APARINDS, EQ,1703.9,1703.0,1708.1,1677.15,1695.0,1694.45,1694.98,113997,1932.22,13809,44459,39.0,,N,,N,N,N,,,,N,
2023-01-19,APARINDS, EQ,1694.45,1690.0,1723.95,1676.25,1707.3,1696.2,1699.81,99457,1690.58,10960,33018,33.2,,N,,Y,N,N,,,,N,
2023-01-20,APARINDS, EQ,1696.2,1681.35,1715.0,1669.5,1701.0,1701.65,1695.22,84280,1428.73,11704,35922,42.62,,N,,Y,N,N,,,,N,
2023-01-23,APARINDS, EQ,1701.65,1682.0,1702.95,1551.15,1575.0,1567.1,1610.05,214790,3458.22,20635,101606,47.3,,N,,N,N,N,,,,N,
2023-01-24,APARINDS, EQ,1567.1,1574.95,1636.95,1567.1,1620.0,1618.05,1614.19,133416,2153.58,14603,45064,33.78,,N,,Y,N,N,,,,N,
2023-01-25,APARINDS, EQ,1618.05,1603.3,1612.0,1550.0,1562.0,1570.5,1575.82,128604,2026.57,16162,55389,43.07,,N,,N,N,N,,,,N,
2023-01-27,APARINDS, EQ,1570.5,1545.0,1569.9,1475.0,1500.0,1497.55,1505.02,199859,3007.91,20249,84787,42.42,,N,,N,N,N,,,,N,
2023-01-30,APARINDS, EQ,1497.55,1440.0,1460.0,1373.3,1410.95,1405.7,1419.19,250243,3551.43,33956,139305,55.67,,N,,N,N,N,1706.5625,123.72414868207935,1459.1142026358414,Y,
2023-01-31,APARINDS, EQ,1405.7,1409.9,1686.8,1358.55,1686.8,1686.8,1577.22,993479,15669.37,54858,250100,25.17,,N,,Y,N,N,1699.6924999999999,120.62418178069925,1458.4441364386014,Y,
2023-02-01,APARINDS, EQ,1686.8,1770.0,1999.9,1748.95,1950.0,1946.15,1907.79,1735259,33105.17,106234,264776,15.26,,N,,Y,N,N,1707.5700000000002,131.3992163318777,1444.7715673362447,N,
2023-02-02,APARINDS, EQ,1946.15,1952.85,2047.95,1885.0,2027.0,2015.95,1978.18,714320,14130.54,54244,136666,19.13,,N,,Y,N,N,1719.6225,147.91693390388517,1423.7886321922297,N,
2023-02-03,APARINDS, EQ,2015.95,2016.0,2033.65,1885.4,1932.0,1931.1,1965.27,271478,5335.28,22482,56597,20.85,,N,,N,N,N,1724.0674999999999,153.0413250649366,1417.9848498701267,N,
2023-02-06,APARINDS, EQ,1931.1,1964.0,1989.0,1889.15,1925.0,1928.1,1936.31,129866,2514.6,13496,61771,47.57,,N,,N,N,N,1728.44,157.72506108648952,1412.989877827021,N,
2023-02-07,APARINDS, EQ,1928.1,1937.75,2266.4,1920.0,2199.0,2221.95,2142.5,532800,11415.24,39609,141811,26.62,,N,,Y,N,N,1748.7725000000003,191.9986228534767,1364.7752542930468,N,
2023-02-08,APARINDS, EQ,2221.95,2223.0,2345.0,2130.0,2217.0,2223.35,2241.57,393507,8820.72,34964,81051,20.6,,N,,Y,N,N,1769.0925,219.17591305123403,1330.740673897532,N,
2023-02-09,APARINDS, EQ,2223.35,2223.35,2280.0,2161.05,2205.1,2215.4,2220.65,158529,3520.37,15368,36586,23.08,,N,,N,N,N,1788.6800000000003,240.75145482426475,1307.1770903514707,N,
2023-02-10,APARINDS, EQ,2215.4,2230.0,2275.0,2145.0,2180.0,2173.05,2202.87,94617,2084.29,9530,42011,44.4,,N,,N,N,N,1807.4724999999999,255.65895687470672,1296.1545862505864,N,
2023-02-13,APARINDS, EQ,2173.05,2183.95,2340.0,2150.0,2303.0,2307.5,2276.2,206743,4705.88,19565,55841,27.01,,N,,Y,N,N,1837.825,277.3954750987535,1283.034049802493,N,
2023-02-14,APARINDS, EQ,2307.5,2319.05,2369.0,2263.35,2321.0,2327.35,2314.02,166912,3862.38,19890,48326,28.95,,N,,Y,N,N,1871.5899999999997,294.1837604198043,1283.2224791603912,N,
2023-02-15,APARINDS, EQ,2327.35,2314.95,2339.7,2236.8,2325.0,2316.1,2294.81,128877,2957.48,16123,34467,26.74,,N,,Y,N,N,1902.2,307.3714857678862,1287.4570284642277,N,
2023-02-16,APARINDS, EQ,2316.1,2325.0,2423.85,2321.4,2407.0,2408.95,2380.12,216389,5150.32,20821,50940,23.54,,N,,Y,N,N,1937.925,323.075464746323,1291.7740705073538,N,
2023-02-17,APARINDS, EQ,2408.95,2405.0,2433.6,2368.0,2385.05,2395.15,2395.28,89827,2151.61,10272,24520,27.3,,N,,N,N,N,1972.8725000000002,333.19620680653486,1306.4800863869305,N,
2023-02-20,APARINDS, EQ,2395.15,2405.0,2419.7,2304.0,2330.0,2324.0,2340.49,86587,2026.56,12642,25063,28.95,,N,,N,N,N,2003.9900000000002,335.5856964049256,1332.8186071901491,N,
2023-02-21,APARINDS, EQ,2324.0,2334.0,2355.95,2253.0,2284.0,2289.0,2293.91,105197,2413.12,12525,27322,25.97,,N,,N,N,N,2040.0850000000003,324.7702248878184,1390.5445502243633,N,
2023-02-22,APARINDS, EQ,2289.0,2280.0,2397.0,2246.05,2294.0,2299.8,2332.31,192771,4496.02,20456,49378,25.61,,N,,Y,N,N,2074.1724999999997,313.73282862425935,1446.706842751481,N,
2023-02-23,APARINDS, EQ,2299.8,2305.0,2316.9,2239.95,2255.0,2261.05,2264.01,98781,2236.41,11478,43106,43.64,,N,,N,N,N,2108.7,292.6765517552924,1523.346896489415,N,
2023-02-24,APARINDS, EQ,2261.05,2273.4,2285.95,2236.95,2264.0,2267.55,2264.23,85109,1927.06,11241,30249,35.54,,N,,N,N,N,2147.2,256.45515818149306,1634.2896836370137,N,
2023-02-27,APARINDS, EQ,2267.55,2278.8,2313.85,2148.65,2159.95,2158.85,2216.55,96699,2143.38,11110,31836,32.92,,N,,N,N,N,2184.8575,188.00440103681188,1808.8486979263762,N,
2023-02-28,APARINDS, EQ,2158.85,2164.95,2335.0,2100.0,2320.0,2299.7,2243.41,143014,3208.39,12559,48261,33.75,,N,,Y,N,N,2215.5024999999996,148.30847074061847,1918.8855585187625,N,
2023-03-01,APARINDS, EQ,2299.7,2320.0,2384.35,2309.0,2342.0,2368.5,2351.36,117767,2769.12,13552,43470,36.91,,N,,Y,N,N,2236.62,137.62097778433198,1961.3780444313359,N,
