DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,ATGL, EQ,3692.85,3700.0,3730.0,3530.0,3549.85,3550.6,3610.8,332645,12011.13,33851,77130,23.19,,N,,N,N,N,,,,N,
2023-01-03,ATGL, EQ,3550.6,3568.0,3650.0,3502.0,3583.85,3598.65,3578.39,307015,10986.19,26920,49281,16.05,,N,,Y,N,N,,,,N,
2023-01-04,ATGL, EQ,3598.65,3584.95,3599.95,3450.0,3482.0,3477.3,3529.15,365884,12912.6,25388,146776,40.12,,N,,N,N,N,,,,N,
2023-01-05,ATGL, EQ,3477.3,3509.9,3669.95,3472.05,3643.0,3633.7,3570.36,468166,16715.22,37935,155197,33.15,,N,,Y,N,N,,,,N,
2023-01-06,ATGL, EQ,3633.7,3626.0,3629.95,3521.0,3542.0,3555.4,3567.15,283873,10126.18,22810,69962,24.65,,N,,N,N,N,,,,N,
2023-01-09,ATGL, EQ,3555.4,3591.0,3666.0,3576.6,3644.0,3629.0,3609.78,471678,17026.55,28083,129607,27.48,,N,,Y,N,N,,,,N,
2023-01-10,ATGL, EQ,3629.0,3630.0,3699.0,3490.0,3649.0,3656.4,3621.39,445188,16121.99,36490,103619,23.28,,N,,Y,N,N,,,,N,
2023-01-11,ATGL, EQ,3656.4,3656.4,3668.0,3572.55,3580.0,3616.5,3616.39,302285,10931.82,26915,83210,27.53,,N,,N,N,N,,,,N,
2023-01-12,ATGL, EQ,3616.5,3599.0,3675.0,3552.0,3665.0,3649.05,3618.6,453399,16406.68,36158,120454,26.57,,N,,Y,N,N,,,,N,
2023-01-13,ATGL, EQ,3649.05,3649.95,3742.0,3615.6,3683.0,3715.1,3692.1,566844,20928.43,35616,184151,32.49,,N,,Y,N,N,,,,N,
2023-01-16,ATGL, EQ,3715.1,3693.7,3739.9,3652.0,3720.0,3730.7,3706.87,180696,6698.16,15520,38895,21.53,,N,,Y,N,N,,,,N,
2023-01-17,ATGL, EQ,3730.7,3727.7,3899.0,3695.05,3886.0,3850.0,3775.61,732003,27637.61,42023,225512,30.81,,N,,Y,N,N,,,,N,
2023-01-18,ATGL, EQ,3850.0,3862.15,3884.0,3776.0,3785.0,3805.45,3818.46,487214,18604.05,27205,114178,23.43,,N,,N,N,N,,,,N,
2023-01-19,ATGL, EQ,3805.45,3785.0,3879.0,3735.0,3848.0,3835.55,3811.28,461226,17578.63,29282,100619,21.82,,N,,Y,N,N,,,,N,
2023-01-20,ATGL, EQ,3835.55,3835.55,3935.0,3802.0,3912.0,3918.9,3883.53,447521,17379.6,26107,181214,40.49,,N,,Y,N,N,,,,N,
2023-01-23,ATGL, EQ,3918.9,3939.0,4000.0,3865.15,3894.5,3901.1,3921.81,564577,22141.66,27122,231234,40.96,,N,,N,N,N,,,,N,
2023-01-24,ATGL, EQ,3901.1,3936.0,3940.0,3851.0,3860.0,3891.75,3890.24,350178,13622.76,17061,154688,44.17,,N,,N,N,N,,,,N,
2023-01-25,ATGL, EQ,3891.75,3870.0,3884.85,3600.0,3740.0,3660.0,3723.88,515358,19191.31,33359,199132,38.64,,N,,N,N,N,,,,N,
2023-01-27,ATGL, EQ,3660.0,3477.0,3477.0,2928.0,2928.0,2928.0,3035.09,1237800,37568.4,73715,499208,40.33,,N,,N,N,N,,,,N,
2023-01-30,ATGL, EQ,2928.0,2501.0,2538.0,2342.4,2342.4,2342.4,2400.3,1888555,45331.0,62364,683716,36.2,,N,,N,N,N,3597.2775,365.0462438171362,2867.1850123657277,N,
2023-01-31,ATGL, EQ,2342.4,2145.0,2155.0,2108.2,2108.2,2108.2,2118.43,531326,11255.76,18380,280094,52.72,,N,,N,N,N,3525.1575,494.3397279718836,2536.4780440562326,N,
2023-02-01,ATGL, EQ,2108.2,1951.0,1998.8,1897.4,1897.4,1897.4,1936.99,1570400,30418.45,41140,712351,45.36,,N,,N,N,N,3440.095,613.1259130365004,2213.843173926999,N,
2023-02-02,ATGL, EQ,1897.4,1707.7,1707.7,1707.7,1707.7,1707.7,1707.7,64276,1097.64,5164,64276,100.0,,N,,N,N,N,3351.6150000000002,724.9601925732127,1901.6946148535749,N,
2023-02-03,ATGL, EQ,1707.7,1622.35,1622.35,1622.35,1622.35,1622.35,1622.35,62458,1013.29,4907,62222,99.62,,N,,N,N,N,3251.0474999999997,817.3863155260251,1616.2748689479495,Y,
2023-02-06,ATGL, EQ,1622.35,1541.25,1541.25,1541.25,1541.25,1541.25,1541.25,77660,1196.93,4354,74660,96.14,,N,,N,N,N,3150.3399999999997,898.0160713308094,1354.307857338381,N,
2023-02-07,ATGL, EQ,1541.25,1464.2,1519.0,1464.2,1464.2,1464.2,1465.81,3561024,52197.71,43208,1714603,48.15,,N,,N,N,N,3042.1,965.2340641959394,1111.6318716081212,N,
2023-02-08,ATGL, EQ,1464.2,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0,420769,5852.9,21567,407775,96.91,,N,,N,N,N,2928.83,1020.681507028257,887.466985943486,N,
2023-02-09,ATGL, EQ,1391.0,1321.45,1321.45,1321.45,1321.45,1321.45,1321.45,200127,2644.58,8869,200053,99.96,,N,,N,N,N,2814.0775,1067.2503220247077,679.5768559505846,N,
2023-02-10,ATGL, EQ,1321.45,1255.4,1255.4,1255.4,1255.4,1255.4,1255.4,51732,649.44,5522,51390,99.34,,N,,N,N,N,2694.395,1102.3243434359867,489.7463131280265,N,
2023-02-13,ATGL, EQ,1255.4,1192.65,1192.65,1192.65,1192.65,1192.65,1192.65,44997,536.66,3473,30983,68.86,,N,,N,N,N,2568.2725,1123.493654735203,321.2851905295938,N,
2023-02-14,ATGL, EQ,1192.65,1133.05,1133.05,1133.05,1133.05,1133.05,1133.05,52107,590.4,2921,52103,99.99,,N,,N,N,N,2438.39,1132.1558035795904,174.0783928408191,N,
2023-02-15,ATGL, EQ,1133.05,1076.4,1076.4,1076.4,1076.4,1076.4,1076.4,74780,804.93,4029,74587,99.74,,N,,N,N,N,2299.71,1119.9504130940236,59.80917381195286,N,
2023-02-16,ATGL, EQ,1076.4,1022.6,1130.2,1022.6,1022.6,1022.6,1054.03,5922981,62430.22,143924,1749224,29.53,,N,,N,N,N,2160.5675,1095.6380963759264,-30.708692751852595,N,
2023-02-17,ATGL, EQ,1022.6,992.3,1015.4,971.5,971.5,971.5,986.53,1300386,12828.74,41569,444923,34.21,,N,,N,N,N,2017.3649999999998,1051.4703977738686,-85.57579554773747,N,
2023-02-20,ATGL, EQ,971.5,922.95,922.95,922.95,922.95,922.95,922.95,68313,630.49,5671,68313,100.0,,N,,N,N,N,1867.5674999999999,977.0883967545459,-86.60929350909191,N,
2023-02-21,ATGL, EQ,922.95,876.8,876.8,876.8,876.8,876.8,876.8,124311,1089.96,5905,124284,99.98,,N,,N,N,N,1716.3524999999997,874.4435599846823,-32.53461996936494,N,
2023-02-22,ATGL, EQ,876.8,833.0,833.0,833.0,833.0,833.0,833.0,61103,508.99,3818,61103,100.0,,N,,N,N,N,1563.415,729.4027488475185,104.60950230496292,N,
2023-02-23,ATGL, EQ,833.0,791.35,791.35,791.35,791.35,791.35,791.35,52041,411.83,3836,52041,100.0,,N,,N,N,N,1419.9824999999998,557.1306702709692,305.7211594580615,N,
2023-02-24,ATGL, EQ,791.35,751.8,751.8,751.8,751.8,751.8,751.8,141442,1063.36,4874,115942,81.97,,N,,N,N,N,1311.1725,449.1545181534211,412.86346369315766,N,
2023-02-27,ATGL, EQ,751.8,714.25,714.25,714.25,714.25,714.25,714.25,174885,1249.12,6297,134960,77.17,,N,,N,N,N,1229.765,396.92227367849426,435.9204526430116,N,
2023-02-28,ATGL, EQ,714.25,678.55,678.55,678.55,678.55,678.55,678.55,908341,6163.55,15933,862225,94.92,,N,,N,N,N,1158.2825,357.13726583950324,444.00796832099354,N,
2023-03-01,ATGL, EQ,678.55,650.0,712.45,650.0,712.45,711.65,695.73,7387370,51396.41,158339,2305052,31.2,,N,,Y,N,N,1098.995,324.9517587273535,449.09148254529293,N,
2023-03-02,ATGL, EQ,711.65,712.0,747.2,681.15,739.1,744.1,727.64,4153555,30222.95,124434,1493530,35.96,,N,,Y,N,N,1050.815,300.46294985712,449.88910028576004,N,
2023-03-03,ATGL, EQ,744.1,773.0,781.3,755.3,781.3,781.3,779.18,3487589,27174.56,39649,1506796,43.2,,N,,Y,N,N,1008.7625,273.9477019216587,460.8670961566827,N,
2023-03-06,ATGL, EQ,781.3,802.8,820.35,796.95,820.35,820.35,817.33,3148255,25731.65,56160,1412420,44.86,,N,,Y,N,N,972.7175,246.2210192804959,480.27546143900815,N,
2023-03-08,ATGL, EQ,820.35,848.0,861.35,836.8,861.35,861.35,856.31,1438542,12318.4,24528,755467,52.52,,N,,Y,N,N,942.575,218.19200652298497,506.1909869540301,N,
2023-03-09,ATGL, EQ,861.35,904.4,904.4,883.2,904.4,904.4,902.3,1261116,11379.09,21513,765464,60.7,,N,,N,N,N,918.2449999999999,190.99196104603593,536.261077907928,N,
2023-03-10,ATGL, EQ,904.4,910.0,949.6,865.55,949.6,949.6,937.48,2504584,23480.04,51157,933393,37.27,,N,,Y,N,N,899.6525000000001,166.16033749538096,567.3318250092382,N,
2023-03-13,ATGL, EQ,949.6,997.05,997.05,997.05,997.05,997.05,997.05,467738,4663.58,9974,434466,92.89,,N,,N,N,N,886.735,145.8493545986476,595.0362908027048,N,
2023-03-14,ATGL, EQ,997.05,947.2,995.0,947.2,947.2,947.2,950.97,873555,8307.23,15628,596672,68.3,2098.728,N,,N,N,N,874.4625,127.98610006250858,618.4902998749828,N,
2023-03-15,ATGL, EQ,947.2,899.85,989.0,899.85,899.85,919.85,931.33,6326072,58916.34,131306,1393080,22.02,2046.1129999999998,N,,Y,N,N,863.8025,113.35742549332008,637.0876490133599,N,
2023-03-16,ATGL, EQ,919.85,899.0,936.0,880.0,886.0,888.4,900.77,2559661,23056.7,83110,726781,28.39,1991.908,N,,N,N,N,854.4024999999999,102.02898256326316,650.3445348734735,N,
2023-03-17,ATGL, EQ,888.4,911.8,925.0,890.0,896.95,897.75,903.3,1412300,12757.33,47712,555273,39.32,1940.3169999999998,N,,N,N,N,848.1600000000001,94.75663648470565,658.6467270305887,N,
2023-03-20,ATGL, EQ,897.75,879.0,879.0,852.9,852.9,852.9,860.78,1126835,9699.62,32981,416068,36.92,1884.701,N,,N,N,N,842.2299999999999,90.23478060913573,661.7604387817285,N,
2023-03-21,ATGL, EQ,852.9,853.0,895.5,816.75,893.9,890.8,872.59,2290508,19986.71,70169,802565,35.04,1831.4090000000003,N,,Y,N,N,840.6225000000001,88.99900720173592,662.6244855965282,N,
2023-03-22,ATGL, EQ,890.8,906.7,935.3,905.0,935.3,935.3,930.89,1938364,18043.99,42201,856136,44.17,1777.535,N,,Y,N,N,843.5475,91.18504822467743,661.1774035506452,N,
2023-03-23,ATGL, EQ,935.3,955.0,982.05,954.05,982.05,982.05,978.41,1440643,14095.35,25998,613076,42.56,1724.0479999999998,N,,Y,N,N,851.0,96.22901548416957,658.5419690316609,N,
2023-03-24,ATGL, EQ,982.05,1018.0,1031.15,944.0,1006.0,1007.45,1000.28,5023306,50246.95,146225,1283936,25.56,1671.8669999999997,N,,N,N,N,861.805,101.18351345321415,659.4379730935716,N,
2023-03-27,ATGL, EQ,1007.45,1027.6,1040.0,957.1,957.1,957.85,989.19,2103482,20807.49,72936,722894,34.37,1618.043,N,,N,N,N,872.1075000000001,99.87483650602486,672.3578269879504,N,
2023-03-28,ATGL, EQ,957.85,925.0,928.95,909.95,909.95,909.95,913.38,267731,2445.4,9525,137965,51.53,1561.94,N,,N,N,N,881.8924999999999,92.94107255194123,696.0103548961174,N,
2023-03-29,ATGL, EQ,909.95,864.45,929.95,864.45,874.0,871.7,890.56,2997429,26693.8,92430,668129,22.29,1504.76,N,,Y,N,N,891.55,79.80673530473445,731.9365293905311,N,
2023-03-31,ATGL, EQ,871.7,888.0,910.0,858.55,873.8,867.75,881.97,1196845,10555.84,48423,454766,38.0,1445.115,N,,N,N,N,899.3549999999999,68.05464309926528,763.2457138014694,N,
2023-04-03,ATGL, EQ,867.75,872.95,884.2,837.1,848.0,845.35,859.87,973799,8373.44,44223,285611,29.33,1385.9129999999998,N,,N,N,N,904.4175000000001,59.07047591648435,786.2765481670315,N,
2023-04-05,ATGL, EQ,845.35,844.2,858.8,805.0,826.0,821.95,824.72,1020119,8413.17,44621,359410,35.23,1325.641,N,,N,N,N,906.45,55.18268702562769,796.0846259487447,N,
2023-04-06,ATGL, EQ,821.95,840.0,863.0,812.45,863.0,863.0,842.62,909084,7660.08,26555,290037,31.9,1264.523,N,,Y,N,N,908.5824999999999,52.436021856714625,803.7104562865707,N,
2023-04-10,ATGL, EQ,863.0,869.4,906.15,869.4,906.15,906.15,900.54,1170526,10541.09,20690,400614,34.23,1204.624,N,,Y,N,N,910.8225,51.255730039109444,808.3110399217811,N,
2023-04-11,ATGL, EQ,906.15,924.3,951.45,920.0,951.45,951.45,946.22,378154,3578.17,6684,266620,70.51,1145.818,N,,Y,N,N,913.175,52.019483950980124,809.1360320980397,N,
2023-04-12,ATGL, EQ,951.45,994.0,994.0,926.05,937.75,938.85,957.93,2780423,26634.4,94424,968100,34.82,1091.395,N,,N,N,N,912.6375,51.6777231732241,809.2820536535519,N,
2023-04-13,ATGL, EQ,938.85,937.75,946.0,903.0,913.25,914.15,918.46,1339083,12298.92,51473,474900,35.46,1051.118,N,,N,N,N,908.4925000000001,47.72418088128316,813.0441382374338,N,
2023-04-17,ATGL, EQ,914.15,926.6,959.0,908.35,947.95,946.8,935.05,999923,9349.81,47815,428456,42.85,1023.2059999999999,N,,Y,N,N,908.4725000000001,47.7071865793378,813.0581268413245,N,
2023-04-18,ATGL, EQ,946.8,954.0,972.0,938.0,948.9,948.05,954.35,762628,7278.11,29581,278189,36.48,1000.003,N,,N,N,N,909.8824999999999,48.47175323672608,812.9389935265477,N,
2023-04-19,ATGL, EQ,948.05,954.4,954.4,924.0,930.0,930.35,934.11,531461,4964.41,27508,243693,45.85,980.6619999999999,N,,N,N,N,911.9800000000001,48.40081393399956,815.178372132001,N,
2023-04-20,ATGL, EQ,930.35,932.0,939.0,920.7,927.65,928.2,930.43,346506,3223.99,17981,116468,33.61,965.072,N,,N,N,N,913.5024999999999,48.40855316715018,816.6853936656996,N,
2023-04-21,ATGL, EQ,928.2,931.8,932.0,908.0,917.0,917.8,917.67,314017,2881.64,18124,163424,52.04,950.9810000000001,N,,N,N,N,916.7475000000001,46.259893607518315,824.2277127849634,N,
2023-04-24,ATGL, EQ,917.8,919.0,922.85,889.0,891.0,891.15,898.07,384326,3451.5,23610,190759,49.63,937.979,N,,N,N,N,916.765,46.24962617203082,824.2657476559383,N,
2023-04-25,ATGL, EQ,891.15,895.0,935.7,890.0,935.7,935.25,927.08,730197,6769.49,18354,229313,31.4,927.4,N,,Y,N,Y,916.7625,46.24857287983078,824.2653542403385,N,
2023-04-26,ATGL, EQ,935.25,945.0,946.85,915.4,917.0,920.05,927.54,507582,4708.04,27885,240111,47.3,917.9809999999999,N,,N,N,Y,913.6625,43.646805740119795,826.3688885197604,N,
2023-04-27,ATGL, EQ,920.05,915.0,925.0,910.0,918.0,917.1,917.81,231717,2126.72,13307,99692,43.02,909.8940000000001,N,,Y,N,Y,909.1450000000001,37.699221337762985,833.7465573244741,N,
2023-04-28,ATGL, EQ,917.1,925.0,952.85,917.35,943.2,945.0,937.09,1123964,10532.61,43718,403097,35.86,903.686,N,,Y,N,N,908.5024999999999,36.92705638716701,834.6483872256659,N,
2023-05-02,ATGL, EQ,945.0,950.0,990.0,941.2,957.0,959.05,965.52,1279904,12357.76,46356,498489,38.95,899.0139999999999,N,,Y,N,N,910.9575000000001,38.62161678250534,833.7142664349894,N,
2023-05-03,ATGL, EQ,959.05,958.0,958.0,915.85,925.0,922.95,936.65,716246,6708.74,33247,350822,48.98,894.8120000000001,N,,N,N,N,913.5200000000001,37.5655896575011,838.3888206849979,N,
2023-05-04,ATGL, EQ,922.95,916.0,935.0,911.7,932.95,930.2,926.21,335815,3110.37,17759,160911,47.92,891.888,N,,Y,N,N,916.6425000000002,36.12888214434495,844.3847357113102,N,
2023-05-05,ATGL, EQ,930.2,938.0,939.0,915.4,921.0,918.8,923.64,288689,2666.44,15575,156336,54.15,889.8120000000001,N,,N,N,N,920.3149999999999,31.99746330406064,856.3200733918786,N,
2023-05-08,ATGL, EQ,918.8,880.0,887.8,872.9,872.9,872.9,873.85,1276025,11150.57,26918,606814,47.56,887.84,N,,N,N,Y,922.8625,25.021705708822505,872.819088582355,Y,
2023-05-09,ATGL, EQ,872.9,839.0,883.35,839.0,844.0,845.1,857.55,1024558,8786.06,51335,552767,53.95,886.283,N,,Y,N,Y,921.9675000000001,27.47544010949595,867.0166197810082,Y,
2023-05-10,ATGL, EQ,845.1,846.6,858.95,835.0,838.4,836.1,840.39,565081,4748.9,36123,353777,62.61,885.469,N,,N,N,N,918.4649999999999,33.41980227665173,851.6253954466964,Y,
2023-05-11,ATGL, EQ,836.1,845.85,859.3,837.6,856.0,855.05,850.69,609709,5186.72,29748,350155,57.43,885.91,Y,,Y,N,N,913.6449999999999,35.31034178313872,843.0243164337224,Y,
2023-05-12,ATGL, EQ,855.05,812.3,860.0,812.3,819.3,818.35,815.8,2633802,21486.57,43395,1793162,68.08,886.45,Y,,Y,N,N,907.6200000000001,40.6586671021847,826.3026657956307,Y,
2023-05-15,ATGL, EQ,818.35,832.05,837.25,777.45,777.45,777.45,783.62,1709838,13398.64,61788,830162,48.55,886.9630000000001,Y,,N,N,N,900.7850000000001,49.93504227862809,800.9149154427439,Y,
2023-05-16,ATGL, EQ,777.45,752.25,777.45,738.6,738.6,738.6,749.1,1876603,14057.61,64820,966818,51.52,887.45,Y,,N,N,N,890.375,60.43521651104416,769.5045669779117,Y,
2023-05-17,ATGL, EQ,738.6,711.7,722.9,701.7,701.7,701.7,706.45,1677460,11850.35,49180,912970,54.43,887.913,Y,,N,N,N,878.0575000000001,72.05017490573704,733.957150188526,N,
2023-05-18,ATGL, EQ,701.7,671.0,682.7,666.65,666.65,666.65,670.55,2968685,19906.47,53650,1433512,48.29,887.0129999999999,N,,N,N,N,864.8724999999998,84.95047082518714,694.9715583496255,N,
2023-05-19,ATGL, EQ,666.65,633.35,699.95,633.35,699.1,688.1,661.23,11382817,75266.66,161067,3711960,32.61,885.893,N,,Y,N,N,852.8675,92.18711274673296,668.493274506534,Y,
2023-05-22,ATGL, EQ,688.1,722.45,722.5,711.6,722.5,722.5,722.18,701988,5069.62,9913,488277,69.56,884.7170000000001,N,,Y,N,N,843.1025,95.24018456816874,652.6221308636625,N,
2023-05-23,ATGL, EQ,722.5,758.6,758.6,758.6,758.6,758.6,758.6,228579,1734.0,2672,228578,100.0,883.482,N,,N,N,N,836.475,96.32641805750575,643.8221638849885,N,
2023-05-24,ATGL, EQ,758.6,796.5,796.5,759.0,796.5,796.5,787.93,6317589,49778.02,124579,2659044,42.09,882.185,N,,N,N,N,829.5375,93.80150357200203,641.9344928559959,N,
2023-05-25,ATGL, EQ,796.5,811.4,823.4,770.05,797.8,796.4,792.55,4017123,31837.85,131878,1595737,39.72,880.025,N,,N,N,N,823.3549999999999,91.57017283281421,640.2146543343715,N,
2023-05-26,ATGL, EQ,796.4,803.95,806.65,756.6,762.7,760.7,772.66,2595733,20056.08,119521,1446059,55.71,876.247,N,,N,N,N,815.535,89.80426390650588,635.9264721869882,N,
2023-05-29,ATGL, EQ,760.7,732.2,766.45,725.0,730.0,729.2,740.74,2630741,19487.07,93285,1406069,53.45,870.89,N,,N,N,N,804.745,86.32721547448881,632.0905690510224,N,
