DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,AXISBANK, EQ,933.75,932.25,945.0,931.8,944.95,941.6,938.8,3498198,32841.24,104517,1624181,46.43,,N,,Y,N,N,,,,N,
2023-01-03,AXISBANK, EQ,941.6,944.75,965.6,942.6,962.4,962.3,957.1,6927819,66306.32,155837,2468372,35.63,,N,,Y,N,N,,,,N,
2023-01-04,AXISBANK, EQ,962.3,963.5,970.0,955.0,958.6,957.45,963.04,9059392,87245.58,216354,4227420,46.66,,N,,N,N,N,,,,N,
2023-01-05,AXISBANK, EQ,957.45,960.0,961.9,938.25,949.0,949.55,948.38,6998980,66376.95,162367,4031954,57.61,,N,,N,N,N,,,,N,
2023-01-06,AXISBANK, EQ,949.55,946.55,950.95,934.3,941.0,939.9,940.49,5787783,54433.36,139498,3538528,61.14,,N,,N,N,N,,,,N,
2023-01-09,AXISBANK, EQ,939.9,946.8,960.0,941.35,957.1,958.75,953.36,7025747,66980.48,168838,4571488,65.07,,N,,Y,N,N,,,,N,
2023-01-10,AXISBANK, EQ,958.75,964.0,964.0,942.75,953.0,952.15,951.67,7140150,67950.84,164023,4138716,57.96,,N,,N,N,N,,,,N,
2023-01-11,AXISBANK, EQ,952.15,953.0,955.75,942.8,949.3,949.75,949.11,7100355,67390.17,165275,4389339,61.82,,N,,N,N,N,,,,N,
2023-01-12,AXISBANK, EQ,949.75,949.35,949.7,924.0,935.0,935.55,932.78,8661375,80791.29,190542,4721943,54.52,,N,,N,N,N,,,,N,
2023-01-13,AXISBANK, EQ,935.55,935.5,937.45,923.0,933.9,934.15,930.31,9083608,84505.32,260249,5876038,64.69,,N,,N,N,N,,,,N,
2023-01-16,AXISBANK, EQ,934.15,940.45,941.75,911.7,912.85,913.15,921.48,10008273,92224.15,248003,6672508,66.67,,N,,N,N,N,,,,N,
2023-01-17,AXISBANK, EQ,913.15,914.95,919.7,906.7,918.6,917.7,913.5,6904960,63076.64,173318,3883097,56.24,,N,,Y,N,N,,,,N,
2023-01-18,AXISBANK, EQ,917.7,921.9,925.6,913.25,925.45,924.0,920.01,5730939,52725.06,156462,3384383,59.05,,N,,Y,N,N,,,,N,
2023-01-19,AXISBANK, EQ,924.0,923.6,938.0,920.75,929.25,928.7,929.97,7721730,71809.77,200912,4188866,54.25,,N,,Y,N,N,,,,N,
2023-01-20,AXISBANK, EQ,928.7,931.25,934.85,924.65,929.5,930.55,930.62,4511360,41983.47,123210,2221863,49.25,,N,,N,N,N,,,,N,
2023-01-23,AXISBANK, EQ,930.55,936.0,939.7,924.45,930.0,932.7,932.22,5236124,48812.41,171818,2830172,54.05,,N,,N,N,N,,,,N,
2023-01-24,AXISBANK, EQ,932.7,935.0,935.0,903.75,910.3,910.2,916.33,18527897,169776.24,385048,9565830,51.63,,N,,N,N,N,,,,N,
2023-01-25,AXISBANK, EQ,910.2,905.0,907.45,884.2,893.0,892.35,895.39,11921748,106746.66,224625,6305290,52.89,,N,,N,N,N,,,,N,
2023-01-27,AXISBANK, EQ,892.35,892.35,892.5,851.0,874.0,873.75,870.06,17300736,150526.49,326106,10611480,61.34,,N,,N,N,N,,,,N,
2023-01-30,AXISBANK, EQ,873.75,851.9,885.5,846.15,873.1,871.85,866.52,21233998,183996.95,446773,12623042,59.45,,N,,Y,N,N,928.805,26.131065903693184,876.5428681926136,Y,
2023-01-31,AXISBANK, EQ,871.85,873.0,879.3,861.1,871.65,871.6,870.75,16856151,146775.36,332502,11093681,65.81,,N,,N,N,N,925.3050000000001,28.871329340623284,867.5623413187535,Y,
2023-02-01,AXISBANK, EQ,871.6,876.3,895.2,833.3,857.3,857.25,872.55,12409819,108282.27,287952,5949613,47.94,,N,,N,N,N,920.0525,31.24487105278657,857.5627578944269,Y,
2023-02-02,AXISBANK, EQ,857.25,850.95,872.0,837.05,869.45,868.45,859.98,9567053,82274.72,264062,4985312,52.11,,N,,Y,N,N,915.6025000000002,31.967740626911212,851.6670187461777,Y,
2023-02-03,AXISBANK, EQ,868.45,873.0,885.0,859.25,881.95,882.6,874.44,7365732,64408.85,202269,3503402,47.56,,N,,Y,N,N,912.2549999999999,31.73028563243302,848.7944287351338,N,
2023-02-06,AXISBANK, EQ,882.6,871.85,899.15,870.6,882.15,882.65,888.26,10129098,89972.61,199769,6102757,60.25,,N,,Y,N,N,909.3925000000002,31.68740524744469,846.0176895051108,N,
2023-02-07,AXISBANK, EQ,882.65,886.85,888.4,871.5,879.4,879.1,879.38,5055187,44454.21,142817,2763533,54.67,,N,,N,N,N,905.4100000000001,30.124310867854774,845.1613782642905,N,
2023-02-08,AXISBANK, EQ,879.1,882.1,886.45,868.25,871.8,871.75,874.42,6572818,57473.8,174669,4138276,62.96,,N,,N,N,N,901.39,28.898340873883278,843.5933182522334,N,
2023-02-09,AXISBANK, EQ,871.75,876.15,876.15,862.55,867.3,867.7,867.2,5993312,51974.19,176299,3423881,57.13,,N,,N,N,N,897.2875,27.45990797604075,842.3676840479185,N,
2023-02-10,AXISBANK, EQ,867.7,872.05,872.7,865.15,866.0,867.25,868.2,4603464,39967.13,129143,2694606,58.53,,N,,N,N,N,893.8725000000001,26.687146891537907,840.4982062169242,N,
2023-02-13,AXISBANK, EQ,867.25,867.25,870.45,856.5,858.0,859.1,860.73,5707194,49123.3,156686,2818004,49.38,,N,,N,N,N,890.1199999999999,25.99301221887377,838.1339755622523,N,
2023-02-14,AXISBANK, EQ,859.1,862.55,871.9,854.25,869.1,870.75,863.53,7527755,65004.42,170109,3949211,52.46,,N,,Y,N,N,888.0,25.743701324687787,836.5125973506244,N,
2023-02-15,AXISBANK, EQ,870.75,872.0,872.2,861.6,868.5,868.3,866.67,7322266,63459.58,160938,3588437,49.01,,N,,N,N,N,885.53,25.10609802208881,835.3178039558223,N,
2023-02-16,AXISBANK, EQ,868.3,872.8,874.3,862.25,862.6,864.75,866.91,5843235,50655.83,163095,3377643,57.8,,N,,N,N,N,882.5674999999999,23.78892530370503,834.9896493925899,N,
2023-02-17,AXISBANK, EQ,864.75,861.0,868.25,850.0,856.5,854.9,859.26,8420479,72354.1,166323,3748856,44.52,,N,,N,N,N,878.8774999999999,21.905667825810067,835.0661643483799,N,
2023-02-20,AXISBANK, EQ,854.9,859.7,861.2,842.5,844.8,846.75,849.72,5992322,50917.94,147541,1682130,28.07,,N,,N,N,N,874.6875,19.369420249183175,835.9486595016336,Y,
2023-02-21,AXISBANK, EQ,846.75,849.0,849.0,837.4,843.4,844.05,842.0,9677064,81481.3,204593,4223311,43.64,,N,,N,N,N,870.2549999999999,15.058796170519622,840.1374076589607,Y,
2023-02-22,AXISBANK, EQ,844.05,840.0,843.0,829.55,832.35,833.35,834.91,6984037,58310.52,205666,2421365,34.67,,N,,N,N,N,866.4125,14.104234853031421,838.2040302939372,Y,
2023-02-23,AXISBANK, EQ,833.35,833.05,848.25,830.2,846.5,844.35,840.49,8437003,70912.15,226104,4381505,51.93,,N,,Y,N,N,864.0125,13.53058791074942,836.9513241785012,Y,
2023-02-24,AXISBANK, EQ,844.35,850.1,854.6,844.45,849.65,851.4,850.19,7763814,66007.09,170251,3960680,51.01,,N,,Y,N,N,862.8950000000001,13.606769793397628,835.6814604132048,N,
2023-02-27,AXISBANK, EQ,851.4,851.85,858.45,845.95,854.0,854.35,853.1,8064267,68796.1,169993,2211005,27.42,,N,,Y,N,N,862.0200000000001,13.563208749368227,834.8935825012636,N,
2023-02-28,AXISBANK, EQ,854.35,855.95,857.6,840.0,845.0,844.1,848.23,13012372,110375.13,177413,5593773,42.99,,N,,N,N,N,860.6449999999999,13.929879849861234,832.7852403002775,Y,
2023-03-01,AXISBANK, EQ,844.1,846.05,868.75,845.05,864.4,865.15,862.53,12345125,106480.21,221535,5679946,46.01,,N,,Y,N,N,861.04,13.94054669319874,833.1589066136025,N,
2023-03-02,AXISBANK, EQ,865.15,866.0,866.8,843.5,844.0,845.45,850.55,13900508,118231.02,257701,6477524,46.6,,N,,N,N,N,859.89,14.242501258741525,831.4049974825169,N,
