DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,BSE, EQ,544.9,544.0,562.4,544.0,558.0,556.1,555.56,667710,3709.51,22237,197261,29.54,,N,,Y,N,N,,,,N,
2023-01-03,BSE, EQ,556.1,559.0,571.0,553.35,566.5,565.55,560.92,421790,2365.9,14841,146093,34.64,,N,,Y,N,N,,,,N,
2023-01-04,BSE, EQ,565.55,567.0,567.0,550.0,550.1,550.8,554.06,414931,2298.95,25622,212001,51.09,,N,,N,N,N,,,,N,
2023-01-05,BSE, EQ,550.8,554.3,556.4,543.8,548.85,547.3,547.85,249947,1369.34,11753,115876,46.36,,N,,N,N,N,,,,N,
2023-01-06,BSE, EQ,547.3,548.0,548.85,540.2,541.5,542.0,543.1,263709,1432.2,14622,127105,48.2,,N,,N,N,N,,,,N,
2023-01-09,BSE, EQ,542.0,542.1,551.8,535.0,539.2,538.2,541.85,329956,1787.88,14481,148266,44.94,,N,,N,N,N,,,,N,
2023-01-10,BSE, EQ,538.2,536.0,542.0,535.15,538.15,537.55,537.81,269663,1450.27,11339,102263,37.92,,N,,Y,N,N,,,,N,
2023-01-11,BSE, EQ,537.55,540.0,547.0,535.05,535.6,536.2,540.51,418861,2263.98,18212,163168,38.96,,N,,N,N,N,,,,N,
2023-01-12,BSE, EQ,536.2,538.0,538.95,531.0,533.3,532.5,533.56,245983,1312.47,11146,120177,48.86,,N,,N,N,N,,,,N,
2023-01-13,BSE, EQ,532.5,534.3,539.6,532.0,534.0,534.4,535.31,278352,1490.04,12776,120038,43.12,,N,,Y,N,N,,,,N,
2023-01-16,BSE, EQ,534.4,536.5,537.95,531.35,534.0,534.6,534.38,194506,1039.4,8660,91143,46.86,,N,,N,N,N,,,,N,
2023-01-17,BSE, EQ,534.6,535.0,537.3,527.75,531.0,530.9,531.82,236380,1257.11,12442,119080,50.38,,N,,N,N,N,,,,N,
2023-01-18,BSE, EQ,530.9,531.0,533.5,525.25,526.1,526.85,529.36,242947,1286.07,13423,134093,55.19,,N,,N,N,N,,,,N,
2023-01-19,BSE, EQ,526.85,526.85,528.0,518.1,519.8,519.8,521.38,449829,2345.3,20429,276104,61.38,,N,,N,N,N,,,,N,
2023-01-20,BSE, EQ,519.8,521.0,527.8,520.0,522.7,521.4,523.1,265419,1388.41,11813,112897,42.54,,N,,Y,N,N,,,,N,
2023-01-23,BSE, EQ,521.4,522.7,543.65,520.65,527.85,529.7,533.02,668608,3563.8,22880,177999,26.62,,N,,Y,N,N,,,,N,
2023-01-24,BSE, EQ,529.7,532.0,542.65,531.85,537.5,537.15,537.96,576840,3103.18,15882,236021,40.92,,N,,Y,N,N,,,,N,
