DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,CERA, EQ,5207.3,5207.3,5348.05,5199.05,5320.75,5314.75,5295.84,6091,322.57,2158,2330,38.25,,N,,Y,N,N,,,,N,
2023-01-03,CERA, EQ,5314.75,5320.0,5320.65,5239.95,5260.0,5271.95,5291.13,4068,215.24,1565,2325,57.15,,N,,N,N,N,,,,N,
2023-01-04,CERA, EQ,5271.95,5299.7,5299.7,5175.75,5235.5,5233.5,5217.82,7281,379.91,2825,2870,39.42,,N,,N,N,N,,,,N,
2023-01-05,CERA, EQ,5233.5,5220.05,5328.15,5203.9,5250.0,5264.1,5279.62,6642,350.67,2518,3262,49.11,,N,,Y,N,N,,,,N,
2023-01-06,CERA, EQ,5264.1,5206.0,5381.0,5206.0,5329.0,5295.95,5292.26,7457,394.64,2363,3329,44.64,,N,,Y,N,N,,,,N,
2023-01-09,CERA, EQ,5295.95,5322.45,5426.0,5240.0,5301.0,5365.5,5371.91,11993,644.25,3202,4372,36.45,,N,,Y,N,N,,,,N,
2023-01-10,CERA, EQ,5365.5,5335.0,5425.0,5314.95,5370.0,5372.1,5373.3,5584,300.05,1629,2181,39.06,,N,,Y,N,N,,,,N,
2023-01-11,CERA, EQ,5372.1,5372.1,5405.95,5334.4,5379.0,5361.35,5368.36,2606,139.9,1221,1255,48.16,,N,,N,N,N,,,,N,
2023-01-12,CERA, EQ,5361.35,5313.2,5388.15,5313.2,5318.0,5324.45,5347.1,6002,320.93,1489,4016,66.91,,N,,Y,N,N,,,,N,
2023-01-13,CERA, EQ,5324.45,5313.05,5374.0,5280.05,5285.0,5320.65,5344.28,6958,371.86,2002,5071,72.88,,N,,Y,N,N,,,,N,
2023-01-16,CERA, EQ,5320.65,5321.0,5374.0,5304.7,5371.95,5365.95,5354.06,2457,131.55,1144,1140,46.4,,N,,Y,N,N,,,,N,
2023-01-17,CERA, EQ,5365.95,5350.05,5400.0,5320.05,5340.05,5353.45,5366.4,3734,200.38,1231,1799,48.18,,N,,Y,N,N,,,,N,
2023-01-18,CERA, EQ,5353.45,5380.25,5417.65,5350.0,5389.0,5382.5,5379.67,2597,139.71,1099,1128,43.43,,N,,Y,N,N,,,,N,
2023-01-19,CERA, EQ,5382.5,5400.0,5425.0,5356.05,5419.0,5400.8,5394.02,2397,129.29,1156,860,35.88,,N,,Y,N,N,,,,N,
2023-01-20,CERA, EQ,5400.8,5425.0,5523.95,5255.25,5299.0,5286.2,5387.02,20393,1098.58,5064,8628,42.31,,N,,N,N,N,,,,N,
2023-01-23,CERA, EQ,5286.2,5312.6,5454.9,5260.1,5375.0,5404.1,5400.92,10156,548.52,3592,3179,31.3,,N,,Y,N,N,,,,N,
2023-01-24,CERA, EQ,5404.1,5399.95,5499.9,5387.05,5458.0,5454.6,5471.51,7798,426.67,3427,3237,41.51,,N,,Y,N,N,,,,N,
2023-01-25,CERA, EQ,5454.6,5406.0,5479.95,5406.0,5469.0,5453.55,5458.9,3133,171.03,1620,1434,45.77,,N,,Y,N,N,,,,N,
2023-01-27,CERA, EQ,5453.55,5401.0,5500.0,5367.6,5422.0,5426.95,5420.95,9527,516.45,2405,6789,71.26,,N,,Y,N,N,,,,N,
2023-01-30,CERA, EQ,5426.95,5436.6,5510.7,5250.0,5250.0,5281.05,5365.07,15885,852.24,6940,7558,47.58,,N,,N,N,N,5346.6725,63.493349164758094,5219.685801670484,Y,
2023-01-31,CERA, EQ,5281.05,5299.0,5373.15,5230.0,5260.0,5267.1,5309.19,14128,750.08,7203,6855,48.52,,N,,N,N,N,5344.29,65.61286499331943,5213.064270013361,Y,
2023-02-01,CERA, EQ,5267.1,5260.0,5432.3,5260.0,5309.5,5343.05,5361.93,8704,466.7,5230,2792,32.08,,N,,Y,N,N,5347.845,63.37507998541608,5221.094840029168,Y,
2023-02-02,CERA, EQ,5343.05,5300.0,5800.0,5300.0,5453.05,5634.0,5542.04,37668,2087.58,8361,12135,32.22,,N,,Y,N,N,5367.870000000001,84.94627001507334,5197.977459969854,N,
2023-02-03,CERA, EQ,5634.0,5663.7,5769.0,5594.05,5635.0,5652.45,5679.97,18372,1043.52,5222,8221,44.75,,N,,N,N,N,5387.2875,102.54095058098878,5182.2055988380225,N,
2023-02-06,CERA, EQ,5652.45,5652.45,5740.0,5612.15,5714.0,5721.2,5686.76,8646,491.68,3837,4960,57.37,,N,,Y,N,N,5408.55,124.37029282285361,5159.809414354293,N,
2023-02-07,CERA, EQ,5721.2,5749.85,5799.95,5690.0,5785.0,5781.25,5773.4,10441,602.8,2743,5916,56.66,,N,,Y,N,N,5429.3375,149.08510627984955,5131.1672874403,N,
2023-02-08,CERA, EQ,5781.25,5844.0,5980.0,5700.0,5835.0,5770.75,5875.83,20583,1209.42,5443,7557,36.71,,N,,N,N,N,5449.2699999999995,166.64511330811393,5115.979773383771,N,
2023-02-09,CERA, EQ,5770.75,5799.65,5990.0,5799.65,5950.0,5968.7,5940.19,22517,1337.55,5056,10163,45.13,,N,,Y,N,N,5479.6375,201.47811417973327,5076.681271640533,N,
2023-02-10,CERA, EQ,5968.7,5930.7,6075.0,5918.0,6034.0,6035.2,6024.34,20583,1239.99,4994,9558,46.44,,N,,Y,N,N,5515.175,232.89747377220382,5049.380052455593,N,
2023-02-13,CERA, EQ,6035.2,6094.95,6143.9,6013.85,6080.0,6105.95,6095.24,17020,1037.41,5697,8110,47.65,,N,,Y,N,N,5554.4400000000005,262.67087200525447,5029.098255989492,N,
2023-02-14,CERA, EQ,6105.95,6145.0,6150.0,5901.2,5916.0,5927.95,6009.06,14107,847.7,4083,5455,38.67,,N,,N,N,N,5582.54,271.3623323548305,5039.815335290339,N,
2023-02-15,CERA, EQ,5927.95,5916.0,6067.0,5873.05,6034.0,6021.85,5996.58,17981,1078.24,5491,9564,53.19,,N,,Y,N,N,5615.96,282.590080002449,5050.7798399951025,N,
2023-02-16,CERA, EQ,6021.85,6034.0,6117.0,6022.6,6105.0,6091.25,6088.43,27783,1691.55,7842,17531,63.1,,N,,Y,N,N,5651.3975,295.89886228904044,5059.599775421919,N,
2023-02-17,CERA, EQ,6091.25,6100.0,6100.0,5913.05,5966.0,5950.45,6052.38,13116,793.83,3231,8229,62.74,,N,,N,N,N,5678.88,296.9222946372213,5085.035410725557,N,
2023-02-20,CERA, EQ,5950.45,5966.0,6494.7,5966.0,6417.25,6436.0,6341.95,165062,10468.14,32210,25822,15.64,,N,,Y,N,N,5736.370000000001,326.7080816747275,5082.953836650546,N,
2023-02-21,CERA, EQ,6436.0,6417.0,6648.65,6380.0,6648.0,6569.4,6489.93,76813,4985.11,18841,17029,22.17,,N,,Y,N,N,5794.635,365.892180372711,5062.850639254579,N,
2023-02-22,CERA, EQ,6569.4,6462.4,6788.0,6447.5,6709.0,6716.65,6651.56,92359,6143.31,18560,15457,16.74,,N,,Y,N,N,5857.7375,410.29604295172544,5037.145414096549,N,
2023-02-23,CERA, EQ,6716.65,6705.05,6724.8,6400.0,6418.0,6449.65,6548.15,53969,3533.97,15181,16444,30.47,,N,,N,N,N,5907.5425000000005,419.01489273715396,5069.512714525693,N,
2023-02-24,CERA, EQ,6449.65,6459.0,6518.8,6028.0,6109.0,6108.15,6204.82,88700,5503.67,25021,23973,27.03,,N,,N,N,N,5941.6025,405.35680659305365,5130.888886813893,N,
2023-02-27,CERA, EQ,6108.15,6150.0,6427.9,6015.0,6400.0,6366.85,6219.98,68913,4286.37,20766,12197,17.7,,N,,Y,N,N,5995.8925,384.4015459040505,5227.089408191899,N,
2023-02-28,CERA, EQ,6366.85,6400.0,6550.0,6325.85,6521.0,6513.1,6471.85,47517,3075.23,13546,8913,18.76,,N,,Y,N,N,6058.192499999999,360.2824704220624,5337.627559155874,N,
2023-03-01,CERA, EQ,6513.1,6559.7,6628.0,6461.15,6515.0,6563.15,6576.85,31404,2065.4,7792,9426,30.02,,N,,Y,N,N,6119.1975,335.2443564715985,5448.708787056803,N,
2023-03-02,CERA, EQ,6563.15,6595.95,6595.95,6401.5,6427.0,6444.35,6509.12,21440,1395.56,5920,5093,23.75,,N,,N,N,N,6159.714999999999,322.2340576678021,5515.246884664395,N,
2023-03-03,CERA, EQ,6444.35,6427.0,6503.0,6261.0,6300.0,6301.35,6402.98,32635,2089.61,8615,10885,33.35,,N,,N,N,N,6192.16,300.398866684392,5591.362266631216,N,
2023-03-06,CERA, EQ,6301.35,6334.5,6466.4,6151.55,6233.0,6208.0,6318.65,21896,1383.53,6220,7802,35.63,,N,,N,N,N,6216.5,279.2046009838132,5658.090798032374,N,
2023-03-08,CERA, EQ,6208.0,6208.0,6250.0,5998.65,6026.0,6043.9,6113.84,26539,1622.55,9260,10223,38.52,,N,,N,N,N,6229.6325,263.38364267787637,5702.865214644247,N,
2023-03-09,CERA, EQ,6043.9,6077.7,6195.0,6022.8,6188.0,6160.7,6124.15,27298,1671.77,7136,8787,32.19,,N,,Y,N,N,6249.13,241.11838236806759,5766.893235263865,N,
2023-03-10,CERA, EQ,6160.7,6160.65,6358.0,6111.05,6280.0,6296.7,6247.68,37811,2362.31,9139,13465,35.61,,N,,Y,N,N,6265.530000000001,232.02383407519073,5801.482331849619,N,
2023-03-13,CERA, EQ,6296.7,6328.25,6353.95,6160.0,6189.0,6175.05,6222.28,23217,1444.63,6447,11250,48.46,,N,,N,N,N,6272.522500000001,226.76476942267752,5818.992961154646,N,
2023-03-14,CERA, EQ,6175.05,6207.6,6241.7,6026.0,6100.0,6080.7,6117.97,20605,1260.61,7082,7777,37.74,5792.766,N,,N,N,N,6271.26,227.80884738607656,5815.642305227847,N,
