DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,CGCL, EQ,752.0,755.8,761.0,742.05,755.0,751.1,754.71,107732,813.07,2428,17828,16.55,,N,,N,N,N,,,,N,
2023-01-03,CGCL, EQ,751.1,754.9,767.0,750.0,755.5,756.05,752.3,106522,801.36,1538,26063,24.47,,N,,Y,N,N,,,,N,
2023-01-04,CGCL, EQ,756.05,758.9,758.9,746.7,750.1,752.8,750.85,111360,836.15,2426,24848,22.31,,N,,N,N,N,,,,N,
2023-01-05,CGCL, EQ,752.8,753.0,756.9,749.65,750.0,752.25,750.87,106696,801.15,2074,26180,24.54,,N,,N,N,N,,,,N,
2023-01-06,CGCL, EQ,752.25,755.45,755.45,750.35,751.0,751.2,751.61,96729,727.03,1724,16026,16.57,,N,,N,N,N,,,,N,
2023-01-09,CGCL, EQ,751.2,754.95,764.4,751.8,756.7,756.15,754.1,81136,611.85,1283,5965,7.35,,N,,Y,N,N,,,,N,
2023-01-10,CGCL, EQ,756.15,759.8,759.8,749.0,750.1,750.9,751.62,88631,666.17,1226,12105,13.66,,N,,N,N,N,,,,N,
2023-01-11,CGCL, EQ,750.9,747.5,759.4,747.5,754.75,752.6,750.77,89812,674.28,1461,7667,8.54,,N,,Y,N,N,,,,N,
2023-01-12,CGCL, EQ,752.6,755.0,755.9,750.0,750.0,751.9,751.25,113841,855.23,1604,32072,28.17,,N,,N,N,N,,,,N,
2023-01-13,CGCL, EQ,751.9,754.15,779.0,750.65,758.0,759.4,765.96,307871,2358.16,31761,43366,14.09,,N,,Y,N,N,,,,N,
2023-01-16,CGCL, EQ,759.4,763.0,780.0,751.05,752.2,756.0,765.48,261403,2000.98,41609,36979,14.15,,N,,N,N,N,,,,N,
2023-01-17,CGCL, EQ,756.0,756.0,771.0,752.45,764.9,761.7,763.18,115871,884.31,20046,11121,9.6,,N,,Y,N,N,,,,N,
2023-01-18,CGCL, EQ,761.7,760.0,779.0,739.0,743.3,748.95,744.65,849586,6326.43,30769,594091,69.93,,N,,N,N,N,,,,N,
2023-01-19,CGCL, EQ,748.95,751.05,784.4,751.05,784.4,776.9,770.9,467692,3605.43,113033,60958,13.03,,N,,Y,N,N,,,,N,
2023-01-20,CGCL, EQ,776.9,783.4,801.0,769.0,773.25,774.25,783.52,277797,2176.6,42759,27638,9.95,,N,,N,N,N,,,,N,
2023-01-23,CGCL, EQ,774.25,766.05,787.8,766.05,773.1,774.25,779.1,149144,1161.98,28865,9941,6.67,,N,,Y,N,N,,,,N,
2023-01-24,CGCL, EQ,774.25,770.05,778.15,752.05,763.1,759.85,766.09,93792,718.53,2733,12580,13.41,,N,,N,N,N,,,,N,
2023-01-25,CGCL, EQ,759.85,763.15,766.95,751.0,751.0,751.15,752.86,86138,648.5,1857,8580,9.96,,N,,N,N,N,,,,N,
2023-01-27,CGCL, EQ,751.15,757.95,762.8,751.25,755.95,758.25,755.11,118825,897.27,5145,17050,14.35,,N,,Y,N,N,,,,N,
2023-01-30,CGCL, EQ,758.25,752.85,758.5,751.0,751.0,751.15,752.43,95797,720.8,2469,12666,13.22,,N,,N,N,N,757.3399999999999,8.440076702070956,740.459846595858,N,
2023-01-31,CGCL, EQ,751.15,753.8,754.95,748.15,751.05,751.9,752.3,88893,668.74,1607,11943,13.44,,N,,N,N,N,757.38,8.410791939682635,740.5584161206348,N,
2023-02-01,CGCL, EQ,751.9,753.0,759.0,751.05,757.7,754.75,754.68,81713,616.67,1335,5825,7.13,,N,,Y,N,N,757.315,8.426619788066294,740.4617604238674,N,
2023-02-02,CGCL, EQ,754.75,758.5,759.9,748.05,751.0,751.45,753.12,91055,685.75,2478,11512,12.64,,N,,N,N,N,757.2475,8.469985319691428,740.3075293606171,N,
2023-02-03,CGCL, EQ,751.45,751.1,754.9,751.05,751.55,752.75,751.87,79507,597.79,1583,5973,7.51,,N,,Y,N,N,757.2724999999999,8.455183321489772,740.3621333570204,N,
2023-02-06,CGCL, EQ,752.75,751.9,754.9,750.5,751.0,751.9,751.53,87964,661.08,1168,12879,14.64,,N,,N,N,N,757.3075,8.430135089758513,740.447229820483,N,
2023-02-07,CGCL, EQ,751.9,751.9,754.9,750.45,750.65,751.1,751.78,86160,647.74,2369,11552,13.41,,N,,N,N,N,757.0550000000001,8.541522420690399,739.9719551586193,N,
2023-02-08,CGCL, EQ,751.1,753.75,754.85,750.4,752.95,752.3,751.91,107737,810.09,1348,32763,30.41,,N,,N,N,N,757.125,8.494030411505353,740.1369391769892,N,
2023-02-09,CGCL, EQ,752.3,753.85,755.35,750.65,751.0,751.5,751.86,93093,699.93,1982,13397,14.39,,N,,N,N,N,757.07,8.528364438741983,740.0132711225161,N,
2023-02-10,CGCL, EQ,751.5,754.0,754.0,750.15,751.0,751.45,751.61,80271,603.32,1011,5054,6.3,,N,,N,N,N,757.0474999999999,8.543302624678638,739.9608947506426,N,
2023-02-13,CGCL, EQ,751.45,753.05,779.0,751.3,779.0,768.95,760.32,117903,896.44,3168,16172,13.72,,N,,Y,N,N,757.525,8.93940861107649,739.646182777847,N,
2023-02-14,CGCL, EQ,768.95,778.8,790.0,751.0,752.1,754.15,766.19,124132,951.09,5160,27133,21.86,,N,,N,N,N,757.4325,8.965552130237098,739.5013957395258,N,
2023-02-15,CGCL, EQ,754.15,751.1,759.0,741.05,756.8,755.2,748.82,87013,651.57,4130,21357,24.54,,N,,Y,N,N,757.1075000000001,8.920412354759518,739.2666752904811,Y,
2023-02-16,CGCL, EQ,755.2,757.5,762.5,748.6,752.0,752.45,756.36,29587,223.78,2844,16942,57.26,,N,,N,N,N,757.2825,8.785263902814997,739.71197219437,N,
2023-02-17,CGCL, EQ,752.45,700.1,716.0,694.3,707.45,703.55,704.64,125125,881.68,6364,30481,24.36,,N,,Y,N,N,753.615,13.954362645499208,725.7062747090016,N,
2023-02-20,CGCL, EQ,703.55,699.9,721.0,692.45,698.05,701.2,699.29,157605,1102.12,7269,77919,49.44,,N,,Y,N,N,749.9625,17.403076520213855,715.1563469595723,Y,
2023-02-21,CGCL, EQ,701.2,695.0,705.85,686.0,697.65,699.7,700.18,72377,506.77,2629,26274,36.3,,N,,Y,N,N,746.235,19.75244888215388,706.7301022356922,Y,
2023-02-22,CGCL, EQ,699.7,703.1,703.9,698.0,698.0,700.45,700.32,46486,325.55,2011,19797,42.59,,N,,N,N,N,743.265,21.941915547525305,699.3811689049494,Y,
2023-02-23,CGCL, EQ,700.45,704.0,704.0,692.7,695.0,696.65,699.26,115662,808.78,3830,27469,23.75,,N,,N,N,N,740.5400000000001,24.18109091614215,692.1778181677158,Y,
2023-02-24,CGCL, EQ,696.65,700.5,700.5,690.05,693.4,695.85,696.14,157263,1094.77,5312,53759,34.18,,N,,N,N,N,737.4200000000001,25.75046448226957,685.9190710354609,Y,
2023-02-27,CGCL, EQ,695.85,695.45,698.25,684.4,691.15,689.55,689.64,175439,1209.9,7860,60090,34.25,,N,,N,N,N,734.34,27.636682335734708,679.0666353285307,Y,
2023-02-28,CGCL, EQ,689.55,693.0,693.0,671.35,682.95,680.1,684.55,248815,1703.28,8013,85723,34.45,,N,,N,N,N,730.75,29.813278567567213,671.1234428648655,Y,
2023-03-01,CGCL, EQ,680.1,690.0,690.8,672.35,677.0,681.05,681.48,248678,1694.69,9220,89716,36.08,,N,,N,N,N,727.0649999999999,31.212603308009268,664.6397933839814,N,
2023-03-02,CGCL, EQ,681.05,684.9,685.05,674.0,677.05,679.4,678.88,231215,1569.67,8120,73281,31.69,,N,,N,N,N,723.4625,32.385888232051606,658.6907235358967,N,
2023-03-03,CGCL, EQ,679.4,681.9,683.0,671.25,675.0,679.15,679.38,93994,638.58,6433,44098,46.92,,N,,N,N,N,719.7825,33.05741526416363,653.6676694716728,N,
2023-03-06,CGCL, EQ,679.15,684.9,684.9,669.6,674.0,675.2,675.73,126603,855.5,8786,52959,41.83,,N,,N,N,N,715.9475,33.58021219879019,648.7870756024196,N,
2023-03-08,CGCL, EQ,675.2,684.9,689.45,663.85,671.0,674.7,674.37,77827,524.84,5942,35569,45.7,,N,,N,N,N,712.1275,33.716146666732506,644.695206666535,N,
2023-03-09,CGCL, EQ,674.7,673.0,678.8,666.1,672.1,672.25,671.47,171244,1149.85,4615,76763,44.83,,N,,N,N,N,708.125,33.44656185619059,641.2318762876188,N,
2023-03-10,CGCL, EQ,672.25,666.05,672.95,657.2,660.05,661.15,663.29,69102,458.35,1622,9931,14.37,,N,,N,N,N,703.6075,33.38127538085704,636.8449492382858,N,
2023-03-13,CGCL, EQ,661.15,654.55,658.3,640.0,640.3,640.95,644.66,111810,720.79,3488,62418,55.83,,N,,N,N,N,698.0825000000001,34.18096298033651,629.7205740393271,N,
2023-03-14,CGCL, EQ,640.95,645.0,656.75,635.05,635.2,638.8,640.15,143152,916.39,3081,122940,85.88,730.327,N,,N,N,N,691.575,32.31724934556052,626.940501308879,N,
2023-03-15,CGCL, EQ,638.8,643.6,643.8,623.75,628.0,625.75,628.05,187024,1174.61,3863,143773,76.87,727.82,N,,N,N,N,685.155,31.984091028937176,621.1868179421256,Y,
2023-03-16,CGCL, EQ,625.75,623.0,628.9,621.0,623.0,621.25,622.77,88299,549.9,856,83293,94.33,725.1239999999999,N,,N,N,N,678.4575,30.536497899191648,617.3845042016167,Y,
2023-03-17,CGCL, EQ,621.25,624.0,625.0,620.7,625.0,622.0,622.0,101431,630.9,2407,81283,80.14,722.508,N,,N,N,N,671.9350000000001,27.700252231417934,616.5344955371642,Y,
2023-03-20,CGCL, EQ,622.0,629.95,646.1,620.55,621.0,621.5,622.37,44984,279.97,1480,34754,77.26,719.893,N,,N,N,N,667.8325,28.82464805554922,610.1832038889015,N,
2023-03-21,CGCL, EQ,621.5,583.05,603.45,575.0,581.0,580.15,586.66,283806,1664.98,10632,58497,20.61,716.472,N,,N,N,N,661.78,33.739342956819016,594.3013140863619,Y,
2023-03-22,CGCL, EQ,580.15,584.8,585.2,571.0,571.0,571.2,574.77,108525,623.77,3688,56351,51.92,712.7729999999999,N,,N,N,N,655.355,38.09249097159448,579.170018056811,Y,
2023-03-23,CGCL, EQ,571.2,574.0,575.05,570.0,572.0,571.95,571.62,232580,1329.48,2434,203687,87.58,709.1940000000001,N,,N,N,N,648.9300000000001,40.825006526572515,567.279986946855,Y,
2023-03-24,CGCL, EQ,571.95,574.0,574.1,571.0,571.25,571.3,571.78,44642,255.25,1966,28058,62.85,705.5679999999999,N,,N,N,N,642.6625,42.69261576419772,557.2772684716045,N,
2023-03-27,CGCL, EQ,571.3,571.05,599.0,566.0,585.0,572.4,570.9,41548,237.2,2088,23385,56.28,701.9780000000001,N,,Y,N,N,636.49,43.514330972680106,549.4613380546398,N,
2023-03-28,CGCL, EQ,572.4,572.4,576.75,570.15,571.0,571.95,571.41,45933,262.46,1566,34929,76.04,698.229,N,,N,N,N,630.61,43.91079653834036,542.7884069233193,N,
2023-03-29,CGCL, EQ,571.95,572.95,617.0,571.0,600.15,601.55,589.16,61464,362.12,4222,32330,52.6,695.14,N,,Y,N,N,626.6825,42.748789687390975,541.1849206252181,N,
