DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,COFORGE, EQ,3884.1,3903.55,4100.0,3811.0,3940.1,3951.2,3882.59,342096,13282.2,24142,43195,12.63,,N,,Y,N,N,,,,N,
2023-01-03,COFORGE, EQ,3951.2,3959.0,4032.0,3926.25,4008.25,4019.55,4003.7,319505,12792.02,28302,73280,22.94,,N,,Y,N,N,,,,N,
2023-01-04,COFORGE, EQ,4019.55,4009.05,4015.0,3935.85,3946.95,3949.25,3973.65,130496,5185.46,12637,24308,18.63,,N,,N,N,N,,,,N,
2023-01-05,COFORGE, EQ,3949.25,3958.0,3972.9,3907.25,3918.0,3929.45,3930.88,95607,3758.2,9323,24508,25.63,,N,,N,N,N,,,,N,
2023-01-06,COFORGE, EQ,3929.45,3939.8,3949.0,3880.05,3886.1,3901.0,3915.42,163783,6412.78,13773,60149,36.72,,N,,N,N,N,,,,N,
2023-01-09,COFORGE, EQ,3901.0,3940.0,4039.5,3940.0,4003.0,4017.35,4010.15,204667,8207.45,23580,41721,20.38,,N,,Y,N,N,,,,N,
2023-01-10,COFORGE, EQ,4017.35,4000.0,4020.0,3956.6,3982.45,3974.4,3982.08,187377,7461.5,24786,76760,40.97,,N,,N,N,N,,,,N,
2023-01-11,COFORGE, EQ,3974.4,3990.95,4059.0,3911.4,3934.0,3936.1,3988.17,399848,15946.63,39419,166439,41.63,,N,,N,N,N,,,,N,
2023-01-12,COFORGE, EQ,3936.1,3960.0,3976.45,3851.05,3908.3,3904.2,3892.42,208072,8099.03,21748,57361,27.57,,N,,N,N,N,,,,N,
2023-01-13,COFORGE, EQ,3904.2,3927.0,3927.0,3790.5,3872.0,3884.45,3848.88,351833,13541.64,34003,55917,15.89,,N,,N,N,N,,,,N,
2023-01-16,COFORGE, EQ,3884.45,3900.0,3950.0,3856.6,3894.0,3898.5,3894.65,252525,9834.95,19823,120940,47.89,,N,,N,N,N,,,,N,
2023-01-17,COFORGE, EQ,3898.5,3898.5,3936.95,3880.2,3919.0,3918.0,3912.59,139585,5461.39,12078,42069,30.14,,N,,Y,N,N,,,,N,
2023-01-18,COFORGE, EQ,3918.0,3922.0,3948.0,3911.0,3937.5,3925.8,3929.14,81445,3200.09,8212,14371,17.65,,N,,Y,N,N,,,,N,
2023-01-19,COFORGE, EQ,3925.8,3900.0,3994.0,3878.0,3950.0,3966.55,3953.86,198704,7856.48,18845,42231,21.25,,N,,Y,N,N,,,,N,
2023-01-20,COFORGE, EQ,3966.55,4041.0,4250.0,4041.0,4100.0,4102.0,4163.77,1986822,82726.74,136021,271070,13.64,,N,,Y,N,N,,,,N,
2023-01-23,COFORGE, EQ,4102.0,4126.0,4417.0,4068.2,4347.6,4358.9,4278.88,1461912,62553.49,102517,205310,14.04,,N,,Y,N,N,,,,N,
