DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,CRAFTSMAN, EQ,3493.55,3508.0,3647.0,3500.6,3647.0,3626.4,3586.11,127590,4575.52,18239,18226,14.28,,N,,Y,N,N,,,,N,
2023-01-03,CRAFTSMAN, EQ,3626.4,3600.0,3617.35,3523.25,3570.0,3574.4,3562.41,64772,2307.44,11710,20274,31.3,,N,,N,N,N,,,,N,
2023-01-04,CRAFTSMAN, EQ,3574.4,3584.0,3584.0,3516.75,3545.0,3541.5,3539.74,32818,1161.67,5965,13626,41.52,,N,,N,N,N,,,,N,
2023-01-05,CRAFTSMAN, EQ,3541.5,3545.05,3610.0,3472.55,3516.0,3497.4,3536.69,55009,1945.5,10308,22907,41.64,,N,,N,N,N,,,,N,
2023-01-06,CRAFTSMAN, EQ,3497.4,3502.0,3597.7,3483.1,3514.5,3508.6,3526.52,37481,1321.77,5839,14532,38.77,,N,,Y,N,N,,,,N,
2023-01-09,CRAFTSMAN, EQ,3508.6,3569.9,3707.8,3540.4,3580.2,3596.95,3634.43,119519,4343.84,21887,32146,26.9,,N,,Y,N,N,,,,N,
2023-01-10,CRAFTSMAN, EQ,3596.95,3638.0,3643.15,3562.5,3594.9,3584.8,3609.59,43498,1570.1,10305,13985,32.15,,N,,N,N,N,,,,N,
2023-01-11,CRAFTSMAN, EQ,3584.8,3584.85,3611.7,3493.55,3515.0,3529.0,3527.13,27909,984.39,7695,8324,29.83,,N,,N,N,N,,,,N,
2023-01-12,CRAFTSMAN, EQ,3529.0,3548.8,3564.95,3444.0,3474.0,3463.3,3488.18,31163,1087.02,7367,9566,30.7,,N,,N,N,N,,,,N,
2023-01-13,CRAFTSMAN, EQ,3463.3,3463.3,3518.8,3411.0,3440.0,3440.6,3453.88,29461,1017.55,8890,8811,29.91,,N,,N,N,N,,,,N,
2023-01-16,CRAFTSMAN, EQ,3440.6,3445.0,3585.0,3445.0,3540.9,3533.25,3539.02,51614,1826.63,10802,16020,31.04,,N,,Y,N,N,,,,N,
2023-01-17,CRAFTSMAN, EQ,3533.25,3575.0,3575.0,3487.55,3503.0,3512.65,3520.16,35516,1250.22,9441,18144,51.09,,N,,N,N,N,,,,N,
2023-01-18,CRAFTSMAN, EQ,3512.65,3512.6,3547.35,3485.5,3488.0,3500.5,3516.84,17134,602.58,5998,4068,23.74,,N,,N,N,N,,,,N,
2023-01-19,CRAFTSMAN, EQ,3500.5,3500.45,3540.0,3488.0,3505.0,3520.55,3514.17,16924,594.74,5765,5330,31.49,,N,,Y,N,N,,,,N,
2023-01-20,CRAFTSMAN, EQ,3520.55,3533.0,3541.8,3462.0,3500.0,3477.4,3516.43,29150,1025.04,6343,17279,59.28,,N,,N,N,N,,,,N,
2023-01-23,CRAFTSMAN, EQ,3477.4,3412.0,3477.85,3265.0,3380.0,3351.95,3348.44,87189,2919.47,15236,28941,33.19,,N,,N,N,N,,,,N,
2023-01-24,CRAFTSMAN, EQ,3351.95,3275.0,3365.65,3266.55,3298.0,3286.4,3306.62,67785,2241.39,12817,36292,53.54,,N,,Y,N,N,,,,N,
2023-01-25,CRAFTSMAN, EQ,3286.4,3235.0,3335.0,3228.05,3320.0,3315.3,3296.11,56869,1874.47,11658,33294,58.55,,N,,Y,N,N,,,,N,
2023-01-27,CRAFTSMAN, EQ,3315.3,3276.65,3309.95,3112.9,3171.1,3217.25,3270.19,82048,2683.12,22267,56136,68.42,,N,,N,N,N,,,,N,
2023-01-30,CRAFTSMAN, EQ,3217.25,3196.05,3216.8,3125.05,3200.0,3195.6,3177.38,128354,4078.29,12126,102406,79.78,,N,,N,N,N,3463.69,124.75602147686841,3214.177957046263,Y,
2023-01-31,CRAFTSMAN, EQ,3195.6,3107.7,3229.0,3107.7,3192.25,3189.7,3185.78,55433,1765.97,10186,34336,61.94,,N,,Y,N,N,3441.8550000000005,132.7399246845619,3176.3751506308768,Y,
2023-02-01,CRAFTSMAN, EQ,3189.7,3217.1,3307.9,3085.55,3259.0,3232.55,3236.05,84245,2726.21,19032,41193,48.9,,N,,Y,N,N,3424.7625,136.72392455621159,3151.3146508875766,Y,
2023-02-02,CRAFTSMAN, EQ,3232.55,3180.0,3417.25,3180.0,3348.0,3328.2,3324.25,88513,2942.39,18099,59315,67.01,,N,,Y,N,N,3414.0975,135.45188063332773,3143.1937387333446,N,
2023-02-03,CRAFTSMAN, EQ,3328.2,3351.95,3445.0,3350.1,3400.0,3398.45,3394.64,60559,2055.76,9751,33232,54.88,,N,,Y,N,N,3409.15,134.04889327955559,3141.052213440889,N,
2023-02-06,CRAFTSMAN, EQ,3398.45,3416.0,3434.0,3277.15,3304.0,3301.95,3307.11,73671,2436.38,11689,55236,74.98,,N,,N,N,N,3398.8174999999997,133.94408424393873,3130.929331512122,N,
