DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,ECLERX, EQ,1279.35,1281.0,1296.7,1270.0,1284.2,1276.65,1281.93,16217,207.89,2084,7872,48.54,,N,,N,N,N,,,,N,
2023-01-03,ECLERX, EQ,1276.65,1278.0,1296.0,1276.95,1279.9,1278.55,1282.79,15784,202.48,2086,9379,59.42,,N,,Y,N,N,,,,N,
2023-01-04,ECLERX, EQ,1278.55,1278.0,1282.85,1269.8,1274.2,1274.25,1273.53,19831,252.55,1993,13464,67.89,,N,,N,N,N,,,,N,
2023-01-05,ECLERX, EQ,1274.25,1285.0,1285.0,1265.0,1274.55,1275.0,1274.46,18589,236.91,2711,13527,72.77,,N,,N,N,N,,,,N,
2023-01-06,ECLERX, EQ,1275.0,1270.0,1279.0,1260.0,1272.9,1268.55,1268.68,13620,172.79,2902,7118,52.26,,N,,N,N,N,,,,N,
2023-01-09,ECLERX, EQ,1268.55,1275.2,1304.4,1261.0,1286.1,1293.6,1280.83,76438,979.04,7813,37598,49.19,,N,,Y,N,N,,,,N,
2023-01-10,ECLERX, EQ,1293.6,1290.0,1345.0,1271.35,1340.0,1338.2,1314.25,37420,491.79,6078,17370,46.42,,N,,Y,N,N,,,,N,
2023-01-11,ECLERX, EQ,1338.2,1336.0,1420.0,1320.8,1390.15,1399.0,1392.54,261621,3643.17,23111,40700,15.56,,N,,Y,N,N,,,,N,
2023-01-12,ECLERX, EQ,1399.0,1399.0,1414.95,1365.25,1411.0,1408.9,1394.19,44857,625.39,6041,16123,35.94,,N,,Y,N,N,,,,N,
2023-01-13,ECLERX, EQ,1408.9,1397.5,1415.0,1381.55,1401.0,1403.85,1399.3,25258,353.43,4839,9533,37.74,,N,,Y,N,N,,,,N,
2023-01-16,ECLERX, EQ,1403.85,1403.8,1413.0,1384.0,1410.0,1405.85,1400.8,33169,464.63,5616,10077,30.38,,N,,Y,N,N,,,,N,
2023-01-17,ECLERX, EQ,1405.85,1419.9,1419.9,1383.0,1405.0,1402.05,1401.06,19217,269.24,2954,6205,32.29,,N,,N,N,N,,,,N,
2023-01-18,ECLERX, EQ,1402.05,1402.05,1430.95,1400.1,1417.2,1423.15,1418.87,20239,287.16,2727,9932,49.07,,N,,Y,N,N,,,,N,
2023-01-19,ECLERX, EQ,1423.15,1417.2,1434.95,1403.15,1430.5,1429.1,1424.85,17622,251.09,3726,9475,53.77,,N,,Y,N,N,,,,N,
2023-01-20,ECLERX, EQ,1429.1,1436.6,1436.6,1391.0,1394.0,1398.7,1410.01,24782,349.43,2809,16110,65.01,,N,,N,N,N,,,,N,
2023-01-23,ECLERX, EQ,1398.7,1395.0,1397.75,1366.0,1385.5,1386.45,1379.82,19233,265.38,3189,9148,47.56,,N,,N,N,N,,,,N,
2023-01-24,ECLERX, EQ,1386.45,1393.7,1428.8,1390.05,1418.0,1414.3,1412.63,31900,450.63,3369,16412,51.45,,N,,Y,N,N,,,,N,
2023-01-25,ECLERX, EQ,1414.3,1418.9,1440.0,1408.0,1433.0,1431.9,1425.73,26738,381.21,3722,16827,62.93,,N,,Y,N,N,,,,N,
2023-01-27,ECLERX, EQ,1431.9,1438.0,1444.8,1391.0,1400.0,1406.85,1415.13,36543,517.13,7657,19160,52.43,,N,,N,N,N,,,,N,
2023-01-30,ECLERX, EQ,1406.85,1409.0,1444.95,1409.0,1422.9,1422.6,1428.82,38435,549.17,6306,19531,50.82,,N,,Y,N,N,1366.875,62.97812590181809,1240.9187481963638,N,
2023-01-31,ECLERX, EQ,1422.6,1416.0,1479.4,1416.0,1446.0,1452.6,1449.21,37509,543.58,5622,20367,54.3,,N,,Y,N,N,1375.6725,61.99276162118474,1251.6869767576304,N,
2023-02-01,ECLERX, EQ,1452.6,1460.0,1488.0,1451.65,1460.0,1465.5,1470.54,120129,1766.55,4869,94069,78.31,,N,,Y,N,N,1385.02,60.65763804032892,1263.704723919342,N,
2023-02-02,ECLERX, EQ,1465.5,1464.0,1482.05,1436.5,1450.0,1452.75,1460.95,23749,346.96,4163,11829,49.81,,N,,N,N,N,1393.945,56.49027839045897,1280.964443219082,N,
2023-02-03,ECLERX, EQ,1452.75,1480.0,1532.0,1475.55,1480.0,1495.9,1503.61,225495,3390.58,23700,78974,35.02,,N,,Y,N,N,1404.99,53.52763575456754,1297.934728490865,N,
2023-02-06,ECLERX, EQ,1495.9,1505.0,1554.35,1482.2,1500.0,1504.45,1520.14,113459,1724.73,11395,68371,60.26,,N,,N,N,N,1416.785,47.53554099718129,1321.7139180056374,N,
2023-02-07,ECLERX, EQ,1504.45,1505.0,1527.95,1492.5,1514.0,1512.45,1509.86,77487,1169.95,8236,51312,66.22,,N,,Y,N,N,1427.7275000000002,42.62159532628797,1342.4843093474242,N,
2023-02-08,ECLERX, EQ,1512.45,1519.9,1527.95,1480.25,1480.3,1488.4,1506.79,78244,1178.98,9674,52030,66.5,,N,,N,N,N,1435.2375,39.10403423460301,1357.029431530794,N,
2023-02-09,ECLERX, EQ,1488.4,1474.9,1505.0,1451.95,1466.0,1470.15,1490.87,92588,1380.37,12210,53221,57.48,,N,,N,N,N,1438.795,38.869548695468836,1361.0559026090623,N,
2023-02-10,ECLERX, EQ,1470.15,1461.0,1496.9,1459.45,1475.25,1475.2,1476.43,47472,700.89,6393,25376,53.45,,N,,Y,N,N,1442.1100000000001,39.01269901212263,1364.0846019757548,N,
2023-02-13,ECLERX, EQ,1475.2,1490.5,1495.6,1462.3,1469.9,1479.4,1479.37,71490,1057.6,5971,38117,53.32,,N,,N,N,N,1445.8875,38.77000290172731,1368.3474941965455,N,
2023-02-14,ECLERX, EQ,1479.4,1487.8,1487.8,1461.25,1472.0,1474.25,1470.97,19417,285.62,1963,12503,64.39,,N,,N,N,N,1449.3075,38.06272618980333,1373.1820476203932,N,
2023-02-15,ECLERX, EQ,1474.25,1473.9,1474.9,1393.7,1399.0,1405.95,1421.14,111834,1589.32,12590,65690,58.74,,N,,N,N,N,1449.5025,37.81707521254808,1373.868349574904,N,
2023-02-16,ECLERX, EQ,1405.95,1417.8,1475.0,1405.95,1465.0,1471.6,1446.57,58884,851.8,6918,21335,36.23,,N,,Y,N,N,1451.925,37.59126963314109,1376.7424607337177,N,
2023-02-17,ECLERX, EQ,1471.6,1475.95,1476.2,1445.7,1446.05,1457.0,1467.81,27812,408.23,5011,11518,41.41,,N,,N,N,N,1453.32,37.21546226474799,1378.889075470504,N,
2023-02-20,ECLERX, EQ,1457.0,1457.0,1464.5,1421.05,1435.0,1435.55,1436.43,59723,857.88,7599,30808,51.58,,N,,N,N,N,1455.1625,35.22809463078754,1384.706310738425,N,
2023-02-21,ECLERX, EQ,1435.55,1448.2,1470.0,1416.45,1458.0,1456.8,1436.49,16697,239.85,3678,5522,33.07,,N,,Y,N,N,1458.68,31.299211357139264,1396.0815772857216,N,
2023-02-22,ECLERX, EQ,1456.8,1449.0,1466.0,1424.25,1459.0,1459.35,1450.22,29736,431.24,3964,14454,48.61,,N,,Y,N,N,1460.9325,29.50696739754739,1401.918565204905,N,
2023-02-23,ECLERX, EQ,1459.35,1459.0,1498.0,1435.0,1480.0,1484.4,1476.25,56215,829.87,6880,22277,39.63,,N,,Y,N,N,1463.5575000000001,29.120969452304077,1405.315561095392,N,
2023-02-24,ECLERX, EQ,1484.4,1475.05,1509.9,1452.0,1464.2,1463.0,1476.96,62406,921.71,7791,37387,59.91,,N,,N,N,N,1466.365,25.894030504913523,1414.576938990173,N,
2023-02-27,ECLERX, EQ,1463.0,1446.6,1446.6,1413.65,1429.7,1424.55,1425.9,43342,618.01,6425,23673,54.62,,N,,N,N,N,1466.4625,25.723677783010125,1415.01514443398,Y,
2023-02-28,ECLERX, EQ,1424.55,1430.0,1444.0,1385.15,1389.8,1394.8,1413.67,42472,600.41,6448,23571,55.5,,N,,N,N,N,1463.5725,30.217411654626964,1403.137676690746,Y,
2023-03-01,ECLERX, EQ,1394.8,1400.6,1424.0,1390.65,1413.5,1410.8,1412.41,33462,472.62,9339,17413,52.04,,N,,Y,N,N,1460.8375,32.42835372016171,1395.9807925596767,Y,
2023-03-02,ECLERX, EQ,1410.8,1418.2,1452.95,1414.4,1446.75,1446.4,1434.02,31590,453.01,7282,18763,59.4,,N,,Y,N,N,1460.52,32.54258909894976,1395.4348218021005,N,
2023-03-03,ECLERX, EQ,1446.4,1469.0,1469.0,1425.0,1425.8,1430.65,1447.3,35225,509.81,8542,17413,49.43,,N,,N,N,N,1457.2575000000002,32.07636970451894,1393.1047605909623,N,
2023-03-06,ECLERX, EQ,1430.65,1445.85,1468.8,1425.3,1429.0,1434.65,1448.0,49260,713.29,8789,26230,53.25,,N,,N,N,N,1453.7675,30.426219108039966,1392.91506178392,N,
2023-03-08,ECLERX, EQ,1434.65,1435.0,1448.0,1425.8,1432.1,1442.1,1440.88,24368,351.11,3995,14795,60.71,,N,,Y,N,N,1450.25,27.178145244797353,1395.8937095104052,N,
2023-03-09,ECLERX, EQ,1442.1,1430.0,1444.0,1395.75,1397.0,1397.65,1407.12,39365,553.91,5655,19640,49.89,,N,,N,N,N,1445.7125,28.03563463184775,1389.6412307363046,Y,
2023-03-10,ECLERX, EQ,1397.65,1404.8,1521.0,1348.05,1517.0,1484.85,1434.06,257973,3699.49,20490,120286,46.63,,N,,Y,N,N,1446.4475,28.889706211727617,1388.6680875765448,Y,
2023-03-13,ECLERX, EQ,1484.85,1495.0,1499.0,1420.0,1422.25,1427.75,1443.65,83967,1212.19,9499,45161,53.78,,N,,N,N,N,1444.075,28.347470415317552,1387.380059169365,N,
2023-03-14,ECLERX, EQ,1427.75,1427.75,1434.0,1383.0,1406.0,1409.3,1400.18,36133,505.93,5802,13169,36.45,1418.914,N,,N,N,Y,1440.5700000000002,28.082347892543343,1384.4053042149135,Y,
2023-03-15,ECLERX, EQ,1409.3,1415.05,1429.0,1395.0,1408.0,1412.15,1408.37,25866,364.29,3469,12718,49.17,1421.6240000000003,Y,,N,N,Y,1437.465,27.591265303580638,1382.2824693928387,Y,
2023-03-16,ECLERX, EQ,1412.15,1402.0,1407.95,1372.0,1397.0,1388.2,1387.68,30441,422.43,5068,14647,48.12,1423.817,Y,,N,N,N,1436.5774999999999,28.912183167762656,1378.7531336644745,Y,
2023-03-17,ECLERX, EQ,1388.2,1399.0,1400.0,1365.6,1380.1,1378.75,1380.13,22466,310.06,4447,11689,52.03,1425.9070000000002,Y,,N,N,N,1431.935,30.408413396017668,1371.1181732079647,Y,
