DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,EIHOTEL, EQ,177.3,175.25,178.05,173.65,177.4,176.75,175.96,264714,465.8,6818,93614,35.36,,N,,Y,N,N,,,,N,
2023-01-03,EIHOTEL, EQ,176.75,177.5,180.9,175.75,179.0,179.15,178.29,314279,560.34,6457,140796,44.8,,N,,Y,N,N,,,,N,
2023-01-04,EIHOTEL, EQ,179.15,179.65,181.6,175.35,176.0,176.15,178.44,254754,454.58,7514,92059,36.14,,N,,N,N,N,,,,N,
2023-01-05,EIHOTEL, EQ,176.15,178.4,178.4,173.9,175.0,175.75,175.72,243447,427.78,3963,97553,40.07,,N,,N,N,N,,,,N,
2023-01-06,EIHOTEL, EQ,175.75,175.55,177.9,173.25,176.0,176.95,175.7,208634,366.56,4256,99927,47.9,,N,,Y,N,N,,,,N,
2023-01-09,EIHOTEL, EQ,176.95,178.0,181.85,176.3,177.3,177.3,179.29,294327,527.69,5710,118698,40.33,,N,,N,N,N,,,,N,
2023-01-10,EIHOTEL, EQ,177.3,177.3,184.0,176.05,177.0,177.9,180.32,544464,981.8,8268,175486,32.23,,N,,Y,N,N,,,,N,
2023-01-11,EIHOTEL, EQ,177.9,178.3,178.8,174.2,175.0,175.25,175.9,199498,350.92,4022,110548,55.41,,N,,N,N,N,,,,N,
2023-01-12,EIHOTEL, EQ,175.25,175.5,177.15,172.75,174.75,174.45,174.18,104350,181.76,3823,38656,37.04,,N,,N,N,N,,,,N,
2023-01-13,EIHOTEL, EQ,174.45,174.45,176.2,173.4,174.4,174.85,174.5,151771,264.85,3266,47272,31.15,,N,,Y,N,N,,,,N,
2023-01-16,EIHOTEL, EQ,174.85,173.5,176.5,173.5,174.95,175.45,175.55,170873,299.98,4080,66870,39.13,,N,,Y,N,N,,,,N,
2023-01-17,EIHOTEL, EQ,175.45,175.0,176.45,171.55,172.3,172.25,173.72,180819,314.12,2603,105817,58.52,,N,,N,N,N,,,,N,
