DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,ERIS, EQ,647.25,657.9,672.0,650.1,664.0,664.65,664.16,153310,1018.23,6794,106676,69.58,,N,,Y,N,N,,,,N,
2023-01-03,ERIS, EQ,664.65,668.0,669.5,657.05,658.25,661.25,662.92,17267,114.47,1863,11265,65.24,,N,,N,N,N,,,,N,
2023-01-04,ERIS, EQ,661.25,664.8,664.8,645.75,654.0,650.15,653.41,26714,174.55,4844,13564,50.77,,N,,N,N,N,,,,N,
2023-01-05,ERIS, EQ,650.15,654.4,658.55,647.0,647.0,649.8,650.65,25930,168.71,2972,17003,65.57,,N,,N,N,N,,,,N,
2023-01-06,ERIS, EQ,649.8,652.85,652.85,644.4,646.0,647.15,648.41,17135,111.11,3807,7300,42.6,,N,,N,N,N,,,,N,
2023-01-09,ERIS, EQ,647.15,650.0,653.45,644.0,644.05,647.2,647.72,13183,85.39,1551,7668,58.17,,N,,N,N,N,,,,N,
2023-01-10,ERIS, EQ,647.2,646.2,648.0,641.4,644.0,645.8,645.31,23868,154.02,3749,14025,58.76,,N,,N,N,N,,,,N,
2023-01-11,ERIS, EQ,645.8,645.8,648.5,635.5,639.15,641.55,642.06,15722,100.94,2739,7586,48.25,,N,,N,N,N,,,,N,
2023-01-12,ERIS, EQ,641.55,644.0,644.0,637.45,640.0,639.4,640.96,10114,64.83,1881,4691,46.38,,N,,N,N,N,,,,N,
2023-01-13,ERIS, EQ,639.4,640.15,653.0,637.05,640.7,642.35,645.82,40785,263.4,7786,16187,39.69,,N,,Y,N,N,,,,N,
2023-01-16,ERIS, EQ,642.35,644.9,651.0,640.1,651.0,648.55,644.47,15415,99.34,3022,6316,40.97,,N,,Y,N,N,,,,N,
2023-01-17,ERIS, EQ,648.55,650.45,655.0,646.65,648.5,651.8,650.99,14791,96.29,3645,5292,35.78,,N,,Y,N,N,,,,N,
2023-01-18,ERIS, EQ,651.8,651.0,662.0,625.4,631.8,632.5,643.52,109911,707.29,7136,42348,38.53,,N,,N,N,N,,,,N,
2023-01-19,ERIS, EQ,632.5,638.0,655.0,633.1,654.0,644.1,639.63,33265,212.77,2960,12026,36.15,,N,,Y,N,N,,,,N,
2023-01-20,ERIS, EQ,644.1,650.5,661.0,626.65,631.1,631.6,642.24,52652,338.15,7678,27989,53.16,,N,,N,N,N,,,,N,
2023-01-23,ERIS, EQ,631.6,631.6,638.05,631.6,634.1,635.3,634.83,12728,80.8,2030,6050,47.53,,N,,Y,N,N,,,,N,
2023-01-24,ERIS, EQ,635.3,632.0,639.1,630.0,633.9,635.05,634.78,18271,115.98,2174,9706,53.12,,N,,Y,N,N,,,,N,
2023-01-25,ERIS, EQ,635.05,632.0,636.0,623.05,625.0,624.45,627.03,18545,116.28,1944,12367,66.69,,N,,N,N,N,,,,N,
2023-01-27,ERIS, EQ,624.45,627.6,650.95,616.25,629.95,629.25,631.81,73746,465.93,6630,35207,47.74,,N,,Y,N,N,,,,N,
2023-01-30,ERIS, EQ,629.25,630.0,632.4,605.75,608.75,612.4,615.56,32870,202.33,4380,19743,60.06,,N,,N,N,N,641.7149999999999,12.281759045965645,617.1514819080686,Y,
2023-01-31,ERIS, EQ,612.4,619.95,622.0,607.55,610.0,610.7,612.08,21574,132.05,2999,14254,66.07,,N,,N,N,N,639.0175,12.888951562032581,613.2395968759349,Y,
2023-02-01,ERIS, EQ,610.7,613.3,619.9,608.45,609.1,612.85,615.42,13227,81.4,2578,6681,50.51,,N,,N,N,N,636.5975000000001,13.037804091422647,610.5218918171548,Y,
