DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,ESCORTS, EQ,2140.15,2161.95,2196.0,2127.15,2145.0,2140.6,2154.07,370413,7978.96,20321,33465,9.03,,N,,N,N,N,,,,N,
2023-01-03,ESCORTS, EQ,2140.6,2151.0,2194.0,2142.85,2170.0,2166.8,2175.26,305514,6645.73,14707,51821,16.96,,N,,Y,N,N,,,,N,
2023-01-04,ESCORTS, EQ,2166.8,2165.0,2178.85,2138.4,2141.0,2145.3,2156.16,117916,2542.45,7935,23503,19.93,,N,,N,N,N,,,,N,
2023-01-05,ESCORTS, EQ,2145.3,2142.0,2175.0,2115.2,2163.0,2168.45,2148.88,178211,3829.55,12829,26508,14.87,,N,,Y,N,N,,,,N,
2023-01-06,ESCORTS, EQ,2168.45,2151.1,2175.95,2135.0,2165.2,2164.9,2157.45,134130,2893.78,8737,22260,16.6,,N,,Y,N,N,,,,N,
2023-01-09,ESCORTS, EQ,2164.9,2170.0,2212.6,2170.0,2207.0,2209.35,2200.15,204731,4504.4,14145,60070,29.34,,N,,Y,N,N,,,,N,
2023-01-10,ESCORTS, EQ,2209.35,2212.0,2223.0,2171.05,2175.95,2177.25,2188.27,144965,3172.23,9501,45877,31.65,,N,,N,N,N,,,,N,
2023-01-11,ESCORTS, EQ,2177.25,2185.0,2185.95,2114.0,2126.15,2131.85,2142.89,236313,5063.93,17209,46146,19.53,,N,,N,N,N,,,,N,
2023-01-12,ESCORTS, EQ,2131.85,2131.0,2143.55,2080.5,2109.6,2109.55,2104.96,213180,4487.36,16455,46062,21.61,,N,,N,N,N,,,,N,
2023-01-13,ESCORTS, EQ,2109.55,2118.0,2131.0,2095.0,2118.0,2117.95,2115.3,101721,2151.71,8274,16478,16.2,,N,,N,N,N,,,,N,
2023-01-16,ESCORTS, EQ,2117.95,2113.0,2123.4,2076.0,2084.0,2095.75,2092.36,114922,2404.58,9342,25230,21.95,,N,,N,N,N,,,,N,
2023-01-17,ESCORTS, EQ,2095.75,2086.1,2122.1,2078.0,2101.75,2104.85,2099.91,110192,2313.93,9608,26358,23.92,,N,,Y,N,N,,,,N,
2023-01-18,ESCORTS, EQ,2104.85,2099.4,2122.0,2081.25,2087.1,2091.1,2101.72,366143,7695.28,38294,170427,46.55,,N,,N,N,N,,,,N,
2023-01-19,ESCORTS, EQ,2091.1,2082.5,2105.0,2074.0,2100.0,2101.6,2091.65,91892,1922.06,7618,25260,27.49,,N,,Y,N,N,,,,N,
2023-01-20,ESCORTS, EQ,2101.6,2104.7,2109.0,2075.95,2096.85,2094.9,2093.13,117077,2450.58,7500,47281,40.38,,N,,N,N,N,,,,N,
2023-01-23,ESCORTS, EQ,2094.9,2102.0,2118.2,2083.3,2100.0,2101.65,2102.71,98376,2068.57,10478,23725,24.12,,N,,N,N,N,,,,N,
2023-01-24,ESCORTS, EQ,2101.65,2101.65,2120.9,2081.45,2101.0,2098.85,2097.29,126284,2648.54,11061,28722,22.74,,N,,N,N,N,,,,N,
2023-01-25,ESCORTS, EQ,2098.85,2098.85,2098.85,2060.0,2075.2,2088.8,2079.31,94406,1962.99,8062,14069,14.9,,N,,N,N,N,,,,N,
2023-01-27,ESCORTS, EQ,2088.8,2070.05,2099.0,1997.0,2014.9,2010.2,2033.49,189712,3857.78,20783,56971,30.03,,N,,N,N,N,,,,N,
2023-01-30,ESCORTS, EQ,2010.2,1995.0,2046.55,1990.05,2018.2,2026.4,2015.43,191955,3868.73,20965,52188,27.19,,N,,Y,N,N,2117.305,48.22289503195744,2020.8592099360849,Y,
2023-01-31,ESCORTS, EQ,2026.4,2021.0,2094.7,2021.0,2093.2,2088.4,2073.88,177939,3690.25,22805,29382,16.51,,N,,Y,N,N,2114.695,48.30827786752851,2018.078444264943,Y,
2023-02-01,ESCORTS, EQ,2088.4,2109.3,2121.5,1968.85,2025.0,2016.25,2046.99,292470,5986.84,19649,76499,26.16,,N,,N,N,N,2107.1675,51.39287600385289,2004.3817479922943,Y,
2023-02-02,ESCORTS, EQ,2016.25,2016.0,2061.0,1982.3,2058.9,2051.15,2036.54,194135,3953.64,18497,35206,18.13,,N,,Y,N,N,2102.46,52.024279756768905,1998.4114404864622,Y,
2023-02-03,ESCORTS, EQ,2051.15,2051.0,2087.55,2040.25,2074.85,2077.15,2061.77,144497,2979.19,18418,33633,23.28,,N,,Y,N,N,2097.895,49.890996709141916,1998.113006581716,N,
2023-02-06,ESCORTS, EQ,2077.15,2082.1,2086.0,2050.05,2055.0,2061.9,2066.21,120736,2494.66,16319,31586,26.16,,N,,N,N,N,2092.745,47.8861805688626,1996.9726388622746,N,
2023-02-07,ESCORTS, EQ,2061.9,2061.9,2066.55,2002.0,2006.0,2005.3,2024.22,216942,4391.38,17061,51945,23.94,,N,,N,N,N,2082.5425,43.247586713930936,1996.0473265721382,Y,
2023-02-08,ESCORTS, EQ,2005.3,2020.55,2024.9,1962.0,1983.0,1982.5,1981.59,446733,8852.42,35462,83196,18.62,,N,,N,N,N,2072.805,42.722688721322044,1987.3596225573558,Y,
2023-02-09,ESCORTS, EQ,1982.5,1939.05,1996.0,1915.05,1974.0,1970.2,1959.87,419554,8222.7,26264,38737,9.23,,N,,Y,N,N,2064.7225,46.12013624335144,1972.482227513297,Y,
2023-02-10,ESCORTS, EQ,1970.2,1974.9,2110.0,1965.5,2056.0,2057.8,2064.9,1314242,27137.81,76266,144924,11.03,,N,,Y,N,N,2062.1349999999998,44.90855357513268,1972.3178928497343,Y,
2023-02-13,ESCORTS, EQ,2057.8,2064.0,2105.95,2051.05,2082.0,2079.6,2081.61,547046,11387.38,35289,96370,17.62,,N,,Y,N,N,2060.2174999999997,43.185622226677495,1973.8462555466447,N,
2023-02-14,ESCORTS, EQ,2079.6,2089.9,2100.3,2033.2,2047.0,2052.3,2064.89,280615,5794.39,21863,40534,14.44,,N,,N,N,N,2058.045,42.38960554068387,1973.2657889186323,N,
2023-02-15,ESCORTS, EQ,2052.3,2040.0,2074.8,1991.15,2041.9,2043.65,2038.43,446114,9093.71,41261,38699,8.67,,N,,Y,N,N,2054.985,41.019847891632594,1972.945304216735,Y,
2023-02-16,ESCORTS, EQ,2043.65,2053.9,2107.15,2045.0,2089.0,2088.95,2082.02,396533,8255.91,26877,45037,11.36,,N,,Y,N,N,2054.8775,40.922923298755585,1973.031653402489,N,
2023-02-17,ESCORTS, EQ,2088.95,2088.0,2139.0,2075.0,2088.0,2090.2,2107.95,608561,12828.13,35592,76749,12.61,,N,,Y,N,N,2054.3075,40.312735597027306,1973.6820288059453,N,
2023-02-20,ESCORTS, EQ,2090.2,2096.95,2133.9,2085.55,2110.0,2094.85,2114.17,350962,7419.92,24218,64403,18.35,,N,,N,N,N,2054.3050000000003,40.310087218697376,1973.6848255626055,N,
2023-02-21,ESCORTS, EQ,2094.85,2105.9,2124.35,2084.25,2110.5,2107.05,2106.08,184020,3875.61,15947,29980,16.29,,N,,Y,N,N,2054.575,40.66046023246456,1973.2540795350708,N,
2023-02-22,ESCORTS, EQ,2107.05,2100.0,2120.0,2079.0,2090.0,2087.9,2100.14,228163,4791.74,21532,35452,15.54,,N,,N,N,N,2054.0275,40.10281022768776,1973.8218795446246,N,
2023-02-23,ESCORTS, EQ,2087.9,2098.9,2098.9,2031.0,2037.4,2041.6,2062.44,264800,5461.33,24276,55901,21.11,,N,,N,N,N,2051.6675,39.33017883388419,1973.0071423322315,N,
