DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,GARFIBRES, EQ,3115.8,3116.0,3139.9,3050.0,3060.0,3083.75,3089.41,15688,484.67,7220,8738,55.7,,N,,N,N,N,,,,N,
2023-01-03,GARFIBRES, EQ,3083.75,3070.0,3130.65,3070.0,3113.0,3122.8,3113.1,4722,147.0,1864,2739,58.01,,N,,Y,N,N,,,,N,
2023-01-04,GARFIBRES, EQ,3122.8,3138.45,3138.45,3102.6,3132.9,3126.65,3120.23,4101,127.96,1877,2404,58.62,,N,,N,N,N,,,,N,
2023-01-05,GARFIBRES, EQ,3126.65,3100.0,3149.0,3094.9,3134.0,3125.55,3120.86,7230,225.64,2337,3998,55.3,,N,,Y,N,N,,,,N,
2023-01-06,GARFIBRES, EQ,3125.55,3100.35,3140.0,3042.5,3055.9,3072.2,3066.01,11042,338.55,2461,7974,72.22,,N,,N,N,N,,,,N,
2023-01-09,GARFIBRES, EQ,3072.2,3087.6,3098.45,3036.1,3067.55,3071.35,3058.25,6379,195.09,2511,3226,50.57,,N,,N,N,N,,,,N,
2023-01-10,GARFIBRES, EQ,3071.35,3071.35,3086.3,3019.9,3074.7,3056.8,3049.85,7767,236.88,2825,3085,39.72,,N,,N,N,N,,,,N,
2023-01-11,GARFIBRES, EQ,3056.8,3050.0,3072.1,3006.8,3020.0,3022.55,3039.44,3782,114.95,2066,1488,39.34,,N,,N,N,N,,,,N,
2023-01-12,GARFIBRES, EQ,3022.55,3037.7,3043.55,2995.0,3025.0,3026.7,3020.65,5342,161.36,1925,2744,51.37,,N,,N,N,N,,,,N,
2023-01-13,GARFIBRES, EQ,3026.7,3028.5,3044.7,3003.95,3024.95,3018.05,3025.8,1804,54.59,976,799,44.29,,N,,N,N,N,,,,N,
2023-01-16,GARFIBRES, EQ,3018.05,3033.15,3045.0,2970.0,2993.0,2986.8,3006.2,4039,121.42,1693,1992,49.32,,N,,N,N,N,,,,N,
2023-01-17,GARFIBRES, EQ,2986.8,2990.0,2993.4,2925.0,2930.0,2931.35,2952.47,5761,170.09,1948,3004,52.14,,N,,N,N,N,,,,N,
2023-01-18,GARFIBRES, EQ,2931.35,2925.0,2964.0,2900.0,2929.0,2952.95,2925.0,5682,166.2,2237,3111,54.75,,N,,Y,N,N,,,,N,
2023-01-19,GARFIBRES, EQ,2952.95,2953.0,2979.7,2921.0,2950.0,2965.1,2949.2,5066,149.41,2396,2671,52.72,,N,,Y,N,N,,,,N,
2023-01-20,GARFIBRES, EQ,2965.1,2960.05,2964.8,2930.0,2955.95,2959.05,2956.3,10671,315.47,4168,7080,66.35,,N,,N,N,N,,,,N,
2023-01-23,GARFIBRES, EQ,2959.05,2965.0,2970.0,2916.0,2947.0,2941.55,2936.09,6416,188.38,2123,3517,54.82,,N,,N,N,N,,,,N,
2023-01-24,GARFIBRES, EQ,2941.55,2940.0,2965.85,2900.0,2900.0,2920.6,2944.13,4277,125.92,1724,2284,53.4,,N,,N,N,N,,,,N,
2023-01-25,GARFIBRES, EQ,2920.6,2930.0,2930.0,2870.0,2881.0,2877.8,2892.66,5761,166.65,2491,2991,51.92,,N,,N,N,N,,,,N,
2023-01-27,GARFIBRES, EQ,2877.8,2852.25,2911.65,2839.1,2870.0,2864.0,2866.8,6943,199.04,2799,3277,47.2,,N,,Y,N,N,,,,N,
2023-01-30,GARFIBRES, EQ,2864.0,2864.0,2964.0,2846.0,2865.0,2913.15,2875.38,5421,155.87,2196,2893,53.37,,N,,Y,N,N,3001.9375,82.58556945916601,2836.766361081668,Y,
2023-01-31,GARFIBRES, EQ,2913.15,2913.15,2945.0,2890.0,2909.0,2916.05,2916.08,3821,111.42,1684,1847,48.34,,N,,Y,N,N,2993.5525000000002,82.35493222535067,2828.842635549299,N,
