DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,GPPL, EQ,100.65,101.9,104.3,101.05,102.6,103.25,102.5,5653611,5794.82,34835,1820241,32.2,,N,,Y,N,N,,,,N,
2023-01-03,GPPL, EQ,103.25,103.6,105.7,102.25,104.25,104.2,104.14,3499204,3644.22,24309,1105858,31.6,,N,,Y,N,N,,,,N,
2023-01-04,GPPL, EQ,104.2,104.3,104.7,100.8,102.35,102.3,102.2,3197527,3267.76,18321,1279059,40.0,,N,,N,N,N,,,,N,
2023-01-05,GPPL, EQ,102.3,102.85,102.9,98.5,99.25,99.45,99.6,2403399,2393.78,15470,1007474,41.92,,N,,N,N,N,,,,N,
2023-01-06,GPPL, EQ,99.45,99.8,99.8,95.4,96.4,96.1,96.97,2320891,2250.47,13466,944340,40.69,,N,,N,N,N,,,,N,
2023-01-09,GPPL, EQ,96.1,98.6,98.6,94.3,95.15,95.45,95.65,3021305,2889.88,16623,1249370,41.35,,N,,N,N,N,,,,N,
2023-01-10,GPPL, EQ,95.45,95.4,95.4,92.75,93.55,93.75,94.11,1531272,1441.01,11376,716059,46.76,,N,,N,N,N,,,,N,
2023-01-11,GPPL, EQ,93.75,93.9,95.65,92.8,95.45,95.05,94.7,2146735,2033.01,14095,1304295,60.76,,N,,Y,N,N,,,,N,
2023-01-12,GPPL, EQ,95.05,95.45,96.9,93.35,96.3,96.0,95.05,1226774,1166.08,10259,516391,42.09,,N,,Y,N,N,,,,N,
2023-01-13,GPPL, EQ,96.0,96.4,96.4,94.05,94.55,94.55,94.87,1540236,1461.19,9408,886139,57.53,,N,,N,N,N,,,,N,
2023-01-16,GPPL, EQ,94.55,94.7,95.6,94.15,94.75,94.8,94.89,662735,628.87,7433,265972,40.13,,N,,Y,N,N,,,,N,
2023-01-17,GPPL, EQ,94.8,94.8,95.0,93.8,94.6,94.75,94.53,560422,529.76,4712,162577,29.01,,N,,N,N,N,,,,N,
2023-01-18,GPPL, EQ,94.75,95.0,97.2,94.5,96.6,96.4,96.14,1413861,1359.22,12063,747046,52.84,,N,,Y,N,N,,,,N,
2023-01-19,GPPL, EQ,96.4,96.4,96.9,95.0,95.65,96.2,96.11,1136005,1091.85,8230,691137,60.84,,N,,N,N,N,,,,N,
2023-01-20,GPPL, EQ,96.2,96.0,96.25,93.45,93.5,93.9,94.66,1075037,1017.62,10958,608606,56.61,,N,,N,N,N,,,,N,
2023-01-23,GPPL, EQ,93.9,93.9,95.15,93.8,94.1,94.3,94.25,807824,761.35,6203,415185,51.4,,N,,Y,N,N,,,,N,
2023-01-24,GPPL, EQ,94.3,94.4,94.8,93.55,94.25,94.1,94.03,385383,362.39,4695,174928,45.39,,N,,N,N,N,,,,N,
2023-01-25,GPPL, EQ,94.1,94.1,94.35,90.8,92.0,92.1,91.87,744970,684.37,6555,383650,51.5,,N,,N,N,N,,,,N,
2023-01-27,GPPL, EQ,92.1,92.2,92.65,89.0,90.5,90.5,90.79,1130044,1025.97,10534,489424,43.31,,N,,N,N,N,,,,N,
2023-01-30,GPPL, EQ,90.5,90.0,92.2,89.95,92.0,91.6,91.23,586244,534.86,7601,252734,43.11,,N,,Y,N,N,95.9375,3.6894542100995187,88.55859157980096,N,
2023-01-31,GPPL, EQ,91.6,92.4,94.2,90.15,94.15,93.95,92.57,820441,759.5,9910,401845,48.98,,N,,Y,N,N,95.4725,3.2829894512230946,88.9065210975538,N,
2023-02-01,GPPL, EQ,93.95,94.1,95.75,91.0,92.05,92.4,93.82,732557,687.3,14752,362216,49.45,,N,,N,N,N,94.8825,2.6266986984866727,89.62910260302665,N,
2023-02-02,GPPL, EQ,92.4,92.5,95.45,91.0,91.5,91.35,93.21,1506696,1404.43,13952,905988,60.13,,N,,N,N,N,94.33500000000001,2.084472670914509,90.16605465817099,Y,
2023-02-03,GPPL, EQ,91.35,91.65,92.45,88.2,88.4,88.85,89.52,1727737,1546.75,13044,879881,50.93,,N,,N,N,N,93.80499999999999,2.062950110374637,89.67909977925072,Y,
2023-02-06,GPPL, EQ,88.85,88.9,90.8,88.85,90.3,90.15,90.01,724824,652.42,12997,402387,55.52,,N,,Y,N,N,93.50750000000001,2.142076894290356,89.2233462114193,Y,
2023-02-07,GPPL, EQ,90.15,90.7,92.7,90.35,91.2,90.65,91.41,738007,674.62,9517,306095,41.48,,N,,N,N,N,93.2675,2.1815177599190156,88.90446448016196,N,
2023-02-08,GPPL, EQ,90.65,91.15,93.0,90.8,92.35,92.45,92.07,618121,569.08,5797,286811,46.4,,N,,Y,N,N,93.2025,2.1857477944750636,88.83100441104988,N,
2023-02-09,GPPL, EQ,92.45,98.0,101.7,94.5,98.0,98.45,98.61,15291413,15078.99,58459,4607148,30.13,,N,,Y,N,N,93.3725,2.452897051930309,88.46670589613939,N,
2023-02-10,GPPL, EQ,98.45,97.95,104.0,97.3,101.25,101.55,101.49,5893165,5980.91,34449,1659470,28.16,,N,,Y,N,N,93.65,3.0152681647347954,87.61946367053042,N,
2023-02-13,GPPL, EQ,101.55,101.25,101.25,96.75,97.4,97.6,98.32,1662972,1635.06,14374,626089,37.65,,N,,N,N,N,93.80250000000001,3.137820019326188,87.52685996134764,N,
2023-02-14,GPPL, EQ,97.6,98.0,98.05,95.0,95.8,95.85,96.03,1466623,1408.42,14598,606411,41.35,,N,,N,N,N,93.85499999999999,3.1640621791747705,87.52687564165045,N,
2023-02-15,GPPL, EQ,95.85,96.2,99.95,95.55,98.65,98.45,98.66,1881494,1856.23,18169,602883,32.04,,N,,Y,N,N,94.03999999999999,3.3233068502701677,87.39338629945965,N,
2023-02-16,GPPL, EQ,98.45,98.8,99.25,96.6,97.65,98.05,97.78,1050244,1026.97,12522,375849,35.79,,N,,N,N,N,94.1225,3.4044659137513373,87.31356817249733,N,
2023-02-17,GPPL, EQ,98.05,97.9,99.75,97.0,99.25,99.35,98.96,1336823,1322.97,11700,603931,45.18,,N,,Y,N,N,94.28,3.5742647385235222,87.13147052295295,N,
2023-02-20,GPPL, EQ,99.35,99.45,101.7,99.2,100.1,100.15,100.16,1209416,1211.41,8162,401696,33.21,,N,,Y,N,N,94.5925,3.8050615528599057,86.9823768942802,N,
