DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,GRASIM, EQ,1723.5,1725.4,1748.0,1720.0,1733.0,1731.3,1736.29,310889,5397.93,21463,89481,28.78,,N,,Y,N,N,,,,N,
2023-01-03,GRASIM, EQ,1731.3,1724.5,1742.3,1712.4,1719.0,1717.05,1725.45,546528,9430.04,33437,274739,50.27,,N,,N,N,N,,,,N,
2023-01-04,GRASIM, EQ,1717.05,1722.4,1728.0,1685.5,1688.0,1690.3,1701.01,434242,7386.49,28661,129672,29.86,,N,,N,N,N,,,,N,
2023-01-05,GRASIM, EQ,1690.3,1698.8,1707.85,1676.55,1702.15,1698.3,1692.41,485255,8212.49,36262,212987,43.89,,N,,N,N,N,,,,N,
2023-01-06,GRASIM, EQ,1698.3,1698.9,1699.65,1665.0,1677.15,1680.6,1680.3,584894,9827.95,29074,261478,44.71,,N,,N,N,N,,,,N,
2023-01-09,GRASIM, EQ,1680.6,1699.9,1699.9,1662.5,1669.0,1673.6,1678.2,653830,10972.55,39489,299225,45.76,,N,,N,N,N,,,,N,
2023-01-10,GRASIM, EQ,1673.6,1673.95,1684.7,1633.2,1651.5,1651.0,1651.04,592158,9776.76,40555,284294,48.01,,N,,N,N,N,,,,N,
2023-01-11,GRASIM, EQ,1651.0,1651.5,1658.85,1628.1,1634.0,1635.05,1637.85,643774,10544.05,35478,325721,50.6,,N,,N,N,N,,,,N,
2023-01-12,GRASIM, EQ,1635.05,1639.6,1665.0,1632.1,1643.0,1642.4,1646.37,905079,14900.98,54937,454709,50.24,,N,,Y,N,N,,,,N,
2023-01-13,GRASIM, EQ,1642.4,1648.45,1671.45,1641.15,1654.55,1655.1,1659.03,635356,10540.78,33674,361204,56.85,,N,,Y,N,N,,,,N,
2023-01-16,GRASIM, EQ,1655.1,1659.5,1668.4,1640.0,1649.0,1648.5,1649.86,359143,5925.35,21873,177037,49.29,,N,,N,N,N,,,,N,
2023-01-17,GRASIM, EQ,1648.5,1642.0,1666.0,1642.0,1662.0,1660.7,1657.38,512958,8501.66,35386,278295,54.25,,N,,Y,N,N,,,,N,
2023-01-18,GRASIM, EQ,1660.7,1668.0,1686.8,1663.95,1678.0,1676.5,1675.3,714139,11963.96,32687,299379,41.92,,N,,Y,N,N,,,,N,
2023-01-19,GRASIM, EQ,1676.5,1674.0,1693.0,1668.65,1670.0,1676.9,1681.46,621705,10453.71,33842,379954,61.11,,N,,Y,N,N,,,,N,
2023-01-20,GRASIM, EQ,1676.9,1676.9,1687.45,1652.25,1660.5,1655.35,1664.98,315787,5257.78,20797,134992,42.75,,N,,N,N,N,,,,N,
2023-01-23,GRASIM, EQ,1655.35,1663.0,1667.8,1615.35,1622.5,1631.3,1635.79,672395,10998.97,37375,316458,47.06,,N,,N,N,N,,,,N,
2023-01-24,GRASIM, EQ,1631.3,1634.0,1637.95,1593.2,1602.95,1603.2,1608.31,449028,7221.77,33153,172562,38.43,,N,,N,N,N,,,,N,
2023-01-25,GRASIM, EQ,1603.2,1603.2,1610.95,1582.25,1590.0,1593.75,1596.1,501553,8005.29,28367,168324,33.56,,N,,N,N,N,,,,N,
2023-01-27,GRASIM, EQ,1593.75,1593.95,1602.5,1549.5,1581.85,1578.45,1575.55,911880,14367.15,51506,448453,49.18,,N,,N,N,N,,,,N,
2023-01-30,GRASIM, EQ,1578.45,1579.85,1606.35,1566.0,1599.0,1598.6,1588.86,465449,7395.32,41843,182192,39.14,,N,,Y,N,N,1654.8974999999998,40.66605488287307,1573.5653902342538,Y,
2023-01-31,GRASIM, EQ,1598.6,1602.45,1621.0,1583.1,1590.55,1590.2,1592.67,1528204,24339.27,56423,1065740,69.74,,N,,N,N,N,1647.8425,38.91542541880171,1570.0116491623965,Y,
2023-02-01,GRASIM, EQ,1590.2,1593.0,1623.0,1566.05,1578.55,1587.8,1597.72,739030,11807.62,40877,368643,49.88,,N,,N,N,N,1641.3799999999999,37.52468801371065,1566.3306239725787,Y,
2023-02-02,GRASIM, EQ,1587.8,1575.0,1603.45,1562.7,1598.0,1598.75,1590.48,718483,11427.36,53061,372819,51.89,,N,,Y,N,N,1636.8025,36.82034790352811,1563.1618041929437,Y,
2023-02-03,GRASIM, EQ,1598.75,1600.0,1619.05,1575.85,1613.9,1616.35,1598.89,751430,12014.57,44634,435292,57.93,,N,,Y,N,N,1632.705,34.0739092191326,1564.5571815617348,Y,
2023-02-06,GRASIM, EQ,1616.35,1617.8,1621.15,1597.1,1617.0,1618.1,1611.8,497081,8011.98,27660,231124,46.5,,N,,Y,N,N,1629.58,32.26832975632862,1565.0433404873427,N,
2023-02-07,GRASIM, EQ,1618.1,1619.6,1632.65,1607.35,1613.1,1616.3,1616.49,592717,9581.23,23478,285988,48.25,,N,,N,N,N,1626.7150000000001,30.657780415418298,1565.3994391691635,N,
2023-02-08,GRASIM, EQ,1616.3,1616.95,1641.0,1615.75,1637.9,1636.55,1628.96,511886,8338.41,29958,233185,45.55,,N,,Y,N,N,1625.9925,30.222522426860916,1565.5474551462783,N,
2023-02-09,GRASIM, EQ,1636.55,1636.55,1662.0,1627.65,1644.5,1643.45,1650.46,1018831,16815.44,42984,516866,50.73,,N,,Y,N,N,1626.4125,30.412786762876834,1565.5869264742462,N,
2023-02-10,GRASIM, EQ,1643.45,1640.0,1642.35,1622.5,1638.5,1635.3,1632.21,331940,5417.96,19899,125245,37.73,,N,,N,N,N,1626.0575000000001,30.257388288691363,1565.5427234226174,N,
2023-02-13,GRASIM, EQ,1635.3,1635.0,1643.2,1617.6,1618.3,1622.3,1628.5,241644,3935.17,26864,70840,29.32,,N,,N,N,N,1624.4175,29.479289228559413,1565.4589215428812,N,
2023-02-14,GRASIM, EQ,1622.3,1623.0,1627.75,1578.4,1603.7,1604.7,1602.43,1046887,16775.64,54470,286734,27.39,,N,,N,N,N,1622.2275,29.221866699803066,1563.7837666003938,Y,
2023-02-15,GRASIM, EQ,1604.7,1604.7,1640.0,1598.15,1629.2,1626.15,1615.94,641985,10374.07,37680,159185,24.8,,N,,Y,N,N,1620.4999999999998,27.815179498366053,1564.8696410032676,N,
2023-02-16,GRASIM, EQ,1626.15,1632.2,1642.7,1616.95,1627.0,1629.65,1630.89,311183,5075.05,17489,104900,33.71,,N,,N,N,N,1618.1575,24.642684806524073,1568.872130386952,N,
2023-02-17,GRASIM, EQ,1629.65,1625.1,1668.8,1621.95,1643.85,1642.95,1650.74,873623,14421.25,36189,245406,28.09,,N,,Y,N,N,1616.46,21.3299061117683,1573.8001877764634,N,
2023-02-20,GRASIM, EQ,1642.95,1644.0,1650.3,1622.15,1631.6,1632.0,1635.18,445964,7292.32,29325,228566,51.25,,N,,N,N,N,1615.2925,19.663125220093125,1575.9662495598138,N,
2023-02-21,GRASIM, EQ,1632.0,1635.0,1658.9,1625.2,1634.8,1633.15,1640.58,537330,8815.32,33035,207231,38.57,,N,,N,N,N,1615.3849999999998,19.746565990598533,1575.8918680188026,N,
2023-02-22,GRASIM, EQ,1633.15,1634.25,1634.25,1570.6,1577.0,1574.15,1589.52,1052145,16724.11,47058,517464,49.18,,N,,N,N,N,1613.9325000000001,21.665235765841192,1570.6020284683177,Y,
2023-02-23,GRASIM, EQ,1574.15,1582.0,1588.5,1568.15,1578.3,1580.35,1578.87,483615,7635.64,41126,181869,37.61,,N,,N,N,N,1613.2625,22.512849401128815,1568.2368011977424,Y,
2023-02-24,GRASIM, EQ,1580.35,1580.6,1594.5,1571.1,1582.0,1575.2,1580.37,389169,6150.3,20956,169814,43.64,,N,,N,N,N,1613.1,22.78740995882573,1567.5251800823485,Y,
2023-02-27,GRASIM, EQ,1575.2,1581.0,1584.95,1554.05,1577.95,1571.6,1567.43,395928,6205.9,26616,160975,40.66,,N,,N,N,N,1611.75,24.432080937721622,1562.8858381245568,Y,
2023-02-28,GRASIM, EQ,1571.6,1578.0,1584.45,1558.1,1571.0,1578.55,1572.32,739148,11621.81,34175,408146,55.22,,N,,Y,N,N,1611.1675,25.102585707662445,1560.962328584675,Y,
2023-03-01,GRASIM, EQ,1578.55,1568.0,1598.0,1568.0,1595.0,1593.65,1586.85,286958,4553.6,24445,113283,39.48,,N,,Y,N,N,1611.4599999999998,24.848772075984414,1561.762455848031,Y,
2023-03-02,GRASIM, EQ,1593.65,1594.0,1602.0,1588.0,1600.95,1598.5,1595.02,284986,4545.57,22806,135383,47.51,,N,,Y,N,N,1611.4474999999998,24.85556421343988,1561.73637157312,N,
