DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,HCLTECH, EQ,1039.3,1039.1,1042.5,1031.5,1040.0,1039.45,1037.65,701880,7283.03,44293,343818,48.99,,N,,Y,N,N,,,,N,
2023-01-03,HCLTECH, EQ,1039.45,1039.0,1045.8,1033.5,1041.5,1041.35,1041.49,2484372,25874.58,63081,1944736,78.28,,N,,Y,N,N,,,,N,
2023-01-04,HCLTECH, EQ,1041.35,1036.2,1042.0,1031.5,1036.5,1036.6,1036.34,1219170,12634.7,66112,780222,64.0,,N,,Y,N,N,,,,N,
2023-01-05,HCLTECH, EQ,1036.6,1041.8,1049.8,1033.1,1043.6,1044.1,1042.99,2294943,23935.96,77635,1641855,71.54,,N,,Y,N,N,,,,N,
2023-01-06,HCLTECH, EQ,1044.1,1044.0,1047.9,1025.25,1033.0,1032.8,1036.15,1887689,19559.3,48750,1397403,74.03,,N,,N,N,N,,,,N,
2023-01-09,HCLTECH, EQ,1032.8,1044.95,1071.0,1040.05,1064.0,1067.45,1060.28,4562242,48372.56,162320,2871591,62.94,,N,,Y,N,N,,,,N,
2023-01-10,HCLTECH, EQ,1067.45,1061.0,1072.6,1056.3,1069.0,1063.85,1062.54,2297082,24407.41,61481,1617663,70.42,,N,,Y,N,N,,,,N,
2023-01-11,HCLTECH, EQ,1063.85,1069.0,1079.6,1050.55,1058.0,1054.8,1063.91,3594167,38238.63,97897,2439255,67.87,,N,,N,N,N,,,,N,
2023-01-12,HCLTECH, EQ,1054.8,1061.0,1074.5,1061.0,1072.5,1071.65,1069.5,4748542,50785.44,120034,3160712,66.56,,N,,Y,N,N,,,,N,
2023-01-13,HCLTECH, EQ,1071.65,1043.9,1084.0,1041.0,1077.0,1077.8,1063.52,8253765,87780.7,164436,3742386,45.34,,N,,Y,N,N,,,,N,
2023-01-16,HCLTECH, EQ,1077.8,1087.0,1100.45,1078.55,1093.8,1093.7,1093.92,4508538,49320.02,124755,2611142,57.92,,N,,Y,N,N,,,,N,
2023-01-17,HCLTECH, EQ,1093.7,1097.9,1113.95,1095.0,1111.0,1111.05,1109.84,4390338,48725.59,144343,2847277,64.85,,N,,Y,N,N,,,,N,
2023-01-18,HCLTECH, EQ,1111.05,1118.95,1125.85,1114.1,1115.0,1115.15,1119.7,6905092,77316.05,139197,5531056,80.1,,N,,N,N,N,,,,N,
2023-01-19,HCLTECH, EQ,1115.15,1102.35,1113.35,1098.75,1108.05,1111.4,1110.11,2298287,25513.54,82245,1583315,68.89,,N,,Y,N,N,,,,N,
2023-01-20,HCLTECH, EQ,1111.4,1111.05,1121.4,1107.05,1108.0,1107.8,1116.28,4747128,52991.35,92006,3699743,77.94,,N,,N,N,N,,,,N,
2023-01-23,HCLTECH, EQ,1107.8,1111.0,1122.9,1108.15,1122.0,1121.2,1114.32,1696834,18908.13,64903,1136786,66.99,,N,,Y,N,N,,,,N,
2023-01-24,HCLTECH, EQ,1121.2,1125.9,1143.7,1121.2,1136.3,1137.85,1135.41,4861107,55193.73,105080,3575965,73.56,,N,,Y,N,N,,,,N,
2023-01-25,HCLTECH, EQ,1137.85,1134.85,1134.85,1116.75,1121.45,1122.75,1123.98,2692236,30260.13,111721,2036462,75.64,,N,,N,N,N,,,,N,
2023-01-27,HCLTECH, EQ,1122.75,1122.75,1134.3,1105.0,1112.9,1115.6,1124.35,3864525,43450.65,122687,2893480,74.87,,N,,N,N,N,,,,N,
2023-01-30,HCLTECH, EQ,1115.6,1115.6,1139.95,1105.8,1135.0,1134.75,1126.0,3508427,39504.92,123886,2630253,74.97,,N,,Y,N,N,1085.0549999999998,35.86367793097693,1013.327644138046,N,
2023-01-31,HCLTECH, EQ,1134.75,1136.0,1137.7,1113.0,1123.55,1122.2,1121.62,4582858,51402.06,115608,3299434,72.0,,N,,N,N,N,1089.1924999999999,35.09042557600664,1019.0116488479866,N,
2023-02-01,HCLTECH, EQ,1122.2,1137.0,1137.0,1114.45,1127.4,1132.1,1128.63,2393911,27018.45,86744,1651054,68.97,,N,,N,N,N,1093.73,34.439720030648765,1024.8505599387024,N,
2023-02-02,HCLTECH, EQ,1132.1,1137.8,1155.5,1135.0,1149.0,1149.6,1147.38,3048359,34976.26,133617,2031044,66.63,,N,,Y,N,N,1099.3799999999999,33.83781907865806,1031.7043618426837,N,
2023-02-03,HCLTECH, EQ,1149.6,1154.0,1156.65,1138.6,1145.0,1146.15,1146.37,1814055,20795.71,77381,1171406,64.57,,N,,N,N,N,1104.4825,32.73964792194058,1039.003204156119,N,
2023-02-06,HCLTECH, EQ,1146.15,1135.2,1149.85,1128.0,1145.0,1145.7,1141.29,2070175,23626.61,101211,1401278,67.69,,N,,Y,N,N,1110.1275,29.279944074400102,1051.5676118512,N,
2023-02-07,HCLTECH, EQ,1145.7,1147.85,1153.0,1125.9,1128.9,1128.25,1135.18,1931191,21922.41,45888,1305066,67.58,,N,,N,N,N,1113.1675,27.7310498358789,1057.7054003282421,N,
2023-02-08,HCLTECH, EQ,1128.25,1133.9,1149.0,1132.7,1144.0,1145.0,1144.35,2848255,32594.05,66187,2149431,75.46,,N,,Y,N,N,1117.225,26.019261589910858,1065.186476820178,N,
2023-02-09,HCLTECH, EQ,1145.0,1144.0,1152.0,1138.0,1143.9,1146.35,1147.12,1501083,17219.2,64833,1007561,67.12,,N,,Y,N,N,1121.8025,22.23718125714585,1077.3281374857083,N,
