DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,INDUSINDBK, EQ,1220.1,1220.1,1231.1,1211.75,1226.45,1226.35,1220.74,2587946,31592.06,69561,1067235,41.24,,N,,Y,N,N,,,,N,
2023-01-03,INDUSINDBK, EQ,1226.35,1226.55,1249.85,1222.3,1240.6,1240.95,1238.97,2195814,27205.53,64075,780163,35.53,,N,,Y,N,N,,,,N,
2023-01-04,INDUSINDBK, EQ,1240.95,1258.0,1273.4,1206.1,1220.95,1223.1,1232.63,8001367,98627.57,163475,2988623,37.35,,N,,N,N,N,,,,N,
2023-01-05,INDUSINDBK, EQ,1223.1,1229.25,1232.5,1203.8,1215.0,1215.85,1216.61,2364186,28762.97,100477,969594,41.01,,N,,N,N,N,,,,N,
2023-01-06,INDUSINDBK, EQ,1215.85,1214.0,1217.7,1176.1,1182.0,1181.9,1192.91,3029739,36142.11,112061,1301120,42.94,,N,,N,N,N,,,,N,
2023-01-09,INDUSINDBK, EQ,1181.9,1190.15,1223.6,1188.05,1218.0,1218.65,1213.18,2836421,34410.87,89477,1343173,47.35,,N,,Y,N,N,,,,N,
2023-01-10,INDUSINDBK, EQ,1218.65,1215.0,1231.15,1205.0,1231.0,1227.55,1219.12,2442613,29778.36,72993,895444,36.66,,N,,Y,N,N,,,,N,
2023-01-11,INDUSINDBK, EQ,1227.55,1232.4,1238.2,1207.4,1213.9,1213.25,1220.24,2675249,32644.57,97127,1103690,41.26,,N,,N,N,N,,,,N,
2023-01-12,INDUSINDBK, EQ,1213.25,1214.0,1224.75,1197.3,1207.1,1209.15,1211.55,1862790,22568.6,60638,538265,28.9,,N,,N,N,N,,,,N,
2023-01-13,INDUSINDBK, EQ,1209.15,1213.0,1237.3,1210.1,1233.2,1234.4,1225.5,2184432,26770.13,64636,821004,37.58,,N,,Y,N,N,,,,N,
