DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,NESTLEIND, EQ,19606.0,19616.65,19715.0,19501.25,19599.0,19561.55,19591.15,25164,4929.92,11106,10313,40.98,,N,,N,N,N,,,,N,
2023-01-03,NESTLEIND, EQ,19561.55,19599.0,19760.95,19475.95,19715.75,19727.3,19650.81,31415,6173.3,11481,17240,54.88,,N,,Y,N,N,,,,N,
2023-01-04,NESTLEIND, EQ,19727.3,19780.0,19798.0,19500.0,19540.0,19519.9,19563.85,31984,6257.3,11597,16414,51.32,,N,,N,N,N,,,,N,
2023-01-05,NESTLEIND, EQ,19519.9,19540.0,19894.15,19519.5,19773.0,19776.0,19731.65,51393,10140.69,17694,22835,44.43,,N,,Y,N,N,,,,N,
2023-01-06,NESTLEIND, EQ,19776.0,19800.0,19926.45,19776.55,19890.0,19885.25,19874.16,39386,7827.64,10738,21627,54.91,,N,,Y,N,N,,,,N,
2023-01-09,NESTLEIND, EQ,19885.25,19934.95,20164.3,19896.5,20005.0,20085.7,20057.95,36144,7249.74,13307,19996,55.32,,N,,Y,N,N,,,,N,
2023-01-10,NESTLEIND, EQ,20085.7,20063.05,20189.0,19955.05,20020.0,20023.95,20053.64,31668,6350.59,13227,17241,54.44,,N,,N,N,N,,,,N,
2023-01-11,NESTLEIND, EQ,20023.95,20070.0,20084.9,19717.4,19777.95,19758.3,19804.36,32510,6438.4,10907,15818,48.66,,N,,N,N,N,,,,N,
2023-01-12,NESTLEIND, EQ,19758.3,19758.3,19950.0,19740.0,19919.1,19873.25,19841.0,33062,6559.83,16544,18366,55.55,,N,,Y,N,N,,,,N,
2023-01-13,NESTLEIND, EQ,19873.25,19950.0,19950.0,19725.05,19782.3,19784.35,19821.51,34771,6892.14,13004,20432,58.76,,N,,N,N,N,,,,N,
2023-01-16,NESTLEIND, EQ,19784.35,19840.0,19840.0,19701.0,19725.0,19735.6,19744.15,24265,4790.92,11225,14887,61.35,,N,,N,N,N,,,,N,
2023-01-17,NESTLEIND, EQ,19735.6,19735.9,19966.2,19712.7,19943.95,19945.75,19895.93,40187,7995.58,16500,24891,61.94,,N,,Y,N,N,,,,N,
2023-01-18,NESTLEIND, EQ,19945.75,19949.95,20041.9,19773.35,19829.95,19823.35,19864.95,36399,7230.64,15692,21825,59.96,,N,,N,N,N,,,,N,
2023-01-19,NESTLEIND, EQ,19823.35,19823.35,19895.0,19611.65,19632.25,19681.1,19687.36,30999,6102.88,12930,15822,51.04,,N,,N,N,N,,,,N,
2023-01-20,NESTLEIND, EQ,19681.1,19660.1,19667.85,19149.85,19180.1,19200.05,19296.35,72022,13897.62,27956,40754,56.59,,N,,N,N,N,,,,N,
2023-01-23,NESTLEIND, EQ,19200.05,19250.0,19440.0,19151.05,19372.0,19367.1,19356.69,37900,7336.18,13408,21487,56.69,,N,,Y,N,N,,,,N,
2023-01-24,NESTLEIND, EQ,19367.1,19400.0,19434.0,19148.8,19362.1,19290.7,19279.69,37712,7270.76,13689,23667,62.76,,N,,N,N,N,,,,N,
2023-01-25,NESTLEIND, EQ,19290.7,19349.0,19350.5,19150.0,19349.0,19235.5,19227.21,41160,7913.92,12611,26603,64.63,,N,,N,N,N,,,,N,
2023-01-27,NESTLEIND, EQ,19235.5,19260.05,19394.0,19026.05,19206.0,19216.35,19185.74,44777,8590.8,19954,26425,59.01,,N,,N,N,N,,,,N,
2023-01-30,NESTLEIND, EQ,19216.35,19206.0,19213.65,18978.0,19190.0,19165.9,19114.75,49830,9524.88,18347,31638,63.49,,N,,N,N,N,19632.8475,293.5233970208905,19045.80070595822,Y,
2023-01-31,NESTLEIND, EQ,19165.9,19200.0,19200.0,18929.0,19030.0,19017.75,19014.34,117500,22341.85,43383,91147,77.57,,N,,N,N,N,19605.6575,324.07271652930456,18957.512066941392,Y,
2023-02-01,NESTLEIND, EQ,19017.75,19100.0,19177.05,18915.25,19086.8,19089.85,19063.92,68805,13116.93,20543,44748,65.04,,N,,N,N,N,19573.785,342.3127794483907,18889.15944110322,Y,
2023-02-02,NESTLEIND, EQ,19089.85,19129.0,19129.0,18850.5,18952.2,18954.6,18954.48,70922,13442.9,25207,47687,67.24,,N,,N,N,N,19545.519999999997,369.2731842131856,18806.973631573626,Y,
2023-02-03,NESTLEIND, EQ,18954.6,19005.4,19054.65,18770.1,18950.0,19004.3,18925.21,55578,10518.25,23947,35545,63.96,,N,,N,N,N,19506.935,383.9485313986174,18739.037937202767,Y,
