DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,TATACONSUM, EQ,766.95,769.9,771.0,758.1,762.0,762.3,762.62,1061086,8092.09,40877,523529,49.34,,N,,N,N,N,,,,N,
2023-01-03,TATACONSUM, EQ,762.3,765.0,767.9,759.1,767.6,767.15,764.17,785495,6002.51,32161,441718,56.23,,N,,Y,N,N,,,,N,
2023-01-04,TATACONSUM, EQ,767.15,767.5,767.5,759.4,761.65,762.25,762.7,1004383,7660.39,41952,623867,62.11,,N,,N,N,N,,,,N,
2023-01-05,TATACONSUM, EQ,762.25,762.0,781.0,760.1,764.0,763.85,767.85,3198519,24559.84,65444,1613834,50.46,,N,,Y,N,N,,,,N,
2023-01-06,TATACONSUM, EQ,763.85,763.8,770.85,759.05,762.05,761.35,764.53,603050,4610.5,27177,245273,40.67,,N,,N,N,N,,,,N,
2023-01-09,TATACONSUM, EQ,761.35,765.2,768.8,761.1,767.5,766.95,765.02,729173,5578.32,40496,382804,52.5,,N,,Y,N,N,,,,N,
2023-01-10,TATACONSUM, EQ,766.95,766.95,772.8,764.55,769.4,769.25,768.74,873061,6711.56,31979,418748,47.96,,N,,Y,N,N,,,,N,
2023-01-11,TATACONSUM, EQ,769.25,772.0,772.75,755.5,758.95,759.3,761.85,688374,5244.36,36401,358020,52.01,,N,,N,N,N,,,,N,
2023-01-12,TATACONSUM, EQ,759.3,760.0,763.85,752.0,754.0,754.25,755.37,763021,5763.61,35974,422827,55.41,,N,,N,N,N,,,,N,
2023-01-13,TATACONSUM, EQ,754.25,755.1,757.6,750.0,752.8,752.9,753.46,1067599,8043.98,31013,714729,66.95,,N,,N,N,N,,,,N,
2023-01-16,TATACONSUM, EQ,752.9,752.1,755.0,745.1,747.4,747.25,747.96,838829,6274.07,30903,499578,59.56,,N,,N,N,N,,,,N,
2023-01-17,TATACONSUM, EQ,747.25,744.0,752.8,741.6,751.0,750.05,746.82,1427736,10662.62,59113,961360,67.33,,N,,Y,N,N,,,,N,
2023-01-18,TATACONSUM, EQ,750.05,750.0,752.7,746.55,751.0,750.5,750.19,747592,5608.39,29485,500753,66.98,,N,,Y,N,N,,,,N,
2023-01-19,TATACONSUM, EQ,750.5,750.2,752.75,737.6,738.0,738.5,742.14,1140422,8463.48,51424,748885,65.67,,N,,N,N,N,,,,N,
2023-01-20,TATACONSUM, EQ,738.5,738.0,742.9,736.0,738.5,738.45,739.42,878832,6498.3,32499,492943,56.09,,N,,Y,N,N,,,,N,
2023-01-23,TATACONSUM, EQ,738.45,739.15,743.9,734.0,742.1,742.45,739.61,682160,5045.31,30232,325370,47.7,,N,,Y,N,N,,,,N,
2023-01-24,TATACONSUM, EQ,742.45,743.85,749.5,740.0,740.55,740.9,743.57,653737,4860.97,37249,360463,55.14,,N,,N,N,N,,,,N,
2023-01-25,TATACONSUM, EQ,740.9,740.35,742.5,731.2,739.0,740.05,735.66,868627,6390.18,36222,493864,56.86,,N,,N,N,N,,,,N,
2023-01-27,TATACONSUM, EQ,740.05,740.05,745.9,725.7,736.0,735.25,734.18,772860,5674.21,40748,345903,44.76,,N,,N,N,N,,,,N,
2023-01-30,TATACONSUM, EQ,735.25,736.0,740.35,727.55,736.55,735.65,735.21,1295677,9525.9,55649,865291,66.78,,N,,N,N,N,751.9300000000001,11.580875796351775,728.7682484072965,Y,
2023-01-31,TATACONSUM, EQ,735.65,736.0,739.4,725.05,730.0,729.5,729.7,2189899,15979.65,112108,1604812,73.28,,N,,N,N,N,750.2900000000001,12.333081315585432,725.6238373688292,Y,
2023-02-01,TATACONSUM, EQ,729.5,737.25,748.4,731.25,739.1,740.8,740.45,933031,6908.66,40464,359332,38.51,,N,,Y,N,N,748.9725,11.834555502737274,725.3033889945254,Y,
2023-02-02,TATACONSUM, EQ,740.8,738.8,742.75,732.8,737.0,737.15,737.67,704702,5198.36,35827,312866,44.4,,N,,N,N,N,747.7175,11.682322171374592,724.3528556572508,N,
2023-02-03,TATACONSUM, EQ,737.15,737.15,741.0,720.45,725.0,726.6,727.19,1752697,12745.4,77624,901834,51.45,,N,,N,N,N,745.855,11.941456977138232,721.9720860457236,Y,
2023-02-06,TATACONSUM, EQ,726.6,728.4,732.5,721.0,730.0,729.75,728.11,852170,6204.71,33527,362752,42.57,,N,,Y,N,N,744.275,11.873715997064647,720.5275680058706,Y,
2023-02-07,TATACONSUM, EQ,729.75,731.8,734.95,722.0,727.4,728.2,727.86,1244247,9056.41,43971,423800,34.06,,N,,N,N,N,742.3375,11.116344947868507,720.1048101042629,Y,
2023-02-08,TATACONSUM, EQ,728.2,731.85,731.85,721.1,724.0,724.4,723.3,1521104,11002.19,35900,924466,60.78,,N,,N,N,N,740.095,9.853624767192722,720.3877504656145,Y,
2023-02-09,TATACONSUM, EQ,724.4,724.5,726.35,720.8,722.0,721.95,722.59,688243,4973.19,33658,385555,56.02,,N,,N,N,N,738.2275000000001,9.557147710924212,719.1132045781517,Y,
2023-02-10,TATACONSUM, EQ,721.95,722.0,728.0,719.15,726.5,726.6,724.39,651630,4720.36,34263,303294,46.54,,N,,Y,N,N,736.845,9.106661818344174,718.6316763633117,Y,
2023-02-13,TATACONSUM, EQ,726.6,726.6,729.5,716.0,717.8,717.8,721.39,599763,4326.6,33943,287031,47.86,,N,,N,N,N,735.09,9.231077373399522,716.627845253201,Y,
2023-02-14,TATACONSUM, EQ,717.8,718.0,723.75,715.0,721.05,721.0,720.07,563171,4055.21,32104,274025,48.66,,N,,Y,N,N,733.7775,9.277171685038999,715.2231566299221,Y,
2023-02-15,TATACONSUM, EQ,721.0,721.05,729.8,717.2,729.0,728.1,722.54,727403,5255.77,29217,406865,55.93,,N,,Y,N,N,732.6800000000001,8.518098379333601,715.6438032413329,Y,
2023-02-16,TATACONSUM, EQ,728.1,732.2,735.5,728.1,733.75,732.6,732.11,837121,6128.63,42932,458852,54.81,,N,,Y,N,N,731.785,7.416324454947931,716.9523510901041,N,
2023-02-17,TATACONSUM, EQ,732.6,731.2,734.8,724.15,725.0,726.25,729.34,624402,4554.01,19656,353157,56.56,,N,,N,N,N,731.1724999999999,7.337995477757214,716.4965090444855,N,
2023-02-20,TATACONSUM, EQ,726.25,726.95,729.45,718.6,722.0,721.8,720.71,1316763,9489.98,33996,920995,69.94,,N,,N,N,N,730.34,7.41299712098934,715.5140057580213,Y,
2023-02-21,TATACONSUM, EQ,721.8,725.45,730.0,722.05,726.3,726.2,726.17,673449,4890.35,27255,306659,45.54,,N,,Y,N,N,729.5274999999999,6.887755630942931,715.751988738114,Y,
2023-02-22,TATACONSUM, EQ,726.2,726.0,734.0,719.85,722.9,721.45,724.26,1690647,12244.64,47937,790797,46.77,,N,,N,N,N,728.5550000000001,6.562972288770192,715.4290554224597,Y,
2023-02-23,TATACONSUM, EQ,721.45,722.95,724.95,715.0,715.5,716.1,717.93,1165270,8365.86,35840,691744,59.36,,N,,N,N,N,727.3575,6.540124636669083,714.2772507266618,Y,
2023-02-24,TATACONSUM, EQ,716.1,717.0,721.35,713.6,717.0,716.15,716.65,1040351,7455.71,29640,590776,56.79,,N,,N,N,N,726.4024999999999,6.719051370230609,712.9643972595387,Y,
2023-02-27,TATACONSUM, EQ,716.15,720.0,720.5,700.0,711.85,710.3,707.41,1064436,7529.97,38917,482162,45.3,,N,,N,N,N,725.135,7.252623844622573,710.6297523107548,Y,
2023-02-28,TATACONSUM, EQ,710.3,712.0,717.75,705.55,715.95,715.3,713.93,2395442,17101.78,30572,1841080,76.86,,N,,Y,N,N,724.425,7.493865912584691,709.4372681748306,Y,
2023-03-01,TATACONSUM, EQ,715.3,712.95,716.9,709.55,716.9,715.25,714.0,991540,7079.58,28710,609645,61.48,,N,,Y,N,N,723.1475,6.690143476552058,709.7672130468959,Y,
2023-03-02,TATACONSUM, EQ,715.25,716.85,718.35,705.85,707.0,707.35,711.54,969963,6901.64,29991,576648,59.45,,N,,N,N,N,721.6575,6.7258001871826005,708.2058996256349,Y,
