DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,TECHM, EQ,1016.4,1017.9,1021.85,1005.2,1010.0,1009.5,1009.72,1348611,13617.23,44695,603364,44.74,,N,,N,N,N,,,,N,
2023-01-03,TECHM, EQ,1009.5,1013.0,1024.8,1008.05,1024.5,1023.8,1018.43,1439615,14661.43,54551,763642,53.04,,N,,Y,N,N,,,,N,
2023-01-04,TECHM, EQ,1023.8,1023.8,1029.35,1012.1,1019.7,1020.3,1020.17,1702044,17363.73,53263,995616,58.5,,N,,N,N,N,,,,N,
2023-01-05,TECHM, EQ,1020.3,1021.0,1024.95,1004.5,1012.8,1011.65,1013.24,1376035,13942.55,53787,746970,54.28,,N,,N,N,N,,,,N,
2023-01-06,TECHM, EQ,1011.65,1009.5,1011.65,985.0,986.0,986.15,994.35,2346808,23335.57,101184,1350862,57.56,,N,,N,N,N,,,,N,
2023-01-09,TECHM, EQ,986.15,997.95,1021.0,995.4,1013.0,1015.25,1014.21,2190779,22219.19,80823,685986,31.31,,N,,Y,N,N,,,,N,
2023-01-10,TECHM, EQ,1015.25,1013.0,1014.05,999.05,1002.8,1002.65,1003.85,1411099,14165.38,69911,710936,50.38,,N,,N,N,N,,,,N,
2023-01-11,TECHM, EQ,1002.65,1008.45,1016.95,1003.25,1006.0,1006.35,1010.02,1294200,13071.73,47456,597563,46.17,,N,,N,N,N,,,,N,
2023-01-12,TECHM, EQ,1006.35,1010.0,1013.5,997.3,1001.25,1001.55,1004.27,1948321,19566.39,74209,1231160,63.19,,N,,N,N,N,,,,N,
2023-01-13,TECHM, EQ,1001.55,1004.45,1009.0,986.3,1002.8,1003.15,998.08,2837817,28323.63,81920,1333703,47.0,,N,,N,N,N,,,,N,
2023-01-16,TECHM, EQ,1003.15,1008.2,1035.75,1003.25,1034.0,1034.45,1024.66,4286551,43922.64,118445,2224306,51.89,,N,,Y,N,N,,,,N,
2023-01-17,TECHM, EQ,1034.45,1034.0,1050.0,1030.9,1046.0,1046.05,1041.45,2466876,25691.28,89087,1391791,56.42,,N,,Y,N,N,,,,N,
2023-01-18,TECHM, EQ,1046.05,1046.05,1051.5,1043.5,1047.5,1048.35,1047.97,1138627,11932.5,74840,629171,55.26,,N,,Y,N,N,,,,N,
2023-01-19,TECHM, EQ,1048.35,1043.9,1054.0,1040.1,1053.0,1053.3,1047.74,1768051,18524.56,59084,1157304,65.46,,N,,Y,N,N,,,,N,
2023-01-20,TECHM, EQ,1053.3,1052.5,1057.5,1041.85,1046.65,1046.5,1050.71,1160517,12193.63,87236,694656,59.86,,N,,N,N,N,,,,N,
2023-01-23,TECHM, EQ,1046.5,1053.5,1069.6,1047.25,1063.25,1065.3,1061.51,1344952,14276.82,54197,733722,54.55,,N,,Y,N,N,,,,N,
2023-01-24,TECHM, EQ,1065.3,1070.0,1077.3,1065.3,1068.8,1070.6,1071.13,1578750,16910.47,74473,747266,47.33,,N,,Y,N,N,,,,N,
2023-01-25,TECHM, EQ,1070.6,1065.0,1067.7,1049.0,1050.45,1051.15,1057.06,1049973,11098.87,46075,542124,51.63,,N,,N,N,N,,,,N,
2023-01-27,TECHM, EQ,1051.15,1051.0,1057.65,1021.5,1032.0,1030.1,1037.63,1651820,17139.86,82040,892445,54.03,,N,,N,N,N,,,,N,
2023-01-30,TECHM, EQ,1030.1,1030.1,1047.95,1018.4,1039.2,1036.1,1034.84,2654212,27466.76,103423,1759386,66.29,,N,,Y,N,N,1028.1125,23.62488025589262,980.8627394882147,N,
2023-01-31,TECHM, EQ,1036.1,1025.0,1028.85,996.05,1016.1,1015.0,1009.23,5797831,58513.24,202100,3054320,52.68,,N,,N,N,N,1028.3875,23.428013343229257,981.5314733135415,N,
2023-02-01,TECHM, EQ,1015.0,1018.05,1034.5,1003.3,1025.0,1023.75,1022.79,1939670,19838.66,89116,863090,44.5,,N,,Y,N,N,1028.385,23.428531301542787,981.5279373969145,N,
2023-02-02,TECHM, EQ,1023.75,1027.3,1044.25,1011.1,1017.0,1016.65,1021.68,3860090,39437.62,132463,2604316,67.47,,N,,N,N,N,1028.2024999999999,23.508903548499095,981.1846929030016,N,
2023-02-03,TECHM, EQ,1016.65,1024.45,1026.9,1003.0,1012.55,1011.3,1010.05,2980262,30102.25,83244,1915276,64.27,,N,,N,N,N,1028.185,23.522000340107166,981.1409993197856,N,
2023-02-06,TECHM, EQ,1011.3,1006.0,1016.4,997.0,1004.0,1005.35,1004.15,2003960,20122.73,110679,1175978,58.68,,N,,N,N,N,1029.145,22.062673288420438,985.0196534231591,N,
2023-02-07,TECHM, EQ,1005.35,1005.0,1008.45,997.0,1002.0,1002.45,1002.02,1697633,17010.58,84377,1068105,62.92,,N,,N,N,N,1028.5049999999999,22.664404621390492,983.1761907572189,N,
2023-02-08,TECHM, EQ,1002.45,1007.5,1021.15,1004.35,1010.5,1011.05,1013.45,2611176,26462.87,81882,1689293,64.69,,N,,Y,N,N,1028.925,22.23380250169125,984.4573949966175,N,
2023-02-09,TECHM, EQ,1011.05,1011.05,1017.7,1002.6,1017.0,1016.0,1011.89,1782899,18041.06,95004,1121450,62.9,,N,,Y,N,N,1029.4074999999998,21.818951654829597,985.7695966903406,N,
2023-02-10,TECHM, EQ,1016.0,1011.55,1021.6,1004.1,1017.0,1017.35,1013.12,1116554,11312.05,41203,524301,46.96,,N,,Y,N,N,1030.1974999999998,21.028961701975668,988.1395765960484,N,
2023-02-13,TECHM, EQ,1017.35,1015.0,1017.8,1000.5,1002.35,1002.5,1004.76,1682312,16903.17,62532,1024096,60.87,,N,,N,N,N,1030.165,21.073418652041532,988.0181626959169,N,
2023-02-14,TECHM, EQ,1002.5,1006.05,1025.7,1005.75,1012.15,1012.05,1015.94,2440189,24790.8,85046,1101619,45.14,,N,,Y,N,N,1029.045,21.425998103632036,986.193003792736,N,
2023-02-15,TECHM, EQ,1012.05,1014.9,1075.0,1008.3,1068.6,1071.4,1054.6,6712218,70787.17,135751,3228936,48.11,,N,,Y,N,N,1030.3125,23.164218522040496,983.9840629559191,N,
2023-02-16,TECHM, EQ,1071.4,1075.0,1141.05,1074.05,1127.55,1130.25,1121.5,14422445,161748.39,295112,7036714,48.79,,N,,Y,N,N,1034.4074999999998,32.05407550653972,970.2993489869203,N,
2023-02-17,TECHM, EQ,1130.25,1108.1,1139.0,1108.1,1128.4,1129.2,1127.25,5333732,60124.65,205779,2588819,48.54,,N,,Y,N,N,1038.2024999999999,38.29419522797021,961.6141095440595,N,
2023-02-20,TECHM, EQ,1129.2,1129.5,1156.85,1120.0,1145.0,1144.2,1146.01,4590531,52608.13,131718,1840306,40.09,,N,,Y,N,N,1043.0875,45.044901209792904,952.9976975804143,N,
2023-02-21,TECHM, EQ,1144.2,1146.0,1151.95,1131.05,1133.4,1134.45,1142.34,3494288,39916.59,139919,1922478,55.02,,N,,N,N,N,1046.545,49.293132061384114,947.9587358772319,N,
2023-02-22,TECHM, EQ,1134.45,1122.0,1134.25,1118.0,1130.0,1125.7,1126.35,2674708,30126.54,111608,1187323,44.39,,N,,Y,N,N,1049.3,52.16447419864458,944.9710516027108,N,
2023-02-23,TECHM, EQ,1125.7,1127.0,1149.5,1124.05,1131.0,1128.8,1135.68,2576193,29257.39,96109,1070069,41.54,,N,,Y,N,N,1053.1825000000001,55.11560404468529,942.9512919106295,N,
2023-02-24,TECHM, EQ,1128.8,1137.0,1141.0,1116.0,1119.95,1119.0,1124.56,1913493,21518.32,103922,916439,47.89,,N,,N,N,N,1057.6275,56.71760488549717,944.1922902290057,N,
