DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,AARTIDRUGS, EQ,460.1,462.95,464.0,452.1, 453.00,453.6,457.97,70566,323.17,4352, 21126, 29.94
2023-01-03,AARTIDRUGS, EQ,453.6,450.6,454.4,449.0, 450.50,449.9,450.79,42305,190.71,2568, 23861, 56.40
2023-01-04,AARTIDRUGS, EQ,449.9,448.4,452.65,444.1, 446.40,445.6,447.52,32073,143.53,2517, 13374, 41.70
2023-01-05,AARTIDRUGS, EQ,445.6,443.0,454.0,443.0,449.9,448.5,448.62,54398,244.04,4920, 23977, 44.08
2023-01-06,AARTIDRUGS, EQ,448.5,448.4,452.9,445.0,446.95,446.05,448.17,38907,174.37,4743, 14049, 36.11
2023-01-09,AARTIDRUGS, EQ,446.05,450.0,451.0,445.0,447.3,446.15,448.03,30318,135.83,3559, 14309, 47.20
2023-01-10,AARTIDRUGS, EQ,446.15,446.45,453.0,443.2,449.65,447.3,448.31,68803,308.45,5724, 33661, 48.92
2023-01-11,AARTIDRUGS, EQ,447.3,449.7,453.8,446.75, 448.80,449.2,450.11,41565,187.09,4241, 17324, 41.68
2023-01-12,AARTIDRUGS, EQ,449.2,449.2,450.15,444.95, 446.80,445.5,447.11,24595,109.97,3056, 11707, 47.60
2023-01-13,AARTIDRUGS, EQ,445.5,446.15,449.95,444.3,446.3,447.25,448.28,45191,202.58,4306, 24257, 53.68
2023-01-16,AARTIDRUGS, EQ,447.25,446.3,452.4,445.05, 448.00,447.55,448.97,52273,234.69,4589, 26113, 49.96
2023-01-17,AARTIDRUGS, EQ,447.55,448.0,449.2,442.5,445.0,443.7,445.8,27301,121.71,3496, 13578, 49.73
2023-01-18,AARTIDRUGS, EQ,443.7,443.0,445.5,440.4,440.45,441.1,442.64,28072,124.26,2454, 12790, 45.56
2023-01-19,AARTIDRUGS, EQ,441.1,440.5,443.4,435.05, 436.80,436.6,438.52,32416,142.15,3085, 14137, 43.61
2023-01-20,AARTIDRUGS, EQ,436.6,435.1,436.3,418.25,426.9,425.35,429.39,45927,197.21,3640, 23477, 51.12
2023-01-23,AARTIDRUGS, EQ,425.35,427.15,429.7,415.6,418.95,417.45,419.77,66996,281.23,4917, 29082, 43.41
2023-01-24,AARTIDRUGS, EQ,417.45,419.5,419.65,412.15,415.0,414.05,416.7,37392,155.81,2804, 17129, 45.81
2023-01-25,AARTIDRUGS, EQ,414.05,414.65,415.55,402.4, 407.00,406.4,409.37,62387,255.4,4709, 29484, 47.26
2023-01-27,AARTIDRUGS, EQ,406.4,415.0,440.85,406.5, 412.90,410.15,420.48,262397,1103.32,13147, 33890, 12.92
2023-01-30,AARTIDRUGS, EQ,410.15,399.55,412.5,391.05, 407.50,403.5,396.67,301082,1194.3,13972, 31143, 10.34
2023-01-31,AARTIDRUGS, EQ,403.5,405.6,408.0,398.3,403.0,401.0,403.38,63221,255.02,6290, 30215, 47.79
2023-02-01,AARTIDRUGS, EQ,401.0,410.0,429.45,401.3, 415.20,408.2,420.6,275272,1157.8,15282, 31628, 11.49
2023-02-02,AARTIDRUGS, EQ,408.2,409.4,421.7,401.0, 403.95,402.2,409.66,82288,337.1,6509, 27439, 33.35
2023-02-03,AARTIDRUGS, EQ,402.2,408.5,424.4,400.55, 420.00,419.25,416.68,239372,997.42,14110, 51352, 21.45
2023-02-06,AARTIDRUGS, EQ,419.25,419.2,420.2,393.0, 395.70,396.7,403.16,195435,787.92,11633, 90475, 46.29
2023-02-07,AARTIDRUGS, EQ,396.7,398.65,402.35,392.15, 393.00,393.4,398.3,140704,560.43,7990, 27750, 19.72
2023-02-08,AARTIDRUGS, EQ,393.4,394.95,401.8,392.8, 395.40,394.3,396.95,72831,289.11,4011, 19457, 26.72
2023-02-09,AARTIDRUGS, EQ,394.3,395.9,398.45,380.0, 380.85,380.85,384.54,199544,767.33,10361, 112615, 56.44
2023-02-10,AARTIDRUGS, EQ,380.85,380.85,388.9,371.6, 382.00,382.5,380.68,193906,738.17,10824, 74362, 38.35
2023-02-13,AARTIDRUGS, EQ,382.5,382.5,392.35,379.0,382.1,383.0,387.46,119683,463.72,6932, 40604, 33.93
2023-02-14,AARTIDRUGS, EQ,383.0,384.9,385.0,377.6,378.9,378.85,379.68,41618,158.02,3317, 18281, 43.93
2023-02-15,AARTIDRUGS, EQ,378.85,378.85,383.05,377.85, 379.75,378.5,379.39,41590,157.79,2444, 18345, 44.11
2023-02-16,AARTIDRUGS, EQ,378.5,380.0,383.0,378.5, 381.00,381.05,380.74,53761,204.69,3411, 23054, 42.88
2023-02-17,AARTIDRUGS, EQ,381.05,380.9,383.95,377.25, 379.60,378.8,379.87,38686,146.96,2775, 14412, 37.25
2023-02-20,AARTIDRUGS, EQ,378.8,378.8,381.7,370.0, 370.50,370.65,372.41,75239,280.2,6439, 35311, 46.93
2023-02-21,AARTIDRUGS, EQ,370.65,370.6,370.6,361.85, 362.60,362.9,364.23,78236,284.96,6420, 36072, 46.11
2023-02-22,AARTIDRUGS, EQ,362.9,362.55,373.5,361.2, 364.00,364.2,366.93,125537,460.63,8176, 41723, 33.24
2023-02-23,AARTIDRUGS, EQ,364.2,364.0,368.3,356.85,367.0,366.3,363.67,89234,324.51,5786, 35821, 40.14
2023-02-24,AARTIDRUGS, EQ,366.3,366.65,369.9,360.8, 365.00,364.0,364.97,50532,184.42,4398, 21543, 42.63
2023-02-27,AARTIDRUGS, EQ,364.0,365.0,372.95,364.0, 367.00,367.0,367.99,94528,347.85,5330, 25814, 27.31
2023-02-28,AARTIDRUGS, EQ,367.0,367.2,368.1,365.35, 367.95,366.3,366.53,43042,157.76,2718, 21922, 50.93
2023-03-01,AARTIDRUGS, EQ,366.3,367.0,369.5,365.05, 367.30,366.3,366.69,59300,217.44,4132, 26293, 44.34
2023-03-02,AARTIDRUGS, EQ,366.3,367.0,367.4,363.0, 364.75,364.95,365.09,78744,287.49,4004, 33579, 42.64
2023-03-03,AARTIDRUGS, EQ,364.95,364.2,367.35,364.2, 366.75,366.3,366.16,37760,138.26,1966, 22104, 58.54
2023-03-06,AARTIDRUGS, EQ,366.3,366.95,368.2,356.0, 357.90,359.1,363.02,95035,344.99,4576, 54719, 57.58
2023-03-08,AARTIDRUGS, EQ,359.1,358.95,362.75,357.45, 359.65,358.75,359.7,62777,225.81,4182, 27796, 44.28
2023-03-09,AARTIDRUGS, EQ,358.75,358.9,360.6,352.0, 352.50,352.55,354.72,92321,327.48,8518, 45623, 49.42
2023-03-10,AARTIDRUGS, EQ,352.55,352.0,352.0,339.0, 340.75,340.15,342.35,192471,658.92,14303, 95632, 49.69
2023-03-13,AARTIDRUGS, EQ,340.15,342.8,365.0,326.0, 328.00,330.75,337.82,188702,637.48,10248, 76397, 40.49
2023-03-14,AARTIDRUGS, EQ,330.75,330.25,334.0,325.1, 329.00,327.45,327.75,126676,415.18,5717, 28563, 22.55
2023-03-15,AARTIDRUGS, EQ,327.45,329.45,332.75,324.1, 325.35,327.25,328.72,91878,302.02,4831, 38529, 41.93
2023-03-16,AARTIDRUGS, EQ,327.25,325.4,329.9,318.25, 322.50,322.65,325.46,83963,273.26,4896, 38600, 45.97
2023-03-17,AARTIDRUGS, EQ,322.65,324.6,327.55,315.0, 316.80,317.1,321.59,126692,407.44,8707, 38008, 30.00
