DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ABSLBANETF, EQ,43.07,44.39,44.39,43.04, 43.45,43.18,43.2,33667,14.54,328, 29115, 86.48
2023-01-03,ABSLBANETF, EQ,43.18,43.72,43.72,43.22, 43.60,43.52,43.47,220548,95.87,233, 216532, 98.18
2023-01-04,ABSLBANETF, EQ,43.52,44.0,44.0,42.7, 42.70,43.08,43.26,11624,5.03,301, 5051, 43.45
2023-01-05,ABSLBANETF, EQ,43.08,43.69,44.05,42.46,44.05,42.67,42.83,3176672,1360.58,373, 2933208, 92.34
2023-01-06,ABSLBANETF, EQ,42.67,44.5,44.5,42.04,42.37,42.34,42.44,3665986,1556.02,575, 3651322, 99.60
2023-01-09,ABSLBANETF, EQ,42.34,43.21,43.21,42.35,42.61,42.72,42.75,3558321,1521.18,689, 3550312, 99.77
2023-01-10,ABSLBANETF, EQ,42.72,43.27,43.27,41.95,42.2,42.14,42.2,15716,6.63,325, 5956, 37.90
2023-01-11,ABSLBANETF, EQ,42.14,42.98,42.98,41.89, 42.40,42.37,42.23,8578,3.62,182, 3869, 45.10
2023-01-12,ABSLBANETF, EQ,42.37,42.36,43.0,41.71, 43.00,42.24,42.21,132337,55.85,558, 126355, 95.48
2023-01-13,ABSLBANETF, EQ,42.24,43.9,43.9,42.01,42.21,42.43,42.3,537215,227.24,198, 535817, 99.74
2023-01-16,ABSLBANETF, EQ,42.43,43.7,43.7,42.06, 42.18,42.12,42.37,14318,6.07,298, 7716, 53.89
2023-01-17,ABSLBANETF, EQ,42.12,42.97,42.97,41.99,42.34,42.32,42.36,13115,5.56,183, 10655, 81.24
2023-01-18,ABSLBANETF, EQ,42.32,42.88,42.88,42.21,42.59,42.58,42.48,19617,8.33,199, 13860, 70.65
2023-01-19,ABSLBANETF, EQ,42.58,43.45,43.45,42.3, 42.40,42.35,42.48,34958,14.85,167, 31515, 90.15
2023-01-20,ABSLBANETF, EQ,42.35,43.2,43.2,41.99,42.42,42.45,42.52,209212,88.96,783, 200937, 96.04
2023-01-23,ABSLBANETF, EQ,42.45,43.7,43.7,42.4,42.48,42.75,42.77,121013,51.75,2008, 103336, 85.39
2023-01-24,ABSLBANETF, EQ,42.75,43.55,43.75,42.61,42.77,42.74,42.8,8512,3.64,210, 6221, 73.09
2023-01-25,ABSLBANETF, EQ,42.74,43.55,43.55,41.7, 43.50,42.23,42.0,19085,8.02,404, 12966, 67.94
