DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ADANIPOWER, EQ,299.55,303.0,304.9,293.3, 297.90,298.15,298.9,1737675,5193.9,34939, 881478, 50.73
2023-01-03,ADANIPOWER, EQ,298.15,298.15,301.0,293.5, 295.20,294.75,296.47,1411312,4184.19,30317, 918146, 65.06
2023-01-04,ADANIPOWER, EQ,294.75,294.75,296.0,284.55, 287.90,286.6,288.92,1643562,4748.64,37538, 981031, 59.69
2023-01-05,ADANIPOWER, EQ,286.6,287.95,293.2,277.0,290.2,288.75,285.44,1868579,5333.61,39798, 1095939, 58.65
2023-01-06,ADANIPOWER, EQ,288.75,290.7,291.0,281.1,283.0,283.4,284.42,2199728,6256.41,35796, 1402058, 63.74
2023-01-09,ADANIPOWER, EQ,283.4,286.95,294.0,285.2,288.0,287.7,288.67,1770223,5110.08,35483, 862749, 48.74
2023-01-10,ADANIPOWER, EQ,287.7,287.95,287.95,274.65,280.2,279.2,279.41,2577634,7202.16,58326, 1566951, 60.79
2023-01-11,ADANIPOWER, EQ,279.2,281.8,283.4,274.55, 276.60,276.2,276.65,1976038,5466.8,52481, 1152544, 58.33
2023-01-12,ADANIPOWER, EQ,276.2,277.65,280.7,270.05, 274.00,273.65,274.82,2016739,5542.36,45381, 1278019, 63.37
2023-01-13,ADANIPOWER, EQ,273.65,274.9,280.0,272.0,279.0,278.7,276.93,1512469,4188.5,32390, 811124, 53.63
2023-01-16,ADANIPOWER, EQ,278.7,281.0,282.2,271.5, 273.45,272.95,274.96,1956213,5378.82,29148, 1280140, 65.44
2023-01-17,ADANIPOWER, EQ,272.95,273.45,283.25,271.75,281.6,281.95,279.23,2342614,6541.21,46207, 1122227, 47.90
2023-01-18,ADANIPOWER, EQ,281.95,282.5,283.0,277.0,278.45,278.7,278.84,1202697,3353.62,23910, 728416, 60.57
2023-01-19,ADANIPOWER, EQ,278.7,276.5,280.45,273.2, 277.85,277.55,275.79,1376944,3797.48,25725, 678899, 49.30
2023-01-20,ADANIPOWER, EQ,277.55,276.85,277.0,273.4,274.5,275.05,274.72,1047243,2876.98,23000, 654668, 62.51
2023-01-23,ADANIPOWER, EQ,275.05,275.45,276.7,271.15,273.0,273.2,273.41,1204085,3292.12,24593, 808223, 67.12
2023-01-24,ADANIPOWER, EQ,273.2,274.7,279.3,272.3,273.9,274.65,275.28,1465473,4034.13,23048, 604661, 41.26
2023-01-25,ADANIPOWER, EQ,274.65,273.0,273.0,260.95, 261.05,261.0,263.12,3626722,9542.67,65464, 2296813, 63.33
2023-01-27,ADANIPOWER, EQ,261.0,250.0,250.05,247.95, 247.95,247.95,248.1,2322603,5762.43,37675, 1313364, 56.55
2023-01-30,ADANIPOWER, EQ,247.95,235.55,235.55,235.55, 235.55,235.55,235.55,1475925,3476.54,28891, 1462263, 99.07
2023-01-31,ADANIPOWER, EQ,235.55,223.8,223.8,223.8,223.8,223.8,223.8,1489382,3333.24,30414, 1489382, 100.00
2023-02-01,ADANIPOWER, EQ,223.8,219.0,223.0,212.65, 212.65,212.65,215.57,14476793,31208.16,87545, 8255710, 57.03
2023-02-02,ADANIPOWER, EQ,212.65,202.05,202.05,202.05, 202.05,202.05,202.05,768655,1553.07,18414, 768655, 100.00
2023-02-03,ADANIPOWER, EQ,202.05,191.95,191.95,191.95, 191.95,191.95,191.95,990679,1901.61,26776, 962679, 97.17
2023-02-06,ADANIPOWER, EQ,191.95,182.35,182.35,182.35, 182.35,182.35,182.35,993619,1811.86,25202, 843619, 84.90
2023-02-07,ADANIPOWER, EQ,182.35,173.25,186.0,173.25, 173.25,173.25,176.37,122308732,215719.91,521758, 39684938, 32.45
2023-02-08,ADANIPOWER, EQ,173.25,173.25,181.9,171.0, 181.90,181.9,179.17,27906893,50000.3,201627, 11530961, 41.32
2023-02-09,ADANIPOWER, EQ,181.9,172.8,172.8,172.8, 172.80,172.8,172.8,4471756,7727.19,70693, 4400881, 98.42
2023-02-10,ADANIPOWER, EQ,172.8,164.2,164.2,164.2, 164.20,164.2,164.2,2082042,3418.71,40689, 2079041, 99.86
2023-02-13,ADANIPOWER, EQ,164.2,156.0,163.0,156.0,156.0,156.0,156.4,5574579,8718.39,32721, 3884699, 69.69
2023-02-14,ADANIPOWER, EQ,156.0,148.2,148.2,148.2,148.2,148.2,148.2,940729,1394.16,24138, 940729, 100.00
2023-02-15,ADANIPOWER, EQ,148.2,140.8,140.8,140.8, 140.80,140.8,140.8,1576621,2219.88,27858, 1303848, 82.70
2023-02-16,ADANIPOWER, EQ,140.8,142.0,147.8,142.0, 147.80,147.8,146.66,20084998,29456.84,82937, 7549720, 37.59
2023-02-17,ADANIPOWER, EQ,147.8,152.45,155.15,152.05, 155.15,155.15,154.42,3197811,4938.14,17327, 1707006, 53.38
2023-02-20,ADANIPOWER, EQ,155.15,158.25,162.9,150.8, 162.90,162.9,161.26,29505822,47580.5,139015, 7606941, 25.78
2023-02-21,ADANIPOWER, EQ,162.9,166.9,171.0,166.2, 171.00,171.0,169.0,6646310,11232.18,41300, 2409307, 36.25
2023-02-22,ADANIPOWER, EQ,171.0,177.0,178.9,162.45, 162.45,162.45,167.94,25913753,43518.89,167635, 7934048, 30.62
2023-02-23,ADANIPOWER, EQ,162.45,156.05,158.65,154.35,154.35,154.35,155.01,22738196,35246.26,96509, 5286365, 23.25
2023-02-24,ADANIPOWER, EQ,154.35,150.1,156.7,146.65, 146.65,146.65,149.66,12016838,17984.67,95957, 3634276, 30.24
2023-02-27,ADANIPOWER, EQ,146.65,142.05,145.6,139.35, 139.35,139.35,141.22,9057254,12790.38,69652, 3281391, 36.23
2023-02-28,ADANIPOWER, EQ,139.35,135.1,146.3,132.4, 146.30,146.3,140.71,27171503,38233.01,107662, 6155058, 22.65
2023-03-01,ADANIPOWER, EQ,146.3,153.0,153.6,152.15, 153.60,153.6,153.27,1372548,2103.64,6433, 1156626, 84.27
2023-03-02,ADANIPOWER, EQ,153.6,161.25,161.25,161.25, 161.25,161.25,161.25,1030431,1661.57,6682, 930431, 90.30
2023-03-03,ADANIPOWER, EQ,161.25,169.3,169.3,169.3, 169.30,169.3,169.3,648028,1097.11,6273, 648027, 100.00
2023-03-06,ADANIPOWER, EQ,169.3,177.75,177.75,177.75, 177.75,177.75,177.75,2877047,5113.95,7984, 1313451, 45.65
2023-03-08,ADANIPOWER, EQ,177.75,183.1,186.6,175.1, 186.60,186.6,183.83,19786702,36373.5,104810, 8058611, 40.73
2023-03-09,ADANIPOWER, EQ,186.6,195.9,195.9,188.15, 195.90,195.9,194.9,43138384,84078.84,193894, 11143505, 25.83
2023-03-10,ADANIPOWER, EQ,195.9,193.0,205.65,187.25, 205.65,204.9,198.77,34315072,68207.98,270785, 8714591, 25.40
2023-03-13,ADANIPOWER, EQ,204.9,211.7,215.1,211.05, 215.10,215.1,214.69,22286761,47848.39,98857, 7124837, 31.97
2023-03-14,ADANIPOWER, EQ,215.1,217.35,217.35,204.35, 204.35,204.35,205.61,14455921,29722.68,67115, 5331774, 36.88
2023-03-15,ADANIPOWER, EQ,204.35,194.15,214.55,194.15, 199.80,201.8,204.49,45364592,92764.29,239853, 8390432, 18.50
2023-03-16,ADANIPOWER, EQ,201.8,200.5,205.95,195.2, 198.30,198.7,200.63,17003632,34114.79,135513, 4878194, 28.69
2023-03-17,ADANIPOWER, EQ,198.7,203.85,205.3,198.25, 199.80,199.95,201.6,11391354,22964.83,89940, 3478082, 30.53
2023-03-20,ADANIPOWER, EQ,199.95,193.0,196.8,189.95,189.95,190.2,191.89,12119227,23255.16,98626, 4084308, 33.70
2023-03-21,ADANIPOWER, EQ,190.2,191.9,199.7,186.55, 199.70,199.7,195.58,12141316,23745.88,90966, 4270231, 35.17
2023-03-22,ADANIPOWER, EQ,199.7,203.15,207.7,201.15, 203.45,204.05,204.6,10063003,20588.59,88289, 3378429, 33.57
2023-03-23,ADANIPOWER, EQ,204.05,201.7,211.4,200.3, 201.40,201.4,205.97,14688196,30252.63,118939, 4427562, 30.14
2023-03-24,ADANIPOWER, EQ,201.4,202.55,204.0,192.15, 192.70,192.6,196.48,13774170,27063.28,125843, 4814467, 34.95
2023-03-27,ADANIPOWER, EQ,192.6,195.6,195.6,183.0, 183.00,183.0,185.9,8057710,14979.61,87250, 3299814, 40.95
2023-03-28,ADANIPOWER, EQ,183.0,178.95,183.0,173.85, 173.85,173.85,174.98,5385184,9423.02,47730, 2879170, 53.46
2023-03-29,ADANIPOWER, EQ,173.85,167.0,182.5,166.4, 182.50,182.5,178.38,16463799,29368.66,80388, 4007535, 24.34
2023-03-31,ADANIPOWER, EQ,182.5,190.45,191.6,188.65, 191.60,191.6,191.36,7735789,14803.1,22062, 2679280, 34.63
2023-04-03,ADANIPOWER, EQ,191.6,195.0,195.95,186.0, 190.10,190.55,191.27,8826718,16882.47,72140, 2888860, 32.73
2023-04-05,ADANIPOWER, EQ,190.55,189.0,194.0,186.4, 189.95,190.1,189.9,6249626,11868.26,60307, 2471802, 39.55
2023-04-06,ADANIPOWER, EQ,190.1,191.3,196.95,187.1, 192.05,192.2,192.72,11740797,22626.47,86847, 2972648, 25.32
2023-04-10,ADANIPOWER, EQ,192.2,193.4,197.7,193.0, 194.05,194.0,194.78,6052568,11789.39,52247, 2557438, 42.25
2023-04-11,ADANIPOWER, EQ,194.0,194.3,198.3,193.1, 194.00,194.0,195.56,5731535,11208.33,46301, 2131978, 37.20
2023-04-12,ADANIPOWER, EQ,194.0,194.9,196.9,191.6, 192.40,192.45,193.88,6182146,11986.21,52621, 2122542, 34.33
2023-04-13,ADANIPOWER, EQ,192.45,192.45,193.8,188.1, 188.90,189.15,190.86,3351950,6397.41,35793, 1767925, 52.74
2023-04-17,ADANIPOWER, EQ,189.15,189.3,192.0,187.75, 189.65,189.45,189.62,3092968,5864.97,37078, 1308656, 42.31
2023-04-18,ADANIPOWER, EQ,189.45,190.35,191.5,187.2, 188.70,188.35,189.32,2348374,4445.93,30784, 1281819, 54.58
2023-04-19,ADANIPOWER, EQ,188.35,188.8,189.45,185.2, 187.75,187.3,187.26,3119628,5841.97,37960, 1448615, 46.44
2023-04-20,ADANIPOWER, EQ,187.3,188.5,196.65,187.0, 196.65,195.8,193.82,11055623,21428.5,73754, 4029829, 36.45
2023-04-21,ADANIPOWER, EQ,195.8,200.0,200.5,193.6, 197.70,199.25,197.67,11239848,22218.03,73836, 4393292, 39.09
2023-04-24,ADANIPOWER, EQ,199.25,199.0,203.4,194.4, 200.80,201.4,199.12,6274761,12494.54,54423, 2661443, 42.42
2023-04-25,ADANIPOWER, EQ,201.4,201.0,210.4,200.0,206.0,205.65,206.89,11876735,24572.26,84032, 4266404, 35.92
2023-04-26,ADANIPOWER, EQ,205.65,206.25,214.0,203.3, 210.55,211.35,209.17,8721982,18243.69,63264, 4225652, 48.45
2023-04-27,ADANIPOWER, EQ,211.35,211.3,216.0,210.5, 213.60,214.15,213.69,6881701,14705.68,58781, 3120489, 45.34
