DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ADROITINFO, EQ,24.9,25.95,26.1,25.2, 25.60,25.75,25.96,100442,26.07,451, 61966, 61.69
2023-01-03,ADROITINFO, EQ,25.75,26.35,26.35,24.5, 24.50,24.5,24.7,89276,22.05,440, 64414, 72.15
2023-01-04,ADROITINFO, EQ,24.5,25.4,25.5,23.3, 23.30,23.35,23.78,154143,36.66,574, 96879, 62.85
2023-01-05,ADROITINFO, EQ,23.35,24.3,24.3,22.2,22.7,22.85,22.76,74395,16.93,407, 51661, 69.44
2023-01-06,ADROITINFO, EQ,22.85,23.0,23.0,21.75,22.5,22.4,22.23,97314,21.63,362, 53794, 55.28
2023-01-09,ADROITINFO, EQ,22.4,22.95,23.5,22.0,22.7,22.85,22.65,44936,10.18,276, 34410, 76.58
2023-01-10,ADROITINFO, EQ,22.85,22.95,23.65,22.95,23.5,23.4,23.21,38075,8.84,255, 30886, 81.12
2023-01-11,ADROITINFO, EQ,23.4,24.0,24.25,22.8, 23.30,23.0,23.37,29741,6.95,239, 20497, 68.92
2023-01-12,ADROITINFO, EQ,23.0,23.5,23.9,22.55, 23.70,23.6,23.32,26745,6.24,175, 21860, 81.73
2023-01-13,ADROITINFO, EQ,23.6,23.9,23.9,23.0,23.7,23.6,23.63,61599,14.55,213, 55993, 90.90
2023-01-16,ADROITINFO, EQ,23.6,23.7,24.55,23.1, 23.75,23.6,23.98,18448,4.42,222, 11018, 59.72
2023-01-17,ADROITINFO, EQ,23.6,24.35,24.35,22.45,22.65,22.55,22.79,65479,14.92,334, 47338, 72.29
2023-01-18,ADROITINFO, EQ,22.55,23.2,23.2,22.05,22.7,22.6,22.49,19386,4.36,240, 14211, 73.31
2023-01-19,ADROITINFO, EQ,22.6,22.95,22.95,22.25, 22.40,22.5,22.56,11507,2.6,167, 6925, 60.18
2023-01-20,ADROITINFO, EQ,22.5,22.5,22.75,21.65,22.1,22.15,22.15,50339,11.15,233, 36214, 71.94
2023-01-23,ADROITINFO, EQ,22.15,22.8,23.25,22.05,22.95,22.8,22.95,68670,15.76,243, 42747, 62.25
2023-01-24,ADROITINFO, EQ,22.8,23.35,23.35,22.4,22.4,22.65,22.89,36301,8.31,223, 23154, 63.78
2023-01-25,ADROITINFO, EQ,22.65,22.0,23.75,21.65, 23.75,23.7,23.16,151207,35.02,717, 74630, 49.36
2023-01-27,ADROITINFO, EQ,23.7,24.0,24.5,22.95, 23.80,24.05,23.82,73646,17.55,324, 43305, 58.80
