DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ADVANIHOTR, EQ,81.75,82.85,82.85,80.5, 81.85,81.05,81.31,34998,28.46,653, 21066, 60.19
2023-01-03,ADVANIHOTR, EQ,81.05,81.7,83.1,81.4, 81.75,81.95,82.31,24544,20.2,467, 15003, 61.13
2023-01-04,ADVANIHOTR, EQ,81.95,81.65,82.35,80.0, 80.50,80.45,80.66,31269,25.22,534, 15487, 49.53
2023-01-05,ADVANIHOTR, EQ,80.45,81.5,81.5,79.8,80.55,80.2,80.34,13382,10.75,291, 8469, 63.29
2023-01-06,ADVANIHOTR, EQ,80.2,80.8,80.85,79.85,80.1,80.25,80.34,13134,10.55,267, 8546, 65.07
2023-01-09,ADVANIHOTR, EQ,80.25,81.45,81.45,80.1,80.75,80.4,80.55,14870,11.98,269, 9934, 66.81
2023-01-10,ADVANIHOTR, EQ,80.4,79.7,80.05,79.15,79.35,79.35,79.54,12501,9.94,277, 8414, 67.31
2023-01-11,ADVANIHOTR, EQ,79.35,80.5,81.5,80.15, 80.30,80.35,80.65,12425,10.02,451, 7065, 56.86
2023-01-12,ADVANIHOTR, EQ,80.35,80.4,81.0,79.55, 80.45,80.2,80.24,13790,11.07,585, 7275, 52.76
2023-01-13,ADVANIHOTR, EQ,80.2,79.1,81.45,79.1,79.65,79.95,80.22,18829,15.1,1070, 7270, 38.61
2023-01-16,ADVANIHOTR, EQ,79.95,81.0,81.3,79.5, 79.90,79.65,80.28,25475,20.45,1746, 12321, 48.37
2023-01-17,ADVANIHOTR, EQ,79.65,80.5,80.85,79.15,79.7,79.85,79.82,11699,9.34,862, 5818, 49.73
2023-01-18,ADVANIHOTR, EQ,79.85,80.6,80.8,78.7,79.0,79.1,79.62,17512,13.94,1034, 9999, 57.10
2023-01-19,ADVANIHOTR, EQ,79.1,79.75,79.8,78.5, 79.40,79.5,79.38,6606,5.24,259, 4226, 63.97
2023-01-20,ADVANIHOTR, EQ,79.5,79.5,80.35,77.7,78.35,78.15,78.48,28091,22.04,920, 18695, 66.55
2023-01-23,ADVANIHOTR, EQ,78.15,79.1,79.4,77.8,78.3,78.05,78.4,17994,14.11,687, 11977, 66.56
2023-01-24,ADVANIHOTR, EQ,78.05,77.65,78.8,76.9,77.3,77.15,77.42,17666,13.68,437, 11047, 62.53
2023-01-25,ADVANIHOTR, EQ,77.15,77.5,77.7,76.4, 77.45,76.9,76.97,14819,11.41,325, 8878, 59.91
2023-01-27,ADVANIHOTR, EQ,76.9,77.8,77.9,74.6, 76.00,75.45,75.86,15493,11.75,459, 8442, 54.49
2023-01-30,ADVANIHOTR, EQ,75.45,76.5,76.9,73.45, 75.00,74.05,74.96,16637,12.47,579, 10691, 64.26
2023-01-31,ADVANIHOTR, EQ,74.05,75.25,75.25,73.05,74.15,73.8,73.95,23727,17.55,612, 14488, 61.06
2023-02-01,ADVANIHOTR, EQ,73.8,73.9,78.0,70.7, 71.05,72.55,74.82,94486,70.69,1738, 53871, 57.01
2023-02-02,ADVANIHOTR, EQ,72.55,72.0,72.35,70.95, 71.90,71.8,71.74,43755,31.39,739, 27125, 61.99
2023-02-03,ADVANIHOTR, EQ,71.8,71.8,72.2,70.25, 70.85,71.1,71.16,23575,16.78,460, 14190, 60.19
2023-02-06,ADVANIHOTR, EQ,71.1,71.05,72.7,70.55, 72.45,71.65,71.62,30516,21.86,738, 15700, 51.45
2023-02-07,ADVANIHOTR, EQ,71.65,72.5,73.0,71.8, 72.40,72.25,72.3,31263,22.6,819, 20610, 65.92
2023-02-08,ADVANIHOTR, EQ,72.25,72.0,79.9,72.0, 79.60,78.85,77.26,122243,94.45,1683, 75800, 62.01
2023-02-09,ADVANIHOTR, EQ,78.85,79.3,81.0,78.1, 80.35,79.75,79.73,56931,45.39,1035, 31123, 54.67
2023-02-10,ADVANIHOTR, EQ,79.75,80.0,81.4,78.25, 79.40,79.95,80.17,74821,59.99,1064, 47607, 63.63
2023-02-13,ADVANIHOTR, EQ,79.95,81.0,81.0,75.35,79.3,78.8,77.24,71449,55.18,1084, 40016, 56.01
2023-02-14,ADVANIHOTR, EQ,78.8,78.8,80.4,77.5,78.0,78.0,78.62,27859,21.9,535, 16783, 60.24
2023-02-15,ADVANIHOTR, EQ,78.0,78.0,79.75,76.5, 76.50,76.8,77.4,20976,16.24,352, 12516, 59.67
2023-02-16,ADVANIHOTR, EQ,76.8,78.25,78.25,76.5, 76.55,76.55,77.22,22338,17.25,418, 11348, 50.80
2023-02-17,ADVANIHOTR, EQ,76.55,76.6,77.6,74.8, 74.80,75.0,75.58,18691,14.13,392, 14111, 75.50
2023-02-20,ADVANIHOTR, EQ,75.0,76.45,77.0,75.65, 76.65,76.55,76.61,15458,11.84,224, 11262, 72.86
2023-02-21,ADVANIHOTR, EQ,76.55,76.5,77.25,73.35, 73.55,74.05,74.74,24896,18.61,539, 14815, 59.51
2023-02-22,ADVANIHOTR, EQ,74.05,74.0,76.2,71.1, 72.40,71.9,73.33,32794,24.05,764, 18791, 57.30
2023-02-23,ADVANIHOTR, EQ,71.9,73.65,73.65,70.55,70.55,70.8,71.31,34682,24.73,564, 25316, 72.99
2023-02-24,ADVANIHOTR, EQ,70.8,72.05,72.05,70.5, 70.75,70.75,71.01,30633,21.75,377, 23342, 76.20
2023-02-27,ADVANIHOTR, EQ,70.75,70.55,71.95,68.45, 69.50,69.1,69.36,30376,21.07,501, 22038, 72.55
2023-02-28,ADVANIHOTR, EQ,69.1,69.5,70.5,69.15, 69.15,69.25,69.73,7942,5.54,240, 4786, 60.26
2023-03-01,ADVANIHOTR, EQ,69.25,69.15,75.55,69.15, 75.20,74.7,73.39,30101,22.09,356, 23183, 77.02
2023-03-02,ADVANIHOTR, EQ,74.7,74.7,75.95,72.85, 73.40,73.9,74.1,28582,21.18,542, 20447, 71.54
2023-03-03,ADVANIHOTR, EQ,73.9,74.9,75.0,73.75, 74.20,74.0,74.19,15544,11.53,264, 12079, 77.71
2023-03-06,ADVANIHOTR, EQ,74.0,74.0,75.55,73.9, 74.00,74.5,74.69,7667,5.73,281, 3679, 47.98
2023-03-08,ADVANIHOTR, EQ,74.5,75.95,76.35,74.15, 75.25,75.0,75.12,19808,14.88,507, 8184, 41.32
2023-03-09,ADVANIHOTR, EQ,75.0,76.0,76.0,73.95, 74.05,74.35,74.53,11267,8.4,280, 7213, 64.02
2023-03-10,ADVANIHOTR, EQ,74.35,74.35,75.0,73.0, 73.20,73.35,73.56,8553,6.29,246, 5722, 66.90
2023-03-13,ADVANIHOTR, EQ,73.35,72.3,74.45,71.55, 71.60,72.05,72.84,12865,9.37,293, 9043, 70.29
2023-03-14,ADVANIHOTR, EQ,72.05,73.4,73.4,71.15, 71.15,71.35,71.67,5545,3.97,159, 3572, 64.42
2023-03-15,ADVANIHOTR, EQ,71.35,72.0,72.8,71.5, 72.30,71.8,71.9,8958,6.44,175, 5447, 60.81
2023-03-16,ADVANIHOTR, EQ,71.8,73.0,73.0,70.75, 70.90,70.9,71.11,12542,8.92,491, 9213, 73.46
2023-03-17,ADVANIHOTR, EQ,70.9,72.0,72.5,71.0, 71.90,72.35,71.87,8631,6.2,230, 4605, 53.35
2023-03-20,ADVANIHOTR, EQ,72.35,72.0,72.3,71.1,71.15,71.25,71.42,6005,4.29,214, 3505, 58.37
2023-03-21,ADVANIHOTR, EQ,71.25,70.25,72.95,70.0, 71.00,71.3,71.22,22738,16.19,484, 13960, 61.40
2023-03-22,ADVANIHOTR, EQ,71.3,71.25,72.3,71.0, 71.50,71.4,71.45,10327,7.38,210, 7953, 77.01
