DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,AETHER, EQ,839.15,849.0,858.05,840.0, 846.55,848.1,848.69,20419,173.3,2455, 8606, 42.15
2023-01-03,AETHER, EQ,848.1,847.0,853.0,843.05, 849.00,849.85,848.31,78968,669.89,2021, 70675, 89.50
2023-01-04,AETHER, EQ,849.85,856.0,856.0,838.05, 842.00,845.05,849.22,17487,148.5,1622, 8666, 49.56
2023-01-05,AETHER, EQ,845.05,846.0,855.1,840.8,845.35,848.5,849.0,12424,105.48,1241, 5118, 41.19
2023-01-06,AETHER, EQ,848.5,854.0,854.0,840.1,844.3,842.25,842.3,583622,4915.83,1283, 5269, 0.90
2023-01-09,AETHER, EQ,842.25,862.4,914.0,850.15,884.0,881.15,890.27,117340,1044.64,9485, 27217, 23.19
2023-01-10,AETHER, EQ,881.15,884.85,887.0,861.1,864.95,863.2,870.71,19949,173.7,2163, 8697, 43.60
2023-01-11,AETHER, EQ,863.2,867.45,883.0,864.9, 866.05,866.5,872.31,16296,142.15,1665, 7199, 44.18
2023-01-12,AETHER, EQ,866.5,867.45,872.0,856.3, 859.50,859.95,863.32,12984,112.09,1547, 5293, 40.77
2023-01-13,AETHER, EQ,859.95,870.0,873.55,858.0,864.25,864.3,864.08,12552,108.46,1405, 4571, 36.42
2023-01-16,AETHER, EQ,864.3,869.3,899.0,864.0, 884.90,888.75,883.01,41838,369.43,3797, 15547, 37.16
2023-01-17,AETHER, EQ,888.75,889.9,889.9,868.0,869.9,869.7,875.87,15347,134.42,1727, 8584, 55.93
2023-01-18,AETHER, EQ,869.7,868.0,886.45,868.0,869.65,870.95,876.39,13696,120.03,2575, 5824, 42.52
2023-01-19,AETHER, EQ,870.95,869.05,877.55,861.05, 872.00,873.95,867.78,73930,641.55,3128, 62469, 84.50
2023-01-20,AETHER, EQ,873.95,874.9,907.0,861.0,895.0,894.9,892.07,133911,1194.58,7986, 34423, 25.71
2023-01-23,AETHER, EQ,894.9,904.4,971.0,900.45,926.0,929.35,940.37,238931,2246.83,17773, 80744, 33.79
2023-01-24,AETHER, EQ,929.35,935.3,935.3,902.2,908.1,906.45,916.86,33025,302.79,3140, 18205, 55.12
2023-01-25,AETHER, EQ,906.45,907.0,910.0,890.1, 893.00,894.05,901.58,24179,217.99,2915, 13168, 54.46
2023-01-27,AETHER, EQ,894.05,896.95,913.2,872.6, 880.00,877.5,886.96,29059,257.74,3584, 15642, 53.83
