DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,AHLADA, EQ,103.15,107.25,107.9,103.4, 103.70,103.9,104.48,3987,4.17,83, 2695, 67.59
2023-01-03,AHLADA, EQ,103.9,105.65,105.65,102.1, 103.00,103.45,103.48,6199,6.41,135, 4217, 68.03
2023-01-04,AHLADA, EQ,103.45,103.45,104.85,103.0, 103.00,103.2,103.64,4829,5.0,91, 3261, 67.53
2023-01-05,AHLADA, EQ,103.2,104.3,104.5,100.0,101.9,100.85,101.24,10739,10.87,309, 7446, 69.34
2023-01-06,AHLADA, EQ,100.85,100.85,103.8,100.25,101.5,100.55,100.95,3590,3.62,127, 2234, 62.23
2023-01-09,AHLADA, EQ,100.55,103.7,105.55,100.9,105.55,105.55,104.2,12921,13.46,192, 10552, 81.67
2023-01-10,AHLADA, EQ,105.55,108.3,109.85,103.15,103.5,103.75,106.28,14161,15.05,367, 9541, 67.38
2023-01-11,AHLADA, EQ,103.75,105.8,107.5,103.35, 107.30,107.2,106.13,1518,1.61,72, 1001, 65.94
2023-01-12,AHLADA, EQ,107.2,107.0,107.0,101.9, 102.90,102.45,102.91,6065,6.24,123, 3414, 56.29
2023-01-13,AHLADA, EQ,102.45,104.1,105.4,102.8,105.0,104.95,103.8,4495,4.67,141, 2128, 47.34
2023-01-16,AHLADA, EQ,104.95,105.45,106.15,102.6, 102.70,103.25,103.65,5474,5.67,134, 3398, 62.08
2023-01-17,AHLADA, EQ,103.25,104.05,105.55,100.15,101.8,102.2,102.16,5601,5.72,143, 3303, 58.97
2023-01-18,AHLADA, EQ,102.2,102.2,104.45,101.5,102.0,101.8,102.53,2236,2.29,75, 1651, 73.84
2023-01-19,AHLADA, EQ,101.8,103.5,105.5,102.45, 105.50,104.8,103.86,1833,1.9,51, 1216, 66.34
2023-01-20,AHLADA, EQ,104.8,104.0,110.0,101.3,101.35,104.2,105.56,17332,18.3,261, 13640, 78.70
2023-01-23,AHLADA, EQ,104.2,103.05,103.75,101.4,101.7,102.45,102.39,4986,5.11,152, 3381, 67.81
2023-01-24,AHLADA, EQ,102.45,102.45,105.0,101.5,102.15,102.45,102.56,5083,5.21,107, 2797, 55.03
2023-01-25,AHLADA, EQ,102.45,102.95,102.95,99.1, 100.25,100.35,100.98,5629,5.68,130, 4466, 79.34
2023-01-27,AHLADA, EQ,100.35,101.0,101.95,96.9, 98.00,98.2,98.53,18242,17.97,235, 16930, 92.81
2023-01-30,AHLADA, EQ,98.2,97.95,99.85,94.25, 95.90,95.6,96.92,5512,5.34,161, 3569, 64.75
2023-01-31,AHLADA, EQ,95.6,95.6,97.0,94.5,97.0,96.55,95.76,6485,6.21,163, 5489, 84.64
2023-02-01,AHLADA, EQ,96.55,97.0,101.3,97.0, 97.00,98.9,99.9,7346,7.34,143, 5507, 74.97
2023-02-02,AHLADA, EQ,98.9,103.8,103.8,98.6, 99.70,99.75,100.65,2753,2.77,96, 1993, 72.39
2023-02-03,AHLADA, EQ,99.75,100.0,102.45,95.45, 96.70,97.7,97.26,8328,8.1,230, 5475, 65.74
2023-02-06,AHLADA, EQ,97.7,99.0,99.25,97.25, 98.15,98.15,98.38,1420,1.4,53, 1168, 82.25
2023-02-07,AHLADA, EQ,98.15,98.25,98.4,96.5, 96.60,96.8,97.12,5384,5.23,108, 3870, 71.88
2023-02-08,AHLADA, EQ,96.8,94.9,98.8,94.9, 95.05,96.0,96.52,3416,3.3,132, 1936, 56.67
2023-02-09,AHLADA, EQ,96.0,101.0,101.0,95.75, 97.95,96.2,97.13,9334,9.07,129, 7785, 83.40
2023-02-10,AHLADA, EQ,96.2,97.6,99.0,95.0, 95.50,95.9,97.02,5925,5.75,115, 3733, 63.00
2023-02-13,AHLADA, EQ,95.9,96.0,97.2,89.0,90.15,90.95,92.54,18661,17.27,420, 11056, 59.25
2023-02-14,AHLADA, EQ,90.95,91.7,94.25,91.7,93.8,93.75,93.49,5325,4.98,115, 3149, 59.14
2023-02-15,AHLADA, EQ,93.75,99.45,99.45,90.55, 90.60,91.6,92.33,4137,3.82,141, 2941, 71.09
2023-02-16,AHLADA, EQ,91.6,98.85,98.85,90.4, 91.90,92.15,93.45,4315,4.03,146, 2124, 49.22
2023-02-17,AHLADA, EQ,92.15,92.15,93.0,89.7, 91.20,91.1,91.16,5396,4.92,184, 3541, 65.62
2023-02-20,AHLADA, EQ,91.1,92.0,98.95,90.25, 92.00,91.7,94.36,10533,9.94,217, 3333, 31.64
2023-02-21,AHLADA, EQ,91.7,91.7,94.5,91.7, 92.05,92.4,92.73,4174,3.87,149, 3152, 75.52
2023-02-22,AHLADA, EQ,92.4,90.55,94.0,90.55, 94.00,93.1,92.48,3357,3.1,101, 2019, 60.14
2023-02-23,AHLADA, EQ,93.1,93.1,93.1,92.1,92.2,92.15,92.58,500,0.46,19, 468, 93.60
2023-02-24,AHLADA, EQ,92.15,94.45,94.5,88.15, 89.55,89.55,89.76,7418,6.66,205, 5068, 68.32
2023-02-27,AHLADA, EQ,89.55,90.05,91.0,87.5, 87.50,89.4,89.8,3315,2.98,113, 2554, 77.04
2023-02-28,AHLADA, EQ,89.4,90.6,90.65,88.5, 89.95,88.6,88.86,3757,3.34,116, 2354, 62.66
2023-03-01,AHLADA, EQ,88.6,91.8,91.8,87.7, 88.50,88.05,89.0,12148,10.81,263, 7913, 65.14
2023-03-02,AHLADA, EQ,88.05,90.55,96.85,88.6, 96.85,95.7,94.31,19726,18.6,308, 11117, 56.36
2023-03-03,AHLADA, EQ,95.7,99.0,99.95,94.2, 95.10,95.4,97.58,14665,14.31,316, 9541, 65.06
2023-03-06,AHLADA, EQ,95.4,98.4,98.4,93.5, 95.35,94.75,96.19,8935,8.59,265, 5710, 63.91
2023-03-08,AHLADA, EQ,94.75,95.15,96.0,92.15, 92.15,93.95,93.88,13573,12.74,179, 10491, 77.29
2023-03-09,AHLADA, EQ,93.95,92.1,94.5,90.2, 91.40,90.5,91.66,13085,11.99,333, 10449, 79.85
2023-03-10,AHLADA, EQ,90.5,90.5,94.25,90.5, 93.30,93.3,92.59,8438,7.81,259, 4273, 50.64
2023-03-13,AHLADA, EQ,93.3,95.85,95.85,91.0, 91.55,92.8,92.93,13821,12.84,162, 12169, 88.05
2023-03-14,AHLADA, EQ,92.8,92.0,94.4,89.15, 93.65,92.0,91.58,20132,18.44,214, 14759, 73.31
2023-03-15,AHLADA, EQ,92.0,94.9,94.9,90.0, 90.85,90.35,90.85,21079,19.15,215, 19029, 90.27
2023-03-16,AHLADA, EQ,90.35,90.15,93.05,88.5, 91.00,91.25,90.09,19251,17.34,172, 15950, 82.85
2023-03-17,AHLADA, EQ,91.25,92.85,93.15,90.1, 90.35,91.4,91.49,11150,10.2,222, 8046, 72.16
2023-03-20,AHLADA, EQ,91.4,90.0,92.4,89.4,90.5,90.45,90.47,13688,12.38,109, 10790, 78.83
2023-03-21,AHLADA, EQ,90.45,89.9,92.0,89.05, 90.45,90.25,90.34,15334,13.85,161, 12389, 80.79
2023-03-22,AHLADA, EQ,90.25,91.55,92.5,86.55, 91.40,90.75,89.88,22621,20.33,316, 14981, 66.23
2023-03-23,AHLADA, EQ,90.75,90.8,91.3,88.55, 90.00,90.15,89.72,10426,9.35,123, 7661, 73.48
2023-03-24,AHLADA, EQ,90.15,91.0,91.6,89.0, 90.00,89.85,90.54,12564,11.38,113, 11250, 89.54
2023-03-27,AHLADA, EQ,89.85,89.1,91.75,82.9, 85.00,85.25,86.39,57529,49.7,526, 44258, 76.93
2023-03-28,AHLADA, EQ,85.25,85.75,87.8,80.25, 81.60,81.4,82.68,27619,22.84,295, 24988, 90.47
2023-03-29,AHLADA, EQ,81.4,83.35,85.0,81.05, 85.00,83.8,82.25,31303,25.75,194, 28513, 91.09
2023-03-31,AHLADA, EQ,83.8,82.65,87.55,82.65, 87.00,84.9,85.45,17428,14.89,213, 13153, 75.47
2023-04-03,AHLADA, EQ,84.9,86.85,87.0,83.25, 83.50,84.25,84.45,5158,4.36,196, 2649, 51.36
2023-04-05,AHLADA, EQ,84.25,82.8,92.65,82.8, 92.60,92.25,89.91,15248,13.71,460, 9163, 60.09
2023-04-06,AHLADA, EQ,92.25,93.85,94.85,90.2, 91.00,90.95,92.99,9106,8.47,204, 6181, 67.88
2023-04-10,AHLADA, EQ,90.95,89.0,92.0,89.0, 90.00,89.85,90.38,3831,3.46,145, 2532, 66.09
2023-04-11,AHLADA, EQ,89.85,91.65,107.0,89.7, 101.00,101.35,100.57,162718,163.64,2698, 35397, 21.75
2023-04-12,AHLADA, EQ,101.35,103.9,103.9,98.5, 98.85,99.45,100.42,13374,13.43,330, 5485, 41.01
2023-04-13,AHLADA, EQ,99.45,101.0,101.0,95.05, 101.00,100.4,98.26,15846,15.57,371, 11035, 69.64
2023-04-17,AHLADA, EQ,100.4,100.4,102.85,97.4, 101.00,100.25,100.32,7068,7.09,146, 5056, 71.53
2023-04-18,AHLADA, EQ,100.25,101.0,101.0,97.0, 99.00,98.95,98.69,7392,7.29,183, 3884, 52.54
2023-04-19,AHLADA, EQ,98.95,98.95,101.4,95.65, 96.15,96.7,98.09,9270,9.09,226, 5449, 58.78
2023-04-20,AHLADA, EQ,96.7,96.5,98.65,93.4, 98.50,95.05,95.92,15667,15.03,207, 8810, 56.23
2023-04-21,AHLADA, EQ,95.05,96.9,104.25,95.35, 99.80,99.3,100.65,26275,26.45,517, 10725, 40.82
2023-04-24,AHLADA, EQ,99.3,99.3,100.9,97.4, 100.90,100.85,100.16,9141,9.16,135, 6995, 76.52
2023-04-25,AHLADA, EQ,100.85,100.95,102.5,100.55,102.5,101.1,101.12,4492,4.54,96, 3240, 72.13
