DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,AIAENG, EQ,2564.95,2569.45,2627.45,2569.45, 2595.00,2584.85,2591.09,116801,3026.41,3221, 106728, 91.38
2023-01-03,AIAENG, EQ,2584.85,2590.2,2625.0,2581.1, 2599.00,2600.25,2592.48,38455,996.94,1988, 33356, 86.74
2023-01-04,AIAENG, EQ,2600.25,2600.0,2611.45,2580.0, 2584.00,2582.75,2592.7,16707,433.16,2027, 11947, 71.51
2023-01-05,AIAENG, EQ,2582.75,2593.05,2624.0,2520.0,2590.0,2595.3,2587.86,62095,1606.93,6433, 41749, 67.23
2023-01-06,AIAENG, EQ,2595.3,2589.0,2598.95,2503.0,2513.0,2510.3,2565.99,182681,4687.58,9127, 147267, 80.61
2023-01-09,AIAENG, EQ,2510.3,2510.3,2559.85,2503.1,2539.0,2537.9,2544.14,66267,1685.92,14409, 43623, 65.83
2023-01-10,AIAENG, EQ,2537.9,2537.9,2587.1,2481.25,2521.1,2516.05,2526.4,201397,5088.1,11113, 173002, 85.90
2023-01-11,AIAENG, EQ,2516.05,2521.25,2551.45,2509.25, 2540.00,2533.1,2537.33,68659,1742.11,10923, 36988, 53.87
2023-01-12,AIAENG, EQ,2533.1,2546.0,2565.1,2517.0, 2520.05,2529.4,2536.45,85928,2179.52,14839, 35543, 41.36
2023-01-13,AIAENG, EQ,2529.4,2525.4,2540.05,2510.0,2514.0,2525.05,2526.19,66481,1679.43,12116, 28542, 42.93
2023-01-16,AIAENG, EQ,2525.05,2515.45,2527.5,2482.5, 2491.90,2491.35,2501.01,11814,295.47,3518, 6235, 52.78
2023-01-17,AIAENG, EQ,2491.35,2491.9,2501.0,2441.4,2445.0,2460.25,2469.21,24095,594.96,5950, 12039, 49.96
2023-01-18,AIAENG, EQ,2460.25,2450.0,2453.1,2405.0,2405.6,2414.35,2417.63,70701,1709.29,13615, 38843, 54.94
2023-01-19,AIAENG, EQ,2414.35,2403.8,2497.0,2383.5, 2427.55,2436.2,2434.45,185024,4504.31,16618, 137186, 74.14
2023-01-20,AIAENG, EQ,2436.2,2431.0,2440.0,2390.15,2440.0,2424.4,2420.85,44400,1074.86,8726, 26110, 58.81
2023-01-23,AIAENG, EQ,2424.4,2429.4,2460.0,2420.65,2450.05,2452.1,2446.85,28432,695.69,7723, 17867, 62.84
2023-01-24,AIAENG, EQ,2452.1,2445.0,2485.9,2440.0,2450.05,2459.55,2470.71,28053,693.11,7577, 16243, 57.90
2023-01-25,AIAENG, EQ,2459.55,2472.5,2486.35,2428.0, 2480.00,2481.75,2458.9,25852,635.67,6133, 12748, 49.31
2023-01-27,AIAENG, EQ,2481.75,2495.0,2625.0,2445.0, 2599.00,2598.75,2538.73,256372,6508.58,15928, 148575, 57.95
2023-01-30,AIAENG, EQ,2598.75,2665.0,2693.0,2570.0, 2644.95,2644.8,2612.09,247229,6457.84,20983, 158098, 63.95
2023-01-31,AIAENG, EQ,2644.8,2680.0,2911.25,2647.55,2742.0,2747.45,2780.8,309178,8597.61,39049, 138269, 44.72
2023-02-01,AIAENG, EQ,2747.45,2743.5,2899.0,2742.9, 2830.00,2852.25,2850.04,200467,5713.38,36128, 98265, 49.02
2023-02-02,AIAENG, EQ,2852.25,2830.5,2852.25,2765.0, 2770.00,2788.8,2808.53,65781,1847.48,16277, 36298, 55.18
2023-02-03,AIAENG, EQ,2788.8,2798.8,2821.9,2755.55, 2782.20,2801.2,2792.66,89775,2507.11,17266, 57869, 64.46
2023-02-06,AIAENG, EQ,2801.2,2810.0,2830.0,2791.0, 2802.05,2799.35,2809.54,43018,1208.61,12849, 23780, 55.28
2023-02-07,AIAENG, EQ,2799.35,2824.0,2827.25,2771.05, 2772.00,2790.45,2800.48,39809,1114.84,8530, 25581, 64.26
2023-02-08,AIAENG, EQ,2790.45,2787.6,2821.15,2740.0, 2785.00,2776.75,2786.57,77186,2150.85,16093, 48451, 62.77
2023-02-09,AIAENG, EQ,2776.75,2791.4,2800.0,2755.0, 2769.90,2770.15,2786.46,27020,752.9,7639, 17606, 65.16
2023-02-10,AIAENG, EQ,2770.15,2839.0,2839.0,2765.0, 2795.00,2787.5,2795.67,95247,2662.79,17915, 48340, 50.75
2023-02-13,AIAENG, EQ,2787.5,2815.8,2815.8,2782.0,2793.1,2797.55,2796.29,41698,1166.0,7929, 28174, 67.57
2023-02-14,AIAENG, EQ,2797.55,2812.3,2830.0,2755.0,2795.0,2799.45,2798.3,57647,1613.14,12975, 28037, 48.64
2023-02-15,AIAENG, EQ,2799.45,2809.7,2828.2,2785.15, 2815.55,2818.25,2805.14,40772,1143.71,12403, 23079, 56.61
2023-02-16,AIAENG, EQ,2818.25,2834.95,2849.9,2776.1, 2780.00,2783.8,2790.78,52013,1451.57,11106, 36108, 69.42
2023-02-17,AIAENG, EQ,2783.8,2787.3,2788.75,2760.0, 2777.00,2777.0,2777.37,27257,757.03,6750, 16906, 62.02
2023-02-20,AIAENG, EQ,2777.0,2779.95,2795.95,2700.0, 2702.90,2710.1,2728.24,73766,2012.51,12396, 30737, 41.67
2023-02-21,AIAENG, EQ,2710.1,2711.0,2743.0,2663.0, 2723.00,2728.2,2713.64,80724,2190.56,15593, 33823, 41.90
2023-02-22,AIAENG, EQ,2728.2,2724.95,2735.9,2671.35, 2675.05,2702.25,2697.61,35686,962.67,6733, 22308, 62.51
2023-02-23,AIAENG, EQ,2702.25,2694.0,2740.0,2656.0,2686.5,2702.8,2698.75,49139,1326.14,16022, 24680, 50.22
2023-02-24,AIAENG, EQ,2702.8,2687.0,2732.0,2687.0, 2710.00,2720.35,2725.06,36884,1005.11,6787, 21730, 58.91
2023-02-27,AIAENG, EQ,2720.35,2700.05,2727.65,2656.0, 2671.00,2675.95,2684.65,74004,1986.75,15390, 34428, 46.52
2023-02-28,AIAENG, EQ,2675.95,2687.0,2719.0,2640.0, 2650.15,2650.65,2684.87,129408,3474.43,14551, 95345, 73.68
2023-03-01,AIAENG, EQ,2650.65,2651.0,2714.0,2651.0, 2702.00,2706.8,2699.99,48734,1315.81,12454, 24618, 50.52
2023-03-02,AIAENG, EQ,2706.8,2690.0,2710.45,2672.2, 2688.05,2684.1,2688.03,22094,593.89,6987, 13740, 62.19
2023-03-03,AIAENG, EQ,2684.1,2691.0,2709.0,2670.3, 2686.00,2685.2,2694.5,20017,539.36,5238, 12314, 61.52
2023-03-06,AIAENG, EQ,2685.2,2690.0,2735.35,2675.0, 2699.00,2706.05,2707.52,75495,2044.05,11556, 36437, 48.26
2023-03-08,AIAENG, EQ,2706.05,2706.0,2807.0,2703.0, 2775.00,2774.4,2771.77,111573,3092.54,16999, 54429, 48.78
2023-03-09,AIAENG, EQ,2774.4,2790.0,2824.95,2733.35, 2760.00,2752.3,2777.58,45857,1273.72,11647, 22371, 48.78
2023-03-10,AIAENG, EQ,2752.3,2760.0,2829.85,2753.05, 2796.25,2800.35,2798.22,97238,2720.94,15742, 51980, 53.46
2023-03-13,AIAENG, EQ,2800.35,2800.35,2810.0,2765.5, 2792.25,2796.15,2786.66,43954,1224.85,8726, 29071, 66.14
2023-03-14,AIAENG, EQ,2796.15,2785.1,2820.0,2746.75, 2761.20,2774.4,2777.43,44985,1249.43,9605, 22791, 50.66
2023-03-15,AIAENG, EQ,2774.4,2775.0,2801.8,2735.3, 2766.00,2770.5,2770.94,34167,946.75,8911, 14567, 42.63
2023-03-16,AIAENG, EQ,2770.5,2765.0,2768.95,2712.6, 2728.00,2726.95,2733.2,25162,687.73,9652, 11259, 44.75
2023-03-17,AIAENG, EQ,2726.95,2721.05,2829.9,2721.05, 2784.00,2803.75,2789.56,45954,1281.92,9013, 33379, 72.64
2023-03-20,AIAENG, EQ,2803.75,2752.0,2803.75,2731.05,2750.0,2751.15,2767.83,23136,640.36,7109, 11562, 49.97
2023-03-21,AIAENG, EQ,2751.15,2771.0,2779.05,2642.7, 2749.00,2751.15,2709.68,57133,1548.12,15832, 14801, 25.91
2023-03-22,AIAENG, EQ,2751.15,2765.6,2799.0,2722.5, 2780.00,2791.8,2775.86,39483,1095.99,8851, 12220, 30.95
2023-03-23,AIAENG, EQ,2791.8,2789.0,2864.3,2766.7, 2811.00,2823.35,2813.72,57601,1620.73,10674, 29369, 50.99
2023-03-24,AIAENG, EQ,2823.35,2823.35,2894.0,2803.9, 2845.00,2843.05,2848.89,62368,1776.79,11809, 26187, 41.99
2023-03-27,AIAENG, EQ,2843.05,2865.6,2940.0,2829.0, 2878.00,2890.95,2895.84,132102,3825.46,21823, 53237, 40.30
2023-03-28,AIAENG, EQ,2890.95,2890.95,2924.05,2837.1, 2877.00,2879.25,2881.21,58901,1697.06,11587, 25356, 43.05
2023-03-29,AIAENG, EQ,2879.25,2879.0,2936.0,2861.0, 2905.00,2905.4,2905.35,92090,2675.54,20787, 61719, 67.02
2023-03-31,AIAENG, EQ,2905.4,2920.0,2960.0,2887.95, 2908.00,2903.1,2925.08,61802,1807.76,14148, 32570, 52.70
2023-04-03,AIAENG, EQ,2903.1,2918.4,2968.55,2886.0, 2964.90,2954.8,2944.59,89829,2645.1,15410, 69161, 76.99
2023-04-05,AIAENG, EQ,2954.8,2960.0,2988.0,2934.05, 2940.50,2965.7,2964.25,68485,2030.07,18435, 38861, 56.74
2023-04-06,AIAENG, EQ,2965.7,2952.3,2967.1,2927.15, 2937.00,2933.95,2949.22,34821,1026.95,6951, 19051, 54.71
2023-04-10,AIAENG, EQ,2933.95,2939.75,2957.8,2880.15, 2910.00,2895.85,2914.86,22296,649.9,4631, 10697, 47.98
2023-04-11,AIAENG, EQ,2895.85,2909.8,2958.0,2896.0, 2930.00,2925.1,2935.07,83990,2465.16,16477, 50952, 60.66
