DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,AIROLAM, EQ,81.9,82.05,87.15,82.0, 84.15,84.1,85.41,33239,28.39,627, 15366, 46.23
2023-01-03,AIROLAM, EQ,84.1,84.95,88.0,84.3, 87.95,86.65,86.58,18368,15.9,274, 13803, 75.15
2023-01-04,AIROLAM, EQ,86.65,86.65,87.95,83.2, 83.60,84.05,85.55,12326,10.54,268, 7649, 62.06
2023-01-05,AIROLAM, EQ,84.05,84.35,86.0,83.7,83.7,84.25,84.8,7583,6.43,151, 5675, 74.84
2023-01-06,AIROLAM, EQ,84.25,83.9,84.55,81.5,82.0,82.05,82.67,17992,14.87,302, 12137, 67.46
2023-01-09,AIROLAM, EQ,82.05,84.0,87.0,82.65,86.65,86.5,85.54,21391,18.3,293, 10004, 46.77
2023-01-10,AIROLAM, EQ,86.5,87.35,87.35,83.05,84.0,83.8,84.93,17128,14.55,288, 11056, 64.55
2023-01-11,AIROLAM, EQ,83.8,82.55,85.15,82.55, 83.00,83.2,83.63,6514,5.45,152, 4802, 73.72
2023-01-12,AIROLAM, EQ,83.2,84.2,84.5,82.6, 83.75,83.05,83.34,6533,5.44,180, 3728, 57.06
2023-01-13,AIROLAM, EQ,83.05,85.7,85.7,81.95,83.0,82.8,83.18,20751,17.26,407, 13901, 66.99
2023-01-16,AIROLAM, EQ,82.8,83.0,84.2,82.45, 82.45,83.3,83.25,9223,7.68,162, 5515, 59.80
2023-01-17,AIROLAM, EQ,83.3,83.55,83.55,81.75,81.95,82.35,82.35,6833,5.63,170, 3576, 52.33
2023-01-18,AIROLAM, EQ,82.35,82.6,86.05,80.0,83.85,83.15,83.0,23083,19.16,440, 10642, 46.10
2023-01-19,AIROLAM, EQ,83.15,83.1,83.8,81.6, 82.00,81.95,82.39,5703,4.7,133, 4740, 83.11
2023-01-20,AIROLAM, EQ,81.95,82.0,82.45,81.05,81.35,81.65,81.72,12541,10.25,258, 6517, 51.97
2023-01-23,AIROLAM, EQ,81.65,81.95,82.0,78.8,80.55,80.5,80.53,18765,15.11,258, 11581, 61.72
2023-01-24,AIROLAM, EQ,80.5,81.3,81.9,80.5,81.0,80.75,80.75,10208,8.24,120, 8905, 87.24
2023-01-25,AIROLAM, EQ,80.75,80.75,80.75,79.0, 79.70,79.6,79.6,7266,5.78,196, 5346, 73.58
2023-01-27,AIROLAM, EQ,79.6,80.0,80.8,79.0, 79.10,79.5,79.51,11219,8.92,140, 7215, 64.31
2023-01-30,AIROLAM, EQ,79.5,79.5,80.4,77.1, 78.25,77.55,77.98,9223,7.19,153, 5853, 63.46
2023-01-31,AIROLAM, EQ,77.55,76.8,79.95,76.8,77.15,77.9,78.44,6567,5.15,140, 4739, 72.16
2023-02-01,AIROLAM, EQ,77.9,78.8,79.95,77.55, 78.85,78.75,78.83,5510,4.34,103, 3373, 61.22
2023-02-02,AIROLAM, EQ,78.75,78.4,78.4,73.75, 75.00,74.95,75.54,14725,11.12,265, 9914, 67.33
2023-02-03,AIROLAM, EQ,74.95,74.85,74.85,71.2, 73.25,72.75,72.45,36439,26.4,401, 23902, 65.59
2023-02-06,AIROLAM, EQ,72.75,73.45,74.95,69.0, 71.60,71.95,71.96,17793,12.8,233, 10742, 60.37
2023-02-07,AIROLAM, EQ,71.95,75.0,75.0,72.1, 74.00,73.7,73.38,7662,5.62,117, 5928, 77.37
2023-02-08,AIROLAM, EQ,73.7,73.0,79.8,72.7, 76.95,76.8,76.97,28053,21.59,307, 11769, 41.95
2023-02-09,AIROLAM, EQ,76.8,77.35,78.9,72.55, 76.00,75.05,74.57,22155,16.52,440, 11914, 53.78
2023-02-10,AIROLAM, EQ,75.05,75.0,78.0,74.3, 76.60,76.5,76.41,5895,4.5,127, 3318, 56.28
2023-02-13,AIROLAM, EQ,76.5,77.05,77.1,74.25,74.9,74.95,75.05,5415,4.06,96, 2776, 51.27
2023-02-14,AIROLAM, EQ,74.95,75.0,75.0,73.0,74.25,74.05,73.69,5428,4.0,86, 3219, 59.30
2023-02-15,AIROLAM, EQ,74.05,73.7,75.0,72.65, 73.65,73.7,73.12,9819,7.18,96, 7790, 79.34
2023-02-16,AIROLAM, EQ,73.7,74.7,77.0,73.25, 74.80,75.7,74.93,4602,3.45,153, 2499, 54.30
2023-02-17,AIROLAM, EQ,75.7,74.5,74.95,73.1, 73.25,73.4,73.91,2552,1.89,76, 1466, 57.45
2023-02-20,AIROLAM, EQ,73.4,73.4,75.55,72.5, 73.00,72.95,73.37,3256,2.39,105, 2431, 74.66
2023-02-21,AIROLAM, EQ,72.95,73.65,73.7,72.15, 73.45,72.95,72.85,4379,3.19,92, 3642, 83.17
2023-02-22,AIROLAM, EQ,72.95,70.3,75.0,70.3, 73.20,74.8,73.07,6637,4.85,94, 5397, 81.32
2023-02-23,AIROLAM, EQ,74.8,75.0,75.5,72.0,74.25,72.5,73.5,4795,3.52,119, 3873, 80.77
2023-02-24,AIROLAM, EQ,72.5,73.15,74.4,72.5, 72.95,72.95,73.24,8626,6.32,99, 4282, 49.64
2023-02-27,AIROLAM, EQ,72.95,70.85,73.1,69.6, 70.95,70.3,71.19,9936,7.07,165, 6355, 63.96
2023-02-28,AIROLAM, EQ,70.3,71.0,72.0,70.0, 71.10,71.3,71.4,4121,2.94,61, 2603, 63.16
2023-03-01,AIROLAM, EQ,71.3,72.3,72.75,71.0, 71.30,71.6,72.0,2954,2.13,60, 1942, 65.74
2023-03-02,AIROLAM, EQ,71.6,71.55,73.2,71.35, 71.50,71.55,72.06,5894,4.25,170, 2384, 40.45
2023-03-03,AIROLAM, EQ,71.55,70.25,72.65,70.25, 72.65,72.45,72.04,3183,2.29,61, 1912, 60.07
2023-03-06,AIROLAM, EQ,72.45,72.1,73.5,71.05, 73.45,72.6,72.73,10680,7.77,198, 7422, 69.49
2023-03-08,AIROLAM, EQ,72.6,72.0,75.9,72.0, 75.70,75.4,74.03,10588,7.84,124, 7897, 74.58
2023-03-09,AIROLAM, EQ,75.4,76.3,76.3,72.2, 73.90,73.7,73.6,7465,5.49,180, 5329, 71.39
2023-03-10,AIROLAM, EQ,73.7,73.6,73.95,69.2, 71.70,71.85,71.87,30613,22.0,571, 20444, 66.78
2023-03-13,AIROLAM, EQ,71.85,72.5,72.5,68.25, 70.45,70.75,71.12,24395,17.35,205, 19926, 81.68
2023-03-14,AIROLAM, EQ,70.75,70.75,72.0,69.25, 71.40,70.2,70.18,9226,6.48,125, 7251, 78.59
2023-03-15,AIROLAM, EQ,70.2,70.55,71.25,66.65, 67.50,67.7,68.35,54975,37.58,424, 47243, 85.94
2023-03-16,AIROLAM, EQ,67.7,68.6,68.6,66.2, 67.00,66.5,67.14,10450,7.02,119, 8464, 81.00
2023-03-17,AIROLAM, EQ,66.5,67.8,69.5,67.8, 69.50,69.2,68.39,16248,11.11,107, 14743, 90.74
2023-03-20,AIROLAM, EQ,69.2,68.95,68.95,66.35,67.85,68.2,67.49,3727,2.52,89, 2315, 62.11
2023-03-21,AIROLAM, EQ,68.2,69.5,69.6,66.8, 67.30,67.65,68.39,27565,18.85,201, 25041, 90.84
2023-03-22,AIROLAM, EQ,67.65,67.75,70.0,67.7, 69.50,68.75,69.15,12719,8.79,231, 6524, 51.29
2023-03-23,AIROLAM, EQ,68.75,68.7,70.7,66.1, 66.10,66.6,67.13,13138,8.82,273, 8192, 62.35
2023-03-24,AIROLAM, EQ,66.6,69.5,69.55,66.45, 68.00,68.05,68.16,9169,6.25,111, 6354, 69.30
2023-03-27,AIROLAM, EQ,68.05,70.95,70.95,66.45, 67.40,67.2,67.62,4172,2.82,104, 2721, 65.22
2023-03-28,AIROLAM, EQ,67.2,68.05,68.35,66.25, 66.70,66.8,67.23,4447,2.99,138, 2673, 60.11
2023-03-29,AIROLAM, EQ,66.8,65.1,66.95,64.5, 64.50,64.7,65.24,11831,7.72,150, 8640, 73.03
2023-03-31,AIROLAM, EQ,64.7,66.0,67.2,64.5, 64.60,65.4,65.59,11619,7.62,112, 8158, 70.21
2023-04-03,AIROLAM, EQ,65.4,66.3,70.45,65.1, 70.10,68.55,68.85,6034,4.15,110, 3344, 55.42
2023-04-05,AIROLAM, EQ,68.55,73.5,73.5,69.9, 73.45,71.8,71.55,11752,8.41,196, 5864, 49.90
2023-04-06,AIROLAM, EQ,71.8,72.3,75.5,70.0, 73.45,73.1,72.58,16682,12.11,265, 7006, 42.00
2023-04-10,AIROLAM, EQ,73.1,73.8,73.8,71.4, 71.40,71.55,71.95,4259,3.06,88, 3302, 77.53
2023-04-11,AIROLAM, EQ,71.55,71.55,72.55,71.55, 71.60,71.65,71.87,3139,2.26,55, 1854, 59.06
2023-04-12,AIROLAM, EQ,71.65,71.3,73.0,71.25, 72.90,72.65,72.19,9764,7.05,83, 7716, 79.02
