DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,AJRINFRA, EQ,1.35,1.4,1.4,1.35, 1.40,1.4,1.4,506833,7.09,203, 425348, 83.92
2023-01-03,AJRINFRA, EQ,1.4,1.45,1.45,1.4, 1.45,1.45,1.45,862137,12.49,439, 644685, 74.78
2023-01-04,AJRINFRA, EQ,1.45,1.45,1.45,1.4, 1.45,1.4,1.42,350340,4.97,287, 195635, 55.84
2023-01-05,AJRINFRA, EQ,1.4,1.45,1.45,1.4,1.45,1.4,1.41,489290,6.88,240, 452190, 92.42
2023-01-06,AJRINFRA, EQ,1.4,1.45,1.45,1.35,1.45,1.4,1.4,765907,10.72,350, 435204, 56.82
2023-01-09,AJRINFRA, EQ,1.4,1.45,1.45,1.4,1.45,1.4,1.42,408631,5.79,275, 220439, 53.95
2023-01-10,AJRINFRA, EQ,1.4,1.4,1.45,1.35,1.4,1.35,1.39,367041,5.1,253, 256572, 69.90
2023-01-11,AJRINFRA, EQ,1.35,1.35,1.4,1.35, 1.35,1.35,1.37,270909,3.72,227, 151743, 56.01
2023-01-12,AJRINFRA, EQ,1.35,1.35,1.4,1.3, 1.35,1.35,1.32,2088560,27.56,573, 1493232, 71.50
2023-01-13,AJRINFRA, EQ,1.35,1.35,1.4,1.3,1.4,1.4,1.35,1402694,18.98,329, 1174093, 83.70
2023-01-16,AJRINFRA, EQ,1.4,1.4,1.4,1.35, 1.40,1.35,1.36,718021,9.74,417, 670413, 93.37
2023-01-17,AJRINFRA, EQ,1.35,1.4,1.4,1.3,1.3,1.35,1.35,470873,6.37,298, 290899, 61.78
2023-01-18,AJRINFRA, EQ,1.35,1.35,1.4,1.3,1.35,1.35,1.36,1369713,18.57,426, 683519, 49.90
2023-01-19,AJRINFRA, EQ,1.35,1.35,1.35,1.3, 1.35,1.3,1.32,523560,6.89,278, 521839, 99.67
2023-01-20,AJRINFRA, EQ,1.3,1.3,1.35,1.3,1.35,1.3,1.33,323093,4.29,243, 179264, 55.48
