DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-04-06,AKI, EQ,74.35,78.1,88.7,61.2, 79.10,80.9,79.18,14056,11.13,393, 9470, 67.37
2023-04-10,AKI, EQ,80.9,93.0,97.05,90.95, 97.05,97.05,95.97,18193,17.46,314, 14127, 77.65
2023-04-11,AKI, EQ,97.05,107.8,114.5,97.1, 103.90,104.45,106.04,299785,317.89,5709, 137052, 45.72
2023-04-12,AKI, EQ,104.45,104.9,109.5,99.0, 107.00,108.4,106.44,95264,101.4,3531, 25820, 27.10
2023-04-13,AKI, EQ,108.4,101.5,107.3,101.5, 103.75,103.85,104.6,33210,34.74,2070, 11526, 34.71
2023-04-17,AKI, EQ,103.85,103.9,109.15,102.25, 105.00,105.35,105.75,128147,135.52,2212, 91012, 71.02
2023-04-18,AKI, EQ,105.35,109.7,115.85,105.8, 115.85,115.8,113.64,294394,334.54,2883, 66693, 22.65
2023-04-19,AKI, EQ,115.8,114.0,122.6,109.85, 114.60,114.45,115.97,259922,301.42,5777, 106763, 41.08
2023-04-20,AKI, EQ,114.45,119.0,121.8,114.15, 116.35,115.5,118.06,114047,134.65,1637, 37532, 32.91
2023-04-21,AKI, EQ,115.5,119.95,119.95,113.45, 116.00,115.5,115.72,75335,87.18,800, 12471, 16.55
2023-04-24,AKI, EQ,115.5,112.1,115.55,112.1, 113.00,113.25,113.73,98981,112.57,499, 8248, 8.33
2023-04-25,AKI, EQ,113.25,113.95,119.5,112.35,116.75,116.2,115.58,142369,164.56,1136, 67716, 47.56
2023-04-26,AKI, EQ,116.2,119.5,119.5,113.1, 117.55,115.6,116.47,108357,126.21,2142, 29385, 27.12
2023-04-27,AKI, EQ,115.6,117.8,117.8,113.55, 116.00,114.75,114.97,160631,184.67,1335, 107773, 67.09
2023-04-28,AKI, EQ,114.75,120.0,121.5,115.5, 115.55,116.0,118.22,108268,127.99,1929, 23051, 21.29
2023-05-02,AKI, EQ,116.0,116.5,119.75,106.0, 117.00,114.4,115.43,68984,79.63,707, 20255, 29.36
2023-05-03,AKI, EQ,114.4,115.0,118.4,111.0,112.8,115.3,114.69,108864,124.86,1909, 30191, 27.73
2023-05-04,AKI, EQ,115.3,114.0,116.35,113.55, 115.25,115.25,115.13,396451,456.43,971, 228179, 57.56
2023-05-05,AKI, EQ,115.25,115.45,116.0,112.5, 112.50,114.05,114.9,91500,105.13,1320, 28292, 30.92
2023-05-08,AKI, EQ,114.05,114.95,114.95,102.65, 109.90,107.2,107.77,138743,149.52,3822, 48206, 34.74
2023-05-09,AKI, EQ,107.2,110.0,112.0,104.15,109.0,109.45,108.66,254922,277.0,1669, 107186, 42.05
2023-05-10,AKI, EQ,109.45,111.0,111.0,105.0,106.5,106.55,106.71,328565,350.6,3624, 72560, 22.08
2023-05-11,AKI, EQ,106.55,109.95,109.95,103.05, 105.40,104.0,104.72,75298,78.85,3641, 56885, 75.55
2023-05-12,AKI, EQ,104.0,101.0,104.0,93.6, 93.60,93.65,97.42,150946,147.06,2864, 74755, 49.52
2023-05-15,AKI, EQ,93.65,95.5,96.6,90.9, 93.00,94.45,93.88,86926,81.6,1318, 45794, 52.68
2023-05-16,AKI, EQ,94.45,95.5,95.5,90.1,92.4,93.1,93.07,41022,38.18,937, 25334, 61.76
2023-05-17,AKI, EQ,93.1,94.3,102.4,93.1, 102.40,101.25,98.25,112216,110.26,1542, 48788, 43.48
2023-05-18,AKI, EQ,101.25,104.9,106.0,100.95, 102.40,103.1,104.41,156934,163.86,1331, 80036, 51.00
2023-05-19,AKI, EQ,103.1,103.0,113.4,98.05,107.5,106.5,106.46,159760,170.07,2589, 52279, 32.72
2023-05-22,AKI, EQ,106.5,103.5,117.15,103.5,110.2,110.5,112.1,233626,261.9,1184, 108659, 46.51
