DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ANANDRATHI, EQ,701.55,706.75,706.75,700.85, 704.85,703.25,703.64,9193,64.69,1396, 4609, 50.14
2023-01-03,ANANDRATHI, EQ,703.25,705.75,705.75,701.75, 704.95,704.35,704.11,19261,135.62,740, 13623, 70.73
2023-01-04,ANANDRATHI, EQ,704.35,704.35,718.05,704.35, 717.50,716.05,712.16,353047,2514.24,9727, 272494, 77.18
2023-01-05,ANANDRATHI, EQ,716.05,720.6,755.95,720.6,733.7,733.9,740.18,200965,1487.51,12803, 72636, 36.14
2023-01-06,ANANDRATHI, EQ,733.9,739.0,746.0,735.05,740.6,741.65,740.36,81715,604.99,6758, 13863, 16.97
2023-01-09,ANANDRATHI, EQ,741.65,752.0,759.95,742.1,748.2,754.4,750.99,137759,1034.55,7513, 70683, 51.31
2023-01-10,ANANDRATHI, EQ,754.4,752.15,768.0,743.1,744.2,746.05,753.66,67177,506.29,4545, 22226, 33.09
2023-01-11,ANANDRATHI, EQ,746.05,745.0,752.0,738.2, 744.00,741.2,745.95,43813,326.82,3688, 7530, 17.19
2023-01-12,ANANDRATHI, EQ,741.2,752.7,760.0,746.1, 757.00,754.55,753.77,103865,782.91,5659, 38714, 37.27
2023-01-13,ANANDRATHI, EQ,754.55,755.0,780.0,736.05,772.75,772.75,761.63,367163,2796.42,14699, 110436, 30.08
2023-01-16,ANANDRATHI, EQ,772.75,785.0,799.9,779.5, 785.50,792.85,794.39,247401,1965.32,11653, 112201, 45.35
2023-01-17,ANANDRATHI, EQ,792.85,797.7,844.7,788.8,812.75,811.1,809.82,288354,2335.13,15380, 88598, 30.73
2023-01-18,ANANDRATHI, EQ,811.1,819.2,839.0,810.0,820.55,816.95,825.41,196862,1624.92,11398, 63094, 32.05
2023-01-19,ANANDRATHI, EQ,816.95,815.0,849.0,814.55, 842.10,844.2,840.79,296041,2489.08,12259, 163458, 55.21
2023-01-20,ANANDRATHI, EQ,844.2,852.8,854.25,836.0,836.0,844.05,843.99,63672,537.38,5400, 29097, 45.70
