DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ANANTRAJ, EQ,112.1,112.0,112.8,107.0, 108.00,108.35,109.67,3368115,3693.87,12083, 1272564, 37.78
2023-01-03,ANANTRAJ, EQ,108.35,108.2,111.7,107.3, 109.60,109.15,109.38,3312731,3623.4,12124, 853085, 25.75
2023-01-04,ANANTRAJ, EQ,109.15,109.5,112.8,109.5, 110.90,111.3,111.02,4079606,4529.27,14945, 1406797, 34.48
2023-01-05,ANANTRAJ, EQ,111.3,111.55,113.9,110.5,113.55,113.4,112.46,4258256,4788.89,11342, 1204244, 28.28
2023-01-06,ANANTRAJ, EQ,113.4,114.0,117.35,112.75,116.6,116.5,115.44,3914910,4519.25,16209, 1186485, 30.31
2023-01-09,ANANTRAJ, EQ,116.5,117.9,118.7,113.85,115.7,115.7,116.09,2560056,2971.92,9159, 1147270, 44.81
2023-01-10,ANANTRAJ, EQ,115.7,115.7,116.1,111.05,111.4,111.85,113.04,1644605,1859.0,6949, 595574, 36.21
2023-01-11,ANANTRAJ, EQ,111.85,111.85,114.3,111.55, 112.05,112.35,112.75,1336239,1506.62,6263, 365556, 27.36
2023-01-12,ANANTRAJ, EQ,112.35,112.95,113.95,110.4, 112.05,111.45,112.24,1757847,1973.03,7061, 704936, 40.10
2023-01-13,ANANTRAJ, EQ,111.45,111.85,115.1,111.7,115.1,114.7,114.08,1578905,1801.26,7097, 809434, 51.27
2023-01-16,ANANTRAJ, EQ,114.7,115.2,118.45,114.05, 114.90,114.95,116.37,2175293,2531.33,10552, 668371, 30.73
2023-01-17,ANANTRAJ, EQ,114.95,115.45,120.5,112.4,119.85,119.6,117.47,3567622,4190.93,15322, 1580479, 44.30
2023-01-18,ANANTRAJ, EQ,119.6,120.2,123.0,119.15,119.75,120.0,121.09,3809497,4612.74,18415, 1166540, 30.62
2023-01-19,ANANTRAJ, EQ,120.0,119.4,122.7,118.15, 122.50,121.9,120.89,2426181,2933.0,10475, 919336, 37.89
2023-01-20,ANANTRAJ, EQ,121.9,124.2,125.25,119.5,120.7,120.75,122.46,6827714,8361.56,23690, 2364950, 34.64
2023-01-23,ANANTRAJ, EQ,120.75,121.85,121.85,116.2,118.35,118.35,118.8,1855073,2203.88,8936, 641784, 34.60
2023-01-24,ANANTRAJ, EQ,118.35,118.95,120.8,115.2,116.9,117.4,117.34,1331324,1562.12,7278, 401253, 30.14
2023-01-25,ANANTRAJ, EQ,117.4,117.0,117.4,112.85, 113.00,113.45,114.5,1236033,1415.25,7580, 539173, 43.62
2023-01-27,ANANTRAJ, EQ,113.45,113.5,114.35,102.1, 106.65,106.8,107.36,2592713,2783.49,13592, 856310, 33.03
2023-01-30,ANANTRAJ, EQ,106.8,107.4,110.3,104.45, 107.80,107.5,107.45,1529668,1643.67,8288, 533254, 34.86
2023-01-31,ANANTRAJ, EQ,107.5,108.6,113.25,106.5,111.95,111.45,110.42,1737643,1918.69,7737, 780667, 44.93
2023-02-01,ANANTRAJ, EQ,111.45,113.0,114.2,90.6, 103.45,103.05,104.72,3001242,3142.82,15653, 1127615, 37.57
2023-02-02,ANANTRAJ, EQ,103.05,103.05,106.55,100.6, 103.45,103.1,103.72,1339986,1389.9,8090, 575631, 42.96
2023-02-03,ANANTRAJ, EQ,103.1,103.8,104.7,97.25, 100.90,100.4,99.87,2605208,2601.93,12584, 923139, 35.43
2023-02-06,ANANTRAJ, EQ,100.4,100.4,105.4,99.4, 104.00,104.1,103.15,1480995,1527.67,7323, 665834, 44.96
2023-02-07,ANANTRAJ, EQ,104.1,103.5,105.45,103.0, 104.40,103.85,104.35,1157313,1207.64,5235, 522493, 45.15
2023-02-08,ANANTRAJ, EQ,103.85,103.6,108.4,103.5, 108.35,107.25,105.41,1232001,1298.66,6151, 572688, 46.48
2023-02-09,ANANTRAJ, EQ,107.25,107.25,108.95,106.0, 108.00,108.05,107.61,841031,904.99,5925, 265484, 31.57
2023-02-10,ANANTRAJ, EQ,108.05,107.5,108.5,107.0, 107.25,107.2,107.7,442582,476.67,2987, 174256, 39.37
2023-02-13,ANANTRAJ, EQ,107.2,106.9,107.6,102.85,104.25,103.75,104.71,957985,1003.15,4811, 526566, 54.97
2023-02-14,ANANTRAJ, EQ,103.75,103.45,106.85,101.2,104.05,104.25,104.02,1159716,1206.28,7088, 504602, 43.51
2023-02-15,ANANTRAJ, EQ,104.25,104.0,106.9,103.65, 106.00,106.35,105.27,585979,616.89,4202, 239811, 40.92
2023-02-16,ANANTRAJ, EQ,106.35,106.8,110.5,106.2, 109.95,109.7,109.06,1222842,1333.63,6582, 481347, 39.36
2023-02-17,ANANTRAJ, EQ,109.7,108.6,112.95,108.25, 112.40,112.45,111.52,949550,1058.97,6572, 408154, 42.98
2023-02-20,ANANTRAJ, EQ,112.45,113.05,117.35,113.0, 115.40,115.55,115.07,2031424,2337.47,10018, 1051830, 51.78
2023-02-21,ANANTRAJ, EQ,115.55,115.55,117.4,113.65, 116.40,115.95,115.45,3121516,3603.91,7988, 2168100, 69.46
2023-02-22,ANANTRAJ, EQ,115.95,114.8,117.55,111.0, 111.45,111.9,114.55,2480869,2841.91,8672, 1604872, 64.69
2023-02-23,ANANTRAJ, EQ,111.9,111.9,113.05,109.9,111.6,112.4,111.76,696208,778.07,4906, 195881, 28.14
2023-02-24,ANANTRAJ, EQ,112.4,112.8,113.45,106.65, 107.75,108.0,109.9,1192347,1310.43,7395, 580332, 48.67
2023-02-27,ANANTRAJ, EQ,108.0,108.25,109.0,101.0, 104.90,103.9,104.39,1213663,1266.9,7854, 391423, 32.25
2023-02-28,ANANTRAJ, EQ,103.9,104.9,106.8,103.2, 104.20,104.75,105.11,838779,881.67,5092, 366406, 43.68
2023-03-01,ANANTRAJ, EQ,104.75,104.9,108.8,104.5, 108.25,107.65,107.41,1256861,1349.97,6593, 862221, 68.60
2023-03-02,ANANTRAJ, EQ,107.65,107.65,113.75,107.3, 112.30,112.65,111.65,2312680,2582.05,10456, 1039369, 44.94
2023-03-03,ANANTRAJ, EQ,112.65,113.0,116.75,112.05, 115.10,115.4,114.83,2324858,2669.61,11579, 1244036, 53.51
2023-03-06,ANANTRAJ, EQ,115.4,116.0,117.6,115.25, 115.90,115.95,116.43,1443530,1680.65,6730, 672991, 46.62
2023-03-08,ANANTRAJ, EQ,115.95,115.0,116.9,113.85, 115.15,115.15,115.18,1490492,1716.76,5221, 827531, 55.52
2023-03-09,ANANTRAJ, EQ,115.15,115.05,120.55,115.05, 118.40,118.7,117.72,4122008,4852.43,15517, 2106446, 51.10
2023-03-10,ANANTRAJ, EQ,118.7,117.85,120.45,115.25, 116.30,116.15,117.4,2120772,2489.84,11526, 754539, 35.58
2023-03-13,ANANTRAJ, EQ,116.15,116.5,117.0,109.05, 109.80,110.25,111.93,1500376,1679.32,8660, 782028, 52.12
2023-03-14,ANANTRAJ, EQ,110.25,110.45,112.85,107.1, 111.55,111.6,109.82,1250780,1373.64,7884, 437791, 35.00
2023-03-15,ANANTRAJ, EQ,111.6,112.15,115.5,111.5, 113.50,114.45,114.01,1541445,1757.46,7508, 689703, 44.74
2023-03-16,ANANTRAJ, EQ,114.45,113.85,114.8,111.55, 113.25,113.65,113.55,817184,927.92,6071, 214047, 26.19
2023-03-17,ANANTRAJ, EQ,113.65,114.75,118.45,114.75, 118.00,117.55,117.27,1916154,2247.11,10324, 1028238, 53.66
