DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ANDREWYU, EQ,27.95,28.3,28.9,27.45, 27.70,27.7,27.91,349202,97.48,1746, 193650, 55.46
2023-01-03,ANDREWYU, EQ,27.7,27.85,28.8,27.55, 27.95,27.75,28.07,285875,80.26,1548, 139573, 48.82
2023-01-04,ANDREWYU, EQ,27.75,27.7,28.25,26.9, 27.05,27.05,27.29,401899,109.69,1924, 203082, 50.53
2023-01-05,ANDREWYU, EQ,27.05,27.2,27.55,26.25,26.6,26.75,26.82,328157,88.01,1624, 162806, 49.61
2023-01-06,ANDREWYU, EQ,26.75,26.95,27.2,25.1,25.8,25.9,26.29,423160,111.26,1785, 257460, 60.84
2023-01-09,ANDREWYU, EQ,25.9,26.3,27.45,26.3,26.85,26.65,26.82,308281,82.68,1516, 150519, 48.83
2023-01-10,ANDREWYU, EQ,26.65,26.9,27.4,26.55,26.9,26.75,26.96,438092,118.11,1777, 204075, 46.58
2023-01-11,ANDREWYU, EQ,26.75,26.6,27.4,26.5, 26.65,26.75,26.9,281124,75.63,1331, 91984, 32.72
2023-01-12,ANDREWYU, EQ,26.75,26.95,27.45,26.15, 26.80,26.5,26.65,262794,70.05,1424, 90551, 34.46
2023-01-13,ANDREWYU, EQ,26.5,26.55,27.15,26.35,26.55,26.5,26.57,195398,51.92,1005, 102974, 52.70
2023-01-16,ANDREWYU, EQ,26.5,26.55,27.0,26.3, 26.50,26.4,26.6,187349,49.83,894, 86800, 46.33
2023-01-17,ANDREWYU, EQ,26.4,26.15,26.5,25.85,26.05,26.0,26.06,311016,81.06,1018, 187851, 60.40
2023-01-18,ANDREWYU, EQ,26.0,26.0,27.0,25.9,26.9,26.65,26.5,216656,57.41,1299, 106255, 49.04
2023-01-19,ANDREWYU, EQ,26.65,26.55,26.8,26.0, 26.15,26.1,26.3,127904,33.64,779, 78144, 61.10
2023-01-20,ANDREWYU, EQ,26.1,26.25,27.3,26.1,26.5,26.5,26.71,340609,90.98,1737, 169903, 49.88
2023-01-23,ANDREWYU, EQ,26.5,26.7,26.95,26.05,26.2,26.15,26.37,136468,35.98,593, 79141, 57.99
2023-01-24,ANDREWYU, EQ,26.15,26.25,26.65,25.3,25.5,25.5,25.91,183738,47.6,891, 124752, 67.90
2023-01-25,ANDREWYU, EQ,25.5,25.5,25.5,24.5, 24.60,24.75,24.99,307285,76.79,1296, 215928, 70.27
2023-01-27,ANDREWYU, EQ,24.75,24.9,25.15,22.95, 23.30,23.25,23.76,685639,162.9,2103, 477063, 69.58
2023-01-30,ANDREWYU, EQ,23.25,23.4,24.3,23.0, 23.45,23.35,23.53,183845,43.25,925, 87012, 47.33
2023-01-31,ANDREWYU, EQ,23.35,23.45,24.75,23.4,24.6,24.45,24.14,131099,31.65,968, 76354, 58.24
2023-02-01,ANDREWYU, EQ,24.45,24.6,25.15,23.0, 23.75,23.45,24.13,238865,57.64,1273, 141074, 59.06
2023-02-02,ANDREWYU, EQ,23.45,23.45,23.85,23.15, 23.45,23.35,23.42,135646,31.77,711, 79373, 58.51
2023-02-03,ANDREWYU, EQ,23.35,23.65,24.2,22.75, 23.20,23.3,23.29,272454,63.44,1338, 196976, 72.30
2023-02-06,ANDREWYU, EQ,23.3,23.2,23.25,22.8, 23.10,23.05,23.07,109382,25.24,575, 58904, 53.85
2023-02-07,ANDREWYU, EQ,23.05,23.25,23.45,22.8, 23.35,23.2,23.14,119153,27.58,509, 70415, 59.10
2023-02-08,ANDREWYU, EQ,23.2,23.45,23.5,22.9, 23.15,23.0,23.12,91726,21.21,510, 50526, 55.08
2023-02-09,ANDREWYU, EQ,23.0,23.15,23.5,23.0, 23.20,23.2,23.27,104730,24.37,720, 39432, 37.65
2023-02-10,ANDREWYU, EQ,23.2,22.95,24.0,22.95, 23.30,23.3,23.34,133864,31.25,657, 69600, 51.99
2023-02-13,ANDREWYU, EQ,23.3,23.35,23.65,22.75,22.8,22.85,23.06,92223,21.26,409, 59521, 64.54
2023-02-14,ANDREWYU, EQ,22.85,22.9,23.25,22.4,23.0,23.0,22.84,223370,51.01,780, 146219, 65.46
2023-02-15,ANDREWYU, EQ,23.0,23.0,23.4,22.5, 22.70,22.7,22.85,150923,34.49,718, 82547, 54.69
2023-02-16,ANDREWYU, EQ,22.7,22.9,23.3,22.7, 22.90,22.8,22.98,113681,26.13,533, 53588, 47.14
2023-02-17,ANDREWYU, EQ,22.8,22.85,23.3,22.6, 22.75,22.7,22.87,103609,23.69,629, 64234, 62.00
2023-02-20,ANDREWYU, EQ,22.7,22.75,22.9,22.05, 22.35,22.4,22.48,148596,33.41,632, 94600, 63.66
2023-02-21,ANDREWYU, EQ,22.4,22.5,22.7,22.0, 22.15,22.1,22.26,120701,26.87,521, 64782, 53.67
2023-02-22,ANDREWYU, EQ,22.1,22.1,22.4,21.7, 21.75,21.85,21.97,100906,22.17,609, 63449, 62.88
2023-02-23,ANDREWYU, EQ,21.85,21.9,22.05,21.6,21.8,21.7,21.78,89437,19.48,445, 59603, 66.64
2023-02-24,ANDREWYU, EQ,21.7,21.9,22.4,21.2, 21.60,21.55,21.72,69928,15.19,477, 43992, 62.91
2023-02-27,ANDREWYU, EQ,21.55,21.7,21.9,20.5, 21.10,21.05,21.07,208764,43.98,929, 136084, 65.19
2023-02-28,ANDREWYU, EQ,21.05,21.05,22.4,21.05, 21.30,21.4,21.46,81535,17.49,408, 56377, 69.14
2023-03-01,ANDREWYU, EQ,21.4,21.6,22.2,21.25, 21.80,21.8,21.94,141684,31.09,864, 82327, 58.11
2023-03-02,ANDREWYU, EQ,21.8,21.95,22.4,21.3, 21.70,21.8,21.97,82750,18.18,647, 40880, 49.40
2023-03-03,ANDREWYU, EQ,21.8,22.0,22.4,21.85, 21.90,21.95,22.11,143052,31.63,762, 58921, 41.19
2023-03-06,ANDREWYU, EQ,21.95,22.15,22.5,21.35, 21.70,21.7,21.98,162839,35.79,914, 104499, 64.17
2023-03-08,ANDREWYU, EQ,21.7,21.1,22.4,21.1, 22.10,22.05,22.05,132764,29.27,665, 86728, 65.32
2023-03-09,ANDREWYU, EQ,22.05,22.2,23.0,22.05, 22.15,22.25,22.54,164304,37.04,839, 86331, 52.54
2023-03-10,ANDREWYU, EQ,22.25,22.15,22.7,21.8, 21.85,21.95,22.11,191669,42.39,836, 89715, 46.81
2023-03-13,ANDREWYU, EQ,21.95,21.7,22.0,20.7, 21.05,20.95,21.3,195701,41.69,1004, 115052, 58.79
2023-03-14,ANDREWYU, EQ,20.95,20.95,21.8,20.2, 20.80,20.8,20.78,565667,117.54,2846, 282541, 49.95
2023-03-15,ANDREWYU, EQ,20.8,20.95,21.35,20.55, 20.60,20.7,20.92,140929,29.48,568, 81060, 57.52
2023-03-16,ANDREWYU, EQ,20.7,20.7,20.95,20.15, 20.45,20.5,20.61,144150,29.71,667, 69511, 48.22
2023-03-17,ANDREWYU, EQ,20.5,20.75,21.2,20.55, 20.60,20.65,20.76,157175,32.64,588, 70253, 44.70
2023-03-20,ANDREWYU, EQ,20.65,20.75,20.75,20.15,20.45,20.35,20.35,97822,19.9,460, 69262, 70.80
2023-03-21,ANDREWYU, EQ,20.35,20.65,20.75,19.85, 20.10,20.15,20.23,260771,52.75,867, 152406, 58.44
2023-03-22,ANDREWYU, EQ,20.15,20.15,20.65,20.1, 20.25,20.2,20.37,126979,25.87,500, 63750, 50.21
2023-03-23,ANDREWYU, EQ,20.2,20.15,20.75,20.15, 20.35,20.35,20.48,138909,28.44,822, 86792, 62.48
2023-03-24,ANDREWYU, EQ,20.35,20.35,20.8,19.85, 20.00,19.95,20.2,219948,44.43,626, 167678, 76.24
2023-03-27,ANDREWYU, EQ,19.95,20.15,20.15,19.0, 19.00,19.15,19.55,354035,69.22,839, 242519, 68.50
2023-03-28,ANDREWYU, EQ,19.15,19.15,19.35,18.8, 19.10,19.0,19.04,183052,34.86,902, 129908, 70.97
2023-03-29,ANDREWYU, EQ,19.0,19.1,20.4,19.1, 20.10,20.05,19.8,462697,91.6,1529, 316312, 68.36
2023-03-31,ANDREWYU, EQ,20.05,20.35,20.95,20.05, 20.35,20.25,20.43,310927,63.53,1083, 176381, 56.73
2023-04-03,ANDREWYU, EQ,20.25,20.45,20.95,20.4, 20.85,20.85,20.77,151525,31.47,650, 89565, 59.11
2023-04-05,ANDREWYU, EQ,20.85,20.8,21.4,20.6, 20.90,20.85,21.07,252885,53.29,875, 127957, 50.60
