DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ANIKINDS, EQ,38.05,38.05,41.0,37.65, 39.00,39.85,39.68,79999,31.74,601, 42065, 52.58
2023-01-03,ANIKINDS, EQ,39.85,40.95,40.95,39.1, 40.00,39.8,39.82,46103,18.36,516, 24074, 52.22
2023-01-04,ANIKINDS, EQ,39.8,39.95,40.35,38.6, 38.70,38.8,39.35,20620,8.11,247, 13765, 66.76
2023-01-05,ANIKINDS, EQ,38.8,39.55,39.85,38.5,39.15,39.4,39.37,22495,8.86,418, 12846, 57.11
2023-01-06,ANIKINDS, EQ,39.4,39.95,39.95,38.2,39.0,38.4,38.72,24621,9.53,233, 19698, 80.00
2023-01-09,ANIKINDS, EQ,38.4,39.75,44.35,38.8,42.85,42.65,42.76,781149,334.05,5037, 363123, 46.49
2023-01-10,ANIKINDS, EQ,42.65,43.0,43.95,40.65,41.3,41.55,42.5,209128,88.88,1904, 97241, 46.50
2023-01-11,ANIKINDS, EQ,41.55,42.5,44.0,40.8, 42.10,42.15,42.48,122858,52.19,1340, 55467, 45.15
2023-01-12,ANIKINDS, EQ,42.15,42.9,44.2,41.0, 41.90,41.65,42.77,156653,67.0,1383, 84590, 54.00
2023-01-13,ANIKINDS, EQ,41.65,43.0,43.05,41.1,41.75,42.4,41.94,66726,27.98,709, 34454, 51.64
2023-01-16,ANIKINDS, EQ,42.4,42.65,43.45,41.55, 41.80,41.85,42.18,63930,26.97,668, 34377, 53.77
2023-01-17,ANIKINDS, EQ,41.85,42.0,42.45,39.55,39.6,39.9,40.77,165102,67.32,1198, 110507, 66.93
2023-01-18,ANIKINDS, EQ,39.9,39.25,42.15,39.25,41.0,41.0,41.39,129406,53.56,1130, 42075, 32.51
2023-01-19,ANIKINDS, EQ,41.0,40.6,41.65,39.8, 40.80,40.45,40.65,88817,36.11,740, 49693, 55.95
2023-01-20,ANIKINDS, EQ,40.45,41.55,42.2,40.65,40.8,40.85,41.42,39976,16.56,479, 22669, 56.71
2023-01-23,ANIKINDS, EQ,40.85,41.55,41.75,40.5,40.5,40.6,40.86,42704,17.45,370, 27282, 63.89
2023-01-24,ANIKINDS, EQ,40.6,40.6,41.0,39.95,40.5,40.15,40.38,21772,8.79,271, 13120, 60.26
2023-01-25,ANIKINDS, EQ,40.15,39.95,40.2,37.7, 38.00,38.0,38.71,97085,37.58,809, 66359, 68.35
2023-01-27,ANIKINDS, EQ,38.0,37.7,38.9,35.75, 36.90,36.85,37.05,79646,29.51,870, 46791, 58.75
2023-01-30,ANIKINDS, EQ,36.85,36.9,38.75,36.3, 37.45,37.25,37.36,41323,15.44,577, 17612, 42.62
2023-01-31,ANIKINDS, EQ,37.25,37.25,37.85,35.25,37.0,37.15,36.29,99338,36.05,831, 45547, 45.85
2023-02-01,ANIKINDS, EQ,37.15,37.55,37.75,35.3, 36.65,36.45,36.76,32207,11.84,514, 18207, 56.53
2023-02-02,ANIKINDS, EQ,36.45,36.95,37.0,36.0, 36.40,36.4,36.44,23697,8.63,288, 12059, 50.89
2023-02-03,ANIKINDS, EQ,36.4,37.7,37.7,34.85, 37.15,36.15,35.93,45353,16.3,473, 22592, 49.81
2023-02-06,ANIKINDS, EQ,36.15,36.8,37.5,35.25, 37.50,37.15,36.67,18869,6.92,271, 11757, 62.31
2023-02-07,ANIKINDS, EQ,37.15,37.0,37.45,36.2, 36.40,36.65,36.73,20024,7.36,244, 9699, 48.44
2023-02-08,ANIKINDS, EQ,36.65,35.8,37.5,35.8, 37.35,37.05,36.76,15598,5.73,243, 8938, 57.30
2023-02-09,ANIKINDS, EQ,37.05,37.6,38.9,36.6, 38.75,38.05,37.46,23420,8.77,275, 10355, 44.21
2023-02-10,ANIKINDS, EQ,38.05,38.6,39.3,37.75, 39.00,38.45,38.49,57301,22.05,516, 17524, 30.58
2023-02-13,ANIKINDS, EQ,38.45,38.5,38.8,36.5,36.5,37.05,37.61,28388,10.68,242, 18786, 66.18
2023-02-14,ANIKINDS, EQ,37.05,37.4,38.0,35.55,37.5,37.3,36.54,30229,11.04,320, 19550, 64.67
2023-02-15,ANIKINDS, EQ,37.3,36.25,37.0,34.45, 36.05,36.2,36.01,62530,22.52,527, 34243, 54.76
2023-02-16,ANIKINDS, EQ,36.2,36.4,36.7,36.15, 36.60,36.3,36.34,14693,5.34,103, 7913, 53.86
2023-02-17,ANIKINDS, EQ,36.3,36.2,37.05,36.1, 36.30,36.4,36.36,14146,5.14,162, 8807, 62.26
2023-02-20,ANIKINDS, EQ,36.4,35.6,36.8,35.6, 36.00,36.0,36.02,9243,3.33,104, 7563, 81.82
2023-02-21,ANIKINDS, EQ,36.0,36.6,37.2,34.15, 36.70,35.65,35.31,36295,12.81,477, 17174, 47.32
2023-02-22,ANIKINDS, EQ,35.65,35.0,36.7,34.0, 34.10,34.4,35.05,32364,11.34,345, 23902, 73.85
2023-02-23,ANIKINDS, EQ,34.4,34.15,35.55,33.45,33.65,34.25,34.57,50784,17.56,634, 25782, 50.77
2023-02-24,ANIKINDS, EQ,34.25,35.0,35.4,33.85, 34.40,34.8,34.64,23983,8.31,307, 12895, 53.77
2023-02-27,ANIKINDS, EQ,34.8,35.35,35.35,32.15, 32.50,32.55,33.19,45764,15.19,614, 30082, 65.73
2023-02-28,ANIKINDS, EQ,32.55,31.55,33.1,31.55, 33.10,32.95,32.57,29908,9.74,263, 13320, 44.54
2023-03-01,ANIKINDS, EQ,32.95,32.2,34.8,32.2, 33.75,33.75,33.64,21119,7.1,297, 12431, 58.86
2023-03-02,ANIKINDS, EQ,33.75,33.15,35.5,33.15, 34.00,33.75,33.84,14603,4.94,200, 7070, 48.41
2023-03-03,ANIKINDS, EQ,33.75,34.8,35.35,33.8, 34.80,34.6,34.4,21943,7.55,235, 9921, 45.21
2023-03-06,ANIKINDS, EQ,34.6,35.05,35.6,34.45, 34.90,34.85,34.94,26261,9.17,447, 8265, 31.47
2023-03-08,ANIKINDS, EQ,34.85,34.8,35.5,34.35, 34.60,34.8,34.84,13812,4.81,225, 8302, 60.11
2023-03-09,ANIKINDS, EQ,34.8,34.35,35.25,33.65, 33.85,33.85,34.28,20069,6.88,249, 14891, 74.20
2023-03-10,ANIKINDS, EQ,33.85,33.5,33.5,31.35, 31.75,31.95,32.16,67740,21.79,931, 33641, 49.66
2023-03-13,ANIKINDS, EQ,31.95,32.45,32.45,30.05, 30.60,30.55,30.86,70268,21.69,449, 44470, 63.29
2023-03-14,ANIKINDS, EQ,30.55,31.2,31.2,28.05, 28.50,28.5,28.77,85640,24.64,705, 51183, 59.77
2023-03-15,ANIKINDS, EQ,28.5,29.2,29.6,26.6, 27.95,28.05,28.1,94305,26.5,593, 66686, 70.71
2023-03-16,ANIKINDS, EQ,28.05,28.8,31.0,27.45, 30.35,30.05,29.63,44355,13.14,481, 20420, 46.04
2023-03-17,ANIKINDS, EQ,30.05,29.7,30.75,29.25, 29.85,29.7,30.04,56220,16.89,1549, 9941, 17.68
2023-03-20,ANIKINDS, EQ,29.7,31.0,31.0,28.2,29.0,28.7,29.16,20109,5.86,823, 6144, 30.55
2023-03-21,ANIKINDS, EQ,28.7,29.55,29.85,28.4, 28.95,28.75,28.89,32769,9.47,721, 15381, 46.94
2023-03-22,ANIKINDS, EQ,28.75,28.5,29.7,28.0, 28.45,28.35,29.09,29443,8.57,965, 12459, 42.32
2023-03-23,ANIKINDS, EQ,28.35,28.5,33.95,28.5, 31.20,31.05,31.96,220838,70.58,2289, 76654, 34.71
