DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ANURAS, EQ,679.45,673.3,695.0,673.3, 694.00,692.6,683.96,35735,244.41,5604, 23192, 64.90
2023-01-03,ANURAS, EQ,692.6,696.1,700.7,688.9, 693.05,693.5,693.95,18733,130.0,2133, 8930, 47.67
2023-01-04,ANURAS, EQ,693.5,688.2,699.9,681.0, 694.05,694.9,691.17,24355,168.34,2187, 9757, 40.06
2023-01-05,ANURAS, EQ,694.9,698.6,698.6,683.0,687.0,691.05,688.65,27518,189.5,2317, 15911, 57.82
2023-01-06,ANURAS, EQ,691.05,692.7,694.0,680.0,687.15,689.45,686.77,22100,151.78,2054, 10650, 48.19
2023-01-09,ANURAS, EQ,689.45,692.65,692.65,684.6,690.0,687.8,688.84,34027,234.39,8319, 22232, 65.34
2023-01-10,ANURAS, EQ,687.8,687.8,690.05,680.0,685.5,686.7,686.81,25226,173.25,7260, 13621, 54.00
2023-01-11,ANURAS, EQ,686.7,685.65,687.0,680.0, 681.20,683.5,683.93,15573,106.51,2787, 9273, 59.55
2023-01-12,ANURAS, EQ,683.5,686.95,686.95,667.8, 679.00,678.9,676.2,34434,232.84,4011, 16853, 48.94
2023-01-13,ANURAS, EQ,678.9,680.6,680.6,669.0,670.0,673.85,673.96,20111,135.54,3016, 7349, 36.54
2023-01-16,ANURAS, EQ,673.85,674.9,677.0,667.95, 671.00,673.7,673.61,15719,105.88,3736, 8073, 51.36
2023-01-17,ANURAS, EQ,673.7,671.0,671.0,660.4,671.0,667.25,665.87,45474,302.8,4419, 27135, 59.67
2023-01-18,ANURAS, EQ,667.25,670.6,670.6,655.2,655.9,658.15,662.32,36809,243.79,9082, 21403, 58.15
2023-01-19,ANURAS, EQ,658.15,661.45,661.45,645.3, 657.15,657.1,654.37,63105,412.94,5804, 34699, 54.99
2023-01-20,ANURAS, EQ,657.1,660.0,660.0,640.2,642.95,649.5,648.74,215117,1395.54,6225, 176267, 81.94
2023-01-23,ANURAS, EQ,649.5,649.5,652.9,622.0,624.9,627.05,631.15,77863,491.43,7259, 37272, 47.87
2023-01-24,ANURAS, EQ,627.05,627.05,628.95,612.05,623.0,621.0,621.63,58399,363.03,5450, 30072, 51.49
2023-01-25,ANURAS, EQ,621.0,624.0,627.9,598.0, 599.00,599.8,604.23,109890,663.99,8080, 70875, 64.50
2023-01-27,ANURAS, EQ,599.8,602.0,615.0,590.0, 600.00,596.5,601.2,272245,1636.75,13295, 144985, 53.26
2023-01-30,ANURAS, EQ,596.5,595.0,607.55,590.05, 592.00,593.45,598.15,39474,236.11,4858, 14784, 37.45
2023-01-31,ANURAS, EQ,593.45,596.6,600.6,591.05,594.95,593.6,596.96,35271,210.55,3172, 20246, 57.40
2023-02-01,ANURAS, EQ,593.6,596.7,598.9,570.0, 582.90,579.7,589.14,53399,314.59,5128, 28314, 53.02
2023-02-02,ANURAS, EQ,579.7,579.3,587.0,575.0, 579.95,578.0,581.87,30003,174.58,3653, 14643, 48.81
2023-02-03,ANURAS, EQ,578.0,580.9,581.0,572.7, 575.40,577.05,576.73,33601,193.79,4559, 17795, 52.96
2023-02-06,ANURAS, EQ,577.05,579.95,606.9,573.95, 602.90,601.9,596.87,239631,1430.27,11984, 151673, 63.29
2023-02-07,ANURAS, EQ,601.9,604.0,622.0,603.8, 616.15,617.55,614.46,212232,1304.07,15254, 92777, 43.71
2023-02-08,ANURAS, EQ,617.55,620.0,627.05,613.5, 617.00,617.95,619.41,92915,575.53,6276, 54143, 58.27
2023-02-09,ANURAS, EQ,617.95,617.0,623.6,612.3, 617.55,619.5,619.27,139783,865.64,6106, 82274, 58.86
2023-02-10,ANURAS, EQ,619.5,617.0,622.75,610.1, 616.00,617.55,613.95,61476,377.43,3586, 26225, 42.66
2023-02-13,ANURAS, EQ,617.55,623.0,627.7,617.0,619.0,619.3,622.86,92214,574.37,7326, 45396, 49.23
2023-02-14,ANURAS, EQ,619.3,620.95,623.7,609.0,618.0,617.85,616.84,80482,496.45,5763, 54270, 67.43
2023-02-15,ANURAS, EQ,617.85,614.45,619.85,611.0, 611.00,612.85,614.83,69717,428.64,5608, 43309, 62.12
2023-02-16,ANURAS, EQ,612.85,612.85,619.15,607.0, 614.00,617.2,613.7,63173,387.69,6222, 33088, 52.38
2023-02-17,ANURAS, EQ,617.2,618.7,630.75,610.5, 628.00,624.55,617.57,158298,977.6,8624, 65515, 41.39
2023-02-20,ANURAS, EQ,624.55,627.8,639.0,620.15, 637.00,637.25,631.49,156535,988.5,8212, 48932, 31.26
2023-02-21,ANURAS, EQ,637.25,640.0,645.0,635.05, 640.00,639.85,639.88,184250,1178.97,5319, 108337, 58.80
2023-02-22,ANURAS, EQ,639.85,638.95,664.65,631.0, 640.00,637.6,646.1,324783,2098.44,14115, 139948, 43.09
2023-02-23,ANURAS, EQ,637.6,639.95,649.8,635.0,646.95,643.5,641.6,199726,1281.44,5007, 119018, 59.59
2023-02-24,ANURAS, EQ,643.5,645.0,651.85,636.1, 648.90,649.1,642.08,454105,2915.73,8515, 347689, 76.57
2023-02-27,ANURAS, EQ,649.1,645.35,647.7,638.1, 646.00,644.7,642.66,109115,701.24,6137, 25827, 23.67
2023-02-28,ANURAS, EQ,644.7,647.85,651.6,640.0, 645.00,645.15,645.06,371730,2397.89,3884, 335908, 90.36
2023-03-01,ANURAS, EQ,645.15,645.0,683.6,645.0, 683.00,676.4,666.7,95023,633.52,5742, 46589, 49.03
2023-03-02,ANURAS, EQ,676.4,679.9,715.0,673.55, 709.75,706.6,695.42,439866,3058.9,16213, 184372, 41.92
2023-03-03,ANURAS, EQ,706.6,706.1,740.0,705.05, 738.90,736.05,726.23,475385,3452.39,16507, 180720, 38.02
2023-03-06,ANURAS, EQ,736.05,747.7,756.4,732.0, 741.85,741.9,743.04,282634,2100.09,10590, 118511, 41.93
