DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,APCOTEXIND, EQ,466.05,466.05,471.25,461.0, 469.00,468.0,467.18,20735,96.87,1884, 8587, 41.41
2023-01-03,APCOTEXIND, EQ,468.0,468.0,473.0,465.4, 468.30,468.1,469.56,16969,79.68,1684, 8313, 48.99
2023-01-04,APCOTEXIND, EQ,468.1,468.0,471.55,465.0, 469.00,468.3,467.68,19321,90.36,2213, 9441, 48.86
2023-01-05,APCOTEXIND, EQ,468.3,465.15,468.8,457.0,463.9,464.75,463.08,32895,152.33,1979, 21399, 65.05
2023-01-06,APCOTEXIND, EQ,464.75,461.0,465.0,455.5,457.5,456.95,460.27,14595,67.18,1363, 9041, 61.95
2023-01-09,APCOTEXIND, EQ,456.95,460.0,462.9,455.0,456.05,457.0,459.33,16452,75.57,1531, 10379, 63.09
2023-01-10,APCOTEXIND, EQ,457.0,458.0,458.6,451.0,454.0,452.85,454.23,8956,40.68,1312, 4522, 50.49
2023-01-11,APCOTEXIND, EQ,452.85,450.0,459.95,448.7, 452.90,451.85,454.49,19317,87.79,2001, 10313, 53.39
2023-01-12,APCOTEXIND, EQ,451.85,455.95,455.95,421.55, 438.00,432.9,435.53,94532,411.71,6761, 36788, 38.92
2023-01-13,APCOTEXIND, EQ,432.9,437.0,478.8,434.55,462.15,466.45,459.27,241342,1108.4,13522, 33161, 13.74
2023-01-16,APCOTEXIND, EQ,466.45,464.35,466.2,451.0, 454.60,453.1,457.11,38707,176.93,3373, 17277, 44.64
2023-01-17,APCOTEXIND, EQ,453.1,453.1,460.4,448.5,456.45,455.65,454.21,27138,123.26,2986, 13174, 48.54
2023-01-18,APCOTEXIND, EQ,455.65,459.3,459.3,444.8,446.0,446.95,451.23,27075,122.17,2866, 14186, 52.40
2023-01-19,APCOTEXIND, EQ,446.95,447.9,447.9,438.5, 439.00,440.1,441.81,26093,115.28,2604, 15518, 59.47
2023-01-20,APCOTEXIND, EQ,440.1,442.35,446.0,435.2,446.0,442.4,442.08,23067,101.98,2099, 11685, 50.66
2023-01-23,APCOTEXIND, EQ,442.4,443.0,458.0,442.4,450.7,450.25,451.45,28365,128.05,2641, 15421, 54.37
2023-01-24,APCOTEXIND, EQ,450.25,454.75,454.75,445.0,446.65,446.75,448.77,20979,94.15,1698, 15335, 73.10
2023-01-25,APCOTEXIND, EQ,446.75,448.0,455.2,435.0, 437.00,440.9,444.99,58037,258.26,3973, 33720, 58.10
2023-01-27,APCOTEXIND, EQ,440.9,426.0,436.5,417.1, 432.00,432.8,424.35,93248,395.7,9483, 32284, 34.62
2023-01-30,APCOTEXIND, EQ,432.8,432.8,436.1,416.5, 419.00,418.7,423.31,51246,216.93,5208, 21837, 42.61
2023-01-31,APCOTEXIND, EQ,418.7,420.0,427.0,412.2,417.95,417.1,418.62,40729,170.5,3195, 18229, 44.76
2023-02-01,APCOTEXIND, EQ,417.1,422.95,426.35,410.6, 422.50,422.5,421.41,31541,132.92,2592, 16330, 51.77
2023-02-02,APCOTEXIND, EQ,422.5,422.5,434.0,416.85, 423.50,424.45,423.41,20130,85.23,1985, 10397, 51.65
2023-02-03,APCOTEXIND, EQ,424.45,424.45,428.9,412.0, 412.00,415.35,417.01,31754,132.42,2743, 18451, 58.11
2023-02-06,APCOTEXIND, EQ,415.35,420.95,420.95,404.45, 409.80,408.4,409.38,50564,207.0,5510, 27260, 53.91
2023-02-07,APCOTEXIND, EQ,408.4,415.85,415.85,405.3, 415.00,409.45,409.57,14002,57.35,1682, 6229, 44.49
2023-02-08,APCOTEXIND, EQ,409.45,413.55,416.2,409.25, 412.00,412.25,412.67,17300,71.39,1747, 10253, 59.27
2023-02-09,APCOTEXIND, EQ,412.25,411.0,420.0,411.0, 419.00,414.95,414.87,17987,74.62,1136, 8849, 49.20
2023-02-10,APCOTEXIND, EQ,414.95,414.95,416.6,411.75, 412.95,413.0,413.63,11502,47.58,1290, 7656, 66.56
2023-02-13,APCOTEXIND, EQ,413.0,415.0,415.0,404.3,407.0,406.45,409.19,20876,85.42,1030, 15381, 73.68
2023-02-14,APCOTEXIND, EQ,406.45,406.45,409.95,398.0,400.0,400.4,401.72,30947,124.32,1642, 22338, 72.18
2023-02-15,APCOTEXIND, EQ,400.4,401.0,409.0,398.15, 408.00,405.55,403.43,29924,120.72,1681, 23218, 77.59
2023-02-16,APCOTEXIND, EQ,405.55,415.0,415.0,405.6, 409.00,408.2,409.38,37390,153.07,2428, 25217, 67.44
2023-02-17,APCOTEXIND, EQ,408.2,407.85,415.9,405.05, 414.40,414.3,411.12,23406,96.23,2251, 15002, 64.09
2023-02-20,APCOTEXIND, EQ,414.3,418.9,427.0,415.65, 420.05,420.25,420.85,38918,163.79,2786, 25924, 66.61
2023-02-21,APCOTEXIND, EQ,420.25,425.7,436.7,415.6, 435.00,434.05,428.71,29138,124.92,2995, 15676, 53.80
2023-02-22,APCOTEXIND, EQ,434.05,430.0,432.0,419.35, 424.05,427.2,425.82,39743,169.24,2925, 25829, 64.99
2023-02-23,APCOTEXIND, EQ,427.2,421.65,432.45,421.6,422.5,422.85,424.58,28896,122.69,2400, 20660, 71.50
2023-02-24,APCOTEXIND, EQ,422.85,424.45,431.65,420.55, 430.00,428.65,426.8,32038,136.74,2162, 24254, 75.70
2023-02-27,APCOTEXIND, EQ,428.65,432.95,432.95,420.95, 423.60,421.85,424.26,31709,134.53,2282, 22777, 71.83
2023-02-28,APCOTEXIND, EQ,421.85,420.05,424.9,416.0, 417.00,417.5,419.25,26026,109.11,3383, 12160, 46.72
2023-03-01,APCOTEXIND, EQ,417.5,417.5,456.9,417.0, 447.95,446.85,443.9,109554,486.31,8148, 48499, 44.27
2023-03-02,APCOTEXIND, EQ,446.85,447.0,454.45,440.0, 443.55,448.55,447.01,36976,165.29,3428, 14779, 39.97
2023-03-03,APCOTEXIND, EQ,448.55,445.0,459.95,437.3, 442.40,441.3,450.41,46901,211.25,4496, 24110, 51.41
2023-03-06,APCOTEXIND, EQ,441.3,444.95,449.45,441.1, 443.80,443.65,444.96,35027,155.86,1847, 24205, 69.10
2023-03-08,APCOTEXIND, EQ,443.65,444.0,453.9,439.15, 448.00,445.45,446.57,44089,196.89,3146, 16004, 36.30
2023-03-09,APCOTEXIND, EQ,445.45,449.0,452.2,440.95, 450.30,446.6,446.5,22563,100.74,1546, 14951, 66.26
2023-03-10,APCOTEXIND, EQ,446.6,446.1,457.95,446.1, 455.90,454.3,453.25,58660,265.88,3839, 29868, 50.92
2023-03-13,APCOTEXIND, EQ,454.3,455.0,471.95,445.0, 461.00,458.8,458.49,80848,370.68,4761, 36376, 44.99
2023-03-14,APCOTEXIND, EQ,458.8,464.0,466.0,453.7, 459.95,460.7,460.32,30675,141.2,2177, 16353, 53.31
2023-03-15,APCOTEXIND, EQ,460.7,460.7,474.0,442.0, 449.90,446.15,458.24,41185,188.72,2065, 31019, 75.32
2023-03-16,APCOTEXIND, EQ,446.15,450.2,452.0,429.0, 434.00,434.9,437.83,32967,144.34,2942, 15597, 47.31
2023-03-17,APCOTEXIND, EQ,434.9,436.0,449.95,412.7, 428.00,427.8,426.24,78595,335.0,6211, 35223, 44.82
2023-03-20,APCOTEXIND, EQ,427.8,422.6,438.45,416.85,435.0,433.95,429.44,31863,136.83,2877, 18159, 56.99
2023-03-21,APCOTEXIND, EQ,433.95,440.45,440.55,428.0, 435.00,431.85,434.34,46279,201.01,2300, 36727, 79.36
2023-03-22,APCOTEXIND, EQ,431.85,440.0,441.4,430.0, 432.00,432.05,436.32,25552,111.49,1476, 14207, 55.60
2023-03-23,APCOTEXIND, EQ,432.05,432.05,443.7,430.2, 438.10,440.4,439.77,30941,136.07,2342, 14418, 46.60
2023-03-24,APCOTEXIND, EQ,440.4,440.0,444.0,433.35, 434.15,439.1,440.35,29847,131.43,2224, 20028, 67.10
2023-03-27,APCOTEXIND, EQ,439.1,439.0,439.0,422.85, 430.50,429.5,428.47,26951,115.48,2280, 16692, 61.93
2023-03-28,APCOTEXIND, EQ,429.5,433.0,435.0,420.15, 430.50,431.2,427.67,34340,146.86,2956, 20579, 59.93
2023-03-29,APCOTEXIND, EQ,431.2,431.2,477.0,431.2, 467.00,469.1,461.35,158789,732.58,9031, 63644, 40.08
2023-03-31,APCOTEXIND, EQ,469.1,472.0,489.5,469.5, 487.95,487.55,485.44,104935,509.4,6536, 52422, 49.96
2023-04-03,APCOTEXIND, EQ,487.55,490.0,506.0,488.4, 499.00,499.3,499.97,143382,716.86,7041, 59148, 41.25
2023-04-05,APCOTEXIND, EQ,499.3,499.3,502.05,480.05, 484.00,482.55,485.58,77839,377.97,4747, 32453, 41.69
2023-04-06,APCOTEXIND, EQ,482.55,487.4,487.85,480.1, 485.00,484.35,484.2,36820,178.28,2167, 18971, 51.52
2023-04-10,APCOTEXIND, EQ,484.35,486.9,505.0,485.0, 502.00,502.6,499.77,90553,452.56,4717, 43216, 47.72
2023-04-11,APCOTEXIND, EQ,502.6,506.0,524.9,506.0, 523.70,521.6,519.33,147331,765.13,6488, 76938, 52.22
2023-04-12,APCOTEXIND, EQ,521.6,525.0,529.75,510.95, 516.40,516.7,520.13,75290,391.61,4801, 37499, 49.81
2023-04-13,APCOTEXIND, EQ,516.7,521.7,523.9,515.0, 518.00,516.25,519.43,30745,159.7,2264, 19537, 63.55
2023-04-17,APCOTEXIND, EQ,516.25,519.95,520.55,505.55, 511.95,511.85,514.04,34991,179.87,2759, 21265, 60.77
2023-04-18,APCOTEXIND, EQ,511.85,506.05,517.45,505.85, 511.70,507.9,510.8,25152,128.48,4140, 14172, 56.35
2023-04-19,APCOTEXIND, EQ,507.9,506.0,534.8,506.0, 532.00,530.8,524.78,119892,629.17,7561, 47230, 39.39
2023-04-20,APCOTEXIND, EQ,530.8,535.0,550.0,525.55, 544.50,543.2,542.57,126007,683.67,8044, 52318, 41.52
2023-04-21,APCOTEXIND, EQ,543.2,546.0,546.05,521.1, 539.00,537.7,532.75,75164,400.44,6488, 31285, 41.62
2023-04-24,APCOTEXIND, EQ,537.7,542.7,553.4,528.0, 543.75,543.95,544.45,67859,369.46,4944, 36455, 53.72
2023-04-25,APCOTEXIND, EQ,543.95,539.15,549.3,539.15,539.75,541.05,543.22,36369,197.56,2928, 19597, 53.88
2023-04-26,APCOTEXIND, EQ,541.05,546.45,549.95,536.6, 544.00,543.3,544.1,64686,351.96,4390, 33173, 51.28
2023-04-27,APCOTEXIND, EQ,543.3,547.7,550.0,532.0, 544.00,543.4,541.62,71932,389.6,4225, 34658, 48.18
2023-04-28,APCOTEXIND, EQ,543.4,526.35,533.9,494.0, 502.65,502.15,504.1,382368,1927.51,17297, 166572, 43.56
2023-05-02,APCOTEXIND, EQ,502.15,502.15,508.0,480.0, 485.50,488.05,496.08,106470,528.18,5782, 51298, 48.18
2023-05-03,APCOTEXIND, EQ,488.05,486.0,499.8,486.0,493.5,495.3,495.47,68946,341.6,3614, 30834, 44.72
2023-05-04,APCOTEXIND, EQ,495.3,501.0,504.5,495.25, 496.00,497.0,500.22,50154,250.88,2736, 22408, 44.68
2023-05-05,APCOTEXIND, EQ,497.0,500.4,506.7,495.95, 502.00,503.1,502.7,61064,306.97,4671, 26991, 44.20
2023-05-08,APCOTEXIND, EQ,503.1,505.0,505.0,483.5, 484.50,485.15,488.74,111693,545.88,5622, 73742, 66.02
2023-05-09,APCOTEXIND, EQ,485.15,487.2,489.95,476.3,479.05,480.05,481.13,50204,241.55,2933, 25648, 51.09
2023-05-10,APCOTEXIND, EQ,480.05,483.95,498.0,480.9,493.35,489.45,490.41,63904,313.39,3729, 23760, 37.18
2023-05-11,APCOTEXIND, EQ,489.45,493.0,498.0,490.0, 491.00,491.2,493.71,28593,141.17,2766, 14289, 49.97
2023-05-12,APCOTEXIND, EQ,491.2,490.85,494.0,484.85, 490.30,489.3,488.22,21975,107.29,2311, 11398, 51.87
2023-05-15,APCOTEXIND, EQ,489.3,489.95,489.95,478.35, 481.50,480.6,484.15,44093,213.48,4784, 18120, 41.09
2023-05-16,APCOTEXIND, EQ,480.6,480.0,486.3,477.05,480.4,478.05,481.32,29149,140.3,2162, 16319, 55.98
2023-05-17,APCOTEXIND, EQ,478.05,482.3,485.4,463.1, 473.00,473.05,473.01,58680,277.56,4570, 34274, 58.41
2023-05-18,APCOTEXIND, EQ,473.05,475.0,485.0,475.0, 477.50,477.75,481.38,35607,171.41,2711, 19004, 53.37
2023-05-19,APCOTEXIND, EQ,477.75,480.0,487.2,475.0,486.7,484.85,482.27,31966,154.16,2832, 14220, 44.48
2023-05-22,APCOTEXIND, EQ,484.85,486.5,493.45,480.75,491.2,490.9,488.77,41436,202.53,3404, 25377, 61.24
2023-05-23,APCOTEXIND, EQ,490.9,491.0,512.6,490.95, 511.05,509.1,506.0,155186,785.24,8675, 64570, 41.61
2023-05-24,APCOTEXIND, EQ,509.1,514.4,520.0,505.15, 508.60,509.3,513.0,62409,320.16,5508, 27231, 43.63
2023-05-25,APCOTEXIND, EQ,509.3,510.85,514.9,501.2, 512.25,508.8,506.22,31393,158.92,2902, 16429, 52.33
2023-05-26,APCOTEXIND, EQ,508.8,512.3,516.0,500.4,501.7,503.15,507.95,39307,199.66,5329, 16651, 42.36
2023-05-29,APCOTEXIND, EQ,503.15,500.0,510.0,494.5, 502.00,503.2,499.19,60157,300.3,5223, 32225, 53.57
2023-05-30,APCOTEXIND, EQ,503.2,503.95,509.0,497.6, 502.85,500.9,503.01,28904,145.39,2782, 14349, 49.64
2023-05-31,APCOTEXIND, EQ,500.9,500.9,503.95,492.25, 499.50,499.25,498.8,35331,176.23,3978, 18794, 53.19
2023-06-01,APCOTEXIND, EQ,499.25,499.0,504.15,487.45, 498.95,498.0,496.22,35232,174.83,3373, 17398, 49.38
2023-06-02,APCOTEXIND, EQ,498.0,499.0,505.95,489.7, 493.00,492.05,496.63,64766,321.65,3646, 43401, 67.01
2023-06-05,APCOTEXIND, EQ,492.05,499.2,514.95,496.0, 507.30,507.25,506.9,99472,504.22,6508, 45885, 46.13
2023-06-06,APCOTEXIND, EQ,507.25,509.8,534.55,506.45,526.0,524.25,522.39,181969,950.58,10700, 69097, 37.97
2023-06-07,APCOTEXIND, EQ,524.25,528.35,534.8,523.0, 533.20,530.55,528.34,106572,563.07,6358, 49102, 46.07
