DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,APTUS, EQ,303.8,303.8,306.0,299.8, 304.45,303.25,303.16,58580,177.59,3107, 24648, 42.08
2023-01-03,APTUS, EQ,303.25,303.1,307.0,302.45, 306.10,305.6,304.65,43345,132.05,2020, 25236, 58.22
2023-01-04,APTUS, EQ,305.6,306.0,307.35,296.85, 298.85,298.35,300.39,64993,195.23,4394, 35771, 55.04
2023-01-05,APTUS, EQ,298.35,300.7,304.95,298.35,303.0,302.95,301.67,46511,140.31,5432, 22552, 48.49
2023-01-06,APTUS, EQ,302.95,302.0,304.5,300.7,302.45,301.8,301.75,30320,91.49,6552, 20412, 67.32
2023-01-09,APTUS, EQ,301.8,303.9,308.25,301.8,305.95,306.05,305.84,80826,247.2,12401, 53872, 66.65
2023-01-10,APTUS, EQ,306.05,308.0,308.05,301.2,304.0,304.85,306.54,108586,332.86,3682, 97752, 90.02
2023-01-11,APTUS, EQ,304.85,307.4,307.4,297.35, 298.00,298.4,300.38,55134,165.61,6950, 31198, 56.59
2023-01-12,APTUS, EQ,298.4,299.5,302.1,297.1, 298.20,298.45,298.99,30108,90.02,1603, 13915, 46.22
2023-01-13,APTUS, EQ,298.45,299.8,300.25,297.0,299.9,297.55,298.49,19420,57.97,2207, 9907, 51.01
2023-01-16,APTUS, EQ,297.55,299.0,306.0,298.75, 300.00,300.95,301.23,372812,1123.03,4960, 322832, 86.59
2023-01-17,APTUS, EQ,300.95,302.7,302.7,292.25,295.2,295.6,299.66,477669,1431.4,6861, 440158, 92.15
2023-01-18,APTUS, EQ,295.6,295.1,295.3,286.8,289.5,289.8,289.97,79259,229.82,5972, 38883, 49.06
2023-01-19,APTUS, EQ,289.8,291.2,291.2,286.75, 288.60,288.25,288.17,42633,122.85,4798, 22313, 52.34
2023-01-20,APTUS, EQ,288.25,288.25,292.8,287.25,288.9,288.25,288.7,36945,106.66,3639, 20379, 55.16
2023-01-23,APTUS, EQ,288.25,288.3,290.45,286.55,287.4,287.55,287.92,22248,64.06,2442, 14387, 64.67
2023-01-24,APTUS, EQ,287.55,290.0,290.05,285.95,286.1,286.3,286.78,39755,114.01,2961, 22717, 57.14
2023-01-25,APTUS, EQ,286.3,284.05,286.8,282.05, 283.50,283.4,283.36,41623,117.94,3040, 24386, 58.59
2023-01-27,APTUS, EQ,283.4,285.0,285.6,273.5, 277.20,280.75,278.87,106150,296.02,10476, 61323, 57.77
2023-01-30,APTUS, EQ,280.75,281.75,281.75,276.0, 277.40,276.7,277.25,63470,175.97,7014, 34311, 54.06
2023-01-31,APTUS, EQ,276.7,278.0,285.0,275.1,279.5,277.85,278.32,108729,302.61,8104, 56310, 51.79
2023-02-01,APTUS, EQ,277.85,280.3,295.95,277.25, 280.50,283.7,287.81,257138,740.06,21654, 88919, 34.58
2023-02-02,APTUS, EQ,283.7,284.0,286.8,276.6, 281.95,280.4,281.39,112445,316.4,8551, 36274, 32.26
2023-02-03,APTUS, EQ,280.4,281.05,291.4,271.0, 277.00,274.85,277.67,141122,391.85,8372, 51909, 36.78
2023-02-06,APTUS, EQ,274.85,275.0,279.8,274.0, 274.70,275.75,276.87,78957,218.61,3534, 56779, 71.91
2023-02-07,APTUS, EQ,275.75,277.75,280.0,272.0, 274.85,275.15,275.26,106919,294.31,10679, 69541, 65.04
2023-02-08,APTUS, EQ,275.15,275.0,275.0,271.0, 271.80,272.6,272.37,172242,469.13,8339, 123454, 71.67
2023-02-09,APTUS, EQ,272.6,270.1,273.0,265.0, 267.30,266.8,268.7,87228,234.38,6260, 55840, 64.02
2023-02-10,APTUS, EQ,266.8,265.75,272.95,262.3, 263.75,263.5,267.76,118144,316.34,5116, 63360, 53.63
2023-02-13,APTUS, EQ,263.5,267.0,267.0,260.1,262.0,261.9,262.58,115687,303.77,4790, 69463, 60.04
2023-02-14,APTUS, EQ,261.9,262.0,265.45,261.05,261.5,263.45,263.34,41966,110.51,4624, 22708, 54.11
2023-02-15,APTUS, EQ,263.45,264.0,272.7,261.5, 272.50,270.4,264.63,156230,413.43,4893, 106840, 68.39
2023-02-16,APTUS, EQ,270.4,271.8,280.45,261.85, 262.90,263.3,270.4,236605,639.77,12738, 119203, 50.38
2023-02-17,APTUS, EQ,263.3,264.5,267.15,261.2, 261.80,262.15,262.78,69938,183.79,4778, 37999, 54.33
2023-02-20,APTUS, EQ,262.15,262.15,262.95,258.05, 259.90,259.35,259.92,72883,189.44,4678, 42796, 58.72
2023-02-21,APTUS, EQ,259.35,259.05,262.85,255.4, 256.80,256.45,258.22,138508,357.66,8438, 107413, 77.55
2023-02-22,APTUS, EQ,256.45,256.45,258.5,251.0, 257.90,257.45,255.17,96522,246.3,5915, 54948, 56.93
2023-02-23,APTUS, EQ,257.45,258.2,258.2,250.9,252.0,251.65,253.15,173930,440.3,8833, 121422, 69.81
2023-02-24,APTUS, EQ,251.65,251.0,252.85,244.55, 247.50,247.5,247.78,96629,239.43,7239, 50383, 52.14
2023-02-27,APTUS, EQ,247.5,248.3,251.65,243.65, 246.55,246.15,246.92,111666,275.73,4988, 69428, 62.17
2023-02-28,APTUS, EQ,246.15,246.15,248.0,241.2, 241.80,242.05,244.0,66829,163.06,4616, 36867, 55.17
2023-03-01,APTUS, EQ,242.05,244.45,245.85,241.0, 241.30,242.1,243.48,93001,226.44,5270, 58065, 62.43
2023-03-02,APTUS, EQ,242.1,243.9,244.0,239.3, 240.05,240.45,241.41,103696,250.33,4853, 75601, 72.91
2023-03-03,APTUS, EQ,240.45,239.0,241.3,234.05, 237.00,236.45,236.71,141744,335.52,8386, 83611, 58.99
2023-03-06,APTUS, EQ,236.45,238.8,283.7,238.35, 283.70,280.5,269.3,3038758,8183.33,53974, 236539, 7.78
