DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,AROGRANITE, EQ,48.95,48.95,49.15,47.55, 47.85,48.15,48.45,11012,5.34,284, 7528, 68.36
2023-01-03,AROGRANITE, EQ,48.15,48.15,51.4,47.55, 50.00,50.4,50.04,64957,32.51,797, 32470, 49.99
2023-01-04,AROGRANITE, EQ,50.4,51.5,51.5,48.8, 48.80,49.5,49.94,67685,33.8,728, 30197, 44.61
2023-01-05,AROGRANITE, EQ,49.5,50.2,50.25,48.15,48.75,49.0,49.02,34548,16.94,545, 13596, 39.35
2023-01-06,AROGRANITE, EQ,49.0,49.85,53.45,49.1,50.1,50.7,51.48,98779,50.85,1856, 46551, 47.13
2023-01-09,AROGRANITE, EQ,50.7,52.4,52.4,48.7,49.5,49.55,50.18,32401,16.26,686, 12744, 39.33
2023-01-10,AROGRANITE, EQ,49.55,50.4,50.4,47.7,48.6,48.55,48.47,24075,11.67,387, 15351, 63.76
2023-01-11,AROGRANITE, EQ,48.55,49.85,51.5,49.3, 50.50,50.8,50.69,38190,19.36,699, 21023, 55.05
2023-01-12,AROGRANITE, EQ,50.8,50.8,50.85,49.1, 49.20,49.35,49.58,17618,8.73,303, 8754, 49.69
2023-01-13,AROGRANITE, EQ,49.35,50.15,50.25,48.5,49.0,49.05,49.5,15297,7.57,269, 6934, 45.33
2023-01-16,AROGRANITE, EQ,49.05,49.95,50.25,48.25, 48.40,48.45,49.13,22100,10.86,509, 11177, 50.57
2023-01-17,AROGRANITE, EQ,48.45,49.0,49.0,48.15,49.0,48.6,48.7,8874,4.32,173, 5891, 66.38
2023-01-18,AROGRANITE, EQ,48.6,49.5,52.0,48.6,50.05,50.0,50.77,60703,30.82,672, 14879, 24.51
2023-01-19,AROGRANITE, EQ,50.0,49.0,50.45,49.0, 49.40,49.25,49.42,18921,9.35,353, 6888, 36.40
2023-01-20,AROGRANITE, EQ,49.25,49.5,49.8,48.25,49.0,48.85,49.28,9830,4.84,155, 7347, 74.74
2023-01-23,AROGRANITE, EQ,48.85,49.75,49.75,46.75,47.0,47.35,47.85,28454,13.62,435, 18730, 65.83
2023-01-24,AROGRANITE, EQ,47.35,47.95,51.45,47.1,48.45,48.3,48.87,55745,27.24,983, 23159, 41.54
2023-01-25,AROGRANITE, EQ,48.3,49.25,49.25,47.55, 48.20,48.2,48.13,10906,5.25,248, 6632, 60.81
2023-01-27,AROGRANITE, EQ,48.2,48.2,48.25,45.8, 46.50,46.5,46.89,14087,6.61,318, 9852, 69.94
2023-01-30,AROGRANITE, EQ,46.5,46.0,47.25,46.0, 47.05,46.95,46.59,6946,3.24,183, 5009, 72.11
2023-01-31,AROGRANITE, EQ,46.95,46.95,50.8,45.2,49.0,48.0,47.98,96473,46.29,1238, 23629, 24.49
2023-02-01,AROGRANITE, EQ,48.0,48.3,48.85,45.5, 47.00,46.6,47.04,24486,11.52,445, 9728, 39.73
2023-02-02,AROGRANITE, EQ,46.6,44.85,45.0,43.5, 44.45,44.35,44.39,41738,18.53,583, 25122, 60.19
2023-02-03,AROGRANITE, EQ,44.35,43.6,44.85,42.8, 44.70,44.2,43.72,22161,9.69,398, 14416, 65.05
2023-02-06,AROGRANITE, EQ,44.2,43.25,49.9,43.25, 44.20,44.55,46.06,95973,44.2,1445, 30400, 31.68
2023-02-07,AROGRANITE, EQ,44.55,44.55,45.35,44.0, 44.00,44.15,44.55,15823,7.05,285, 10427, 65.90
2023-02-08,AROGRANITE, EQ,44.15,45.35,45.35,44.1, 44.40,44.55,44.54,10953,4.88,193, 6731, 61.45
2023-02-09,AROGRANITE, EQ,44.55,45.15,45.35,44.15, 45.00,44.9,44.87,8575,3.85,135, 4542, 52.97
2023-02-10,AROGRANITE, EQ,44.9,45.0,45.0,42.9, 43.40,43.85,44.21,17495,7.73,227, 13230, 75.62
2023-02-13,AROGRANITE, EQ,43.85,44.0,44.5,42.15,42.25,42.5,42.95,25472,10.94,298, 16006, 62.84
