DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ARTEMISMED, EQ,76.0,76.65,76.65,73.35, 74.35,74.75,74.31,207789,154.4,3030, 125041, 60.18
2023-01-03,ARTEMISMED, EQ,74.75,75.5,75.65,72.5, 73.00,73.05,73.63,104746,77.12,1007, 78309, 74.76
2023-01-04,ARTEMISMED, EQ,73.05,73.9,74.8,70.2, 73.40,72.75,72.19,314860,227.28,2107, 180955, 57.47
2023-01-05,ARTEMISMED, EQ,72.75,73.5,74.05,72.4,73.95,73.9,73.32,111845,82.01,2183, 63556, 56.83
2023-01-06,ARTEMISMED, EQ,73.9,74.45,75.0,72.75,73.75,73.45,73.98,83500,61.77,902, 51948, 62.21
2023-01-09,ARTEMISMED, EQ,73.45,73.25,74.15,71.85,72.6,72.85,73.11,92136,67.36,2417, 44448, 48.24
2023-01-10,ARTEMISMED, EQ,72.85,73.6,73.6,71.5,72.0,72.4,72.24,56069,40.51,1052, 26102, 46.55
2023-01-11,ARTEMISMED, EQ,72.4,72.9,72.95,71.0, 72.00,71.95,72.12,59300,42.76,756, 34616, 58.37
2023-01-12,ARTEMISMED, EQ,71.95,72.5,72.5,70.5, 70.50,70.7,71.27,49406,35.21,668, 29444, 59.60
2023-01-13,ARTEMISMED, EQ,70.7,71.05,74.9,70.1,74.9,74.15,73.33,107323,78.7,1093, 63900, 59.54
2023-01-16,ARTEMISMED, EQ,74.15,75.0,75.0,73.35, 74.70,74.65,74.59,67287,50.19,742, 40679, 60.46
2023-01-17,ARTEMISMED, EQ,74.65,75.2,75.2,72.15,73.5,72.9,73.55,28391,20.88,617, 15872, 55.91
2023-01-18,ARTEMISMED, EQ,72.9,73.75,73.9,72.9,73.5,73.55,73.5,29738,21.86,278, 24700, 83.06
2023-01-19,ARTEMISMED, EQ,73.55,72.2,74.1,72.2, 73.10,73.35,73.01,31884,23.28,420, 20150, 63.20
2023-01-20,ARTEMISMED, EQ,73.35,73.5,73.9,72.15,73.4,73.0,73.05,23652,17.28,1199, 12023, 50.83
2023-01-23,ARTEMISMED, EQ,73.0,73.7,76.9,72.35,74.4,74.25,74.56,99688,74.32,912, 67965, 68.18
