DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ASAHIINDIA, EQ,523.0,523.1,531.75,516.05, 519.00,521.2,521.02,72931,379.99,4965, 32573, 44.66
2023-01-03,ASAHIINDIA, EQ,521.2,522.65,524.65,515.15, 516.80,517.15,517.75,59947,310.37,3528, 34604, 57.72
2023-01-04,ASAHIINDIA, EQ,517.15,518.0,522.85,515.0, 519.60,517.3,519.45,55374,287.64,3027, 30272, 54.67
2023-01-05,ASAHIINDIA, EQ,517.3,516.1,522.0,507.3,509.0,509.45,513.53,76448,392.59,3995, 40234, 52.63
2023-01-06,ASAHIINDIA, EQ,509.45,508.0,511.65,503.0,504.75,504.7,506.6,36096,182.86,3275, 21331, 59.10
2023-01-09,ASAHIINDIA, EQ,504.7,508.25,513.35,507.1,508.0,508.75,509.86,28671,146.18,2447, 17394, 60.67
2023-01-10,ASAHIINDIA, EQ,508.75,510.0,519.0,506.75,517.0,514.15,511.95,23665,121.15,2460, 11410, 48.21
2023-01-11,ASAHIINDIA, EQ,514.15,515.6,518.5,503.5, 505.75,506.15,510.62,60683,309.86,4313, 25390, 41.84
2023-01-12,ASAHIINDIA, EQ,506.15,506.0,515.4,504.85, 508.05,509.4,510.9,124828,637.75,6747, 33683, 26.98
2023-01-13,ASAHIINDIA, EQ,509.4,508.6,519.25,506.25,517.95,516.25,514.28,80748,415.27,4814, 15767, 19.53
2023-01-16,ASAHIINDIA, EQ,516.25,518.8,519.5,514.7, 518.00,517.65,517.04,35150,181.74,2367, 18698, 53.19
2023-01-17,ASAHIINDIA, EQ,517.65,512.45,520.45,509.75,510.8,511.8,515.39,61892,318.98,5553, 35737, 57.74
2023-01-18,ASAHIINDIA, EQ,511.8,512.5,514.75,504.0,509.5,508.35,508.33,80820,410.83,5369, 52722, 65.23
2023-01-19,ASAHIINDIA, EQ,508.35,508.2,512.0,501.55, 505.10,506.25,505.11,43388,219.16,3921, 21354, 49.22
2023-01-20,ASAHIINDIA, EQ,506.25,505.05,519.0,501.55,515.0,510.3,507.58,103089,523.26,4387, 42114, 40.85
2023-01-23,ASAHIINDIA, EQ,510.3,510.3,513.75,503.25,509.0,509.55,507.34,55162,279.86,3786, 35406, 64.19
2023-01-24,ASAHIINDIA, EQ,509.55,506.0,511.0,493.35,496.4,497.05,504.56,55341,279.23,5383, 31422, 56.78
2023-01-25,ASAHIINDIA, EQ,497.05,495.0,509.0,488.0, 492.00,493.9,495.33,222776,1103.47,12006, 56147, 25.20
2023-01-27,ASAHIINDIA, EQ,493.9,490.25,495.15,472.3, 492.00,490.45,479.46,136896,656.37,7749, 28672, 20.94
2023-01-30,ASAHIINDIA, EQ,490.45,490.0,494.6,467.0, 473.00,470.15,478.07,58927,281.71,6063, 32742, 55.56
2023-01-31,ASAHIINDIA, EQ,470.15,470.95,515.0,470.95,512.55,508.0,498.83,275864,1376.09,17431, 64986, 23.56
2023-02-01,ASAHIINDIA, EQ,508.0,505.0,529.8,499.0, 502.40,503.3,516.64,171052,883.73,10690, 39142, 22.88
2023-02-02,ASAHIINDIA, EQ,503.3,500.0,512.0,495.55, 510.00,507.8,505.56,36568,184.87,7520, 14523, 39.72
2023-02-03,ASAHIINDIA, EQ,507.8,507.0,513.0,499.55, 513.00,509.9,507.11,38053,192.97,4482, 15821, 41.58
2023-02-06,ASAHIINDIA, EQ,509.9,509.9,518.45,502.85, 506.00,506.15,511.01,43340,221.47,5041, 13966, 32.22
2023-02-07,ASAHIINDIA, EQ,506.15,506.0,518.0,499.3, 517.60,515.05,509.88,65964,336.34,6264, 28761, 43.60
2023-02-08,ASAHIINDIA, EQ,515.05,515.05,517.0,511.95, 515.00,514.85,514.81,50681,260.91,2339, 26701, 52.68
2023-02-09,ASAHIINDIA, EQ,514.85,508.05,514.85,500.0, 500.05,500.8,504.92,48631,245.55,3741, 25858, 53.17
2023-02-10,ASAHIINDIA, EQ,500.8,500.8,515.1,500.8, 509.00,512.25,511.16,134449,687.25,7656, 18255, 13.58
2023-02-13,ASAHIINDIA, EQ,512.25,512.25,512.25,503.05,509.5,505.9,506.15,30169,152.7,3687, 15321, 50.78
2023-02-14,ASAHIINDIA, EQ,505.9,505.8,521.0,500.8,506.0,508.2,510.67,112075,572.34,8489, 25472, 22.73
2023-02-15,ASAHIINDIA, EQ,508.2,505.0,515.55,505.0, 511.40,511.35,510.46,55489,283.25,5373, 19757, 35.61
2023-02-16,ASAHIINDIA, EQ,511.35,512.65,514.45,509.45, 513.00,513.05,512.32,23072,118.2,3615, 10598, 45.93
2023-02-17,ASAHIINDIA, EQ,513.05,515.65,519.7,512.2, 514.50,514.25,515.29,29863,153.88,2566, 10301, 34.49
2023-02-20,ASAHIINDIA, EQ,514.25,514.25,518.0,510.25, 515.00,514.25,513.99,26576,136.6,2855, 12860, 48.39
2023-02-21,ASAHIINDIA, EQ,514.25,513.45,514.0,496.0, 500.90,497.9,503.85,39741,200.24,4302, 22892, 57.60
2023-02-22,ASAHIINDIA, EQ,497.9,494.2,499.7,488.1, 490.40,491.85,494.2,30964,153.02,3035, 16854, 54.43
2023-02-23,ASAHIINDIA, EQ,491.85,487.0,512.35,486.35,499.95,499.8,502.53,143373,720.49,7112, 66708, 46.53
2023-02-24,ASAHIINDIA, EQ,499.8,499.8,502.25,486.65, 491.40,488.85,493.89,31604,156.09,3096, 13746, 43.49
2023-02-27,ASAHIINDIA, EQ,488.85,487.0,488.65,465.05, 470.00,467.85,475.74,140721,669.47,10132, 46037, 32.72
2023-02-28,ASAHIINDIA, EQ,467.85,470.15,489.0,468.1, 484.85,481.85,479.73,102076,489.69,8468, 40185, 39.37
