DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-06-27,ASHOKAMET, EQ,18.7,19.95,19.95,16.05, 16.25,16.95,17.5,11697,2.05,100, 10355, 88.53
2023-06-28,ASHOKAMET, EQ,16.95,18.95,18.95,16.6, 17.45,17.3,17.81,52138,9.29,433, 24493, 46.98
2023-06-30,ASHOKAMET, EQ,17.3,17.5,18.5,16.6, 16.65,16.85,17.76,61196,10.87,526, 38767, 63.35
2023-07-03,ASHOKAMET, EQ,16.85,17.5,18.15,17.3, 17.60,17.65,17.73,48415,8.58,373, 38425, 79.37
2023-07-04,ASHOKAMET, EQ,17.65,17.95,18.55,17.75, 18.40,18.25,18.21,49817,9.07,321, 39581, 79.45
2023-07-05,ASHOKAMET, EQ,18.25,18.4,18.5,17.05,17.55,17.75,18.03,33127,5.97,282, 23258, 70.21
2023-07-06,ASHOKAMET, EQ,17.75,18.45,18.45,17.3,18.1,17.8,17.58,13947,2.45,130, 10884, 78.04
2023-07-07,ASHOKAMET, EQ,17.8,19.0,19.35,18.0, 18.00,18.65,18.86,86240,16.26,610, 42418, 49.19
2023-07-10,ASHOKAMET, EQ,18.65,18.95,19.95,18.95,19.0,19.15,19.38,84031,16.29,562, 66818, 79.52
2023-07-11,ASHOKAMET, EQ,19.15,20.0,20.45,19.55, 20.20,19.95,20.0,82908,16.58,418, 53119, 64.07
2023-07-12,ASHOKAMET, EQ,19.95,21.1,23.9,20.6, 23.90,23.9,23.33,358119,83.54,1395, 206959, 57.79
2023-07-13,ASHOKAMET, EQ,23.9,25.45,28.65,24.85, 26.60,26.8,27.34,2311084,631.82,10550, 617731, 26.73
2023-07-14,ASHOKAMET, EQ,26.8,26.9,27.8,24.15,24.15,24.15,25.72,579206,148.96,2888, 242789, 41.92
2023-07-17,ASHOKAMET, EQ,24.15,24.3,26.55,24.25,25.0,24.8,25.7,342685,88.06,2142, 146090, 42.63
2023-07-18,ASHOKAMET, EQ,24.8,25.65,26.0,24.05, 24.90,24.55,24.73,102402,25.33,862, 60153, 58.74
2023-07-19,ASHOKAMET, EQ,24.55,25.0,25.0,23.4, 23.40,23.5,23.75,77344,18.37,631, 56861, 73.52
