DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ASIANHOTNR, EQ,80.35,81.5,82.0,79.85, 81.90,81.55,81.24,2335,1.9,98, 1631, 69.85
2023-01-03,ASIANHOTNR, EQ,81.55,82.75,82.75,80.3, 81.00,81.15,81.27,1750,1.42,52, 1464, 83.66
2023-01-04,ASIANHOTNR, EQ,81.15,80.6,82.9,79.8, 81.30,80.75,81.45,8714,7.1,455, 4093, 46.97
2023-01-05,ASIANHOTNR, EQ,80.75,81.8,81.95,80.05,80.95,81.35,81.21,3182,2.58,142, 2559, 80.42
2023-01-06,ASIANHOTNR, EQ,81.35,80.0,84.95,79.4,80.0,80.45,81.86,19362,15.85,483, 7066, 36.49
2023-01-09,ASIANHOTNR, EQ,80.45,82.1,83.6,78.35,80.0,80.65,81.59,2682,2.19,130, 1707, 63.65
2023-01-10,ASIANHOTNR, EQ,80.65,80.1,81.7,79.5,79.5,80.05,80.06,34372,27.52,60, 33192, 96.57
2023-01-11,ASIANHOTNR, EQ,80.05,81.25,81.25,78.15, 78.15,78.7,79.44,2355,1.87,84, 1663, 70.62
2023-01-12,ASIANHOTNR, EQ,78.7,78.5,79.5,78.0, 78.45,78.05,78.37,1704,1.34,48, 898, 52.70
2023-01-13,ASIANHOTNR, EQ,78.05,77.4,80.5,77.4,80.5,79.95,79.29,2753,2.18,165, 2010, 73.01
2023-01-16,ASIANHOTNR, EQ,79.95,78.25,85.0,78.25, 79.00,79.55,81.53,38746,31.59,799, 12385, 31.96
2023-01-17,ASIANHOTNR, EQ,79.55,80.05,80.9,78.5,79.5,78.8,79.63,151966,121.02,299, 146972, 96.71
2023-01-18,ASIANHOTNR, EQ,78.8,79.95,79.95,78.95,79.6,79.45,79.33,6497,5.15,121, 3195, 49.18
2023-01-19,ASIANHOTNR, EQ,79.45,79.85,80.65,77.8, 78.50,77.9,78.43,8574,6.72,156, 4509, 52.59
2023-01-20,ASIANHOTNR, EQ,77.9,80.5,80.65,76.5,77.0,77.05,77.36,4975,3.85,139, 2597, 52.20
2023-01-23,ASIANHOTNR, EQ,77.05,76.25,78.7,76.25,77.25,77.85,77.87,588,0.46,46, 241, 40.99
2023-01-24,ASIANHOTNR, EQ,77.85,77.8,78.55,77.8,78.45,78.4,78.35,455,0.36,23, 348, 76.48
2023-01-25,ASIANHOTNR, EQ,78.4,78.05,78.05,76.55, 76.80,76.8,77.13,2924,2.26,149, 1476, 50.48
2023-01-27,ASIANHOTNR, EQ,76.8,76.85,76.85,74.2, 74.25,74.4,75.11,2884,2.17,132, 1452, 50.35
2023-01-30,ASIANHOTNR, EQ,74.4,75.4,77.3,75.1, 77.30,75.45,75.44,1175,0.89,77, 647, 55.06
2023-01-31,ASIANHOTNR, EQ,75.45,75.9,77.25,75.45,77.25,76.8,76.32,1342,1.02,85, 925, 68.93
2023-02-01,ASIANHOTNR, EQ,76.8,77.3,81.7,76.2, 78.90,78.0,78.95,19607,15.48,470, 6184, 31.54
2023-02-02,ASIANHOTNR, EQ,78.0,78.0,79.15,76.0, 76.00,76.3,77.19,7322,5.65,193, 4288, 58.56
2023-02-03,ASIANHOTNR, EQ,76.3,76.55,76.75,75.0, 75.20,75.4,75.53,1337,1.01,91, 723, 54.08
2023-02-06,ASIANHOTNR, EQ,75.4,75.65,76.95,75.4, 76.00,76.0,76.01,425,0.32,40, 216, 50.82
2023-02-07,ASIANHOTNR, EQ,76.0,77.05,77.05,74.6, 76.00,75.2,76.04,2121,1.61,93, 1217, 57.38
2023-02-08,ASIANHOTNR, EQ,75.2,77.0,79.7,75.45, 79.00,78.6,77.46,2800,2.17,102, 1388, 49.57
2023-02-09,ASIANHOTNR, EQ,78.6,79.5,79.5,77.1, 79.20,79.0,78.96,3976,3.14,82, 3222, 81.04
2023-02-10,ASIANHOTNR, EQ,79.0,79.0,79.55,77.05, 77.15,78.4,78.65,53193,41.84,572, 47180, 88.70
2023-02-13,ASIANHOTNR, EQ,78.4,78.4,79.85,75.05,75.05,75.5,77.02,12860,9.9,746, 4321, 33.60
2023-02-14,ASIANHOTNR, EQ,75.5,74.15,75.3,73.05,73.3,73.75,74.51,9739,7.26,264, 5044, 51.79
2023-02-15,ASIANHOTNR, EQ,73.75,73.5,74.3,72.0, 72.55,72.8,73.11,7729,5.65,587, 3086, 39.93
2023-02-16,ASIANHOTNR, EQ,72.8,72.85,76.3,72.85, 73.50,74.75,74.78,15567,11.64,810, 3620, 23.25
2023-02-17,ASIANHOTNR, EQ,74.75,74.55,75.85,73.5, 73.60,73.8,74.85,12576,9.41,830, 3945, 31.37
2023-02-20,ASIANHOTNR, EQ,73.8,73.8,79.0,73.35, 74.20,74.35,76.1,11649,8.86,894, 2979, 25.57
2023-02-21,ASIANHOTNR, EQ,74.35,74.55,75.5,74.55, 75.00,75.0,75.21,1770,1.33,66, 1086, 61.36
