DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-03-01,ASMS, EQ,6.95,6.6,6.6,6.6, 6.60,6.6,6.6,5021,0.33,24, 5021, 100.00
2023-03-02,ASMS, EQ,6.6,6.3,6.3,6.3, 6.30,6.3,6.3,5830,0.37,39, 5820, 99.83
2023-03-03,ASMS, EQ,6.3,6.0,6.0,6.0, 6.00,6.0,6.0,13323,0.8,38, 13323, 100.00
2023-03-06,ASMS, EQ,6.0,5.7,5.7,5.7, 5.70,5.7,5.7,16248,0.93,71, 16237, 99.93
2023-03-08,ASMS, EQ,5.7,5.45,5.95,5.45, 5.95,5.95,5.6,277700,15.56,255, 277479, 99.92
2023-03-09,ASMS, EQ,5.95,6.2,6.2,6.2, 6.20,6.2,6.2,70751,4.39,65, 70751, 100.00
2023-03-10,ASMS, EQ,6.2,6.5,6.5,6.05, 6.50,6.4,6.45,387350,24.97,401, 235809, 60.88
2023-03-13,ASMS, EQ,6.4,6.6,6.7,6.1, 6.10,6.1,6.26,119462,7.48,374, 84086, 70.39
2023-03-14,ASMS, EQ,6.1,6.1,6.1,5.8, 5.80,5.8,5.85,39798,2.33,76, 39765, 99.92
2023-03-15,ASMS, EQ,5.8,5.7,5.95,5.55, 5.55,5.55,5.58,27948,1.56,76, 25429, 90.99
2023-03-16,ASMS, EQ,5.55,5.35,5.35,5.3, 5.30,5.3,5.31,26133,1.39,44, 26131, 99.99
2023-03-17,ASMS, EQ,5.3,5.1,5.4,5.05, 5.05,5.05,5.11,103875,5.31,811, 89266, 85.94
2023-03-20,ASMS, EQ,5.05,5.05,5.25,4.8,4.95,4.85,4.84,77741,3.76,334, 49305, 63.42
2023-03-21,ASMS, EQ,4.85,5.05,5.05,4.6, 4.75,4.7,4.71,56301,2.65,287, 43884, 77.95
2023-03-22,ASMS, EQ,4.7,4.7,4.9,4.6, 4.90,4.9,4.85,30338,1.47,176, 28414, 93.66
2023-03-23,ASMS, EQ,4.9,5.1,5.1,5.1, 5.10,5.1,5.1,19395,0.99,56, 19387, 99.96
2023-03-24,ASMS, EQ,5.1,5.35,5.35,5.35, 5.35,5.35,5.35,27167,1.45,47, 27157, 99.96
2023-03-27,ASMS, EQ,5.35,5.6,5.6,5.6, 5.60,5.6,5.6,30328,1.7,28, 30328, 100.00
2023-03-28,ASMS, EQ,5.6,5.85,5.85,5.85, 5.85,5.85,5.85,17032,1.0,43, 17032, 100.00
2023-03-29,ASMS, EQ,5.85,6.1,6.1,5.9, 6.10,6.1,6.09,127565,7.77,370, 101508, 79.57
2023-03-31,ASMS, EQ,6.1,6.4,6.4,5.8, 6.40,6.4,6.32,152257,9.63,370, 108531, 71.28
