DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ATFL, EQ,838.4,835.0,840.15,822.2, 823.20,823.6,831.85,2400,19.96,315, 1254, 52.25
2023-01-03,ATFL, EQ,823.6,816.35,830.35,811.55, 812.00,817.95,822.65,3081,25.35,512, 1440, 46.74
2023-01-04,ATFL, EQ,817.95,812.0,836.0,812.0, 822.45,830.1,826.15,3012,24.88,452, 1692, 56.18
2023-01-05,ATFL, EQ,830.1,834.3,834.3,806.05,810.0,811.65,817.89,1939,15.86,319, 1058, 54.56
2023-01-06,ATFL, EQ,811.65,801.05,830.0,800.0,824.95,822.0,813.34,3793,30.85,380, 2080, 54.84
2023-01-09,ATFL, EQ,822.0,824.0,824.0,808.55,816.0,813.65,815.81,1219,9.94,324, 615, 50.45
2023-01-10,ATFL, EQ,813.65,807.2,817.75,806.45,808.0,808.65,811.09,715,5.8,173, 385, 53.85
2023-01-11,ATFL, EQ,808.65,808.05,830.0,805.7, 827.00,825.9,820.36,2238,18.36,463, 1534, 68.54
2023-01-12,ATFL, EQ,825.9,829.95,837.9,817.6, 834.00,832.4,828.49,3449,28.57,527, 2209, 64.05
2023-01-13,ATFL, EQ,832.4,836.6,836.6,821.05,834.0,831.9,828.66,1612,13.36,311, 1052, 65.26
2023-01-16,ATFL, EQ,831.9,830.0,841.0,820.95, 821.50,826.6,833.62,2236,18.64,347, 1347, 60.24
2023-01-17,ATFL, EQ,826.6,828.05,850.0,825.0,830.4,844.85,840.13,3179,26.71,444, 2072, 65.18
2023-01-18,ATFL, EQ,844.85,840.8,969.8,832.05,951.1,945.6,931.15,162484,1512.98,13322, 32885, 20.24
2023-01-19,ATFL, EQ,945.6,946.0,965.0,921.5, 936.00,943.25,939.7,29520,277.4,4078, 6942, 23.52
2023-01-20,ATFL, EQ,943.25,944.0,947.75,916.1,916.1,923.3,933.82,11108,103.73,1566, 4958, 44.63
2023-01-23,ATFL, EQ,923.3,920.1,921.95,903.0,907.75,911.7,911.5,7156,65.23,1884, 3491, 48.78
2023-01-24,ATFL, EQ,911.7,912.0,966.0,895.0,941.5,942.6,938.99,19530,183.38,2670, 8093, 41.44
2023-01-25,ATFL, EQ,942.6,931.15,936.7,885.3, 900.50,919.85,916.16,39229,359.4,3397, 28411, 72.42
2023-01-27,ATFL, EQ,919.85,924.45,924.45,874.5, 875.30,886.9,900.49,6688,60.22,1500, 3121, 46.67
2023-01-30,ATFL, EQ,886.9,888.8,909.45,878.85, 905.00,900.05,899.64,20439,183.88,1440, 17010, 83.22
2023-01-31,ATFL, EQ,900.05,904.6,915.0,886.05,906.3,910.1,904.5,12494,113.01,982, 10850, 86.84
2023-02-01,ATFL, EQ,910.1,920.0,944.0,880.0, 881.15,888.75,897.85,8304,74.56,1266, 3535, 42.57
2023-02-02,ATFL, EQ,888.75,883.7,893.6,866.15, 880.10,879.1,881.86,2127,18.76,574, 978, 45.98
2023-02-03,ATFL, EQ,879.1,878.4,892.45,851.1, 851.10,869.35,872.09,5390,47.01,756, 3041, 56.42
2023-02-06,ATFL, EQ,869.35,857.7,897.1,850.0, 896.50,891.2,884.73,10199,90.23,1155, 7251, 71.10
2023-02-07,ATFL, EQ,891.2,881.3,889.45,864.0, 880.10,880.75,874.85,3353,29.33,514, 1777, 53.00
2023-02-08,ATFL, EQ,880.75,880.05,915.0,876.9, 910.00,903.9,897.11,6169,55.34,812, 3398, 55.08
2023-02-09,ATFL, EQ,903.9,903.0,908.35,872.6, 876.00,877.6,886.26,4155,36.82,930, 1411, 33.96
2023-02-10,ATFL, EQ,877.6,879.5,906.75,877.45, 898.00,899.4,897.14,3005,26.96,581, 1905, 63.39
2023-02-13,ATFL, EQ,899.4,871.3,902.45,871.3,890.0,891.15,894.39,2369,21.19,221, 1680, 70.92
2023-02-14,ATFL, EQ,891.15,881.5,894.3,879.9,880.4,882.55,885.49,647,5.73,254, 312, 48.22
2023-02-15,ATFL, EQ,882.55,885.85,887.95,868.0, 868.00,871.15,878.38,1224,10.75,280, 754, 61.60
