DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,AUTOIND, EQ,78.6,80.5,80.5,77.5, 78.60,78.55,79.13,71812,56.82,1199, 46113, 64.21
2023-01-03,AUTOIND, EQ,78.55,78.6,82.45,78.0, 78.40,78.2,78.96,62354,49.24,871, 36889, 59.16
2023-01-04,AUTOIND, EQ,78.2,78.2,80.1,75.45, 77.90,77.75,78.75,111443,87.77,1536, 58473, 52.47
2023-01-05,AUTOIND, EQ,77.75,77.9,78.25,75.4,76.6,76.3,77.07,58244,44.89,760, 39918, 68.54
2023-01-06,AUTOIND, EQ,76.3,76.4,77.5,76.4,77.35,77.05,76.97,46728,35.97,434, 34301, 73.41
2023-01-09,AUTOIND, EQ,77.05,77.0,81.15,77.0,79.65,79.9,80.08,178453,142.91,1115, 140347, 78.65
2023-01-10,AUTOIND, EQ,79.9,79.85,80.1,77.2,78.65,78.05,78.31,74423,58.28,715, 47841, 64.28
2023-01-11,AUTOIND, EQ,78.05,78.0,78.45,77.0, 77.25,77.25,77.57,40359,31.31,424, 23924, 59.28
2023-01-12,AUTOIND, EQ,77.25,78.45,78.45,76.75, 76.75,76.9,77.15,43697,33.71,309, 36848, 84.33
2023-01-13,AUTOIND, EQ,76.9,76.9,80.0,76.55,79.15,77.45,78.67,62527,49.19,875, 31028, 49.62
2023-01-16,AUTOIND, EQ,77.45,77.3,79.15,76.65, 77.45,77.0,77.2,25496,19.68,468, 13699, 53.73
2023-01-17,AUTOIND, EQ,77.0,77.0,78.95,75.0,78.95,77.2,76.58,34744,26.61,579, 18360, 52.84
2023-01-18,AUTOIND, EQ,77.2,77.2,79.15,77.0,77.5,77.5,77.86,31805,24.76,412, 13464, 42.33
2023-01-19,AUTOIND, EQ,77.5,76.85,79.8,76.4, 76.80,76.6,77.82,95034,73.96,1105, 36734, 38.65
2023-01-20,AUTOIND, EQ,76.6,77.95,78.35,75.1,75.2,76.05,76.67,55275,42.38,637, 37933, 68.63
2023-01-23,AUTOIND, EQ,76.05,76.9,78.2,73.4,73.55,73.95,75.13,179465,134.83,994, 157460, 87.74
2023-01-24,AUTOIND, EQ,73.95,73.95,75.65,72.8,75.4,75.1,74.16,54677,40.55,1089, 33870, 61.95
2023-01-25,AUTOIND, EQ,75.1,75.9,75.9,73.05, 73.70,73.4,73.88,24206,17.88,485, 13681, 56.52
2023-01-27,AUTOIND, EQ,73.4,73.0,74.35,68.65, 71.35,71.3,70.97,68441,48.57,974, 41553, 60.71
2023-01-30,AUTOIND, EQ,71.3,72.45,72.45,69.35, 71.90,70.6,70.54,38970,27.49,892, 17911, 45.96
2023-01-31,AUTOIND, EQ,70.6,72.45,74.8,70.7,74.7,73.9,72.8,25219,18.36,463, 14612, 57.94
2023-02-01,AUTOIND, EQ,73.9,74.7,76.9,74.3, 75.00,74.7,75.22,49380,37.14,555, 28923, 58.57
2023-02-02,AUTOIND, EQ,74.7,74.7,75.25,72.5, 73.90,73.15,73.87,37034,27.36,625, 16960, 45.80
2023-02-03,AUTOIND, EQ,73.15,73.25,74.15,68.65, 70.00,70.75,71.01,58662,41.66,906, 29506, 50.30
2023-02-06,AUTOIND, EQ,70.75,72.45,73.05,70.75, 72.90,72.6,72.07,23668,17.06,322, 11716, 49.50
2023-02-07,AUTOIND, EQ,72.6,72.9,74.55,71.1, 71.10,71.8,73.2,25499,18.67,649, 17035, 66.81
2023-02-08,AUTOIND, EQ,71.8,71.3,74.4,71.3, 74.35,73.75,72.8,21345,15.54,394, 14691, 68.83
2023-02-09,AUTOIND, EQ,73.75,73.9,77.3,72.0, 76.85,76.5,75.67,67587,51.14,1020, 38313, 56.69
2023-02-10,AUTOIND, EQ,76.5,77.45,77.45,73.75, 73.80,74.85,75.06,33825,25.39,480, 23392, 69.16
2023-02-13,AUTOIND, EQ,74.85,74.85,76.7,72.0,73.6,72.4,73.78,83482,61.59,635, 69336, 83.06
2023-02-14,AUTOIND, EQ,72.4,72.4,73.6,72.0,72.35,72.75,72.61,13979,10.15,279, 8851, 63.32
2023-02-15,AUTOIND, EQ,72.75,72.6,73.0,70.45, 70.60,71.0,71.51,30752,21.99,683, 21493, 69.89
