DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BAJAJFINSV, EQ,1547.85,1550.0,1560.0,1528.55, 1550.10,1552.5,1544.77,1061404,16396.26,48006, 325301, 30.65
2023-01-03,BAJAJFINSV, EQ,1552.5,1549.0,1570.0,1544.05, 1562.60,1563.0,1559.86,1306648,20381.94,51035, 442157, 33.84
2023-01-04,BAJAJFINSV, EQ,1563.0,1562.0,1567.35,1540.4, 1546.00,1547.85,1551.82,1036103,16078.45,43509, 366984, 35.42
2023-01-05,BAJAJFINSV, EQ,1547.85,1548.0,1548.0,1454.7,1466.8,1468.85,1476.07,5979381,88259.62,250364, 2088111, 34.92
2023-01-06,BAJAJFINSV, EQ,1468.85,1473.55,1473.55,1423.0,1430.0,1430.35,1438.71,5207616,74922.71,229148, 2206287, 42.37
2023-01-09,BAJAJFINSV, EQ,1430.35,1447.0,1450.9,1408.65,1412.0,1414.0,1424.03,4513767,64277.39,164799, 2649568, 58.70
2023-01-10,BAJAJFINSV, EQ,1414.0,1429.0,1429.0,1391.0,1417.5,1413.3,1403.66,2903001,40748.27,121229, 994256, 34.25
2023-01-11,BAJAJFINSV, EQ,1413.3,1418.0,1422.85,1397.05, 1399.00,1399.7,1405.35,2327598,32710.83,86036, 918017, 39.44
2023-01-12,BAJAJFINSV, EQ,1399.7,1405.0,1414.95,1379.0, 1387.00,1387.8,1393.8,3168742,44165.88,107310, 1285158, 40.56
2023-01-13,BAJAJFINSV, EQ,1387.8,1394.75,1399.85,1374.35,1391.0,1391.15,1385.39,3754686,52017.21,103287, 2225971, 59.29
2023-01-16,BAJAJFINSV, EQ,1391.15,1398.15,1418.45,1379.2, 1383.50,1383.9,1395.74,3480545,48579.21,97787, 1509154, 43.36
2023-01-17,BAJAJFINSV, EQ,1383.9,1389.0,1391.6,1353.95,1372.85,1372.9,1369.73,3681802,50430.64,112949, 2024055, 54.97
2023-01-18,BAJAJFINSV, EQ,1372.9,1379.8,1380.0,1365.0,1366.8,1367.3,1370.94,2589016,35493.92,92740, 1560225, 60.26
2023-01-19,BAJAJFINSV, EQ,1367.3,1365.0,1365.95,1348.1, 1354.55,1355.15,1355.31,1910318,25890.78,91060, 857432, 44.88
2023-01-20,BAJAJFINSV, EQ,1355.15,1360.0,1361.65,1326.55,1328.0,1333.2,1344.05,2091612,28112.28,102612, 1007140, 48.15
2023-01-23,BAJAJFINSV, EQ,1333.2,1330.0,1345.0,1319.55,1333.9,1332.75,1335.21,1832743,24471.03,79456, 784453, 42.80
2023-01-24,BAJAJFINSV, EQ,1332.75,1336.25,1349.0,1329.55,1330.0,1332.7,1338.66,1311451,17555.93,70176, 501511, 38.24
2023-01-25,BAJAJFINSV, EQ,1332.7,1334.9,1334.9,1310.0, 1315.00,1314.35,1319.24,1549899,20446.96,77319, 658901, 42.51
2023-01-27,BAJAJFINSV, EQ,1314.35,1315.1,1336.15,1302.05, 1317.90,1314.2,1317.49,1829556,24104.14,98316, 751715, 41.09
2023-01-30,BAJAJFINSV, EQ,1314.2,1320.8,1360.0,1317.85, 1344.45,1343.85,1341.86,4411750,59199.68,150370, 1564162, 35.45
2023-01-31,BAJAJFINSV, EQ,1343.85,1354.4,1357.15,1323.8,1343.0,1342.45,1343.99,2213909,29754.69,95435, 1110325, 50.15
2023-02-01,BAJAJFINSV, EQ,1342.45,1348.0,1360.0,1246.85, 1269.35,1268.3,1292.52,4761664,61545.53,173800, 1915068, 40.22
2023-02-02,BAJAJFINSV, EQ,1268.3,1269.0,1288.65,1252.1, 1272.05,1271.9,1268.84,2419664,30701.6,114811, 977656, 40.40
2023-02-03,BAJAJFINSV, EQ,1271.9,1305.0,1340.8,1281.3, 1335.00,1337.45,1314.74,3271913,43017.15,127422, 1119479, 34.21
2023-02-06,BAJAJFINSV, EQ,1337.45,1337.45,1349.0,1322.1, 1343.00,1343.05,1337.23,1546926,20685.93,60990, 519267, 33.57
2023-02-07,BAJAJFINSV, EQ,1343.05,1345.15,1362.35,1337.1, 1349.00,1350.4,1349.77,1604424,21656.1,68489, 630599, 39.30
2023-02-08,BAJAJFINSV, EQ,1350.4,1356.95,1377.0,1345.2, 1369.50,1368.9,1365.17,1516979,20709.41,63620, 472256, 31.13
2023-02-09,BAJAJFINSV, EQ,1368.9,1370.0,1409.9,1356.65, 1400.00,1400.25,1392.85,2593600,36124.93,109135, 681048, 26.26
2023-02-10,BAJAJFINSV, EQ,1400.25,1406.0,1418.65,1394.0, 1401.00,1401.75,1408.15,2069492,29141.64,67246, 802072, 38.76
2023-02-13,BAJAJFINSV, EQ,1401.75,1404.0,1415.0,1381.75,1385.0,1388.55,1393.02,1467695,20445.36,51353, 577444, 39.34
2023-02-14,BAJAJFINSV, EQ,1388.55,1390.0,1405.0,1373.65,1397.0,1398.6,1392.98,1390992,19376.25,57870, 420016, 30.20
2023-02-15,BAJAJFINSV, EQ,1398.6,1398.0,1423.95,1388.05, 1422.00,1420.8,1409.86,1518171,21404.06,53301, 742919, 48.94
2023-02-16,BAJAJFINSV, EQ,1420.8,1429.0,1435.0,1413.05, 1421.00,1428.2,1426.7,2153424,30722.93,68360, 1217581, 56.54
2023-02-17,BAJAJFINSV, EQ,1428.2,1420.05,1427.2,1410.0, 1413.50,1414.05,1419.13,994199,14108.96,41523, 424113, 42.66
2023-02-20,BAJAJFINSV, EQ,1414.05,1418.0,1425.8,1400.8, 1404.00,1404.6,1412.23,993735,14033.81,42281, 318828, 32.08
2023-02-21,BAJAJFINSV, EQ,1404.6,1409.4,1409.4,1390.0, 1395.00,1394.3,1398.8,1117177,15627.08,44182, 439929, 39.38
2023-02-22,BAJAJFINSV, EQ,1394.3,1389.9,1392.0,1356.0, 1360.00,1360.95,1367.99,1402505,19186.15,74603, 528443, 37.68
2023-02-23,BAJAJFINSV, EQ,1360.95,1362.0,1365.95,1341.0,1349.0,1346.95,1352.66,1095460,14817.85,57472, 320122, 29.22
2023-02-24,BAJAJFINSV, EQ,1346.95,1353.7,1386.0,1350.35, 1360.00,1359.0,1366.11,1342454,18339.45,55001, 245491, 18.29
2023-02-27,BAJAJFINSV, EQ,1359.0,1357.95,1367.25,1345.0, 1361.00,1357.4,1355.23,972575,13180.66,43708, 312019, 32.08
2023-02-28,BAJAJFINSV, EQ,1357.4,1364.2,1371.9,1330.0, 1334.95,1334.9,1347.03,1597380,21517.16,67462, 811015, 50.77
2023-03-01,BAJAJFINSV, EQ,1334.9,1335.7,1360.0,1334.9, 1346.00,1343.9,1348.65,1134472,15300.04,54263, 477106, 42.06
2023-03-02,BAJAJFINSV, EQ,1343.9,1375.0,1385.95,1337.2, 1342.00,1343.55,1354.93,3267851,44277.02,108414, 763458, 23.36
2023-03-03,BAJAJFINSV, EQ,1343.55,1357.0,1364.45,1346.1, 1353.05,1355.35,1354.01,1199487,16241.16,55086, 357477, 29.80
