DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BAJAJHCARE, EQ,444.6,444.6,458.35,444.6, 450.00,451.65,451.99,122691,554.55,5510, 47248, 38.51
2023-01-03,BAJAJHCARE, EQ,451.65,455.0,456.85,446.8, 450.00,454.15,451.86,84302,380.93,4055, 29991, 35.58
2023-01-04,BAJAJHCARE, EQ,454.15,454.15,454.7,432.7, 439.70,440.4,443.89,64368,285.72,4135, 28877, 44.86
2023-01-05,BAJAJHCARE, EQ,440.4,443.9,443.9,414.0,435.6,434.95,432.85,89224,386.21,3490, 50175, 56.23
2023-01-06,BAJAJHCARE, EQ,434.95,437.95,437.95,425.7,428.0,429.25,429.63,20061,86.19,1561, 11077, 55.22
2023-01-09,BAJAJHCARE, EQ,429.25,434.45,435.9,422.55,425.95,424.95,427.87,20309,86.9,1173, 13724, 67.58
2023-01-10,BAJAJHCARE, EQ,424.95,424.95,435.55,418.15,432.9,427.6,424.15,18837,79.9,1398, 12210, 64.82
2023-01-11,BAJAJHCARE, EQ,427.6,426.15,432.0,424.2, 425.00,428.75,429.36,32006,137.42,1529, 17166, 53.63
2023-01-12,BAJAJHCARE, EQ,428.75,430.5,431.7,424.95, 428.50,429.3,427.97,19470,83.33,1600, 9964, 51.18
2023-01-13,BAJAJHCARE, EQ,429.3,435.0,435.0,418.05,418.05,420.7,424.26,11587,49.16,1015, 5686, 49.07
2023-01-16,BAJAJHCARE, EQ,420.7,424.9,424.9,407.3, 409.00,412.5,414.48,20116,83.38,2113, 9356, 46.51
2023-01-17,BAJAJHCARE, EQ,412.5,411.0,414.35,401.3,407.0,410.35,408.09,37372,152.51,2279, 20672, 55.31
2023-01-18,BAJAJHCARE, EQ,410.35,414.4,415.05,402.75,408.7,411.35,409.8,46771,191.67,2423, 22606, 48.33
2023-01-19,BAJAJHCARE, EQ,411.35,410.0,413.9,404.8, 408.20,409.5,408.02,18860,76.95,1033, 7982, 42.32
2023-01-20,BAJAJHCARE, EQ,409.5,414.0,417.4,404.15,408.0,412.8,410.21,42276,173.42,1776, 18738, 44.32
2023-01-23,BAJAJHCARE, EQ,412.8,412.8,413.7,404.3,404.3,405.65,407.96,26547,108.3,1752, 14880, 56.05
