DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BAJAJHLDNG, EQ,5741.6,5745.05,5777.85,5570.0, 5612.00,5607.15,5606.96,141578,7938.22,26195, 58891, 41.60
2023-01-03,BAJAJHLDNG, EQ,5607.15,5614.95,5709.45,5612.0, 5650.00,5660.5,5661.34,52179,2954.03,9690, 13989, 26.81
2023-01-04,BAJAJHLDNG, EQ,5660.5,5660.0,5748.0,5619.95, 5710.00,5718.15,5703.16,36403,2076.12,10245, 14677, 40.32
2023-01-05,BAJAJHLDNG, EQ,5718.15,5727.4,5728.25,5592.05,5684.95,5687.6,5645.58,39152,2210.36,9159, 17106, 43.69
2023-01-06,BAJAJHLDNG, EQ,5687.6,5695.0,5704.6,5651.1,5688.1,5680.25,5676.45,20655,1172.47,4007, 12977, 62.83
2023-01-09,BAJAJHLDNG, EQ,5680.25,5708.7,5860.0,5695.85,5835.45,5838.8,5799.54,36557,2120.14,9932, 18389, 50.30
2023-01-10,BAJAJHLDNG, EQ,5838.8,5835.05,5878.95,5793.05,5855.0,5859.5,5836.47,21937,1280.35,6350, 13101, 59.72
2023-01-11,BAJAJHLDNG, EQ,5859.5,5855.0,5860.0,5730.1, 5750.00,5775.45,5770.31,47499,2740.84,7274, 31594, 66.52
2023-01-12,BAJAJHLDNG, EQ,5775.45,5809.3,5899.0,5789.35, 5860.00,5866.7,5864.58,50702,2973.46,11813, 17950, 35.40
2023-01-13,BAJAJHLDNG, EQ,5866.7,5893.3,5998.0,5830.7,5910.0,5947.6,5919.85,19097,1130.51,5730, 8988, 47.06
2023-01-16,BAJAJHLDNG, EQ,5947.6,5926.95,5948.95,5710.0, 5815.00,5816.95,5857.66,30910,1810.6,7448, 8849, 28.63
2023-01-17,BAJAJHLDNG, EQ,5816.95,5824.4,5865.1,5656.0,5720.0,5693.65,5744.68,45506,2614.18,9870, 18644, 40.97
2023-01-18,BAJAJHLDNG, EQ,5693.65,5723.55,5735.6,5601.1,5630.0,5641.7,5640.84,34560,1949.47,7295, 13991, 40.48
2023-01-19,BAJAJHLDNG, EQ,5641.7,5618.95,5695.0,5614.95, 5695.00,5651.15,5658.81,35073,1984.71,8797, 17154, 48.91
2023-01-20,BAJAJHLDNG, EQ,5651.15,5679.0,5679.0,5560.15,5575.0,5581.15,5596.73,34072,1906.92,8279, 20163, 59.18
2023-01-23,BAJAJHLDNG, EQ,5581.15,5600.0,5818.05,5570.0,5800.0,5787.3,5729.95,25617,1467.84,5925, 9554, 37.30
2023-01-24,BAJAJHLDNG, EQ,5787.3,5787.3,5912.35,5750.4,5821.8,5890.9,5845.88,28854,1686.77,6728, 12618, 43.73
2023-01-25,BAJAJHLDNG, EQ,5890.9,5855.0,5896.0,5710.0, 5722.15,5742.65,5790.65,9566,553.93,2965, 2964, 30.98
2023-01-27,BAJAJHLDNG, EQ,5742.65,5725.0,5945.0,5725.0, 5900.00,5905.0,5851.11,30246,1769.73,6515, 11784, 38.96
2023-01-30,BAJAJHLDNG, EQ,5905.0,5900.0,6047.65,5893.55, 5999.90,5998.5,5999.08,47849,2870.5,11141, 17768, 37.13
2023-01-31,BAJAJHLDNG, EQ,5998.5,5951.2,5984.65,5830.2,5889.0,5883.95,5885.48,39727,2338.12,11480, 19648, 49.46
2023-02-01,BAJAJHLDNG, EQ,5883.95,5972.2,6100.0,5885.0, 6082.00,6082.2,6049.81,103912,6286.48,19684, 24782, 23.85
2023-02-02,BAJAJHLDNG, EQ,6082.2,6100.0,6123.2,5924.0, 6018.00,6033.0,6030.7,52374,3158.52,12452, 21318, 40.70
2023-02-03,BAJAJHLDNG, EQ,6033.0,6063.2,6063.2,5960.0, 6039.20,6024.2,6009.25,18149,1090.62,6108, 7153, 39.41
2023-02-06,BAJAJHLDNG, EQ,6024.2,6020.0,6059.4,5912.25, 5920.00,5921.05,5956.89,24477,1458.07,10239, 11479, 46.90
2023-02-07,BAJAJHLDNG, EQ,5921.05,5950.7,6100.0,5895.1, 6078.00,6078.45,6014.79,59468,3576.87,13838, 33174, 55.78
2023-02-08,BAJAJHLDNG, EQ,6078.45,6108.85,6110.0,6066.4, 6088.00,6090.1,6089.48,16688,1016.21,4061, 7342, 44.00
2023-02-09,BAJAJHLDNG, EQ,6090.1,6070.65,6170.0,6025.0, 6037.60,6061.3,6078.34,11981,728.25,3720, 5371, 44.83
2023-02-10,BAJAJHLDNG, EQ,6061.3,6085.95,6120.0,6025.0, 6119.00,6113.35,6103.3,21183,1292.86,5797, 13262, 62.61
2023-02-13,BAJAJHLDNG, EQ,6113.35,6121.0,6150.0,5955.0,6034.0,6031.0,6035.04,15021,906.52,4015, 7875, 52.43
2023-02-14,BAJAJHLDNG, EQ,6031.0,5990.1,6050.0,5962.0,6043.0,6029.5,6008.2,12346,741.77,3376, 6918, 56.03
2023-02-15,BAJAJHLDNG, EQ,6029.5,6018.25,6046.35,5988.0, 6005.00,6010.75,6005.76,17161,1030.65,4266, 12979, 75.63
2023-02-16,BAJAJHLDNG, EQ,6010.75,6010.75,6025.1,5986.6, 5990.55,5997.0,6008.7,7038,422.89,3183, 4029, 57.25
2023-02-17,BAJAJHLDNG, EQ,5997.0,5997.0,6050.0,5963.05, 6000.00,6013.5,5994.82,21922,1314.18,4021, 15827, 72.20
2023-02-20,BAJAJHLDNG, EQ,6013.5,6026.0,6098.9,5952.9, 6037.50,6051.15,6008.3,21694,1303.44,3080, 14230, 65.59
2023-02-21,BAJAJHLDNG, EQ,6051.15,6144.0,6144.0,6013.05, 6094.90,6079.35,6078.82,27263,1657.27,6309, 7036, 25.81
2023-02-22,BAJAJHLDNG, EQ,6079.35,6051.15,6066.3,5999.25, 6013.00,6035.5,6022.79,9943,598.85,3709, 5459, 54.90
2023-02-23,BAJAJHLDNG, EQ,6035.5,6025.05,6095.0,5989.7,5997.5,6020.25,6043.99,11772,711.5,4075, 6045, 51.35
2023-02-24,BAJAJHLDNG, EQ,6020.25,6079.95,6120.0,6012.55, 6099.00,6103.3,6080.62,21928,1333.36,6699, 9384, 42.79
2023-02-27,BAJAJHLDNG, EQ,6103.3,6100.0,6115.5,6010.0, 6085.80,6086.9,6057.09,17275,1046.36,5499, 10181, 58.93
2023-02-28,BAJAJHLDNG, EQ,6086.9,6048.0,6535.0,5994.15, 6381.25,6254.15,6215.35,178171,11073.96,17947, 137002, 76.89
2023-03-01,BAJAJHLDNG, EQ,6254.15,6380.0,6397.95,6240.55, 6304.00,6303.7,6309.34,31397,1980.94,8082, 10588, 33.72
2023-03-02,BAJAJHLDNG, EQ,6303.7,6299.9,6330.0,6217.0, 6228.00,6233.1,6250.37,10564,660.29,3463, 4671, 44.22
2023-03-03,BAJAJHLDNG, EQ,6233.1,6249.95,6296.0,6114.9, 6140.00,6152.65,6184.25,13976,864.31,3688, 6777, 48.49
2023-03-06,BAJAJHLDNG, EQ,6152.65,6169.7,6395.0,6155.0, 6298.00,6312.0,6333.55,49983,3165.7,15448, 13672, 27.35
2023-03-08,BAJAJHLDNG, EQ,6312.0,6300.0,6379.05,6254.7, 6320.10,6355.75,6338.48,19369,1227.7,7418, 8598, 44.39
2023-03-09,BAJAJHLDNG, EQ,6355.75,6304.5,6383.55,6200.9, 6221.00,6254.25,6303.31,13013,820.25,3702, 6400, 49.18
2023-03-10,BAJAJHLDNG, EQ,6254.25,6205.6,6205.6,6044.7, 6090.00,6066.2,6088.62,28529,1737.02,7918, 13273, 46.52
2023-03-13,BAJAJHLDNG, EQ,6066.2,6083.9,6174.9,5925.05, 6022.95,6008.65,6059.08,28975,1755.62,9352, 11120, 38.38
2023-03-14,BAJAJHLDNG, EQ,6008.65,6038.7,6259.95,5923.7, 6106.00,6128.65,6127.11,111690,6843.37,23206, 16474, 14.75
2023-03-15,BAJAJHLDNG, EQ,6128.65,6130.0,6196.75,6010.15, 6095.00,6041.1,6102.93,17665,1078.08,5558, 4741, 26.84
2023-03-16,BAJAJHLDNG, EQ,6041.1,6044.95,6145.35,6001.05, 6101.80,6113.35,6083.05,24489,1489.68,7134, 8092, 33.04
2023-03-17,BAJAJHLDNG, EQ,6113.35,6132.0,6166.55,5911.2, 5989.00,5985.75,6018.52,40044,2410.06,9548, 25442, 63.54
2023-03-20,BAJAJHLDNG, EQ,5985.75,5950.0,6179.95,5885.0,5900.0,5933.75,5997.62,46701,2800.95,9165, 24970, 53.47
2023-03-21,BAJAJHLDNG, EQ,5933.75,6022.75,6072.0,5840.0, 6030.00,6028.75,5934.1,42622,2529.23,9276, 20091, 47.14
2023-03-22,BAJAJHLDNG, EQ,6028.75,6028.0,6094.7,6003.15, 6030.60,6036.75,6050.96,13575,821.42,3662, 5662, 41.71
2023-03-23,BAJAJHLDNG, EQ,6036.75,6010.0,6148.0,6010.0, 6050.00,6032.45,6062.85,44559,2701.54,7450, 25674, 57.62
2023-03-24,BAJAJHLDNG, EQ,6032.45,6025.0,6059.2,5977.9, 6040.00,6034.25,6028.67,13838,834.25,3478, 7049, 50.94
2023-03-27,BAJAJHLDNG, EQ,6034.25,6059.9,6084.85,6021.0, 6055.00,6042.35,6041.93,16474,995.35,3622, 10538, 63.97
2023-03-28,BAJAJHLDNG, EQ,6042.35,6017.5,6118.0,6000.2, 6080.00,6061.85,6073.99,27052,1643.14,6116, 16812, 62.15
2023-03-29,BAJAJHLDNG, EQ,6061.85,6040.1,6141.4,5820.0, 5875.00,5866.75,5986.45,89796,5375.6,16770, 52336, 58.28
2023-03-31,BAJAJHLDNG, EQ,5866.75,5896.1,5980.0,5840.15, 5935.00,5920.1,5923.12,31478,1864.48,7076, 10574, 33.59
2023-04-03,BAJAJHLDNG, EQ,5920.1,5934.9,5951.25,5770.0, 5823.90,5819.5,5830.28,41060,2393.91,11672, 13254, 32.28
2023-04-05,BAJAJHLDNG, EQ,5819.5,5872.4,5919.95,5802.6, 5900.00,5888.25,5851.94,24463,1431.56,6045, 8907, 36.41
2023-04-06,BAJAJHLDNG, EQ,5888.25,5912.15,5953.0,5872.0, 5950.00,5934.5,5915.27,13631,806.31,3890, 5586, 40.98
2023-04-10,BAJAJHLDNG, EQ,5934.5,5925.0,5970.2,5883.05, 5917.00,5912.05,5935.7,13211,784.16,3577, 5588, 42.30
2023-04-11,BAJAJHLDNG, EQ,5912.05,5913.0,6068.0,5913.0, 6010.00,6030.1,6020.38,41425,2493.94,10346, 14421, 34.81
2023-04-12,BAJAJHLDNG, EQ,6030.1,6030.15,6059.0,5994.15, 6040.00,6039.35,6025.67,51074,3077.55,4685, 43959, 86.07
2023-04-13,BAJAJHLDNG, EQ,6039.35,6039.4,6080.0,5920.2, 5952.95,5949.45,6022.0,28349,1707.18,8158, 17084, 60.26
2023-04-17,BAJAJHLDNG, EQ,5949.45,5953.0,6120.0,5953.0, 6110.00,6097.3,6061.27,28375,1719.89,9948, 13410, 47.26
2023-04-18,BAJAJHLDNG, EQ,6097.3,6110.0,6651.0,6097.3, 6339.00,6349.65,6467.73,428643,27723.48,60985, 49747, 11.61
2023-04-19,BAJAJHLDNG, EQ,6349.65,6349.65,6390.0,6265.05, 6325.00,6315.55,6320.72,37648,2379.62,9909, 6565, 17.44
2023-04-20,BAJAJHLDNG, EQ,6315.55,6349.95,6450.0,6310.0, 6420.00,6401.25,6386.0,52034,3322.89,12757, 19203, 36.90
2023-04-21,BAJAJHLDNG, EQ,6401.25,6414.95,6466.95,6330.0, 6367.95,6363.2,6378.49,16891,1077.39,7326, 5961, 35.29
2023-04-24,BAJAJHLDNG, EQ,6363.2,6365.05,6500.0,6363.2, 6495.00,6486.9,6466.18,32240,2084.7,9483, 9762, 30.28
2023-04-25,BAJAJHLDNG, EQ,6486.9,6497.0,6514.0,6414.95,6479.5,6495.35,6475.73,23027,1491.17,6348, 9759, 42.38
2023-04-26,BAJAJHLDNG, EQ,6495.35,6528.0,6575.0,6490.05, 6500.00,6537.6,6524.59,26571,1733.65,7176, 12191, 45.88
2023-04-27,BAJAJHLDNG, EQ,6537.6,6514.9,6681.0,6511.55, 6655.00,6650.25,6606.48,32817,2168.05,8718, 13217, 40.27
2023-04-28,BAJAJHLDNG, EQ,6650.25,6668.0,6945.0,6598.8, 6890.00,6847.95,6764.83,57756,3907.1,10128, 25058, 43.39
2023-05-02,BAJAJHLDNG, EQ,6847.95,6880.0,7040.0,6813.8, 6830.00,6891.05,6950.47,58293,4051.64,18296, 22416, 38.45
2023-05-03,BAJAJHLDNG, EQ,6891.05,6891.05,6999.0,6830.4,6939.0,6945.2,6941.31,48549,3369.94,15124, 22323, 45.98
2023-05-04,BAJAJHLDNG, EQ,6945.2,6935.0,6937.5,6820.0, 6860.00,6853.65,6868.98,23007,1580.35,5363, 11112, 48.30
2023-05-05,BAJAJHLDNG, EQ,6853.65,6885.0,6998.15,6785.65, 6819.70,6814.4,6852.14,21428,1468.28,6179, 9047, 42.22
2023-05-08,BAJAJHLDNG, EQ,6814.4,6815.0,6898.5,6804.05, 6838.00,6841.45,6833.32,24006,1640.41,6735, 15046, 62.68
2023-05-09,BAJAJHLDNG, EQ,6841.45,6841.5,6926.25,6841.45,6915.0,6915.4,6903.09,17850,1232.2,5129, 9892, 55.42
2023-05-10,BAJAJHLDNG, EQ,6915.4,6850.0,6931.1,6850.0,6900.0,6901.45,6898.58,16745,1155.17,5555, 10222, 61.05
2023-05-11,BAJAJHLDNG, EQ,6901.45,6901.1,6945.95,6862.0, 6910.70,6920.95,6902.73,21872,1509.77,8342, 12005, 54.89
2023-05-12,BAJAJHLDNG, EQ,6920.95,6900.0,6922.25,6841.05, 6850.00,6890.25,6897.22,23330,1609.12,7135, 14508, 62.19
2023-05-15,BAJAJHLDNG, EQ,6890.25,6820.0,6887.95,6655.1, 6674.00,6700.65,6749.04,29542,1993.8,9288, 15545, 52.62
2023-05-16,BAJAJHLDNG, EQ,6700.65,6700.95,6734.0,6610.55,6615.0,6632.7,6670.08,25344,1690.47,6923, 11594, 45.75
2023-05-17,BAJAJHLDNG, EQ,6632.7,6632.7,6663.95,6411.0, 6438.80,6451.85,6502.5,34563,2247.46,10811, 14346, 41.51
2023-05-18,BAJAJHLDNG, EQ,6451.85,6500.0,6509.95,6286.3, 6310.00,6328.75,6385.38,20865,1332.31,5955, 10884, 52.16
2023-05-19,BAJAJHLDNG, EQ,6328.75,6369.0,6369.0,6279.05,6315.0,6298.5,6317.14,20910,1320.91,6876, 11056, 52.87
2023-05-22,BAJAJHLDNG, EQ,6298.5,6320.0,6475.0,6296.55,6450.0,6448.6,6363.95,19346,1231.17,4835, 11162, 57.70
2023-05-23,BAJAJHLDNG, EQ,6448.6,6474.0,6680.0,6470.0, 6661.10,6641.4,6593.62,39458,2601.71,10153, 14849, 37.63
2023-05-24,BAJAJHLDNG, EQ,6641.4,6645.7,6966.0,6611.55, 6908.00,6934.45,6887.42,111285,7664.66,23461, 24513, 22.03
2023-05-25,BAJAJHLDNG, EQ,6934.45,6900.0,6942.0,6816.1, 6920.00,6922.3,6904.47,36611,2527.8,8930, 16670, 45.53
2023-05-26,BAJAJHLDNG, EQ,6922.3,6920.0,7129.9,6900.0,7069.7,7095.3,7023.25,67649,4751.16,12550, 39228, 57.99
2023-05-29,BAJAJHLDNG, EQ,7095.3,7094.95,7225.0,6999.0, 7222.00,7214.05,7162.25,62748,4494.17,15583, 31653, 50.44
2023-05-30,BAJAJHLDNG, EQ,7214.05,7250.0,7291.3,7015.0, 7050.00,7078.0,7122.28,74519,5307.45,16635, 34467, 46.25
2023-05-31,BAJAJHLDNG, EQ,7078.0,7070.0,7488.95,6931.0, 7262.15,7264.9,7209.25,181345,13073.61,33664, 115175, 63.51
2023-06-01,BAJAJHLDNG, EQ,7264.9,7264.9,7296.25,6925.0, 6970.00,6993.1,7062.48,73859,5216.27,18666, 32494, 43.99
2023-06-02,BAJAJHLDNG, EQ,6993.1,7035.0,7085.0,6932.35, 6994.00,6989.9,6990.4,48818,3412.57,12873, 20912, 42.84
2023-06-05,BAJAJHLDNG, EQ,6989.9,6990.0,7054.15,6900.0, 6925.00,6919.85,6943.48,26562,1844.33,9025, 9134, 34.39
2023-06-06,BAJAJHLDNG, EQ,6919.85,6962.75,7050.0,6924.35,6985.0,6972.0,6982.08,23430,1635.9,6151, 7900, 33.72
2023-06-07,BAJAJHLDNG, EQ,6972.0,7010.0,7020.0,6943.65, 7001.40,6992.2,6981.74,20319,1418.62,6102, 10375, 51.06
2023-06-08,BAJAJHLDNG, EQ,6992.2,7019.95,7019.95,6809.85, 6830.00,6838.2,6897.32,17536,1209.51,4003, 9748, 55.59
2023-06-09,BAJAJHLDNG, EQ,6838.2,6874.9,6875.0,6734.05, 6749.00,6752.95,6791.04,20969,1424.01,5669, 10328, 49.25
