DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BANCOINDIA, EQ,200.05,202.3,202.8,199.5, 201.60,200.95,200.92,49054,98.56,2330, 20210, 41.20
2023-01-03,BANCOINDIA, EQ,200.95,202.1,202.8,198.0, 199.70,199.35,200.13,62639,125.36,2847, 35383, 56.49
2023-01-04,BANCOINDIA, EQ,199.35,199.5,201.1,197.0, 198.50,199.3,199.21,57905,115.35,2610, 33679, 58.16
2023-01-05,BANCOINDIA, EQ,199.3,200.0,200.35,196.95,199.9,198.95,198.61,40152,79.75,2667, 18344, 45.69
2023-01-06,BANCOINDIA, EQ,198.95,199.8,202.65,194.1,200.5,200.05,200.25,82577,165.36,3470, 34447, 41.72
2023-01-09,BANCOINDIA, EQ,200.05,201.3,202.7,198.2,199.0,199.55,200.42,48996,98.2,2525, 23393, 47.74
2023-01-10,BANCOINDIA, EQ,199.55,199.85,201.8,199.0,200.85,200.15,200.27,72618,145.43,3126, 34698, 47.78
2023-01-11,BANCOINDIA, EQ,200.15,201.7,206.4,200.4, 200.40,201.6,203.1,105160,213.58,4526, 37326, 35.49
2023-01-12,BANCOINDIA, EQ,201.6,201.6,202.15,199.35, 200.00,200.65,200.88,37164,74.66,1929, 18838, 50.69
2023-01-13,BANCOINDIA, EQ,200.65,199.6,201.65,199.0,199.85,200.0,200.31,47159,94.46,2228, 26788, 56.80
2023-01-16,BANCOINDIA, EQ,200.0,200.5,200.85,198.0, 199.60,198.8,199.57,40471,80.77,3893, 19064, 47.11
2023-01-17,BANCOINDIA, EQ,198.8,198.8,200.85,198.0,200.0,199.45,199.6,58983,117.73,3468, 29249, 49.59
2023-01-18,BANCOINDIA, EQ,199.45,200.05,204.8,199.65,201.0,200.4,202.06,110872,224.03,3370, 30822, 27.80
2023-01-19,BANCOINDIA, EQ,200.4,199.9,202.4,199.9, 201.10,201.45,201.58,40805,82.25,1290, 25085, 61.48
2023-01-20,BANCOINDIA, EQ,201.45,201.1,202.3,199.55,200.1,200.3,200.99,28302,56.88,1373, 15617, 55.18
2023-01-23,BANCOINDIA, EQ,200.3,202.3,202.3,198.85,199.0,199.4,199.96,46135,92.25,1367, 24131, 52.31
2023-01-24,BANCOINDIA, EQ,199.4,201.3,201.3,197.2,200.0,200.15,199.42,39806,79.38,1381, 19216, 48.27
2023-01-25,BANCOINDIA, EQ,200.15,199.9,200.3,197.0, 197.00,198.35,198.74,120132,238.76,5445, 69249, 57.64
2023-01-27,BANCOINDIA, EQ,198.35,198.0,200.25,190.0, 190.75,191.45,193.81,94105,182.39,4232, 53233, 56.57
2023-01-30,BANCOINDIA, EQ,191.45,192.5,195.7,191.0, 194.00,192.75,193.41,38782,75.01,4008, 17952, 46.29
2023-01-31,BANCOINDIA, EQ,192.75,195.35,201.95,194.8,200.5,200.7,199.04,73695,146.68,3058, 41923, 56.89
2023-02-01,BANCOINDIA, EQ,200.7,202.4,207.2,199.15, 200.00,200.85,203.38,152472,310.1,5612, 81544, 53.48
