DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BANG, EQ,46.3,47.8,51.05,45.65, 50.00,49.85,49.71,243302,120.95,1974, 85286, 35.05
2023-01-03,BANG, EQ,49.85,50.7,50.7,48.2, 48.20,49.0,50.03,61410,30.72,377, 45321, 73.80
2023-01-04,BANG, EQ,49.0,49.5,49.5,47.4, 47.40,47.55,47.99,24804,11.9,369, 13714, 55.29
2023-01-05,BANG, EQ,47.55,47.05,48.85,47.05,48.15,47.85,47.6,8060,3.84,101, 5471, 67.88
2023-01-06,BANG, EQ,47.85,47.9,48.4,47.2,47.25,47.3,47.78,13128,6.27,209, 10034, 76.43
2023-01-09,BANG, EQ,47.3,47.35,50.65,47.35,49.75,49.3,49.59,68316,33.88,667, 35325, 51.71
2023-01-10,BANG, EQ,49.3,49.45,49.45,46.4,47.05,47.4,47.6,21934,10.44,289, 11922, 54.35
2023-01-11,BANG, EQ,47.4,47.4,49.2,47.4, 47.60,47.95,48.37,32926,15.93,359, 11383, 34.57
2023-01-12,BANG, EQ,47.95,47.8,48.55,47.1, 47.90,47.4,47.67,17236,8.22,286, 6402, 37.14
2023-01-13,BANG, EQ,47.4,46.7,48.05,46.7,47.4,47.35,47.55,22000,10.46,355, 5131, 23.32
2023-01-16,BANG, EQ,47.35,48.7,48.7,46.2, 46.30,46.5,47.44,29794,14.13,424, 12739, 42.76
2023-01-17,BANG, EQ,46.5,46.7,48.95,46.4,46.5,46.8,47.23,29420,13.9,581, 6852, 23.29
2023-01-18,BANG, EQ,46.8,46.85,47.7,46.35,46.55,46.65,46.82,13279,6.22,191, 7768, 58.50
2023-01-19,BANG, EQ,46.65,46.65,48.6,46.0, 48.50,48.15,47.36,89582,42.43,370, 21659, 24.18
2023-01-20,BANG, EQ,48.15,48.15,53.0,47.15,49.0,49.45,50.63,260365,131.82,2174, 70091, 26.92
2023-01-23,BANG, EQ,49.45,49.0,51.0,47.35,48.1,48.25,49.87,60303,30.07,926, 34561, 57.31
2023-01-24,BANG, EQ,48.25,49.25,49.5,47.1,48.55,47.95,48.98,69656,34.12,1115, 43824, 62.91
2023-01-25,BANG, EQ,47.95,48.5,48.5,46.5, 47.15,46.9,47.42,6862,3.25,232, 3067, 44.70
2023-01-27,BANG, EQ,46.9,46.9,47.05,44.35, 44.55,45.1,45.77,23851,10.92,489, 14529, 60.92
2023-01-30,BANG, EQ,45.1,45.45,46.55,43.25, 44.35,43.7,44.98,29323,13.19,549, 11513, 39.26
2023-01-31,BANG, EQ,43.7,43.5,47.35,43.5,44.5,44.55,45.18,19246,8.7,455, 4264, 22.16
2023-02-01,BANG, EQ,44.55,45.05,46.4,43.5, 43.95,44.0,45.04,15818,7.12,275, 7402, 46.79
2023-02-02,BANG, EQ,44.0,44.95,45.05,43.1, 43.45,43.55,44.22,19666,8.7,325, 4204, 21.38
2023-02-03,BANG, EQ,43.55,43.5,44.15,42.3, 43.90,43.25,43.06,8539,3.68,237, 4525, 52.99
2023-02-06,BANG, EQ,43.25,44.05,44.05,42.45, 43.40,43.25,43.3,25291,10.95,316, 13615, 53.83
2023-02-07,BANG, EQ,43.25,43.95,44.05,41.0, 42.75,42.05,42.37,13700,5.8,232, 7408, 54.07
2023-02-08,BANG, EQ,42.05,42.05,44.05,42.05, 43.35,42.3,42.69,18104,7.73,277, 7022, 38.79
2023-02-09,BANG, EQ,42.3,43.25,46.9,42.0, 44.15,43.7,43.93,106476,46.78,1228, 45634, 42.86
2023-02-10,BANG, EQ,43.7,45.6,45.65,42.3, 43.10,43.25,43.62,6543,2.85,363, 1762, 26.93
2023-02-13,BANG, EQ,43.25,43.25,43.7,42.75,43.2,43.45,43.13,6838,2.95,129, 4929, 72.08
2023-02-14,BANG, EQ,43.45,43.5,44.9,41.6,43.3,43.65,43.54,25833,11.25,477, 3335, 12.91
2023-02-15,BANG, EQ,43.65,42.7,44.8,42.6, 42.80,43.25,43.7,22004,9.62,607, 9785, 44.47
2023-02-16,BANG, EQ,43.25,43.25,43.6,42.6, 42.60,42.85,43.16,9513,4.11,258, 4930, 51.82
2023-02-17,BANG, EQ,42.85,42.15,43.5,42.15, 43.50,42.7,42.97,4530,1.95,161, 1816, 40.09
2023-02-20,BANG, EQ,42.7,43.55,43.85,42.4, 43.00,43.0,43.24,18354,7.94,611, 6834, 37.23
2023-02-21,BANG, EQ,43.0,43.7,43.7,40.5, 41.00,41.5,42.85,23685,10.15,686, 9845, 41.57
2023-02-22,BANG, EQ,41.5,41.6,41.95,40.0, 41.55,40.65,40.66,11442,4.65,255, 7659, 66.94
2023-02-23,BANG, EQ,40.65,41.7,42.9,38.6,38.8,40.3,41.21,26252,10.82,669, 6665, 25.39
2023-02-24,BANG, EQ,40.3,39.85,42.0,39.85, 40.00,40.05,41.13,34569,14.22,810, 14427, 41.73
2023-02-27,BANG, EQ,40.05,40.7,40.9,38.55, 39.10,38.95,39.56,14690,5.81,349, 5115, 34.82
2023-02-28,BANG, EQ,38.95,39.75,39.95,38.1, 38.75,38.45,39.21,11352,4.45,238, 3512, 30.94
2023-03-01,BANG, EQ,38.45,40.85,41.15,39.4, 40.35,40.05,40.14,15006,6.02,229, 7402, 49.33
2023-03-02,BANG, EQ,40.05,40.05,41.45,39.1, 40.00,40.0,40.49,19885,8.05,303, 9836, 49.46
2023-03-03,BANG, EQ,40.0,40.4,41.8,39.7, 40.90,40.9,40.66,23752,9.66,588, 7496, 31.56
2023-03-06,BANG, EQ,40.9,41.6,41.6,40.0, 40.00,40.4,40.87,7624,3.12,188, 3567, 46.79
2023-03-08,BANG, EQ,40.4,41.5,41.5,39.0, 39.50,39.6,39.84,9631,3.84,229, 4977, 51.68
2023-03-09,BANG, EQ,39.6,39.65,42.5,39.65, 40.15,40.3,41.36,25486,10.54,534, 8691, 34.10
2023-03-10,BANG, EQ,40.3,41.0,41.0,38.7, 39.05,40.25,40.1,11737,4.71,196, 8179, 69.69
2023-03-13,BANG, EQ,40.25,41.5,41.5,38.7, 39.10,39.0,39.45,8422,3.32,307, 3733, 44.32
2023-03-14,BANG, EQ,39.0,38.1,39.9,37.7, 38.00,38.4,38.51,7232,2.79,118, 5634, 77.90
2023-03-15,BANG, EQ,38.4,38.4,42.45,38.0, 38.65,39.3,40.88,130855,53.49,1182, 35974, 27.49
2023-03-16,BANG, EQ,39.3,39.3,40.15,38.25, 39.45,38.75,38.98,8083,3.15,118, 4860, 60.13
2023-03-17,BANG, EQ,38.75,38.5,39.55,38.4, 38.80,38.7,38.74,4895,1.9,89, 2861, 58.45
2023-03-20,BANG, EQ,38.7,37.65,39.0,37.15,39.0,38.7,37.94,7186,2.73,133, 5125, 71.32
2023-03-21,BANG, EQ,38.7,38.7,38.85,36.85, 38.50,38.15,37.85,14747,5.58,256, 8366, 56.73
2023-03-22,BANG, EQ,38.15,39.4,39.4,36.5, 38.30,38.3,37.96,10910,4.14,146, 6952, 63.72
2023-03-23,BANG, EQ,38.3,38.3,39.15,38.0, 38.00,38.1,38.24,1613,0.62,52, 1075, 66.65
2023-03-24,BANG, EQ,38.1,38.05,39.0,37.2, 38.00,37.6,38.01,4474,1.7,153, 3370, 75.32
2023-03-27,BANG, EQ,37.6,37.2,38.95,36.3, 37.70,37.1,37.52,11745,4.41,414, 4254, 36.22
2023-03-28,BANG, EQ,37.1,36.8,36.85,33.35, 33.90,33.95,34.93,40721,14.23,741, 20770, 51.01
2023-03-29,BANG, EQ,33.95,34.5,35.7,34.05, 34.55,34.65,35.03,18834,6.6,292, 10898, 57.86
2023-03-31,BANG, EQ,34.65,33.6,35.4,33.6, 34.10,34.25,34.73,15513,5.39,213, 10863, 70.03
2023-04-03,BANG, EQ,34.25,35.1,35.95,34.3, 35.60,35.4,35.36,12024,4.25,215, 6632, 55.16
2023-04-05,BANG, EQ,35.4,35.9,36.55,35.9, 36.40,36.25,36.36,4233,1.54,101, 2788, 65.86
2023-04-06,BANG, EQ,36.25,37.5,37.5,35.45, 36.90,36.5,36.44,13733,5.0,244, 8513, 61.99
2023-04-10,BANG, EQ,36.5,39.4,39.4,37.25, 38.90,38.25,38.05,14054,5.35,243, 8869, 63.11
2023-04-11,BANG, EQ,38.25,39.05,39.1,37.45, 37.50,37.75,37.98,6685,2.54,225, 3220, 48.17
2023-04-12,BANG, EQ,37.75,38.5,38.85,37.7, 37.75,38.1,38.36,7447,2.86,213, 5632, 75.63
2023-04-13,BANG, EQ,38.1,38.5,39.3,37.85, 38.90,38.75,38.81,5942,2.31,185, 2448, 41.20
2023-04-17,BANG, EQ,38.75,39.65,39.75,38.05, 39.25,39.1,39.02,11654,4.55,165, 7898, 67.77
2023-04-18,BANG, EQ,39.1,38.9,39.75,38.8, 39.40,39.3,39.32,3509,1.38,96, 1824, 51.98
2023-04-19,BANG, EQ,39.3,39.1,39.6,38.85, 39.00,39.0,39.13,3547,1.39,66, 2934, 82.72
2023-04-20,BANG, EQ,39.0,39.7,39.85,39.0, 39.50,39.7,39.53,4883,1.93,117, 3592, 73.56
2023-04-21,BANG, EQ,39.7,39.4,40.2,36.2, 38.85,37.9,38.3,40114,15.36,689, 22024, 54.90
2023-04-24,BANG, EQ,37.9,38.8,38.8,37.15, 38.25,38.15,37.81,14327,5.42,251, 9632, 67.23
2023-04-25,BANG, EQ,38.15,38.9,38.9,37.9,38.7,38.45,38.32,2744,1.05,61, 1973, 71.90
2023-04-26,BANG, EQ,38.45,37.8,39.2,37.8, 38.95,38.5,38.28,10984,4.21,231, 4237, 38.57
2023-04-27,BANG, EQ,38.5,38.25,39.15,38.0, 38.70,38.45,38.6,7838,3.03,105, 3827, 48.83
2023-04-28,BANG, EQ,38.45,38.65,41.5,38.25, 39.90,40.1,40.03,35348,14.15,498, 17458, 49.39
2023-05-02,BANG, EQ,40.1,40.1,42.0,39.2, 40.75,40.85,40.69,31583,12.85,604, 14980, 47.43
2023-05-03,BANG, EQ,40.85,40.9,41.45,40.0,40.0,40.15,40.52,16518,6.69,154, 8611, 52.13
2023-05-04,BANG, EQ,40.15,41.1,41.15,39.65, 40.80,40.3,40.15,6789,2.73,93, 5345, 78.73
2023-05-05,BANG, EQ,40.3,40.9,41.45,40.05, 40.10,40.25,40.55,15564,6.31,96, 9407, 60.44
2023-05-08,BANG, EQ,40.25,39.5,40.65,39.5, 39.50,39.75,39.73,5279,2.1,149, 3113, 58.97
2023-05-09,BANG, EQ,39.75,39.5,40.6,39.3,39.5,39.8,39.66,9844,3.9,131, 5634, 57.23
2023-05-10,BANG, EQ,39.8,40.5,40.5,39.35,39.8,39.5,39.85,4193,1.67,81, 3033, 72.33
