DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BANKBARODA, EQ,185.7,186.6,187.75,185.1, 186.70,186.25,186.49,14679657,27375.99,86414, 3341340, 22.76
2023-01-03,BANKBARODA, EQ,186.25,186.5,189.9,186.3, 187.45,187.5,188.04,19758561,37153.02,98553, 3378839, 17.10
2023-01-04,BANKBARODA, EQ,187.5,187.1,188.5,181.3, 182.50,182.7,183.74,24902705,45756.17,110362, 6259733, 25.14
2023-01-05,BANKBARODA, EQ,182.7,183.6,185.5,181.5,185.0,184.05,183.24,21073286,38614.06,97068, 4772018, 22.64
2023-01-06,BANKBARODA, EQ,184.05,184.95,185.3,181.2,183.5,183.25,183.52,16229775,29785.53,94168, 3040776, 18.74
2023-01-09,BANKBARODA, EQ,183.25,184.3,187.7,182.4,185.25,185.15,185.26,15758981,29194.68,79913, 3080424, 19.55
2023-01-10,BANKBARODA, EQ,185.15,185.8,185.8,178.3,180.6,180.7,181.04,18392517,33298.28,81688, 5362146, 29.15
2023-01-11,BANKBARODA, EQ,180.7,181.0,182.3,177.15, 181.60,181.25,180.44,17867902,32240.27,87593, 4066549, 22.76
2023-01-12,BANKBARODA, EQ,181.25,181.9,183.15,179.7, 181.70,181.7,181.61,14044249,25506.32,69711, 2612345, 18.60
2023-01-13,BANKBARODA, EQ,181.7,181.8,185.25,181.25,184.5,184.9,183.54,15651311,28725.69,66133, 3943703, 25.20
2023-01-16,BANKBARODA, EQ,184.9,185.5,188.0,184.6, 185.80,185.8,186.45,18924642,35284.53,74105, 4272591, 22.58
2023-01-17,BANKBARODA, EQ,185.8,185.6,186.75,179.3,182.2,181.8,182.78,18380191,33595.6,154925, 5085507, 27.67
2023-01-18,BANKBARODA, EQ,181.8,182.1,182.35,177.35,178.25,178.25,179.15,21152950,37896.05,97924, 8357986, 39.51
2023-01-19,BANKBARODA, EQ,178.25,177.95,178.3,176.0, 177.90,177.9,177.27,10865755,19261.33,62776, 2603076, 23.96
2023-01-20,BANKBARODA, EQ,177.9,178.45,181.8,177.8,179.8,179.35,180.31,20620881,37180.74,87501, 6858398, 33.26
2023-01-23,BANKBARODA, EQ,179.35,180.45,182.1,179.85,180.7,180.55,180.93,12719955,23014.36,57128, 3597108, 28.28
2023-01-24,BANKBARODA, EQ,180.55,181.0,182.1,177.55,177.75,177.95,179.55,15302459,27475.19,65084, 6057803, 39.59
2023-01-25,BANKBARODA, EQ,177.95,178.4,178.6,166.35, 170.10,169.75,170.56,42652626,72748.72,192397, 16201669, 37.99
2023-01-27,BANKBARODA, EQ,169.75,170.6,170.6,156.1, 157.05,157.25,160.97,46482837,74825.02,208276, 19914626, 42.84
2023-01-30,BANKBARODA, EQ,157.25,158.1,163.8,153.0, 159.75,158.9,157.57,52599629,82880.11,231636, 22039698, 41.90
2023-01-31,BANKBARODA, EQ,158.9,160.5,168.9,159.4,168.55,167.85,165.74,40527508,67168.86,199422, 12572677, 31.02
2023-02-01,BANKBARODA, EQ,167.85,169.5,169.9,151.1, 154.35,154.6,161.4,70595394,113941.67,246033, 23030865, 32.62
2023-02-02,BANKBARODA, EQ,154.6,151.0,156.4,146.5, 155.20,154.05,151.98,58831062,89409.18,274683, 15771940, 26.81
2023-02-03,BANKBARODA, EQ,154.05,157.0,164.35,151.75, 163.80,163.6,158.91,72557245,115297.83,267628, 20215612, 27.86
2023-02-06,BANKBARODA, EQ,163.6,165.5,168.8,163.6, 167.20,167.9,166.68,39343917,65578.29,193779, 11438843, 29.07
2023-02-07,BANKBARODA, EQ,167.9,167.9,170.5,166.55, 168.50,168.55,168.84,26650769,44996.64,133827, 7487054, 28.09
2023-02-08,BANKBARODA, EQ,168.55,168.5,169.45,166.05, 168.20,168.0,167.82,21655466,36342.72,108744, 6498658, 30.01
2023-02-09,BANKBARODA, EQ,168.0,168.0,170.95,164.3, 169.70,169.45,168.19,24268013,40816.67,95188, 5667005, 23.35
2023-02-10,BANKBARODA, EQ,169.45,169.8,173.85,168.6, 169.45,169.3,171.36,34741224,59532.08,148395, 9818250, 28.26
2023-02-13,BANKBARODA, EQ,169.3,169.5,170.65,164.1,165.55,165.2,166.13,22382470,37183.13,144844, 7038948, 31.45
2023-02-14,BANKBARODA, EQ,165.2,166.0,169.4,163.7,168.6,168.8,167.07,20137499,33643.59,102665, 6375512, 31.66
2023-02-15,BANKBARODA, EQ,168.8,168.0,170.0,167.6, 169.80,169.55,168.79,15662905,26437.77,75771, 5940900, 37.93
2023-02-16,BANKBARODA, EQ,169.55,170.4,171.35,169.05, 169.05,170.1,170.5,16113489,27473.2,76613, 6015239, 37.33
2023-02-17,BANKBARODA, EQ,170.1,169.0,169.15,164.55, 166.90,166.8,166.96,19597310,32719.11,103013, 7543862, 38.49
2023-02-20,BANKBARODA, EQ,166.8,167.0,168.4,163.3, 164.50,164.25,165.63,17285378,28630.04,77550, 5573067, 32.24
2023-02-21,BANKBARODA, EQ,164.25,164.5,164.5,159.5, 159.85,159.9,161.61,34585035,55891.5,167930, 13547044, 39.17
2023-02-22,BANKBARODA, EQ,159.9,158.7,159.35,155.6, 157.05,157.1,157.25,22746525,35769.34,105662, 9168494, 40.31
2023-02-23,BANKBARODA, EQ,157.1,157.6,158.4,153.15,156.5,155.5,155.76,28791025,44843.96,128742, 10432051, 36.23
2023-02-24,BANKBARODA, EQ,155.5,156.5,157.7,153.65, 154.80,154.6,155.01,22601120,35033.42,96089, 8427460, 37.29
2023-02-27,BANKBARODA, EQ,154.6,154.5,159.4,153.6, 159.10,159.0,157.13,29046654,45639.83,125769, 8810300, 30.33
2023-02-28,BANKBARODA, EQ,159.0,160.25,161.25,157.2, 158.30,159.0,158.99,179242251,284980.42,176215, 96803834, 54.01
2023-03-01,BANKBARODA, EQ,159.0,157.9,164.7,157.6, 164.40,164.4,162.7,25974322,42258.93,109773, 6926826, 26.67
2023-03-02,BANKBARODA, EQ,164.4,164.45,166.35,162.8, 164.25,164.65,164.68,16266106,26786.82,66042, 2735884, 16.82
2023-03-03,BANKBARODA, EQ,164.65,168.0,173.75,168.0, 172.60,172.9,171.95,34946790,60091.28,188030, 11682663, 33.43
2023-03-06,BANKBARODA, EQ,172.9,173.55,176.4,172.45, 173.00,173.1,174.12,23752197,41357.8,104618, 6740766, 28.38
2023-03-08,BANKBARODA, EQ,173.1,171.0,174.65,170.75, 174.10,174.0,173.18,14441376,25010.06,67675, 3309917, 22.92
2023-03-09,BANKBARODA, EQ,174.0,174.6,175.0,170.95, 171.50,171.55,173.05,11038443,19101.62,50429, 3258401, 29.52
2023-03-10,BANKBARODA, EQ,171.55,170.7,170.7,166.05, 167.80,167.8,167.63,18452431,30931.88,68563, 5026212, 27.24
2023-03-13,BANKBARODA, EQ,167.8,167.0,170.0,163.45, 164.00,163.9,166.68,18595906,30996.51,77416, 4637778, 24.94
2023-03-14,BANKBARODA, EQ,163.9,164.0,164.9,161.0, 162.45,162.4,162.75,22898154,37267.17,86590, 6919292, 30.22
2023-03-15,BANKBARODA, EQ,162.4,164.4,164.95,158.4, 158.80,159.2,161.57,19255062,31110.51,101260, 6992421, 36.31
2023-03-16,BANKBARODA, EQ,159.2,158.7,161.45,155.6, 160.40,159.75,158.78,24291234,38569.27,125790, 5974654, 24.60
2023-03-17,BANKBARODA, EQ,159.75,162.05,162.65,158.15, 160.00,160.05,160.07,26762767,42839.62,110781, 11088338, 41.43
2023-03-20,BANKBARODA, EQ,160.05,159.7,159.7,155.7,158.8,158.75,157.42,26144673,41157.74,124551, 12017268, 45.96
2023-03-21,BANKBARODA, EQ,158.75,159.5,163.4,159.3, 163.20,163.05,162.08,25702421,41658.07,119236, 9310062, 36.22
2023-03-22,BANKBARODA, EQ,163.05,163.85,168.25,163.2, 167.00,167.4,166.71,27468538,45792.22,147667, 10298235, 37.49
2023-03-23,BANKBARODA, EQ,167.4,166.2,167.1,162.25, 162.70,162.7,165.37,20129946,33288.89,98292, 5484951, 27.25
2023-03-24,BANKBARODA, EQ,162.7,162.5,163.95,159.15, 159.60,159.8,161.22,18610261,30004.0,73918, 5927123, 31.85
2023-03-27,BANKBARODA, EQ,159.8,159.5,162.4,158.5, 160.60,161.25,160.69,50783785,81605.49,104169, 3916326, 7.71
2023-03-28,BANKBARODA, EQ,161.25,161.5,161.8,158.75, 161.10,160.75,160.28,31049605,49765.06,85578, 3028214, 9.75
2023-03-29,BANKBARODA, EQ,160.75,160.3,165.0,160.0, 164.70,164.45,162.52,38390279,62390.82,96356, 5593885, 14.57
2023-03-31,BANKBARODA, EQ,164.45,166.25,169.8,165.9, 169.00,168.85,168.39,28240603,47553.88,177762, 8049579, 28.50
2023-04-03,BANKBARODA, EQ,168.85,169.1,170.25,168.1, 169.25,169.2,169.04,16659059,28159.84,52932, 4791135, 28.76
2023-04-05,BANKBARODA, EQ,169.2,169.5,169.7,165.1, 167.45,167.0,166.7,34861706,58116.18,99752, 14125396, 40.52
2023-04-06,BANKBARODA, EQ,167.0,167.1,169.25,165.4, 166.90,166.9,167.41,27208238,45548.27,78677, 3972891, 14.60
2023-04-10,BANKBARODA, EQ,166.9,167.5,168.15,165.35, 166.30,166.2,166.95,15331631,25596.6,43999, 3166659, 20.65
2023-04-11,BANKBARODA, EQ,166.2,173.0,173.9,170.2, 170.80,170.85,171.35,25897114,44375.55,100847, 5360806, 20.70
2023-04-12,BANKBARODA, EQ,170.85,171.0,172.15,169.2, 170.40,170.4,170.29,14553551,24782.83,59707, 2853212, 19.60
