DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BASML, EQ,51.75,52.75,53.25,51.65, 53.00,53.0,52.84,38274,20.22,443, 18905, 49.39
2023-01-03,BASML, EQ,53.0,54.0,56.5,52.85, 55.60,56.0,54.87,182110,99.93,1370, 79811, 43.83
2023-01-04,BASML, EQ,56.0,56.7,56.7,52.65, 54.00,54.1,53.98,96843,52.28,962, 57370, 59.24
2023-01-05,BASML, EQ,54.1,54.6,55.8,53.9,54.65,54.75,54.98,41274,22.69,482, 23692, 57.40
2023-01-06,BASML, EQ,54.75,54.65,54.65,52.7,53.2,53.35,53.48,45214,24.18,523, 30354, 67.13
2023-01-09,BASML, EQ,53.35,53.35,55.05,52.7,53.0,53.05,53.77,31495,16.93,488, 17314, 54.97
2023-01-10,BASML, EQ,53.05,53.0,55.45,52.6,52.6,53.0,53.62,47539,25.49,760, 19777, 41.60
2023-01-11,BASML, EQ,53.0,53.15,53.95,52.2, 52.60,52.65,52.88,34063,18.01,418, 18319, 53.78
2023-01-12,BASML, EQ,52.65,52.65,53.65,51.6, 51.65,52.05,52.54,30653,16.11,392, 19302, 62.97
2023-01-13,BASML, EQ,52.05,52.45,52.8,51.05,51.4,51.45,51.93,28115,14.6,340, 20998, 74.69
2023-01-16,BASML, EQ,51.45,52.05,53.0,51.15, 51.20,51.8,52.21,27324,14.27,373, 19301, 70.64
2023-01-17,BASML, EQ,51.8,52.7,52.7,50.2,50.7,50.45,50.93,90417,46.05,652, 59502, 65.81
2023-01-18,BASML, EQ,50.45,51.05,51.8,50.5,50.8,50.95,51.11,52108,26.63,835, 29029, 55.71
2023-01-19,BASML, EQ,50.95,50.35,51.2,50.0, 50.20,50.1,50.31,48443,24.37,706, 38861, 80.22
2023-01-20,BASML, EQ,50.1,51.3,51.3,49.55,50.35,49.8,49.92,54700,27.31,573, 35454, 64.82
2023-01-23,BASML, EQ,49.8,50.2,51.2,49.55,50.15,50.25,50.54,89844,45.41,789, 43237, 48.12
2023-01-24,BASML, EQ,50.25,51.15,51.15,49.6,49.9,50.35,50.21,24500,12.3,304, 16383, 66.87
