DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BAYERCROP, EQ,4937.4,4963.0,5037.75,4875.1, 4889.00,4896.05,4957.65,12275,608.55,4124, 5789, 47.16
2023-01-03,BAYERCROP, EQ,4896.05,4914.95,4914.95,4795.0, 4838.00,4849.2,4843.14,11665,564.95,3675, 5103, 43.75
2023-01-04,BAYERCROP, EQ,4849.2,4870.0,4873.35,4770.0, 4772.10,4793.2,4819.01,6911,333.04,2119, 4842, 70.06
2023-01-05,BAYERCROP, EQ,4793.2,4799.95,4840.2,4752.7,4800.0,4803.95,4797.67,12087,579.89,4657, 7159, 59.23
2023-01-06,BAYERCROP, EQ,4803.95,4800.0,4814.6,4721.0,4748.0,4732.9,4751.45,6458,306.85,1897, 3852, 59.65
2023-01-09,BAYERCROP, EQ,4732.9,4756.55,4757.8,4705.15,4706.0,4719.15,4720.91,5619,265.27,2717, 3187, 56.72
2023-01-10,BAYERCROP, EQ,4719.15,4739.8,4744.0,4687.0,4690.0,4699.8,4701.95,10528,495.02,2742, 8251, 78.37
2023-01-11,BAYERCROP, EQ,4699.8,4702.0,4721.85,4667.55, 4672.45,4684.45,4692.83,3773,177.06,1475, 2266, 60.06
2023-01-12,BAYERCROP, EQ,4684.45,4670.0,4707.9,4630.2, 4659.95,4647.55,4688.54,137523,6447.82,3351, 132633, 96.44
2023-01-13,BAYERCROP, EQ,4647.55,4669.0,4687.1,4646.05,4669.05,4677.9,4677.1,2721,127.26,1175, 1530, 56.23
2023-01-16,BAYERCROP, EQ,4677.9,4677.85,4769.9,4673.95, 4744.00,4731.3,4691.79,51628,2422.27,1391, 48970, 94.85
2023-01-17,BAYERCROP, EQ,4731.3,4731.3,4794.0,4701.25,4793.95,4758.25,4737.46,3247,153.83,1540, 1664, 51.25
2023-01-18,BAYERCROP, EQ,4758.25,4779.3,4779.3,4690.0,4690.0,4712.8,4732.47,2592,122.67,1273, 1437, 55.44
2023-01-19,BAYERCROP, EQ,4712.8,4719.95,4733.95,4662.0, 4665.00,4688.8,4702.32,3786,178.03,1784, 2291, 60.51
2023-01-20,BAYERCROP, EQ,4688.8,4660.75,4701.15,4620.1,4623.0,4629.55,4641.7,4277,198.53,1660, 1939, 45.34
2023-01-23,BAYERCROP, EQ,4629.55,4629.5,4629.55,4587.5,4600.0,4596.65,4599.66,3532,162.46,1320, 2041, 57.79
2023-01-24,BAYERCROP, EQ,4596.65,4619.6,4619.6,4560.05,4562.0,4574.1,4587.5,5435,249.33,2062, 3385, 62.28
2023-01-25,BAYERCROP, EQ,4574.1,4560.0,4580.0,4413.25, 4415.00,4433.85,4473.51,12081,540.44,3097, 7245, 59.97
2023-01-27,BAYERCROP, EQ,4433.85,4442.05,4519.95,4425.0, 4500.10,4497.4,4473.66,4927,220.42,2096, 2056, 41.73
2023-01-30,BAYERCROP, EQ,4497.4,4500.0,4500.05,4420.0, 4425.00,4431.4,4443.11,5277,234.46,2212, 3396, 64.35
2023-01-31,BAYERCROP, EQ,4431.4,4439.95,4522.4,4415.0,4440.15,4449.75,4459.46,10884,485.37,4324, 6890, 63.30
2023-02-01,BAYERCROP, EQ,4449.75,4477.75,4515.0,4445.0, 4451.00,4479.6,4479.7,4741,212.38,2142, 2046, 43.16
2023-02-02,BAYERCROP, EQ,4479.6,4494.0,4500.0,4401.0, 4408.95,4408.95,4427.46,5953,263.57,2167, 3267, 54.88
2023-02-03,BAYERCROP, EQ,4408.95,4432.2,4435.95,4349.05, 4376.00,4387.75,4384.62,5681,249.09,2522, 3123, 54.97
