DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BECTORFOOD, EQ,419.7,420.9,435.0,416.0, 433.70,433.05,427.53,135554,579.54,8744, 85157, 62.82
2023-01-03,BECTORFOOD, EQ,433.05,436.2,437.35,432.0, 434.00,433.35,434.95,79401,345.36,3252, 48117, 60.60
2023-01-04,BECTORFOOD, EQ,433.35,432.05,441.0,430.0, 435.90,435.5,436.96,139963,611.58,10265, 64156, 45.84
2023-01-05,BECTORFOOD, EQ,435.5,438.0,442.85,431.0,438.0,440.15,439.5,183911,808.3,18839, 98917, 53.79
2023-01-06,BECTORFOOD, EQ,440.15,441.35,443.5,436.8,441.85,441.85,440.51,152097,670.0,13208, 82620, 54.32
2023-01-09,BECTORFOOD, EQ,441.85,443.65,454.8,432.2,435.0,435.75,443.35,492004,2181.28,12969, 299419, 60.86
2023-01-10,BECTORFOOD, EQ,435.75,434.45,441.95,433.0,440.0,439.15,437.6,94698,414.4,5645, 39657, 41.88
2023-01-11,BECTORFOOD, EQ,439.15,440.8,444.65,435.1, 440.05,440.2,440.68,76942,339.07,5129, 40370, 52.47
2023-01-12,BECTORFOOD, EQ,440.2,442.45,444.25,433.1, 436.25,440.7,439.71,117248,515.55,7757, 56186, 47.92
2023-01-13,BECTORFOOD, EQ,440.7,441.0,443.8,435.0,435.25,437.9,439.61,57285,251.83,3188, 22740, 39.70
2023-01-16,BECTORFOOD, EQ,437.9,440.0,454.7,435.75, 446.00,446.0,446.28,220085,982.19,11865, 117423, 53.35
2023-01-17,BECTORFOOD, EQ,446.0,446.0,452.0,439.4,451.0,450.6,447.29,184215,823.98,6682, 120829, 65.59
2023-01-18,BECTORFOOD, EQ,450.6,450.5,458.0,446.0,452.0,452.6,453.64,219411,995.35,8280, 94604, 43.12
2023-01-19,BECTORFOOD, EQ,452.6,450.9,477.9,446.5, 475.00,475.1,468.27,723432,3387.63,19767, 330814, 45.73
2023-01-20,BECTORFOOD, EQ,475.1,477.4,478.4,469.0,473.25,473.2,473.68,407658,1931.0,19964, 214015, 52.50
2023-01-23,BECTORFOOD, EQ,473.2,474.0,474.9,459.9,466.7,466.6,465.72,177624,827.24,6024, 109666, 61.74
2023-01-24,BECTORFOOD, EQ,466.6,469.7,478.0,460.1,478.0,473.65,468.39,166020,777.62,6660, 88154, 53.10
2023-01-25,BECTORFOOD, EQ,473.65,473.9,478.05,463.95, 475.00,473.8,471.61,361050,1702.76,10238, 217110, 60.13
2023-01-27,BECTORFOOD, EQ,473.8,475.0,477.3,465.25, 473.85,472.95,473.29,320834,1518.47,10361, 211971, 66.07
2023-01-30,BECTORFOOD, EQ,472.95,471.05,484.0,446.1, 447.80,451.7,465.25,211990,986.28,11807, 73378, 34.61
2023-01-31,BECTORFOOD, EQ,451.7,455.8,480.6,452.3,474.0,472.15,469.21,191003,896.2,9987, 78517, 41.11
2023-02-01,BECTORFOOD, EQ,472.15,476.85,479.9,446.4, 460.00,457.05,465.07,167265,777.89,9636, 82493, 49.32
2023-02-02,BECTORFOOD, EQ,457.05,452.0,470.2,452.0, 461.85,460.85,465.13,77918,362.42,7677, 36903, 47.36
