DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BEDMUTHA, EQ,59.65,58.6,63.25,58.6, 61.30,61.45,62.16,35923,22.33,644, 16931, 47.13
2023-01-03,BEDMUTHA, EQ,61.45,61.45,62.25,60.25, 60.30,60.4,61.04,6888,4.2,166, 3561, 51.70
2023-01-04,BEDMUTHA, EQ,60.4,60.1,60.95,58.55, 59.00,58.7,59.21,7022,4.16,151, 4047, 57.63
2023-01-05,BEDMUTHA, EQ,58.7,60.75,60.75,57.35,59.85,59.3,58.97,6468,3.81,182, 2480, 38.34
2023-01-06,BEDMUTHA, EQ,59.3,58.25,61.5,54.35,57.45,56.7,56.66,21418,12.13,372, 10918, 50.98
2023-01-09,BEDMUTHA, EQ,56.7,58.5,59.2,57.0,57.1,57.4,57.86,4315,2.5,143, 2741, 63.52
2023-01-10,BEDMUTHA, EQ,57.4,59.9,68.85,57.3,68.85,68.85,67.72,185862,125.86,842, 71757, 38.61
2023-01-11,BEDMUTHA, EQ,68.85,75.05,77.5,64.0, 65.40,64.8,69.88,261427,182.67,3682, 99636, 38.11
2023-01-12,BEDMUTHA, EQ,64.8,65.4,67.4,64.25, 64.25,65.0,65.39,31207,20.41,435, 18364, 58.85
2023-01-13,BEDMUTHA, EQ,65.0,65.65,65.7,63.0,63.25,63.65,63.91,15423,9.86,335, 8768, 56.85
2023-01-16,BEDMUTHA, EQ,63.65,63.7,64.7,62.0, 62.75,62.7,62.97,11977,7.54,264, 6601, 55.11
2023-01-17,BEDMUTHA, EQ,62.7,61.4,63.85,61.25,62.7,62.7,62.37,10996,6.86,238, 6578, 59.82
2023-01-18,BEDMUTHA, EQ,62.7,63.3,63.9,62.25,62.85,62.85,63.06,8491,5.35,172, 3840, 45.22
2023-01-19,BEDMUTHA, EQ,62.85,62.85,64.05,61.55, 62.20,61.95,62.81,8797,5.53,238, 5396, 61.34
2023-01-20,BEDMUTHA, EQ,61.95,62.75,63.3,62.0,62.9,62.7,62.74,3427,2.15,77, 2084, 60.81
2023-01-23,BEDMUTHA, EQ,62.7,63.85,63.85,62.0,62.0,62.1,62.62,10840,6.79,155, 5462, 50.39
2023-01-24,BEDMUTHA, EQ,62.1,64.7,64.7,61.0,62.1,61.35,62.04,7697,4.78,151, 4099, 53.25
2023-01-25,BEDMUTHA, EQ,61.35,62.95,62.95,60.5, 60.80,60.9,61.21,7796,4.77,131, 5390, 69.14
2023-01-27,BEDMUTHA, EQ,60.9,60.15,61.8,59.4, 60.90,59.7,60.21,9602,5.78,193, 5564, 57.95
2023-01-30,BEDMUTHA, EQ,59.7,62.0,62.0,59.15, 59.95,59.25,59.97,5345,3.21,129, 3104, 58.07
2023-01-31,BEDMUTHA, EQ,59.25,60.6,61.85,58.85,60.55,60.15,59.92,6485,3.89,164, 4062, 62.64
2023-02-01,BEDMUTHA, EQ,60.15,60.65,61.4,57.0, 57.35,58.0,58.95,5192,3.06,188, 2692, 51.85
2023-02-02,BEDMUTHA, EQ,58.0,58.45,64.45,58.45, 59.00,59.15,61.63,32070,19.76,634, 8444, 26.33
2023-02-03,BEDMUTHA, EQ,59.15,60.35,61.3,57.55, 60.75,60.05,59.74,12822,7.66,200, 7505, 58.53
2023-02-06,BEDMUTHA, EQ,60.05,60.0,63.75,56.95, 60.50,59.8,59.95,21347,12.8,384, 8386, 39.28
2023-02-07,BEDMUTHA, EQ,59.8,60.75,61.95,57.9, 58.50,58.4,59.08,10199,6.03,266, 4707, 46.15
2023-02-08,BEDMUTHA, EQ,58.4,60.7,61.8,59.05, 60.35,59.5,60.12,14926,8.97,267, 8705, 58.32
2023-02-09,BEDMUTHA, EQ,59.5,58.4,60.85,54.95, 57.00,57.0,57.41,20714,11.89,382, 11325, 54.67
2023-02-10,BEDMUTHA, EQ,57.0,56.55,59.45,56.55, 57.50,57.65,57.79,7463,4.31,129, 4852, 65.01
2023-02-13,BEDMUTHA, EQ,57.65,56.5,58.45,56.05,56.8,56.15,56.63,3369,1.91,101, 2399, 71.21
2023-02-14,BEDMUTHA, EQ,56.15,56.4,62.8,53.1,53.1,54.4,57.32,34995,20.06,586, 18007, 51.46
2023-02-15,BEDMUTHA, EQ,54.4,55.5,56.2,53.85, 54.50,54.45,54.7,10649,5.83,139, 7664, 71.97
2023-02-16,BEDMUTHA, EQ,54.45,56.85,57.75,55.55, 55.60,55.6,56.17,6255,3.51,64, 4762, 76.13
2023-02-17,BEDMUTHA, EQ,55.6,56.75,56.95,53.25, 53.25,54.6,55.25,5845,3.23,161, 3117, 53.33
2023-02-20,BEDMUTHA, EQ,54.6,54.35,55.6,53.55, 55.00,54.85,54.72,2324,1.27,60, 1675, 72.07
2023-02-21,BEDMUTHA, EQ,54.85,57.4,57.4,53.8, 54.75,54.5,54.77,6683,3.66,192, 3760, 56.26
2023-02-22,BEDMUTHA, EQ,54.5,55.4,55.95,54.0, 55.95,55.05,54.82,3582,1.96,89, 2310, 64.49
2023-02-23,BEDMUTHA, EQ,55.05,54.6,55.85,54.6,55.05,54.95,55.25,2746,1.52,53, 2122, 77.28
2023-02-24,BEDMUTHA, EQ,54.95,55.05,55.95,53.0, 53.25,53.85,54.86,12727,6.98,97, 10229, 80.37
2023-02-27,BEDMUTHA, EQ,53.85,52.6,55.4,52.5, 52.50,52.7,53.14,4714,2.51,87, 3072, 65.17
2023-02-28,BEDMUTHA, EQ,52.7,52.7,54.25,51.35, 52.05,52.25,52.38,3395,1.78,129, 2000, 58.91
2023-03-01,BEDMUTHA, EQ,52.25,56.0,56.0,52.5, 53.70,53.85,54.12,5145,2.78,100, 2032, 39.49
2023-03-02,BEDMUTHA, EQ,53.85,56.75,56.75,54.1, 54.25,54.35,54.52,626,0.34,29, 429, 68.53
2023-03-03,BEDMUTHA, EQ,54.35,57.0,57.0,54.4, 55.05,55.2,55.99,10972,6.14,158, 7613, 69.39
2023-03-06,BEDMUTHA, EQ,55.2,59.7,59.8,55.6, 55.60,56.4,57.54,4975,2.86,175, 2577, 51.80
2023-03-08,BEDMUTHA, EQ,56.4,55.65,55.65,54.0, 54.15,54.45,54.41,3982,2.17,173, 2615, 65.67
2023-03-09,BEDMUTHA, EQ,54.45,55.85,57.0,53.2, 53.65,53.9,54.29,5875,3.19,147, 2739, 46.62
2023-03-10,BEDMUTHA, EQ,53.9,53.9,54.85,51.8, 51.80,53.0,53.34,5472,2.92,165, 3714, 67.87
2023-03-13,BEDMUTHA, EQ,53.0,53.0,53.3,50.0, 50.00,50.95,51.95,7287,3.79,178, 5091, 69.86
2023-03-14,BEDMUTHA, EQ,50.95,50.65,51.0,47.0, 48.00,47.75,48.36,12843,6.21,313, 8053, 62.70
2023-03-15,BEDMUTHA, EQ,47.75,48.0,49.85,46.7, 47.50,48.7,48.84,3838,1.87,170, 2507, 65.32
2023-03-16,BEDMUTHA, EQ,48.7,48.65,50.95,47.55, 50.25,50.3,49.44,6350,3.14,134, 3366, 53.01
2023-03-17,BEDMUTHA, EQ,50.3,50.65,51.55,49.7, 50.65,50.7,50.37,2444,1.23,62, 1252, 51.23
2023-03-20,BEDMUTHA, EQ,50.7,50.1,51.4,48.5,49.0,49.2,49.41,3406,1.68,90, 1949, 57.22
2023-03-21,BEDMUTHA, EQ,49.2,52.8,53.0,49.1, 50.90,49.55,50.12,3464,1.74,186, 1425, 41.14
2023-03-22,BEDMUTHA, EQ,49.55,52.0,52.0,49.6, 50.80,50.65,51.15,2229,1.14,44, 1270, 56.98
2023-03-23,BEDMUTHA, EQ,50.65,50.6,51.85,50.05, 51.35,51.4,51.1,2336,1.19,83, 960, 41.10
2023-03-24,BEDMUTHA, EQ,51.4,54.85,54.85,49.5, 49.50,50.05,51.59,4264,2.2,112, 1712, 40.15
2023-03-27,BEDMUTHA, EQ,50.05,49.0,51.9,48.5, 48.80,48.85,49.58,4721,2.34,79, 2943, 62.34
2023-03-28,BEDMUTHA, EQ,48.85,48.55,50.5,47.5, 50.30,49.85,49.19,5181,2.55,144, 3308, 63.85
2023-03-29,BEDMUTHA, EQ,49.85,49.95,51.85,49.95, 51.00,50.55,50.4,8706,4.39,55, 8586, 98.62
2023-03-31,BEDMUTHA, EQ,50.55,50.55,60.65,50.5, 60.30,60.1,59.27,99305,58.86,897, 61813, 62.25
2023-04-03,BEDMUTHA, EQ,60.1,65.6,70.0,58.75, 59.70,59.55,65.79,361938,238.14,5865, 85429, 23.60
2023-04-05,BEDMUTHA, EQ,59.55,59.55,62.7,58.05, 58.80,59.0,59.74,17813,10.64,460, 11175, 62.74
2023-04-06,BEDMUTHA, EQ,59.0,59.55,59.55,56.4, 57.00,57.45,57.75,22846,13.19,379, 17172, 75.16
2023-04-10,BEDMUTHA, EQ,57.45,57.15,59.35,56.8, 58.00,58.0,58.26,10053,5.86,216, 6872, 68.36
2023-04-11,BEDMUTHA, EQ,58.0,58.7,59.1,58.0, 58.90,58.5,58.62,5270,3.09,94, 4261, 80.85
2023-04-12,BEDMUTHA, EQ,58.5,58.4,59.1,56.15, 56.15,57.0,57.41,11410,6.55,139, 7295, 63.94
2023-04-13,BEDMUTHA, EQ,57.0,57.05,57.7,56.15, 56.50,56.75,57.03,3687,2.1,62, 2651, 71.90
2023-04-17,BEDMUTHA, EQ,56.75,56.75,58.0,56.5, 57.80,57.5,57.36,4156,2.38,104, 2591, 62.34
2023-04-18,BEDMUTHA, EQ,57.5,58.65,58.65,56.5, 57.60,57.55,57.06,3905,2.23,117, 2757, 70.60
2023-04-19,BEDMUTHA, EQ,57.55,57.5,58.15,56.3, 56.30,56.3,57.15,2354,1.35,63, 1442, 61.26
2023-04-20,BEDMUTHA, EQ,56.3,57.7,57.7,55.85, 55.90,56.05,56.11,2230,1.25,71, 1629, 73.05
2023-04-21,BEDMUTHA, EQ,56.05,57.95,58.0,55.5, 55.55,56.15,56.61,4868,2.76,108, 2709, 55.65
2023-04-24,BEDMUTHA, EQ,56.15,55.55,58.55,53.8, 54.15,55.0,55.57,19372,10.76,431, 10230, 52.81
2023-04-25,BEDMUTHA, EQ,55.0,55.55,56.85,54.05,54.6,54.7,55.06,10357,5.7,148, 8164, 78.83
2023-04-26,BEDMUTHA, EQ,54.7,56.8,57.9,53.6, 56.70,56.7,55.64,21615,12.03,167, 18654, 86.30
2023-04-27,BEDMUTHA, EQ,56.7,57.85,57.85,56.1, 57.00,57.0,57.05,2758,1.57,59, 1272, 46.12
2023-04-28,BEDMUTHA, EQ,57.0,56.2,57.0,55.1, 56.70,56.3,56.26,7923,4.46,227, 5696, 71.89
2023-05-02,BEDMUTHA, EQ,56.3,60.0,60.0,55.5, 56.10,56.25,56.05,14327,8.03,250, 10239, 71.47
2023-05-03,BEDMUTHA, EQ,56.25,56.05,57.9,56.0,57.9,56.75,56.42,3911,2.21,74, 2381, 60.88
2023-05-04,BEDMUTHA, EQ,56.75,56.75,57.3,55.8, 56.95,56.85,56.65,5813,3.29,142, 2817, 48.46
2023-05-05,BEDMUTHA, EQ,56.85,55.7,57.2,55.7, 56.40,56.75,56.56,3174,1.8,71, 1973, 62.16
2023-05-08,BEDMUTHA, EQ,56.75,56.55,57.15,55.1, 55.10,55.3,55.78,1728,0.96,74, 1330, 76.97
2023-05-09,BEDMUTHA, EQ,55.3,56.65,58.8,55.4,57.9,57.0,57.77,16357,9.45,265, 8357, 51.09
2023-05-10,BEDMUTHA, EQ,57.0,56.15,60.75,56.05,59.0,59.2,58.19,47835,27.83,479, 28909, 60.43
2023-05-11,BEDMUTHA, EQ,59.2,59.2,59.8,57.0, 59.05,58.35,58.59,10123,5.93,408, 5864, 57.93
2023-05-12,BEDMUTHA, EQ,58.35,58.45,58.45,57.0, 57.05,57.3,57.47,3181,1.83,65, 2121, 66.68
2023-05-15,BEDMUTHA, EQ,57.3,57.4,58.25,57.3, 57.85,57.6,57.59,1937,1.12,55, 1242, 64.12
2023-05-16,BEDMUTHA, EQ,57.6,56.5,57.8,55.5,56.5,55.75,56.79,9146,5.19,304, 5062, 55.35
2023-05-17,BEDMUTHA, EQ,55.75,57.0,58.2,55.15, 56.45,55.6,56.23,5316,2.99,111, 3414, 64.22
2023-05-18,BEDMUTHA, EQ,55.6,55.45,57.45,54.9, 55.10,55.4,55.53,5871,3.26,120, 3985, 67.88
2023-05-19,BEDMUTHA, EQ,55.4,55.2,56.85,55.2,55.8,56.0,55.69,1177,0.66,53, 855, 72.64
2023-05-22,BEDMUTHA, EQ,56.0,56.9,56.9,55.7,56.1,55.85,55.87,2033,1.14,35, 1258, 61.88
2023-05-23,BEDMUTHA, EQ,55.85,57.6,57.6,55.05, 55.70,55.7,56.1,10879,6.1,599, 5300, 48.72
2023-05-24,BEDMUTHA, EQ,55.7,57.0,57.0,54.3, 54.70,54.85,55.4,4876,2.7,147, 3495, 71.68
2023-05-25,BEDMUTHA, EQ,54.85,54.9,55.9,54.55, 54.60,54.8,54.98,4933,2.71,75, 1977, 40.08
2023-05-26,BEDMUTHA, EQ,54.8,54.8,55.95,54.8,54.8,55.4,55.49,5623,3.12,78, 4093, 72.79
2023-05-29,BEDMUTHA, EQ,55.4,56.55,56.55,55.0, 55.50,55.55,55.8,5894,3.29,112, 4661, 79.08
2023-05-30,BEDMUTHA, EQ,55.55,55.5,56.5,54.65, 55.65,55.1,55.51,9534,5.29,155, 7969, 83.59
2023-05-31,BEDMUTHA, EQ,55.1,55.0,55.75,54.55, 54.65,54.85,55.08,5493,3.03,191, 2967, 54.01
2023-06-01,BEDMUTHA, EQ,54.85,54.55,56.0,54.05, 55.90,55.05,55.21,8442,4.66,102, 6661, 78.90
2023-06-02,BEDMUTHA, EQ,55.05,56.9,58.0,54.7, 57.65,57.6,56.99,19516,11.12,420, 15035, 77.04
2023-06-05,BEDMUTHA, EQ,57.6,59.25,61.0,57.6, 60.30,60.05,60.06,43372,26.05,617, 24928, 57.47
2023-06-06,BEDMUTHA, EQ,60.05,60.05,60.75,58.35,59.3,60.2,60.0,10212,6.13,342, 5274, 51.65
2023-06-07,BEDMUTHA, EQ,60.2,59.9,60.7,58.1, 60.00,59.85,59.88,20078,12.02,594, 10518, 52.39
2023-06-08,BEDMUTHA, EQ,59.85,61.05,62.35,59.2, 59.20,59.5,60.63,23476,14.23,811, 8826, 37.60
2023-06-09,BEDMUTHA, EQ,59.5,59.5,61.65,58.2, 59.90,58.9,59.41,7537,4.48,669, 2312, 30.68
2023-06-12,BEDMUTHA, EQ,58.9,59.0,62.5,58.0, 60.60,59.75,59.71,27402,16.36,1228, 6079, 22.18
2023-06-13,BEDMUTHA, EQ,59.75,62.0,62.0,58.0, 58.20,58.7,59.45,13151,7.82,380, 5965, 45.36
2023-06-14,BEDMUTHA, EQ,58.7,60.0,60.0,57.5, 58.00,58.2,58.33,8757,5.11,296, 4985, 56.93
2023-06-15,BEDMUTHA, EQ,58.2,59.0,59.95,57.4, 58.70,58.55,58.55,17764,10.4,611, 4679, 26.34
2023-06-16,BEDMUTHA, EQ,58.55,58.7,59.55,58.45, 58.45,58.6,58.8,2821,1.66,85, 1849, 65.54
2023-06-19,BEDMUTHA, EQ,58.6,59.25,59.25,57.55, 57.55,57.65,58.19,14136,8.23,350, 6426, 45.46
2023-06-20,BEDMUTHA, EQ,57.65,59.1,59.75,56.45, 57.25,57.45,57.77,10971,6.34,371, 3228, 29.42
2023-06-21,BEDMUTHA, EQ,57.45,57.7,58.95,56.3, 57.10,57.25,57.86,19908,11.52,925, 5161, 25.92
2023-06-22,BEDMUTHA, EQ,57.25,56.45,58.05,56.45,56.8,57.2,57.17,9569,5.47,295, 2131, 22.27
2023-06-23,BEDMUTHA, EQ,57.2,57.25,58.9,56.0, 56.00,56.2,56.82,10143,5.76,459, 3382, 33.34
2023-06-26,BEDMUTHA, EQ,56.2,57.8,57.8,55.65, 57.00,56.05,56.4,4372,2.47,125, 2205, 50.43
