DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BEL, EQ,99.9,100.4,101.2,99.9, 100.30,100.25,100.44,6973552,7004.54,38461, 2476600, 35.51
2023-01-03,BEL, EQ,100.25,100.3,100.9,99.8, 100.40,100.35,100.21,8833881,8852.16,39429, 4050449, 45.85
2023-01-04,BEL, EQ,100.35,100.7,100.9,98.45, 98.70,98.75,99.31,8927128,8865.19,43753, 3820149, 42.79
2023-01-05,BEL, EQ,98.75,99.0,100.15,98.3,100.1,99.95,99.32,10448282,10376.92,56220, 5153769, 49.33
2023-01-06,BEL, EQ,99.95,99.8,100.5,98.7,98.9,98.95,99.35,7215940,7169.29,35664, 3762332, 52.14
2023-01-09,BEL, EQ,98.95,99.9,101.7,99.5,99.9,100.0,100.4,11920266,11967.4,56169, 4953633, 41.56
2023-01-10,BEL, EQ,100.0,100.0,100.1,98.3,99.3,99.15,99.17,10397112,10310.68,64502, 5506000, 52.96
2023-01-11,BEL, EQ,99.15,100.35,100.75,99.55, 100.20,100.2,100.18,11130194,11149.72,47871, 3992776, 35.87
2023-01-12,BEL, EQ,100.2,100.45,100.5,98.9, 99.50,99.4,99.47,9299447,9250.13,57824, 4779666, 51.40
2023-01-13,BEL, EQ,99.4,99.5,100.1,97.4,99.9,99.95,98.72,11684608,11534.68,63421, 4683179, 40.08
2023-01-16,BEL, EQ,99.95,100.45,103.0,100.2, 102.05,102.1,102.03,16485682,16820.98,72174, 6382758, 38.72
2023-01-17,BEL, EQ,102.1,102.35,103.0,101.5,102.9,102.9,102.39,11762030,12043.51,43962, 6195316, 52.67
2023-01-18,BEL, EQ,102.9,103.1,104.0,102.1,102.8,102.7,102.9,13005273,13383.03,48804, 5874885, 45.17
2023-01-19,BEL, EQ,102.7,102.0,103.0,101.85, 102.70,102.85,102.48,4842895,4963.04,28050, 2275786, 46.99
