DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BESTAGRO, EQ,1523.35,1530.0,1548.0,1522.5, 1535.10,1536.95,1538.62,38128,586.65,4253, 16263, 42.65
2023-01-03,BESTAGRO, EQ,1536.95,1537.7,1553.6,1527.0, 1527.00,1533.5,1539.31,28587,440.04,3221, 14935, 52.24
2023-01-04,BESTAGRO, EQ,1533.5,1540.0,1541.4,1454.05, 1469.50,1465.5,1483.12,61286,908.94,7361, 29692, 48.45
2023-01-05,BESTAGRO, EQ,1465.5,1476.8,1490.0,1421.55,1464.0,1454.5,1451.3,61817,897.15,8205, 29863, 48.31
2023-01-06,BESTAGRO, EQ,1454.5,1461.8,1468.7,1429.25,1457.0,1453.35,1452.21,33343,484.21,4436, 13378, 40.12
2023-01-09,BESTAGRO, EQ,1453.35,1470.0,1502.9,1463.25,1465.0,1470.45,1480.26,41606,615.88,6756, 17256, 41.47
2023-01-10,BESTAGRO, EQ,1470.45,1476.9,1477.95,1418.9,1434.0,1432.95,1438.26,36443,524.15,4105, 20161, 55.32
2023-01-11,BESTAGRO, EQ,1432.95,1440.15,1446.85,1398.75, 1408.50,1411.55,1423.44,35708,508.28,3777, 21438, 60.04
2023-01-12,BESTAGRO, EQ,1411.55,1412.0,1429.45,1381.95, 1402.00,1404.2,1397.52,48597,679.15,5383, 23012, 47.35
2023-01-13,BESTAGRO, EQ,1404.2,1411.0,1441.5,1396.2,1417.0,1426.55,1412.8,27425,387.46,3736, 11509, 41.97
2023-01-16,BESTAGRO, EQ,1426.55,1433.7,1435.0,1386.0, 1393.15,1392.45,1405.66,28461,400.06,3779, 16996, 59.72
2023-01-17,BESTAGRO, EQ,1392.45,1396.5,1400.05,1354.05,1378.45,1371.05,1378.17,38433,529.67,5301, 18208, 47.38
2023-01-18,BESTAGRO, EQ,1371.05,1380.0,1409.7,1375.0,1375.0,1378.15,1385.66,31480,436.2,4240, 14553, 46.23
2023-01-19,BESTAGRO, EQ,1378.15,1351.35,1380.0,1340.0, 1348.70,1350.4,1358.48,52293,710.39,5267, 25957, 49.64
2023-01-20,BESTAGRO, EQ,1350.4,1352.0,1365.0,1302.7,1310.0,1313.6,1333.65,107271,1430.62,11518, 38305, 35.71
2023-01-23,BESTAGRO, EQ,1313.6,1313.65,1324.75,1282.5,1287.15,1290.75,1304.76,44482,580.38,5125, 27769, 62.43
2023-01-24,BESTAGRO, EQ,1290.75,1285.0,1317.0,1260.0,1261.0,1263.2,1281.23,78647,1007.65,6889, 47182, 59.99
2023-01-25,BESTAGRO, EQ,1263.2,1260.0,1299.6,1184.95, 1290.00,1286.85,1242.37,282525,3510.01,19278, 123745, 43.80
2023-01-27,BESTAGRO, EQ,1286.85,1250.05,1276.85,1172.6, 1213.00,1188.5,1211.73,174611,2115.81,18180, 73630, 42.17
