DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BFINVEST, EQ,292.1,350.5,350.5,350.5, 350.50,350.5,350.5,77855,272.88,847, 77854, 100.00
2023-01-03,BFINVEST, EQ,350.5,410.0,420.6,396.65, 420.60,420.6,416.41,412488,1717.64,2755, 194369, 47.12
2023-01-04,BFINVEST, EQ,420.6,422.0,462.65,401.6, 460.90,458.35,437.35,1711470,7485.17,43902, 353961, 20.68
2023-01-05,BFINVEST, EQ,458.35,412.55,412.55,412.55,412.55,412.55,412.55,17460,72.03,413, 17458, 99.99
2023-01-06,BFINVEST, EQ,412.55,371.3,393.7,371.3,373.55,375.9,378.62,520339,1970.12,10940, 161739, 31.08
2023-01-09,BFINVEST, EQ,375.9,373.0,378.65,361.0,367.0,367.6,370.64,69095,256.1,2924, 34699, 50.22
2023-01-10,BFINVEST, EQ,367.6,369.9,375.0,365.0,365.0,365.55,367.78,68698,252.66,1948, 50223, 73.11
2023-01-11,BFINVEST, EQ,365.55,366.9,373.75,362.1, 363.95,363.9,366.4,21724,79.6,812, 11979, 55.14
2023-01-12,BFINVEST, EQ,363.9,366.4,366.9,359.0, 363.00,361.45,362.91,88421,320.89,825, 81184, 91.82
2023-01-13,BFINVEST, EQ,361.45,362.4,363.7,356.0,357.0,357.35,359.56,18345,65.96,696, 11327, 61.74
2023-01-16,BFINVEST, EQ,357.35,359.4,359.45,345.2, 347.45,348.0,351.02,19084,66.99,742, 12669, 66.39
2023-01-17,BFINVEST, EQ,348.0,347.0,349.0,335.1,337.1,338.95,341.14,45137,153.98,1287, 29880, 66.20
2023-01-18,BFINVEST, EQ,338.95,340.2,345.0,332.5,334.2,335.05,337.94,34052,115.07,1176, 21040, 61.79
2023-01-19,BFINVEST, EQ,335.05,334.7,340.9,331.8, 337.00,337.0,335.83,20028,67.26,688, 10795, 53.90
2023-01-20,BFINVEST, EQ,337.0,338.7,349.0,336.7,342.25,342.25,344.05,27636,95.08,1010, 15910, 57.57
