DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BHARATRAS, EQ,9933.45,10060.0,10060.0,9817.6, 9853.00,9876.05,9894.67,1318,130.41,467, 916, 69.50
2023-01-03,BHARATRAS, EQ,9876.05,9951.1,9951.2,9824.15, 9890.00,9884.2,9902.53,745,73.77,272, 513, 68.86
2023-01-04,BHARATRAS, EQ,9884.2,9895.05,9935.9,9680.0, 9700.00,9727.75,9773.6,537,52.48,310, 351, 65.36
2023-01-05,BHARATRAS, EQ,9727.75,9800.35,9800.35,9610.0,9630.05,9638.2,9668.03,757,73.19,431, 509, 67.24
2023-01-06,BHARATRAS, EQ,9638.2,9639.05,9724.9,9480.0,9538.0,9521.75,9556.55,1254,119.84,668, 720, 57.42
2023-01-09,BHARATRAS, EQ,9521.75,9594.25,9787.35,9501.0,9506.0,9519.7,9556.66,839,80.18,493, 493, 58.76
2023-01-10,BHARATRAS, EQ,9519.7,9614.9,9623.9,9411.0,9490.0,9449.15,9485.49,922,87.46,514, 548, 59.44
2023-01-11,BHARATRAS, EQ,9449.15,9505.0,9575.95,9406.35, 9510.00,9493.3,9483.23,596,56.52,349, 315, 52.85
2023-01-12,BHARATRAS, EQ,9493.3,9588.25,9588.25,9440.0, 9467.45,9495.95,9498.5,656,62.31,406, 233, 35.52
2023-01-13,BHARATRAS, EQ,9495.95,9567.0,9567.0,9450.3,9474.0,9485.95,9489.08,370,35.11,249, 133, 35.95
2023-01-16,BHARATRAS, EQ,9485.95,9525.0,9558.1,9410.0, 9430.00,9443.45,9463.05,624,59.05,395, 334, 53.53
2023-01-17,BHARATRAS, EQ,9443.45,9443.5,9519.35,9411.05,9425.1,9458.85,9464.61,311,29.43,235, 148, 47.59
2023-01-18,BHARATRAS, EQ,9458.85,9444.1,9500.0,9410.25,9420.25,9429.55,9436.67,652,61.53,239, 341, 52.30
2023-01-19,BHARATRAS, EQ,9429.55,9493.0,9493.0,9410.5, 9446.95,9443.15,9435.07,246,23.21,162, 134, 54.47
2023-01-20,BHARATRAS, EQ,9443.15,9421.05,9460.45,9402.0,9414.95,9418.5,9421.04,451,42.49,195, 251, 55.65
2023-01-23,BHARATRAS, EQ,9418.5,9405.75,9405.75,9300.0,9400.0,9354.7,9344.52,675,63.08,368, 374, 55.41
2023-01-24,BHARATRAS, EQ,9354.7,9425.9,9705.3,9300.0,9579.0,9480.85,9382.1,886,83.13,403, 359, 40.52
2023-01-25,BHARATRAS, EQ,9480.85,9480.85,9599.0,9430.15, 9450.00,9470.05,9510.25,557,52.97,327, 281, 50.45
2023-01-27,BHARATRAS, EQ,9470.05,9542.1,9542.1,9130.0, 9192.00,9159.05,9222.4,1364,125.79,745, 825, 60.48
2023-01-30,BHARATRAS, EQ,9159.05,9291.05,9291.05,9135.15, 9233.90,9215.65,9201.87,488,44.91,269, 301, 61.68
2023-01-31,BHARATRAS, EQ,9215.65,9245.75,9291.05,9172.3,9273.0,9240.6,9254.8,285,26.38,166, 173, 60.70
2023-02-01,BHARATRAS, EQ,9240.6,9247.05,9344.9,9120.0, 9130.00,9149.75,9234.62,1001,92.44,408, 612, 61.14
2023-02-02,BHARATRAS, EQ,9149.75,9219.45,9219.45,9130.0, 9169.85,9148.25,9141.62,816,74.6,360, 529, 64.83
2023-02-03,BHARATRAS, EQ,9148.25,9169.9,9248.8,9021.35, 9073.95,9075.45,9133.41,782,71.42,309, 458, 58.57
2023-02-06,BHARATRAS, EQ,9075.45,9075.45,9123.55,9021.4, 9040.00,9028.0,9069.67,529,47.98,315, 329, 62.19
2023-02-07,BHARATRAS, EQ,9028.0,9040.1,9059.0,8974.05, 9050.00,9005.0,9015.02,1259,113.5,428, 948, 75.30
2023-02-08,BHARATRAS, EQ,9005.0,8912.0,9034.4,8844.0, 8975.00,8934.6,8922.55,1619,144.46,799, 905, 55.90
2023-02-09,BHARATRAS, EQ,8934.6,8975.0,9035.0,8939.6, 8950.00,8975.9,9006.73,929,83.67,355, 584, 62.86
2023-02-10,BHARATRAS, EQ,8975.9,8981.8,8981.8,8865.0, 8900.00,8887.4,8909.32,534,47.58,296, 378, 70.79
2023-02-13,BHARATRAS, EQ,8887.4,8865.0,8975.85,8585.05,8586.0,8596.75,8677.85,2236,194.04,882, 1254, 56.08
2023-02-14,BHARATRAS, EQ,8596.75,8650.0,8661.4,8524.15,8585.95,8566.35,8583.56,1257,107.9,643, 669, 53.22
2023-02-15,BHARATRAS, EQ,8566.35,8561.0,8575.0,8499.55, 8526.55,8558.7,8533.64,861,73.47,448, 461, 53.54
2023-02-16,BHARATRAS, EQ,8558.7,8552.0,8773.0,8540.15, 8769.90,8752.3,8679.62,1230,106.76,591, 684, 55.61
2023-02-17,BHARATRAS, EQ,8752.3,8780.75,8809.95,8649.9, 8740.00,8728.2,8706.5,1926,167.69,665, 1462, 75.91
2023-02-20,BHARATRAS, EQ,8728.2,8794.7,8899.0,8574.0, 8884.95,8840.1,8711.29,2137,186.16,659, 1480, 69.26
2023-02-21,BHARATRAS, EQ,8840.1,8801.0,8975.0,8666.85, 8969.95,8932.45,8835.12,1283,113.35,572, 785, 61.18
2023-02-22,BHARATRAS, EQ,8932.45,8899.0,9030.95,8786.1, 9028.00,8964.65,8899.17,811,72.17,437, 422, 52.03
2023-02-23,BHARATRAS, EQ,8964.65,9032.9,9190.0,8863.0,9164.6,9074.7,9007.51,986,88.81,445, 659, 66.84
2023-02-24,BHARATRAS, EQ,9074.7,9165.45,9165.45,8900.0, 9070.00,9084.6,9052.75,1142,103.38,549, 707, 61.91
2023-02-27,BHARATRAS, EQ,9084.6,8948.2,8982.9,8823.0, 8912.00,8890.85,8874.79,2182,193.65,731, 1585, 72.64
2023-02-28,BHARATRAS, EQ,8890.85,8890.0,8937.0,8701.1, 8701.10,8808.55,8860.41,341,30.21,203, 155, 45.45
2023-03-01,BHARATRAS, EQ,8808.55,8720.45,8874.9,8630.05, 8710.00,8659.2,8753.36,1016,88.93,511, 555, 54.63
2023-03-02,BHARATRAS, EQ,8659.2,8685.0,8775.1,8655.05, 8775.10,8724.15,8689.51,1272,110.53,250, 1063, 83.57
2023-03-03,BHARATRAS, EQ,8724.15,8710.0,8880.9,8675.0, 8726.00,8717.45,8736.55,596,52.07,296, 344, 57.72
2023-03-06,BHARATRAS, EQ,8717.45,8678.1,8799.3,8500.0, 8608.95,8605.8,8678.39,1553,134.78,500, 654, 42.11
2023-03-08,BHARATRAS, EQ,8605.8,8605.8,8681.9,8605.8, 8675.00,8651.4,8633.71,382,32.98,164, 278, 72.77
2023-03-09,BHARATRAS, EQ,8651.4,8699.0,8706.05,8610.0, 8650.00,8627.2,8677.33,761,66.03,325, 528, 69.38
2023-03-10,BHARATRAS, EQ,8627.2,8607.2,8627.2,8550.0, 8555.30,8565.0,8578.29,1082,92.82,292, 868, 80.22
2023-03-13,BHARATRAS, EQ,8565.0,8579.95,8604.3,8427.05, 8583.00,8477.6,8507.46,1995,169.72,355, 1682, 84.31
2023-03-14,BHARATRAS, EQ,8477.6,8580.0,8680.95,8411.0, 8430.00,8455.65,8466.01,567,48.0,317, 323, 56.97
2023-03-15,BHARATRAS, EQ,8455.65,8451.1,8516.6,8370.0, 8390.00,8411.8,8421.6,1424,119.92,359, 731, 51.33
2023-03-16,BHARATRAS, EQ,8411.8,8410.8,8700.15,8280.0, 8647.00,8586.85,8407.06,996,83.73,462, 664, 66.67
2023-03-17,BHARATRAS, EQ,8586.85,8564.7,8765.9,8518.5, 8743.00,8748.6,8716.54,659,57.44,375, 402, 61.00
2023-03-20,BHARATRAS, EQ,8748.6,8740.0,8850.0,8551.0,8799.8,8801.65,8737.69,1631,142.51,551, 1204, 73.82
2023-03-21,BHARATRAS, EQ,8801.65,8870.0,9112.0,8762.15, 9100.00,9090.55,8973.75,1955,175.44,589, 1330, 68.03
2023-03-22,BHARATRAS, EQ,9090.55,9090.55,9985.0,9090.5, 9600.00,9588.35,9670.64,14455,1397.89,4660, 2335, 16.15
2023-03-23,BHARATRAS, EQ,9588.35,9570.0,9580.0,9403.1, 9565.00,9511.0,9496.31,2037,193.44,816, 638, 31.32
2023-03-24,BHARATRAS, EQ,9511.0,9441.0,9565.0,9436.0, 9477.00,9521.7,9487.06,1718,162.99,491, 833, 48.49
2023-03-27,BHARATRAS, EQ,9521.7,9650.0,9650.0,9400.0, 9401.00,9429.35,9472.21,1274,120.68,439, 845, 66.33
2023-03-28,BHARATRAS, EQ,9429.35,9430.0,9472.15,9201.0, 9235.00,9210.25,9246.73,835,77.21,421, 484, 57.96
2023-03-29,BHARATRAS, EQ,9210.25,9210.2,9299.95,8831.1, 9000.00,8989.2,9019.78,4792,432.23,1652, 2199, 45.89
2023-03-31,BHARATRAS, EQ,8989.2,9000.0,9105.0,8941.95, 9090.00,9076.95,9066.77,1890,171.36,546, 1380, 73.02
2023-04-03,BHARATRAS, EQ,9076.95,9075.95,9195.85,9000.1, 9100.05,9107.4,9108.75,1035,94.28,355, 686, 66.28
