DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BIL, EQ,205.2,209.1,223.4,203.65, 215.20,220.3,214.45,13750,29.49,1250, 5580, 40.58
2023-01-03,BIL, EQ,220.3,226.8,229.45,221.15, 223.30,224.35,224.88,8750,19.68,1115, 3939, 45.02
2023-01-04,BIL, EQ,224.35,220.0,221.95,215.3, 216.00,216.65,217.88,4334,9.44,1047, 1455, 33.57
2023-01-05,BIL, EQ,216.65,208.0,219.95,208.0,211.0,211.1,215.28,6471,13.93,1673, 1330, 20.55
2023-01-06,BIL, EQ,211.1,219.0,219.0,206.9,208.6,208.8,212.68,8347,17.75,1747, 1788, 21.42
2023-01-09,BIL, EQ,208.8,215.05,215.05,206.45,211.0,210.65,210.48,3466,7.3,1070, 773, 22.30
2023-01-10,BIL, EQ,210.65,213.75,228.0,208.95,216.0,216.0,218.19,7600,16.58,996, 3957, 52.07
2023-01-11,BIL, EQ,216.0,221.0,221.0,209.5, 210.00,211.85,214.83,3797,8.16,1042, 1585, 41.74
2023-01-12,BIL, EQ,211.85,210.05,214.35,203.1, 206.00,205.9,205.45,11604,23.84,844, 8521, 73.43
2023-01-13,BIL, EQ,205.9,210.65,212.75,203.4,210.45,208.55,206.41,4553,9.4,998, 1741, 38.24
2023-01-16,BIL, EQ,208.55,213.95,213.95,205.7, 207.35,207.6,208.34,4799,10.0,661, 1408, 29.34
2023-01-17,BIL, EQ,207.6,209.85,209.85,205.1,205.1,205.15,205.76,4709,9.69,145, 3770, 80.06
2023-01-18,BIL, EQ,205.15,208.35,209.2,205.0,205.7,205.95,206.46,3534,7.3,426, 787, 22.27
2023-01-19,BIL, EQ,205.95,205.7,208.0,205.25, 208.00,207.1,206.64,2177,4.5,186, 1539, 70.69
2023-01-20,BIL, EQ,207.1,209.9,209.9,202.0,202.0,204.1,206.25,3773,7.78,621, 718, 19.03
2023-01-23,BIL, EQ,204.1,202.0,216.4,202.0,205.1,205.1,207.2,6553,13.58,629, 1376, 21.00
2023-01-24,BIL, EQ,205.1,209.9,209.9,205.1,205.1,205.2,206.3,1907,3.93,401, 326, 17.09
2023-01-25,BIL, EQ,205.2,210.0,210.0,205.1, 205.10,205.1,205.74,2117,4.36,102, 1279, 60.42
2023-01-27,BIL, EQ,205.1,205.25,207.35,200.0, 200.00,200.7,203.73,3419,6.97,267, 1923, 56.24
2023-01-30,BIL, EQ,200.7,203.0,205.4,200.2, 202.50,200.7,202.68,1365,2.77,118, 518, 37.95
2023-01-31,BIL, EQ,200.7,201.95,209.85,200.8,209.85,208.5,206.88,1718,3.55,151, 784, 45.63
2023-02-01,BIL, EQ,208.5,210.0,210.0,200.0, 201.00,201.9,206.03,8704,17.93,1402, 1162, 13.35
2023-02-02,BIL, EQ,201.9,201.45,208.55,201.1, 202.60,203.85,204.02,4532,9.25,662, 752, 16.59
2023-02-03,BIL, EQ,203.85,201.35,206.5,200.55, 206.20,204.65,203.83,1650,3.36,285, 566, 34.30
2023-02-06,BIL, EQ,204.65,210.0,210.0,201.5, 201.50,201.85,203.26,2848,5.79,343, 937, 32.90
2023-02-07,BIL, EQ,201.85,201.5,206.55,200.2, 200.20,200.75,203.02,3500,7.11,489, 776, 22.17
2023-02-08,BIL, EQ,200.75,206.05,206.5,200.1, 201.25,200.9,201.34,4948,9.96,373, 3363, 67.97
2023-02-09,BIL, EQ,200.9,204.4,204.4,200.1, 200.10,200.45,200.89,801,1.61,80, 461, 57.55
2023-02-10,BIL, EQ,200.45,201.75,202.95,200.1, 201.35,200.1,200.28,2497,5.0,82, 1832, 73.37
2023-02-13,BIL, EQ,200.1,200.1,208.95,196.0,200.05,200.15,201.52,15070,30.37,784, 8869, 58.85
2023-02-14,BIL, EQ,200.15,202.35,202.35,200.1,200.1,200.1,200.2,3296,6.6,82, 2744, 83.25
2023-02-15,BIL, EQ,200.1,204.5,204.5,200.1, 200.10,200.15,201.3,5604,11.28,647, 564, 10.06
2023-02-16,BIL, EQ,200.15,203.45,203.45,190.15, 194.00,195.1,195.96,3545,6.95,440, 1060, 29.90
2023-02-17,BIL, EQ,195.1,200.0,204.9,200.0, 200.60,201.2,202.34,4201,8.5,570, 964, 22.95
2023-02-20,BIL, EQ,201.2,204.4,204.65,200.1, 201.20,202.0,202.15,5900,11.93,760, 750, 12.71
2023-02-21,BIL, EQ,202.0,201.2,204.0,199.9, 200.60,200.6,201.21,4731,9.52,762, 341, 7.21
2023-02-22,BIL, EQ,200.6,200.6,204.25,200.1, 200.10,200.1,201.33,6959,14.01,281, 3093, 44.45
2023-02-23,BIL, EQ,200.1,204.8,204.8,197.6,203.0,201.85,200.06,2121,4.24,453, 293, 13.81
2023-02-24,BIL, EQ,201.85,201.8,203.95,194.0, 194.00,197.85,200.23,2920,5.85,693, 444, 15.21
2023-02-27,BIL, EQ,197.85,197.8,202.35,193.85, 194.00,194.5,198.91,16717,33.25,297, 16068, 96.12
2023-02-28,BIL, EQ,194.5,196.9,198.0,193.75, 195.50,194.1,195.85,1319,2.58,246, 195, 14.78
2023-03-01,BIL, EQ,194.1,194.7,201.0,191.0, 201.00,197.25,195.21,3026,5.91,409, 1324, 43.75
2023-03-02,BIL, EQ,197.25,200.7,203.95,196.8, 202.75,202.4,202.58,3013,6.1,200, 2429, 80.62
2023-03-03,BIL, EQ,202.4,202.7,203.85,200.0, 200.00,202.3,202.92,2089,4.24,108, 1575, 75.39
2023-03-06,BIL, EQ,202.3,198.0,203.4,197.1, 198.00,198.55,199.69,1957,3.91,373, 426, 21.77
2023-03-08,BIL, EQ,198.55,199.2,201.0,197.0, 197.00,197.05,197.58,559,1.1,81, 361, 64.58
2023-03-09,BIL, EQ,197.05,199.55,200.45,192.55, 194.55,195.7,196.45,6428,12.63,732, 2935, 45.66
2023-03-10,BIL, EQ,195.7,196.0,197.75,191.1, 191.90,192.2,192.96,1500,2.89,150, 678, 45.20
2023-03-13,BIL, EQ,192.2,193.0,195.9,190.0, 190.00,190.05,191.06,576,1.1,122, 309, 53.65
2023-03-14,BIL, EQ,190.05,196.85,196.85,180.05, 180.15,180.95,183.58,3118,5.72,412, 2118, 67.93
2023-03-15,BIL, EQ,180.95,183.0,183.95,173.9, 177.00,177.0,177.07,5111,9.05,686, 2670, 52.24
2023-03-16,BIL, EQ,177.0,177.05,181.45,174.0, 176.00,177.55,177.78,6156,10.94,1569, 3329, 54.08
2023-03-17,BIL, EQ,177.55,177.95,178.0,173.1, 178.00,176.05,175.67,1424,2.5,332, 488, 34.27
2023-03-20,BIL, EQ,176.05,176.05,176.7,170.3,174.2,173.1,174.27,749,1.31,181, 526, 70.23
2023-03-21,BIL, EQ,173.1,176.0,178.0,172.0, 174.80,175.8,175.85,2569,4.52,399, 1789, 69.64
2023-03-22,BIL, EQ,175.8,176.05,178.95,172.25, 178.45,177.0,176.81,4686,8.29,349, 3364, 71.79
2023-03-23,BIL, EQ,177.0,182.1,182.1,173.3, 173.30,174.45,177.16,375,0.66,134, 191, 50.93
2023-03-24,BIL, EQ,174.45,177.95,179.0,171.3, 172.00,171.65,173.63,807,1.4,79, 541, 67.04
2023-03-27,BIL, EQ,171.65,175.8,175.8,157.95, 162.00,162.2,162.66,9401,15.29,682, 6603, 70.24
2023-03-28,BIL, EQ,162.2,164.1,166.2,146.3, 149.50,149.7,155.05,8526,13.22,602, 5664, 66.43
2023-03-29,BIL, EQ,149.7,146.1,160.75,145.3, 148.00,149.4,148.98,4421,6.59,435, 2345, 53.04
2023-03-31,BIL, EQ,149.4,149.45,174.8,149.45, 166.20,169.6,163.63,9774,15.99,604, 4073, 41.67
2023-04-03,BIL, EQ,169.6,174.0,174.0,166.75, 167.00,167.2,170.14,2576,4.38,197, 1798, 69.80
2023-04-05,BIL, EQ,167.2,164.0,188.8,164.0, 186.50,185.0,180.43,12648,22.82,1297, 3848, 30.42
2023-04-06,BIL, EQ,185.0,187.1,193.95,180.0, 189.80,185.8,188.39,5859,11.04,985, 1807, 30.84
2023-04-10,BIL, EQ,185.8,185.8,189.0,179.5, 180.00,180.55,182.78,3664,6.7,629, 1128, 30.79
2023-04-11,BIL, EQ,180.55,179.05,184.25,176.35, 178.85,178.4,180.99,1822,3.3,469, 744, 40.83
2023-04-12,BIL, EQ,178.4,186.0,186.0,177.6, 183.00,182.25,182.33,2323,4.24,213, 1165, 50.15
2023-04-13,BIL, EQ,182.25,183.05,185.75,178.1, 185.00,181.5,180.9,428,0.77,89, 290, 67.76
2023-04-17,BIL, EQ,181.5,177.3,184.95,176.0, 177.00,177.35,179.76,1810,3.25,255, 994, 54.92
2023-04-18,BIL, EQ,177.35,176.75,178.15,173.45, 176.00,175.95,177.01,353,0.62,69, 209, 59.21
2023-04-19,BIL, EQ,175.95,171.65,182.0,171.65, 175.60,176.1,177.54,1474,2.62,271, 607, 41.18
2023-04-20,BIL, EQ,176.1,176.1,186.5,176.1, 178.00,180.65,182.08,4573,8.33,317, 2239, 48.96
2023-04-21,BIL, EQ,180.65,177.0,187.05,177.0, 180.85,181.85,183.49,5018,9.21,370, 1938, 38.62
2023-04-24,BIL, EQ,181.85,182.35,185.9,181.9, 183.10,183.7,184.05,2627,4.83,243, 1248, 47.51
2023-04-25,BIL, EQ,183.7,180.05,185.0,180.05,182.05,182.1,183.26,685,1.26,68, 422, 61.61
2023-04-26,BIL, EQ,182.1,184.95,188.7,180.05, 180.35,180.4,184.46,2347,4.33,233, 702, 29.91
